Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,373.00,400.50,371.90,400.50,18263900,400.50
2011-09-06,367.37,388.61,366.48,377.48,16419300,377.48
2011-08-29,388.18,392.08,371.83,374.05,15192900,374.05
2011-08-22,364.51,383.80,355.09,383.58,23488200,383.58
2011-08-15,379.63,384.97,356.00,356.03,21612900,356.03
2011-08-08,361.69,379.64,353.02,376.99,31257200,376.99
2011-08-01,397.78,399.50,362.57,373.62,29006300,373.62
2011-07-25,390.35,404.50,384.00,390.48,21088000,390.48
2011-07-18,365.43,396.27,365.28,393.30,24117100,393.30
2011-07-11,356.34,365.00,348.62,364.92,15720800,364.92
2011-07-05,343.00,360.00,342.50,359.71,15082700,359.71
2011-06-27,327.59,343.50,327.25,343.26,12463700,343.26
2011-06-20,317.36,333.15,310.50,326.35,18029800,326.35
2011-06-13,326.60,333.25,318.33,320.26,15635900,320.26
2011-06-06,345.70,347.05,325.51,325.90,14532100,325.90
2011-05-31,341.10,352.13,341.00,343.44,14504200,343.44
2011-05-23,329.97,338.56,329.42,337.41,10185000,337.41
2011-05-16,339.20,342.41,330.73,335.22,13114400,335.22
2011-05-09,347.86,350.00,340.35,340.50,10506800,340.50
2011-05-02,349.74,351.83,345.50,346.66,12581500,346.66
2011-04-25,350.34,354.99,345.52,350.13,16634700,350.13
2011-04-18,326.10,355.13,320.16,350.70,22176300,350.70
2011-04-11,334.06,336.14,326.80,327.46,13758600,327.46
2011-04-04,344.31,344.60,333.95,335.06,14973800,335.06
2011-03-28,353.15,354.32,343.30,344.56,12031000,344.56
2011-03-21,335.99,352.06,335.26,351.54,14013800,351.54
2011-03-14,353.18,356.48,326.26,330.67,26654900,330.67
2011-03-07,361.40,361.67,344.90,351.99,16674000,351.99
2011-02-28,351.24,360.29,347.68,360.00,17256100,360.00
2011-02-22,342.15,348.43,337.72,348.16,21645800,348.16
2011-02-14,356.79,364.90,349.52,350.56,17302700,350.56
2011-02-07,347.89,360.00,347.64,356.85,18892300,356.85
2011-01-31,335.80,346.70,334.30,346.50,12703300,346.50
2011-01-24,326.87,345.60,326.72,336.10,17896500,336.10
2011-01-18,329.52,348.60,326.00,326.72,40498200,326.72
2011-01-10,338.83,348.48,337.17,348.48,12863400,348.48
2011-01-03,325.64,336.35,324.84,336.12,11586400,336.12
2010-12-27,322.85,326.66,321.31,322.56,6713400,322.56
2010-12-20,321.60,325.72,318.23,323.60,10098600,323.60
2010-12-13,324.37,325.06,319.00,320.61,13693500,320.61
2010-12-06,318.64,323.99,317.11,320.56,12275200,320.56
2010-11-29,315.50,319.00,310.87,317.44,15816600,317.44
2010-11-22,306.68,317.70,305.87,315.00,13962800,315.00
2010-11-15,308.46,310.54,297.76,306.73,17286000,306.73
2010-11-08,317.20,321.30,303.63,308.03,15761800,308.03
2010-11-01,302.22,320.18,302.20,317.13,16927900,317.13
2010-10-25,309.09,311.60,300.87,300.98,15471100,300.98
2010-10-18,318.47,319.00,300.02,307.47,28368900,307.47
2010-10-11,294.74,315.00,292.49,314.74,21242000,314.74
2010-10-04,281.60,294.50,277.77,294.07,19106700,294.07
2010-09-27,293.98,294.73,275.00,282.52,22207500,282.52
2010-09-20,276.08,293.53,275.85,292.32,23911700,292.32
2010-09-13,265.82,277.96,265.52,275.37,17949100,275.37
2010-09-07,256.64,266.52,256.25,263.41,15135900,263.41
2010-08-30,240.76,258.78,240.35,258.77,17409500,258.77
2010-08-23,251.79,252.00,235.56,241.62,18774000,241.62
2010-08-16,247.58,254.67,246.62,249.64,13512100,249.64
2010-08-09,261.48,262.15,246.12,249.10,16177800,249.10
2010-08-02,260.44,264.28,257.63,260.09,14286200,260.09
2010-07-26,260.00,265.99,254.90,257.25,18695100,257.25
2010-07-19,249.88,265.15,239.60,259.94,31884300,259.94
2010-07-12,258.53,261.85,246.43,249.90,31646900,249.90
2010-07-06,251.00,262.90,246.16,259.62,21796900,259.62
2010-06-28,266.93,269.75,243.20,246.94,29817700,246.94
2010-06-21,277.69,279.01,265.81,266.70,25188700,266.70
2010-06-14,255.96,275.00,254.01,274.07,25922700,274.07
2010-06-07,258.29,259.15,242.20,253.51,29031800,253.51
2010-06-01,259.69,265.94,254.63,255.96,26548500,255.96
2010-05-24,247.28,259.40,237.16,256.88,29534200,256.88
2010-05-17,254.70,258.55,231.35,242.32,36271700,242.32
2010-05-10,250.25,265.00,248.53,253.82,27476200,253.82
