Date,Open,High,Low,Close,Volume,Adj Close
2011-09-22,50.46,50.46,48.61,49.08,7784788,49.08
2011-09-21,53.99,55.20,53.25,53.32,9274900,53.32
2011-09-20,53.26,55.11,52.95,53.99,13188500,53.99
2011-09-19,53.48,54.53,53.19,53.42,8136000,53.42
2011-09-16,53.37,53.77,52.85,53.58,9175300,53.58
2011-09-15,52.40,53.24,51.80,52.87,7724500,52.87
2011-09-14,53.52,53.69,52.51,52.70,7610000,52.70
2011-09-13,53.54,53.89,52.50,53.64,6839600,53.64
2011-09-12,53.65,54.72,52.21,53.33,8838300,53.33
2011-09-09,54.40,55.50,54.17,54.55,7856300,54.55
2011-09-08,55.20,55.95,55.09,55.18,11040700,55.18
2011-09-07,52.66,54.49,52.14,54.48,10007700,54.48
2011-09-06,53.48,54.96,53.01,53.59,13266100,53.59
2011-09-02,52.15,53.98,52.08,52.87,11098800,52.87
2011-09-01,50.71,51.98,50.42,51.67,6360300,51.67
2011-08-31,50.83,51.39,50.02,50.75,9719500,50.75
2011-08-30,50.73,51.21,50.08,50.85,8718100,50.85
2011-08-29,51.11,51.15,49.66,50.21,7169700,50.21
2011-08-26,50.34,51.10,48.93,51.03,8085400,50.91
2011-08-25,48.35,50.36,47.82,49.99,9163100,49.87
2011-08-24,49.97,50.39,48.02,48.99,13220900,48.87
2011-08-23,51.27,51.80,50.06,50.69,11976000,50.57
2011-08-22,51.32,52.78,51.22,52.05,13597900,51.93
2011-08-19,50.50,51.62,50.44,50.78,12060900,50.66
2011-08-18,50.63,50.63,49.64,49.88,10195500,49.76
2011-08-17,50.10,51.03,50.01,50.43,5941700,50.31
2011-08-16,50.54,50.86,49.88,50.17,6155300,50.05
2011-08-15,49.65,50.90,49.11,50.68,8902700,50.56
2011-08-12,49.35,49.92,48.68,49.56,8466100,49.44
2011-08-11,49.26,50.45,47.87,49.87,13326400,49.75
2011-08-10,47.79,50.33,47.07,49.66,17351700,49.54
2011-08-09,46.92,47.81,45.84,47.74,15078000,47.63
2011-08-08,46.26,48.31,45.91,46.14,17595700,46.03
2011-08-05,46.37,47.27,44.59,45.86,12828300,45.75
2011-08-04,49.44,49.48,45.14,46.21,15371700,46.10
2011-08-03,48.96,49.90,48.87,49.12,9929900,49.00
2011-08-02,48.86,49.04,48.00,48.59,9317600,48.48
2011-08-01,48.09,48.90,47.68,48.02,6941300,47.91
2011-07-29,48.28,48.28,47.28,47.57,6135400,47.46
2011-07-28,48.03,48.36,47.25,48.17,10314200,48.06
2011-07-27,50.17,50.37,48.45,48.54,7866600,48.43
2011-07-26,49.96,50.07,49.45,49.79,4341600,49.67
2011-07-25,50.70,51.00,49.68,49.76,8030400,49.64
2011-07-22,49.82,50.38,49.62,50.25,7039000,50.13
2011-07-21,49.62,49.99,49.38,49.58,10357500,49.46
2011-07-20,48.48,49.27,48.02,49.19,8918000,49.07
2011-07-19,49.37,49.39,48.25,48.56,8702600,48.45
2011-07-18,48.75,49.26,48.48,49.03,9031200,48.91
2011-07-15,47.99,48.48,47.92,48.31,5759300,48.20
2011-07-14,49.07,49.10,47.80,47.95,8334400,47.84
2011-07-13,47.76,49.07,47.68,48.53,13395300,48.42
2011-07-12,45.75,47.44,45.60,47.04,8798300,46.93
2011-07-11,46.50,46.66,45.61,45.88,6319800,45.77
2011-07-08,46.60,46.76,46.00,46.24,6194400,46.13
2011-07-07,46.49,47.04,46.14,46.19,8338200,46.08
2011-07-06,46.53,46.67,46.07,46.15,6834600,46.04
2011-07-05,45.89,46.40,45.15,45.98,8058500,45.87
2011-07-01,45.10,45.25,44.25,44.78,4930000,44.67
2011-06-30,45.32,45.40,44.66,45.29,6254600,45.18
2011-06-29,44.51,45.71,44.25,45.08,7683100,44.97
2011-06-28,43.30,44.13,43.07,43.89,6532500,43.79
2011-06-27,42.81,43.36,42.50,43.16,7418400,43.06
2011-06-24,43.98,44.00,42.92,43.04,6200200,42.94
2011-06-23,43.66,44.05,43.10,43.99,8392700,43.89
2011-06-22,44.26,45.65,44.20,44.76,8185900,44.65
2011-06-21,43.53,44.41,43.29,44.19,5812400,44.09
2011-06-20,43.11,43.83,43.09,43.17,5637800,43.07
2011-06-17,43.07,43.67,42.94,43.18,8763600,43.08
2011-06-16,43.90,44.00,42.72,43.08,8096100,42.98
2011-06-15,43.73,44.50,43.32,43.93,7845800,43.83
2011-06-14,43.64,44.23,43.57,43.91,5138000,43.81
2011-06-13,43.39,44.03,43.09,43.39,6279600,43.29
2011-06-10,43.90,44.10,43.35,43.56,8023300,43.46
2011-06-09,44.29,44.97,43.97,44.40,7136000,44.30
2011-06-08,44.81,44.91,43.89,44.32,9716600,44.22
2011-06-07,45.73,45.98,45.25,45.33,4692700,45.22
2011-06-06,46.07,46.55,45.24,45.49,6569600,45.38
2011-06-03,45.97,46.10,45.50,45.83,7652600,45.72
2011-06-02,47.27,47.47,45.69,46.22,9831800,46.11
2011-06-01,48.00,48.22,47.22,47.28,7816300,47.17
2011-05-31,48.10,48.11,47.11,47.76,7266300,47.65
2011-05-27,47.60,47.91,47.17,47.39,5979600,47.28
2011-05-26,47.27,47.41,46.64,47.17,6389100,47.06
2011-05-25,47.12,47.45,46.44,47.12,8432200,46.89
2011-05-24,46.17,46.93,45.89,46.81,9640100,46.58
2011-05-23,45.47,46.21,45.02,45.53,8353900,45.31
2011-05-20,45.52,46.12,44.59,45.60,11316700,45.38
2011-05-19,45.49,45.85,45.12,45.57,6220500,45.35
2011-05-18,45.66,45.74,45.15,45.35,8361500,45.13
2011-05-17,44.96,45.46,44.53,45.24,9694400,45.02
2011-05-16,45.10,45.95,44.77,45.17,10102400,44.95
2011-05-13,45.25,45.46,44.25,45.01,11141500,44.79
2011-05-12,45.26,46.64,44.57,45.15,12361700,44.93
2011-05-11,47.57,47.65,45.01,45.55,16704100,45.33
2011-05-10,48.14,48.14,47.36,47.65,6459900,47.42
2011-05-09,47.42,47.70,47.05,47.67,6201100,47.44
2011-05-06,47.66,47.98,46.55,46.84,9429100,46.61
2011-05-05,47.54,48.03,46.25,46.83,15338000,46.60
2011-05-04,48.84,48.84,47.17,48.11,14648600,47.87
2011-05-03,49.53,49.93,48.11,48.62,11781800,48.38
2011-05-02,50.93,51.00,49.20,49.65,11502800,49.41
2011-04-29,51.32,51.33,50.23,51.01,10885800,50.76
2011-04-28,51.69,51.78,50.69,50.72,13561400,50.47
2011-04-27,50.90,51.17,49.56,50.84,17844300,50.59
2011-04-26,51.67,51.74,49.95,50.19,20000000,49.94
2011-04-25,54.15,54.69,51.78,51.86,25443100,51.61
2011-04-21,55.24,55.74,54.87,55.63,6251900,55.36
2011-04-20,54.79,55.40,54.64,54.81,7578300,54.54
2011-04-19,53.36,54.38,53.16,54.23,7296100,53.96
2011-04-18,53.48,53.82,52.05,53.47,9967400,53.21
2011-04-15,53.40,53.76,53.00,53.33,5558900,53.07
2011-04-14,52.33,53.77,52.15,53.42,7961800,53.16
2011-04-13,52.80,53.18,51.93,52.16,6229300,51.90
2011-04-12,52.56,52.86,51.65,52.34,7047600,52.08
2011-04-11,54.19,54.35,52.55,53.08,7159000,52.82
2011-04-08,54.76,54.88,53.96,54.37,9452700,54.10
2011-04-07,54.02,54.48,53.59,53.77,8473900,53.51
2011-04-06,54.45,54.89,53.62,54.18,9739800,53.91
2011-04-05,51.41,54.36,51.22,54.28,12727100,54.01
2011-04-04,51.59,52.17,51.31,51.39,4272800,51.14
2011-04-01,51.70,52.31,51.23,51.27,6675100,51.02
2011-03-31,52.00,52.37,51.82,51.91,4899000,51.66
2011-03-30,51.27,51.86,50.88,51.55,5640200,51.30
2011-03-29,50.87,51.45,50.42,50.69,4468100,50.44
2011-03-28,51.10,51.82,50.66,50.95,4908700,50.70
2011-03-25,51.60,52.33,51.23,51.51,5350400,51.26
2011-03-24,52.03,52.85,51.43,51.61,9136700,51.36
2011-03-23,50.45,52.13,50.28,52.03,9192600,51.78
2011-03-22,50.26,50.80,49.99,50.22,5717500,49.97
2011-03-21,50.62,50.68,50.00,50.32,6449300,50.07
2011-03-18,48.99,49.86,48.62,49.40,11388800,49.16
2011-03-17,48.89,49.00,48.07,48.46,8115000,48.22
2011-03-16,49.66,50.03,47.90,48.38,10413800,48.14
2011-03-15,48.80,49.73,48.44,49.23,10652500,48.99
2011-03-14,50.56,51.25,50.32,51.00,4233400,50.75
2011-03-11,49.90,51.34,49.80,50.81,5372500,50.56
2011-03-10,50.51,51.22,49.98,50.36,8955700,50.11
2011-03-09,52.48,52.70,51.22,51.67,6078200,51.42
2011-03-08,53.03,53.11,51.79,52.25,7928000,51.99
2011-03-07,53.44,53.58,52.78,52.99,6295000,52.73
2011-03-04,52.70,53.45,52.65,52.83,6121300,52.57
2011-03-03,52.87,53.03,52.03,52.60,8132300,52.34
2011-03-02,53.96,54.26,53.34,53.88,8594900,53.62
2011-03-01,53.48,54.20,53.35,53.77,11798500,53.51
2011-02-28,52.19,52.89,51.91,52.82,6283000,52.56
2011-02-25,51.30,52.00,51.13,51.88,7384500,51.63
2011-02-24,52.83,52.83,50.86,51.07,9379700,50.82
2011-02-23,51.87,53.01,51.61,52.53,10336300,52.15
2011-02-22,52.61,52.87,51.52,51.52,12152100,51.15
2011-02-18,51.06,51.90,50.88,51.40,10363700,51.03
2011-02-17,50.97,51.00,50.23,50.64,10679000,50.28
2011-02-16,49.66,49.82,49.05,49.72,9399900,49.36
2011-02-15,49.10,49.52,49.04,49.19,9306900,48.84
2011-02-14,47.77,48.63,47.72,48.53,8349100,48.18
2011-02-11,47.92,48.48,47.26,47.49,9632500,47.15
2011-02-10,47.60,47.96,47.10,47.72,6976800,47.38
2011-02-09,48.71,48.92,47.69,48.02,7516200,47.68
2011-02-08,48.68,48.86,48.23,48.69,8123100,48.34
2011-02-07,48.36,48.43,47.63,47.83,7869800,47.49
2011-02-04,49.15,49.22,47.92,48.11,7528600,47.77
2011-02-03,47.62,48.87,47.31,48.67,9639100,48.32
2011-02-02,48.31,48.36,47.18,47.53,7530900,47.19
2011-02-01,48.24,48.48,47.39,48.26,12297500,47.91
2011-01-31,47.13,47.59,46.70,47.51,10441100,47.17
2011-01-28,46.28,48.42,46.15,47.30,16273100,46.96
2011-01-27,47.74,47.79,46.26,46.37,11400900,46.04
2011-01-26,46.21,47.84,46.04,47.80,13495000,47.46
2011-01-25,46.05,46.53,45.60,46.13,13583200,45.80
2011-01-24,47.07,47.37,46.12,46.37,7539200,46.04
2011-01-21,47.03,47.61,46.60,46.95,9347600,46.61
2011-01-20,46.89,47.08,45.75,46.98,16180800,46.64
2011-01-19,48.76,48.76,47.48,47.70,7742400,47.36
2011-01-18,47.89,48.27,47.52,48.16,8697600,47.81
2011-01-14,47.23,47.25,46.29,47.08,19764600,46.74
2011-01-13,50.29,50.33,47.30,47.44,14808200,47.10
2011-01-12,50.31,50.35,49.29,50.00,7623000,49.64
2011-01-11,49.89,50.08,49.26,49.97,6762900,49.61
2011-01-10,49.45,49.54,48.71,49.05,6637000,48.70
2011-01-07,49.10,49.96,48.97,49.10,8104900,48.75
2011-01-06,50.17,50.26,48.69,49.26,14156500,48.91
2011-01-05,51.17,51.24,49.89,49.90,16166800,49.54
2011-01-04,52.23,52.42,50.60,51.67,11896300,51.30
2011-01-03,53.92,53.93,52.39,52.59,6088900,52.21
2010-12-31,52.86,53.46,52.60,53.18,3579200,52.80
2010-12-30,53.13,53.26,52.45,52.60,2943700,52.22
2010-12-29,53.32,53.38,52.67,53.08,4044000,52.70
2010-12-28,52.55,53.20,52.18,52.96,4241700,52.58
2010-12-27,51.60,51.72,50.96,51.60,2007800,51.23
2010-12-23,51.07,51.97,50.70,51.63,3681200,51.26
2010-12-22,51.80,51.80,51.17,51.22,3383200,50.85
2010-12-21,51.98,52.01,51.38,51.68,3586800,51.31
2010-12-20,52.03,52.28,51.62,51.89,3829900,51.52
2010-12-17,51.95,52.00,50.65,51.63,7569000,51.26
2010-12-16,52.07,52.22,50.72,51.63,10810400,51.26
2010-12-15,52.62,53.20,52.29,52.53,7217300,52.15
2010-12-14,54.01,54.04,52.86,53.15,6972700,52.77
2010-12-13,54.15,54.47,53.59,53.88,6249300,53.49
2010-12-10,53.04,53.67,52.66,53.30,6270300,52.92
2010-12-09,53.74,53.74,52.84,53.38,5995400,53.00
2010-12-08,53.55,54.14,52.67,52.95,10762400,52.57
2010-12-07,55.54,55.72,53.91,54.16,9491700,53.77
2010-12-06,54.33,54.98,54.02,54.83,10005100,54.44
2010-12-03,53.80,55.38,53.78,54.00,12022000,53.61
2010-12-02,52.78,53.77,52.78,53.29,9217400,52.91
2010-12-01,52.09,52.59,51.57,52.44,7351900,52.06
