Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,53.48,55.20,52.95,53.32,10199800,53.32
2011-09-12,53.65,54.72,51.80,53.58,8037500,53.58
2011-09-06,53.48,55.95,52.14,54.55,10542700,54.55
2011-08-29,51.11,53.98,49.66,52.87,8613200,52.87
2011-08-22,51.32,52.78,47.82,51.03,11208600,50.91
2011-08-15,49.65,51.62,49.11,50.78,8651200,50.66
2011-08-08,46.26,50.45,45.84,49.56,14363500,49.44
2011-08-01,48.09,49.90,44.59,45.86,10877700,45.75
2011-07-25,50.70,51.00,47.25,47.57,7337600,47.46
2011-07-18,48.75,50.38,48.02,50.25,8809600,50.13
2011-07-11,46.50,49.10,45.60,48.31,8521400,48.20
2011-07-05,45.89,47.04,45.15,46.24,7356400,46.13
2011-06-27,42.81,45.71,42.50,44.78,6563700,44.67
2011-06-20,43.11,45.65,42.92,43.04,6845800,42.94
2011-06-13,43.39,44.50,42.72,43.18,7224600,43.08
2011-06-06,46.07,46.55,43.35,43.56,7227600,43.46
2011-05-31,48.10,48.22,45.50,45.83,8141700,45.72
2011-05-23,45.47,47.91,45.02,47.39,7758900,47.28
2011-05-16,45.10,46.12,44.53,45.60,9139100,45.38
2011-05-09,47.42,48.14,44.25,45.01,10573600,44.79
2011-05-02,50.93,51.00,46.25,46.84,12540000,46.61
2011-04-25,54.15,54.69,49.56,51.01,17546900,50.76
2011-04-18,53.48,55.74,52.05,55.63,7773400,55.36
2011-04-11,54.19,54.35,51.65,53.33,6791300,53.07
2011-04-04,51.59,54.89,51.22,54.37,8933200,54.10
2011-03-28,51.10,52.37,50.42,51.27,5318200,51.02
2011-03-21,50.62,52.85,49.99,51.51,7169300,51.26
2011-03-14,50.56,51.25,47.90,49.40,8960700,49.16
2011-03-07,53.44,53.58,49.80,50.81,6925800,50.56
2011-02-28,52.19,54.26,51.91,52.83,8186000,52.57
2011-02-22,52.61,53.01,50.86,51.88,9813100,51.63
2011-02-14,47.77,51.90,47.72,51.40,9619700,51.03
2011-02-07,48.36,48.92,47.10,47.49,8023600,47.15
2011-01-31,47.13,49.22,46.70,48.11,9487400,47.77
2011-01-24,47.07,48.42,45.60,47.30,12458200,46.96
2011-01-18,47.89,48.76,45.75,46.95,10492100,46.61
2011-01-10,49.45,50.35,46.29,47.08,11119100,46.74
2011-01-03,53.92,53.93,48.69,49.10,11282600,48.75
2010-12-27,51.60,53.46,50.96,53.18,3363200,52.80
2010-12-20,52.03,52.28,50.70,51.63,3620200,51.26
2010-12-13,54.15,54.47,50.65,51.63,7763700,51.26
2010-12-06,54.33,55.72,52.66,53.30,8504900,52.92
