Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,24.32,26.18,24.24,25.52,7471100,25.52
2011-09-06,23.46,25.34,23.20,24.64,6582500,24.64
2011-08-29,24.96,25.87,23.77,24.15,5052300,24.15
2011-08-22,23.19,24.75,22.84,24.54,5884200,24.54
2011-08-15,24.16,25.15,22.67,22.69,7048400,22.69
2011-08-08,24.77,25.21,22.67,24.10,12066200,24.10
2011-08-01,27.95,28.04,25.16,25.62,8525800,25.62
2011-07-25,29.56,29.85,27.63,27.71,6001000,27.71
2011-07-18,29.18,30.03,28.34,29.72,5242300,29.72
2011-07-11,31.18,31.33,29.02,29.29,5412100,29.29
2011-07-05,31.42,32.35,31.12,31.54,4079100,31.54
2011-06-27,29.84,31.65,29.82,31.53,5462300,31.53
2011-06-20,30.27,32.03,29.63,29.97,11503400,29.97
2011-06-13,31.67,32.52,30.43,30.47,6037700,30.47
2011-06-06,33.20,33.41,31.58,31.67,4086400,31.67
2011-05-31,34.61,34.84,33.26,33.27,4362300,33.27
2011-05-23,34.72,34.81,33.94,34.29,3240600,34.29
2011-05-16,35.13,35.67,34.21,35.31,3787400,35.31
2011-05-09,33.34,35.99,33.24,35.33,5695800,35.33
2011-05-02,33.68,33.95,32.75,33.40,3751200,33.40
2011-04-25,33.58,34.14,32.91,33.55,5320600,33.55
2011-04-18,34.07,34.14,33.29,33.48,6647100,33.48
2011-04-11,34.20,34.73,33.79,34.51,5450000,34.51
2011-04-04,34.26,34.68,33.81,34.15,5267500,34.15
2011-03-28,32.81,34.64,32.27,34.16,7792800,34.16
2011-03-21,32.31,33.04,30.76,32.64,11075200,32.64
2011-03-14,34.22,34.45,31.53,31.99,7295400,31.99
2011-03-07,35.45,35.66,33.96,34.61,4509600,34.61
2011-02-28,34.68,35.50,33.67,35.27,4512200,35.27
2011-02-22,34.93,35.13,32.93,34.63,5217300,34.63
2011-02-14,33.70,35.84,33.47,35.39,4959000,35.39
2011-02-07,33.48,33.69,32.72,33.67,3441200,33.67
2011-01-31,32.60,33.99,32.57,33.36,4550600,33.36
2011-01-24,33.36,34.13,32.34,32.49,6535700,32.49
2011-01-18,33.55,34.30,32.68,33.27,6466900,33.27
2011-01-10,32.30,33.92,31.95,33.79,7633900,33.79
2011-01-03,30.83,32.29,30.79,32.04,6897300,32.04
