Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,46.08,46.79,45.58,45.88,564486,45.88
2011-09-09,46.50,47.30,46.38,47.13,2159900,47.13
2011-09-08,46.90,47.12,46.46,46.69,2150200,46.69
2011-09-07,45.32,46.28,44.91,46.26,2212700,46.26
2011-09-06,45.17,46.37,44.89,46.02,3219300,46.02
2011-09-02,45.53,45.95,45.20,45.51,2243800,45.51
2011-09-01,45.18,45.93,44.69,45.57,2398600,45.57
2011-08-31,44.89,45.22,44.30,44.86,1969600,44.86
2011-08-30,45.05,45.19,44.45,44.76,2038900,44.63
2011-08-29,45.12,45.25,44.20,44.37,2007600,44.24
2011-08-26,44.28,44.89,43.15,44.85,1514100,44.72
2011-08-25,43.36,44.88,42.82,44.53,1612900,44.40
2011-08-24,44.30,44.59,42.75,43.52,3677900,43.39
2011-08-23,45.05,45.24,43.64,44.00,2480000,43.87
2011-08-22,45.81,47.25,45.75,46.18,3188300,46.05
2011-08-19,45.03,46.00,45.03,45.84,2152100,45.71
2011-08-18,46.10,46.21,44.38,44.76,1303400,44.63
2011-08-17,45.96,46.63,45.79,46.19,2412500,46.06
2011-08-16,45.38,45.92,45.11,45.44,1127500,45.31
2011-08-15,43.93,45.56,43.61,45.47,1457800,45.34
2011-08-12,44.48,44.84,43.61,43.82,1893300,43.69
2011-08-11,44.24,46.24,43.84,45.80,3345800,45.67
2011-08-10,43.84,45.26,43.64,44.33,5454300,44.20
2011-08-09,42.49,42.98,41.02,42.86,3103300,42.74
2011-08-08,43.47,43.73,41.81,42.01,3897900,41.89
2011-08-05,43.11,43.66,40.58,41.81,2384300,41.69
2011-08-04,44.19,44.19,41.63,42.07,2851900,41.95
2011-08-03,43.72,44.55,43.64,43.83,2814000,43.70
2011-08-02,42.57,43.68,42.46,43.29,2720100,43.16
2011-08-01,41.88,42.62,41.78,42.27,1402600,42.15
2011-07-29,42.04,42.11,41.51,41.94,1749400,41.82
2011-07-28,42.21,42.35,41.65,42.16,1933800,42.04
2011-07-27,44.18,44.23,42.58,42.80,1993900,42.68
2011-07-26,44.01,44.03,43.55,43.62,1989300,43.49
2011-07-25,45.11,45.28,43.69,43.83,2089300,43.70
2011-07-22,44.32,44.64,44.04,44.47,1158700,44.34
2011-07-21,44.45,44.52,43.89,44.35,1360100,44.22
2011-07-20,43.90,44.69,43.86,44.26,1619900,44.13
2011-07-19,45.58,45.63,44.20,44.41,1900400,44.28
2011-07-18,44.80,45.33,44.66,45.24,2619900,45.11
2011-07-15,43.98,44.28,43.72,43.86,1653400,43.73
2011-07-14,44.48,44.48,43.46,43.77,2574900,43.64
2011-07-13,43.17,44.25,42.83,43.78,2742900,43.65
2011-07-12,41.53,43.01,41.44,42.71,2332700,42.59
2011-07-11,42.29,42.54,41.44,41.52,1281600,41.40
2011-07-08,42.81,43.00,42.12,42.36,903700,42.24
2011-07-07,42.91,43.11,42.71,42.79,2122800,42.67
2011-07-06,42.33,42.92,41.97,42.48,1356900,42.36
2011-07-05,41.57,42.01,41.38,41.82,1610600,41.70
2011-07-01,41.64,41.67,40.79,41.18,1280700,41.06
2011-06-30,42.20,42.42,41.73,42.09,919300,41.97
2011-06-29,41.40,42.54,41.17,41.89,1501300,41.77
2011-06-28,40.59,41.39,40.30,41.26,1364500,41.14
2011-06-27,40.02,40.47,39.70,39.91,1817800,39.79
2011-06-24,41.04,41.15,40.04,40.12,1977800,40.00
2011-06-23,41.72,41.82,40.28,41.46,2432100,41.34
2011-06-22,42.32,43.61,42.26,42.67,2046100,42.55
2011-06-21,42.29,43.10,42.29,42.85,981000,42.73
2011-06-20,42.48,43.02,42.05,42.12,1215000,42.00
2011-06-17,41.99,42.59,41.62,42.10,2783100,41.98
2011-06-16,42.80,43.07,41.50,41.97,1589500,41.85
2011-06-15,42.75,43.52,42.26,42.79,1289200,42.67
2011-06-14,42.65,43.48,42.52,43.20,855800,43.07
2011-06-13,42.51,43.14,42.23,42.51,1028000,42.39
2011-06-10,43.30,43.45,42.56,42.93,1249100,42.81
2011-06-09,43.42,44.32,43.26,43.84,1279800,43.71
2011-06-08,43.26,43.62,42.56,43.08,2130000,42.95
2011-06-07,44.57,44.66,43.82,43.87,2606000,43.74
2011-06-06,45.18,45.36,43.44,43.73,2114500,43.60
2011-06-03,45.03,45.70,44.78,45.44,2282700,45.31
2011-06-02,45.64,45.72,44.33,45.00,1318600,44.87
2011-06-01,46.03,46.05,45.13,45.21,2132700,45.08
2011-05-31,46.29,46.30,45.38,45.96,1357600,45.83
2011-05-27,45.27,45.57,44.98,45.50,1284800,45.37
2011-05-26,44.93,45.00,44.19,44.55,1918600,44.42
2011-05-25,45.01,45.29,44.52,45.01,2680100,44.88
2011-05-24,44.81,45.43,44.68,45.22,1355300,45.09
2011-05-23,44.56,45.04,44.23,44.50,2108700,44.37
2011-05-20,45.54,46.41,44.97,45.80,1684400,45.67
2011-05-19,45.13,45.85,45.05,45.61,1772900,45.48
2011-05-18,45.22,45.75,45.08,45.21,1185200,45.08
2011-05-17,44.20,45.32,44.01,45.13,3139700,45.00
2011-05-16,44.02,44.66,43.74,44.34,3902000,44.21
2011-05-13,44.20,44.83,43.29,43.61,2799700,43.48
2011-05-12,44.17,44.92,43.77,44.46,3577600,44.33
2011-05-11,46.42,46.43,44.55,44.84,3885400,44.71
2011-05-10,45.68,46.11,45.47,45.48,1839100,45.35
2011-05-09,45.84,46.46,45.37,46.41,1675000,46.28
2011-05-06,46.34,46.89,45.51,45.65,1612700,45.52
2011-05-05,46.72,47.09,45.05,45.77,3126100,45.64
2011-05-04,48.05,48.27,46.68,47.99,2718700,47.85
2011-05-03,49.89,50.32,47.51,48.18,2204400,48.04
2011-05-02,50.66,51.69,49.93,50.39,1413500,50.24
2011-04-29,49.98,51.28,49.73,50.98,1214800,50.83
2011-04-28,49.34,50.20,49.18,49.37,1388800,49.23
2011-04-27,49.84,49.89,48.85,49.87,2220300,49.73
2011-04-26,49.97,49.98,49.17,49.38,1000000,49.24
2011-04-25,50.41,50.42,49.30,49.63,927000,49.49
2011-04-21,49.93,50.34,49.72,49.98,1015800,49.83
2011-04-20,49.61,50.31,49.53,49.74,981400,49.60
2011-04-19,48.45,49.02,48.09,49.02,1002700,48.88
2011-04-18,49.03,49.21,47.67,48.50,1708400,48.36
2011-04-15,48.79,49.33,48.43,49.30,1060400,49.16
2011-04-14,48.62,49.67,48.54,49.26,1210000,49.12
2011-04-13,49.38,49.47,48.40,48.91,1039500,48.77
2011-04-12,49.08,49.47,48.53,48.93,1706600,48.79
2011-04-11,50.18,50.60,48.81,49.25,1828000,49.11
2011-04-08,50.66,51.15,50.23,51.09,1664700,50.94
2011-04-07,49.97,50.39,48.99,49.48,1682800,49.34
2011-04-06,50.51,50.77,50.00,50.54,2579600,50.39
2011-04-05,48.73,50.57,48.58,50.32,3444400,50.17
2011-04-04,49.11,49.28,48.41,48.66,762200,48.52
2011-04-01,48.78,49.27,48.27,48.85,2001100,48.71
2011-03-31,47.60,48.20,47.41,47.95,1665800,47.81
2011-03-30,46.89,47.63,46.77,47.33,1557200,47.19
2011-03-29,46.38,46.75,45.94,46.02,1362400,45.89
2011-03-28,46.33,46.61,45.99,46.06,1171000,45.93
2011-03-25,46.44,47.09,46.03,46.65,1039200,46.51
2011-03-24,47.05,47.43,46.24,46.51,1523300,46.37
2011-03-23,45.39,46.66,45.29,46.45,1124500,46.32
2011-03-22,44.94,45.49,44.61,45.23,945300,45.10
2011-03-21,45.03,45.49,44.70,45.01,827700,44.88
2011-03-18,44.71,45.04,44.12,44.24,1942100,44.11
2011-03-17,44.21,44.31,43.40,44.04,1648500,43.91
2011-03-16,45.54,45.84,43.52,43.78,2504900,43.65
2011-03-15,44.45,46.31,44.26,46.06,1718500,45.93
2011-03-14,46.74,47.07,46.41,47.04,796500,46.90
2011-03-11,46.11,47.37,45.90,47.04,1120900,46.90
2011-03-10,45.79,46.29,45.16,45.48,1734300,45.35
2011-03-09,47.87,47.87,47.00,47.50,1206500,47.36
2011-03-08,47.31,47.88,47.13,47.62,1097400,47.37
2011-03-07,48.52,48.52,47.45,47.62,2606500,47.37
2011-03-04,48.48,48.77,47.45,47.85,3054300,47.60
2011-03-03,49.45,49.99,48.86,49.30,1476100,49.04
2011-03-02,49.39,49.85,48.82,49.80,1439200,49.54
2011-03-01,49.09,49.29,48.86,49.05,1768800,48.80
2011-02-28,48.62,49.17,48.55,48.84,1654400,48.59
2011-02-25,48.42,48.70,48.10,48.50,1155400,48.25
2011-02-24,49.20,49.20,48.16,48.24,1753400,47.99
2011-02-23,48.67,49.31,48.20,48.58,1723400,48.33
2011-02-22,48.64,48.97,47.84,47.88,2421800,47.63
2011-02-18,47.30,48.13,47.17,47.55,1606800,47.30
2011-02-17,46.71,47.53,46.25,47.30,1600000,47.05
2011-02-16,46.13,46.46,45.70,46.26,1365200,46.02
2011-02-15,45.48,46.15,45.47,45.91,1411300,45.67
2011-02-14,44.97,45.50,44.91,45.07,1044600,44.84
2011-02-11,44.85,45.29,44.49,44.78,1493000,44.55
2011-02-10,44.89,45.07,44.36,44.73,2157800,44.50
2011-02-09,45.97,46.18,45.17,45.47,1452500,45.23
2011-02-08,45.44,46.58,45.13,46.37,3086100,46.13
2011-02-07,45.15,45.50,44.69,44.98,1267700,44.75
2011-02-04,45.37,45.55,44.54,44.73,1302900,44.50
2011-02-03,44.20,45.53,43.89,45.41,1910900,45.17
2011-02-02,44.54,44.75,43.91,44.23,1628300,44.00
2011-02-01,43.46,44.65,43.21,44.58,3283600,44.35
2011-01-31,42.75,43.19,42.47,43.04,2259600,42.82
2011-01-28,43.09,44.24,42.99,43.13,2925400,42.91
2011-01-27,44.20,44.36,43.15,43.72,2264300,43.49
2011-01-26,43.33,44.70,43.22,44.67,2889000,44.44
2011-01-25,43.42,43.98,42.94,43.36,3324000,43.14
2011-01-24,44.48,44.86,44.11,44.36,3540400,44.13
2011-01-21,44.39,44.96,43.97,44.44,3446900,44.21
2011-01-20,43.73,44.93,43.66,44.61,3233800,44.38
2011-01-19,45.09,45.29,44.35,44.70,1662600,44.47
2011-01-18,44.58,45.21,44.52,45.10,3097200,44.87
2011-01-14,43.95,44.68,43.83,44.67,3410600,44.44
2011-01-13,45.80,45.82,44.26,44.37,3813100,44.14
2011-01-12,45.18,45.72,44.94,45.56,1663400,45.32
2011-01-11,45.31,45.57,44.90,45.18,3087500,44.95
2011-01-10,44.82,44.87,43.98,44.82,2719000,44.59
2011-01-07,44.66,45.52,44.17,44.82,3117900,44.59
2011-01-06,46.40,46.63,44.53,44.80,5969000,44.57
2011-01-05,46.43,47.03,46.16,46.88,1456600,46.64
2011-01-04,47.62,47.73,46.39,46.88,2181000,46.64
2011-01-03,49.49,49.59,48.19,48.55,1608900,48.30
2010-12-31,49.01,49.47,48.98,49.23,551900,48.97
2010-12-30,49.56,49.63,48.18,48.77,965500,48.52
2010-12-29,49.68,49.70,48.99,49.36,830500,49.10
2010-12-28,48.73,49.67,48.48,49.54,1101300,49.28
2010-12-27,48.29,48.37,47.29,48.03,546300,47.78
2010-12-23,47.60,48.26,47.55,48.01,921800,47.76
2010-12-22,47.65,48.12,47.47,47.57,1008800,47.32
2010-12-21,48.33,48.56,47.68,47.88,1193100,47.63
2010-12-20,49.02,49.09,47.97,48.25,1691100,48.00
2010-12-17,48.47,48.47,47.77,48.23,1908500,47.98
2010-12-16,49.05,49.06,47.26,47.92,2899900,47.67
2010-12-15,50.22,50.75,49.01,49.23,2034100,48.97
2010-12-14,50.21,50.76,50.00,50.54,1305300,50.28
2010-12-13,49.55,49.99,49.33,49.53,913400,49.27
2010-12-10,48.52,49.07,47.96,48.79,1285000,48.54
2010-12-09,48.51,48.59,47.78,48.37,888800,48.12
2010-12-08,48.69,49.04,47.77,48.06,1328100,47.81
2010-12-07,50.06,50.15,48.78,48.78,1445900,48.53
2010-12-06,49.52,49.90,49.05,49.60,2013500,49.34
2010-12-03,48.79,49.94,48.63,49.87,2115600,49.61
2010-12-02,47.84,48.81,47.78,48.44,1221100,48.19
2010-12-01,47.07,47.32,46.57,47.32,1216300,47.07
2010-11-30,46.25,47.04,46.06,46.83,1581000,46.59
2010-11-29,46.50,46.95,45.88,46.87,973100,46.63
2010-11-26,46.23,46.69,46.11,46.56,942700,46.32
2010-11-24,47.44,47.54,46.67,46.97,807300,46.73
2010-11-23,47.72,48.04,46.83,46.96,1290300,46.72
2010-11-22,47.66,48.15,46.82,48.00,1218700,47.75
2010-11-19,47.56,48.13,47.29,47.58,1226300,47.33
2010-11-18,47.93,48.33,47.61,47.74,1440700,47.49
2010-11-17,47.45,48.06,47.05,47.31,1235400,47.06
2010-11-16,48.23,48.34,46.68,47.02,2410300,46.78
2010-11-15,49.54,49.82,48.68,48.69,1563000,48.44
2010-11-12,50.46,50.54,49.01,49.10,2957100,48.85
2010-11-11,52.70,52.86,49.91,50.84,4683700,50.58
2010-11-10,50.83,51.56,50.10,51.21,3837800,50.94
2010-11-09,50.97,52.23,48.48,48.81,3356100,48.56
2010-11-08,49.12,49.94,48.97,49.93,1796100,49.67
2010-11-05,49.23,49.83,48.63,49.31,1537500,49.05
2010-11-04,48.27,49.22,48.05,49.17,1743900,48.91
2010-11-03,47.14,47.24,45.99,46.59,1816400,46.35
2010-11-02,47.00,47.16,46.56,46.97,1152300,46.73
2010-11-01,46.49,47.04,46.34,46.76,782700,46.52
2010-10-29,46.72,47.18,46.47,47.11,970900,46.87
2010-10-28,45.74,46.56,45.48,46.44,1543500,46.20
2010-10-27,45.59,45.67,44.22,45.13,1595200,44.90
2010-10-26,46.08,46.50,45.67,46.11,1707700,45.87
2010-10-25,46.41,46.93,46.38,46.50,1462300,46.26
2010-10-22,45.35,45.92,45.13,45.89,1190300,45.65
2010-10-21,46.31,46.55,45.02,45.51,1411800,45.27
2010-10-20,45.84,46.66,45.74,46.12,1387200,45.88
2010-10-19,45.52,46.08,45.00,45.25,2745900,45.02
2010-10-18,46.82,47.35,46.70,47.02,1171700,46.78
2010-10-15,47.18,47.53,46.65,47.29,1740500,47.04
2010-10-14,47.53,47.95,47.23,47.45,2017700,47.20
2010-10-13,46.68,48.16,46.67,48.12,4538900,47.87
2010-10-12,46.41,46.91,45.84,46.80,1784700,46.56
2010-10-11,46.80,47.01,46.24,46.80,1082700,46.56
2010-10-08,46.48,47.09,46.41,46.99,1604900,46.75
2010-10-07,47.34,47.44,45.85,46.50,2667100,46.26
2010-10-06,46.79,47.64,46.62,47.52,2631500,47.27
2010-10-05,46.83,47.46,46.83,47.00,3198500,46.76
2010-10-04,46.36,46.66,45.75,46.14,1505500,45.90
2010-10-01,46.51,47.32,46.45,47.06,1975200,46.82
2010-09-30,46.29,46.37,45.40,46.24,1926900,46.00
2010-09-29,46.41,46.61,45.93,46.50,1869000,46.26
2010-09-28,45.51,46.84,45.10,46.80,3542200,46.56
2010-09-27,45.52,45.52,45.12,45.12,1275600,44.89
2010-09-24,46.18,46.25,45.00,45.24,2482400,45.01
2010-09-23,45.70,46.36,45.23,45.85,2915000,45.61
2010-09-22,45.34,45.90,44.99,45.86,3535000,45.62
2010-09-21,44.26,44.79,43.59,44.67,3126300,44.44
2010-09-20,44.10,44.48,43.86,44.07,3223700,43.84
2010-09-17,44.85,44.85,43.15,43.61,5639700,43.38
2010-09-16,45.05,45.10,44.65,44.83,5676600,44.60
2010-09-15,44.35,44.92,43.80,44.50,14119300,44.27
2010-09-14,45.23,47.75,45.15,46.72,4790400,46.48
2010-09-13,44.83,44.97,44.48,44.59,1334900,44.36
2010-09-10,43.76,44.74,43.60,44.29,873700,44.06
2010-09-09,44.53,44.62,43.48,43.85,1188400,43.62
2010-09-08,44.57,44.75,43.97,43.97,1105700,43.74
2010-09-07,44.15,44.55,43.80,44.39,1554800,44.16
2010-09-03,43.37,44.00,43.01,43.95,1338700,43.72
2010-09-02,42.99,43.85,42.61,43.85,1952800,43.62
2010-09-01,42.88,42.88,41.94,42.01,2208800,41.79
2010-08-31,42.57,43.03,42.08,42.29,2323300,41.98
2010-08-30,42.51,42.90,42.42,42.46,1399900,42.15
2010-08-27,42.44,42.77,41.81,42.68,2983400,42.37
2010-08-26,42.82,43.35,42.62,42.84,1404000,42.53
2010-08-25,42.05,42.90,41.89,42.82,2597800,42.51
2010-08-24,42.18,42.80,41.87,42.30,1886500,41.99
2010-08-23,43.37,43.60,43.19,43.24,856900,42.92
2010-08-20,43.21,43.91,43.17,43.85,1617300,43.53
2010-08-19,43.97,44.20,43.59,44.07,1371900,43.75
2010-08-18,43.31,44.56,43.14,44.20,1852100,43.88
2010-08-17,43.73,44.13,43.54,43.98,1349500,43.66
2010-08-16,43.00,44.08,43.00,43.97,1489500,43.65
2010-08-13,42.99,43.29,42.50,42.91,1067400,42.60
2010-08-12,43.11,43.47,42.91,43.41,1560100,43.09
2010-08-11,43.07,43.12,42.47,42.74,1580600,42.43
2010-08-10,42.45,43.44,42.28,43.14,1530000,42.82
2010-08-09,42.79,43.15,42.59,43.15,801100,42.83
2010-08-06,42.57,43.09,42.57,43.09,1357300,42.78
2010-08-05,42.28,42.50,41.94,42.42,1288900,42.11
2010-08-04,41.87,42.12,41.64,42.08,2179800,41.77
2010-08-03,40.81,41.43,40.71,41.11,2162700,40.81
2010-08-02,41.15,41.21,39.84,40.12,1228800,39.83
2010-07-30,40.10,40.53,39.90,40.52,2267100,40.22
2010-07-29,39.38,39.96,39.33,39.58,1400500,39.29
2010-07-28,39.36,39.80,39.09,39.71,1131700,39.42
2010-07-27,40.19,40.19,39.14,39.45,2048100,39.16
2010-07-26,40.50,40.50,39.88,40.08,1318000,39.79
2010-07-23,40.09,40.32,39.60,39.95,1271000,39.66
2010-07-22,40.04,40.64,39.71,40.02,1851100,39.73
2010-07-21,39.89,40.05,39.07,39.29,1583300,39.00
2010-07-20,38.55,39.54,38.55,39.53,1297400,39.24
2010-07-19,39.87,39.93,38.68,39.10,2822900,38.81
2010-07-16,40.80,40.80,40.20,40.41,1475700,40.11
2010-07-15,41.73,41.73,40.82,41.34,869700,41.04
2010-07-14,41.47,41.87,41.14,41.42,870300,41.12
2010-07-13,42.13,42.13,41.32,41.37,1391400,41.07
2010-07-12,41.07,41.44,40.70,41.05,963500,40.75
2010-07-09,40.77,41.25,40.74,40.96,1132900,40.66
2010-07-08,41.37,41.37,40.23,40.67,1402300,40.37
2010-07-07,41.17,41.18,40.26,40.95,3202100,40.65
2010-07-06,41.26,41.26,40.24,40.45,1375600,40.15
2010-07-02,41.27,41.60,40.51,40.75,2003900,40.45
2010-07-01,42.47,42.58,40.12,40.52,3665000,40.22
2010-06-30,42.89,43.65,42.80,43.18,972400,42.86
2010-06-29,43.32,43.69,42.94,43.21,1373000,42.89
2010-06-28,44.35,44.90,43.47,43.69,1601400,43.37
2010-06-25,44.16,44.80,43.99,44.35,1222900,44.03
2010-06-24,43.24,44.37,43.22,43.87,1605200,43.55
2010-06-23,44.05,44.14,43.14,43.94,1666600,43.62
2010-06-22,44.16,44.43,43.60,43.68,1200200,43.36
2010-06-21,44.87,44.99,43.42,43.76,1826800,43.44
2010-06-18,45.06,45.28,44.71,44.79,2076100,44.46
2010-06-17,44.31,44.95,44.18,44.80,1932800,44.47
2010-06-16,42.84,43.95,42.84,43.66,1037800,43.34
2010-06-15,42.95,43.64,42.78,43.58,1699400,43.26
2010-06-14,42.77,43.06,42.26,42.26,1452000,41.95
2010-06-11,42.03,42.40,41.90,42.28,941900,41.97
2010-06-10,42.03,42.60,41.90,42.45,1514500,42.14
2010-06-09,42.19,42.55,41.71,42.11,2087400,41.80
2010-06-08,42.51,43.12,41.92,42.39,2908800,42.08
2010-06-07,41.49,43.55,41.38,43.04,2800000,42.73
2010-06-04,41.42,42.53,41.12,41.67,2212600,41.37
