Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,45.17,47.30,44.89,47.13,2435500,47.13
2011-08-29,45.12,45.95,44.20,45.51,2131700,45.51
2011-08-22,45.81,47.25,42.75,44.85,2494600,44.72
2011-08-15,43.93,46.63,43.61,45.84,1690600,45.71
2011-08-08,43.47,46.24,41.02,43.82,3538900,43.69
2011-08-01,41.88,44.55,40.58,41.81,2434500,41.69
2011-07-25,45.11,45.28,41.51,41.94,1951100,41.82
2011-07-18,44.80,45.63,43.86,44.47,1731800,44.34
2011-07-11,42.29,44.48,41.44,43.86,2117100,43.73
2011-07-05,41.57,43.11,41.38,42.36,1498500,42.24
2011-06-27,40.02,42.54,39.70,41.18,1376700,41.06
2011-06-20,42.48,43.61,40.04,40.12,1730400,40.00
2011-06-13,42.51,43.52,41.50,42.10,1509100,41.98
2011-06-06,45.18,45.36,42.56,42.93,1875800,42.81
2011-05-31,46.29,46.30,44.33,45.44,1772900,45.31
2011-05-23,44.56,45.57,44.19,45.50,1869500,45.37
2011-05-16,44.02,46.41,43.74,45.80,2336800,45.67
2011-05-09,45.84,46.46,43.29,43.61,2755300,43.48
2011-05-02,50.66,51.69,45.05,45.65,2215000,45.52
2011-04-25,50.41,51.28,48.85,50.98,1350100,50.83
2011-04-18,49.03,50.34,47.67,49.98,1177000,49.83
2011-04-11,50.18,50.60,48.40,49.30,1368900,49.16
2011-04-04,49.11,51.15,48.41,51.09,2026700,50.94
2011-03-28,46.33,49.27,45.94,48.85,1551500,48.71
2011-03-21,45.03,47.43,44.61,46.65,1092000,46.51
2011-03-14,46.74,47.07,43.40,44.24,1722100,44.11
2011-03-07,48.52,48.52,45.16,47.04,1553100,46.90
2011-02-28,48.62,49.99,47.45,47.85,1878500,47.60
2011-02-22,48.64,49.31,47.84,48.50,1763500,48.25
2011-02-14,44.97,48.13,44.91,47.55,1405500,47.30
2011-02-07,45.15,46.58,44.36,44.78,1891400,44.55
2011-01-31,42.75,45.55,42.47,44.73,2077000,44.50
2011-01-24,44.48,44.86,42.94,43.13,2988600,42.91
2011-01-18,44.58,45.29,43.66,44.44,2860100,44.21
2011-01-10,44.82,45.82,43.83,44.67,2938700,44.44
2011-01-03,49.49,49.59,44.17,44.82,2866600,44.59
2010-12-27,48.29,49.70,47.29,49.23,799100,48.97
2010-12-20,49.02,49.09,47.47,48.01,1203700,47.76
2010-12-13,49.55,50.76,47.26,48.23,1812200,47.98
