Date,Open,High,Low,Close,Volume,Adj Close
2011-09-16,327.7,332.93,326.69,331.25,1198378,331.25
2011-09-15,325.78,327.00,324.00,325.77,337700,325.77
2011-09-14,320.50,326.47,317.66,324.38,449800,324.38
2011-09-13,316.49,320.49,312.38,319.48,475400,319.48
2011-09-12,312.97,316.44,311.14,316.18,414500,316.18
2011-09-09,315.15,318.79,312.12,314.49,333400,314.49
2011-09-08,315.96,318.30,315.00,316.10,357000,316.10
2011-09-07,314.50,317.86,314.25,316.67,343000,316.67
2011-09-06,306.00,314.00,304.95,313.83,485600,313.83
2011-09-02,308.45,312.17,307.87,310.85,373800,310.85
2011-09-01,304.31,312.75,304.31,312.05,427100,312.05
2011-08-31,310.24,310.87,304.84,307.00,321600,307.00
2011-08-30,307.63,310.00,305.23,308.53,431800,308.53
2011-08-29,304.53,307.69,303.00,307.14,294100,307.14
2011-08-26,297.96,302.76,295.31,301.30,245700,301.30
2011-08-25,302.95,306.00,297.43,298.43,300300,298.43
2011-08-24,297.54,304.34,297.50,304.10,533600,304.10
2011-08-23,296.99,300.00,294.18,299.31,399000,299.31
2011-08-22,297.69,297.69,290.59,295.70,550900,295.70
2011-08-19,285.95,294.00,285.95,291.42,572500,291.42
2011-08-18,284.34,289.19,279.93,289.16,621200,289.16
2011-08-17,289.66,290.48,284.98,288.48,205100,288.48
2011-08-16,285.55,289.66,284.11,288.27,252700,288.27
2011-08-15,289.21,289.21,282.75,287.40,294000,287.40
2011-08-12,286.35,288.94,283.05,287.61,625400,287.61
2011-08-11,278.00,284.04,278.00,281.89,737400,281.89
2011-08-10,277.86,281.90,274.40,274.82,716900,274.82
2011-08-09,269.54,280.44,269.17,280.10,686600,280.10
2011-08-08,275.10,278.62,266.25,268.51,663100,268.51
2011-08-05,275.26,280.67,270.24,278.74,663200,278.74
2011-08-04,279.59,281.46,273.09,273.29,390700,273.29
2011-08-03,276.29,281.86,274.40,281.50,368500,281.50
2011-08-02,280.85,284.33,276.15,276.71,337600,276.71
2011-08-01,287.00,287.36,280.12,282.25,349100,282.25
2011-07-29,284.46,288.09,282.50,285.45,287500,285.45
2011-07-28,287.96,288.55,284.50,285.84,255900,285.84
2011-07-27,293.25,293.33,287.00,289.15,399300,289.15
2011-07-26,294.82,296.30,293.60,295.16,150700,295.16
2011-07-25,294.27,296.37,293.22,294.94,228400,294.94
2011-07-22,296.44,296.61,295.12,295.85,172500,295.85
2011-07-21,296.36,297.22,294.77,295.52,293600,295.52
2011-07-20,298.33,298.62,294.78,295.59,180800,295.59
2011-07-19,296.71,299.21,296.16,298.33,268300,298.33
2011-07-18,297.08,297.08,294.47,295.36,177100,295.36
2011-07-15,298.66,298.66,294.08,297.28,292100,297.28
2011-07-14,298.37,302.00,295.26,297.88,416500,297.88
2011-07-13,298.48,300.40,296.02,296.94,312900,296.94
2011-07-12,293.21,299.60,293.10,297.59,392400,297.59
2011-07-11,295.94,297.64,293.84,295.50,277500,295.50
2011-07-08,295.81,298.56,295.15,298.28,305700,298.28
2011-07-07,299.00,299.45,298.00,298.38,330800,298.38
2011-07-06,295.29,298.80,294.76,297.75,333300,297.75
2011-07-05,296.14,298.53,294.51,297.14,289700,297.14
2011-07-01,295.38,298.19,294.86,297.62,255800,297.62
2011-06-30,292.55,296.20,291.87,294.85,381100,294.85
2011-06-29,293.42,293.54,290.62,291.32,342700,291.32
2011-06-28,293.50,293.52,292.58,292.90,437000,292.90
2011-06-27,290.99,293.97,290.00,292.84,267300,292.84
2011-06-24,292.55,293.70,290.33,291.60,336900,291.60
2011-06-23,290.72,294.27,290.72,292.61,476500,292.61
2011-06-22,292.17,294.08,292.17,292.87,387300,292.87
2011-06-21,292.40,292.91,291.43,292.43,444600,292.43
2011-06-20,291.31,293.15,290.03,292.24,496000,292.24
2011-06-17,291.00,293.05,290.36,291.71,804500,291.71
2011-06-16,288.82,290.15,285.21,289.78,447100,289.78
2011-06-15,289.07,290.52,288.45,289.55,366600,289.55
2011-06-14,290.23,290.59,289.16,289.87,345300,289.87
2011-06-13,291.30,291.30,288.24,288.88,313500,288.88
2011-06-10,290.70,292.23,288.71,290.20,395700,290.20
2011-06-09,288.37,292.54,286.98,291.94,305100,291.94
2011-06-08,284.81,289.49,283.25,288.53,485300,288.53
2011-06-07,285.00,289.39,284.12,284.50,338700,284.50
2011-06-06,286.63,287.22,283.94,285.64,316800,285.64
2011-06-03,287.30,290.50,284.83,285.48,325900,285.48
2011-06-02,294.12,294.12,289.00,289.65,287000,289.65
2011-06-01,294.00,295.18,293.03,293.11,378800,293.11
2011-05-31,298.86,299.60,293.12,294.00,486200,294.00
2011-05-27,295.27,297.81,294.84,296.71,293900,296.71
2011-05-26,297.98,298.47,296.00,296.61,540000,296.61
2011-05-25,294.44,298.00,293.00,297.98,607200,297.98
2011-05-24,288.07,295.17,286.80,293.30,1154000,293.30
2011-05-23,276.29,277.61,273.18,276.78,473300,276.78
2011-05-20,276.69,278.21,274.56,276.60,462100,276.60
2011-05-19,277.01,279.00,274.33,277.15,770000,277.15
2011-05-18,281.97,283.67,280.42,282.50,259600,282.50
2011-05-17,282.88,283.09,279.26,281.48,239000,281.48
2011-05-16,286.24,287.52,283.35,283.65,238100,283.65
2011-05-13,287.89,288.50,284.26,286.30,239400,286.30
2011-05-12,286.18,288.50,284.02,287.89,360000,287.89
2011-05-11,288.42,288.42,279.35,286.38,454000,286.38
2011-05-10,285.04,287.00,285.04,286.41,248400,286.41
2011-05-09,281.17,285.83,281.17,284.64,253000,284.64
2011-05-06,286.82,286.99,281.13,281.56,269000,281.56
2011-05-05,282.00,287.00,281.04,285.28,294100,285.28
2011-05-04,283.70,284.49,282.18,283.35,280000,283.35
2011-05-03,284.80,285.00,282.39,283.44,414000,283.44
2011-05-02,283.20,284.57,280.50,281.18,206000,281.18
2011-04-29,282.27,283.26,281.09,282.38,251000,282.38
2011-04-28,280.02,284.42,279.68,282.48,298600,282.48
2011-04-27,283.73,283.92,281.00,281.50,619900,281.50
2011-04-26,283.06,283.83,281.72,282.07,306300,282.07
2011-04-25,284.71,284.94,281.16,282.50,145500,282.50
2011-04-21,284.00,284.97,282.69,284.85,310300,284.85
2011-04-20,280.58,284.60,280.45,283.96,376900,283.96
2011-04-19,279.08,279.09,276.07,278.28,250500,278.28
2011-04-18,280.28,280.28,274.77,279.32,244200,279.32
2011-04-15,279.76,281.96,278.72,280.08,370300,280.08
2011-04-14,278.75,280.74,277.27,278.85,455400,278.85
2011-04-13,276.22,279.99,276.22,279.76,419700,279.76
2011-04-12,272.15,279.00,270.00,277.77,661500,277.77
2011-04-11,272.61,273.99,269.68,272.93,384600,272.93
2011-04-08,277.60,277.60,274.51,276.26,238800,276.26
2011-04-07,276.56,277.83,272.98,275.84,256600,275.84
2011-04-06,276.85,279.35,276.51,276.59,219800,276.59
2011-04-05,273.64,279.94,273.09,276.64,327300,276.64
2011-04-04,275.00,275.76,272.54,274.28,213100,274.28
2011-04-01,274.22,276.05,273.27,274.67,261400,274.67
2011-03-31,273.19,273.87,270.80,273.56,359800,273.56
2011-03-30,274.25,276.04,273.00,273.94,271900,273.94
2011-03-29,271.12,273.47,268.80,273.44,314300,273.44
2011-03-28,276.16,276.16,270.82,270.93,307900,270.93
2011-03-25,272.75,277.50,270.71,275.49,435200,275.49
2011-03-24,271.00,273.26,269.44,272.11,399200,272.11
2011-03-23,264.85,271.00,262.80,270.06,458300,270.06
2011-03-22,264.45,265.79,261.75,264.72,376400,264.72
2011-03-21,264.33,266.18,262.38,264.09,423400,264.09
2011-03-18,263.63,264.71,260.07,262.98,500000,262.98
2011-03-17,264.17,264.92,261.57,261.95,225100,261.95
2011-03-16,261.24,265.71,260.62,261.31,395800,261.31
2011-03-15,259.50,264.47,256.86,263.14,345300,263.14
2011-03-14,263.89,265.31,261.89,264.81,236400,264.81
2011-03-11,266.60,267.37,263.12,265.93,270500,265.93
2011-03-10,266.76,268.80,265.00,266.71,290900,266.71
2011-03-09,268.02,269.63,266.85,268.21,272900,268.21
2011-03-08,263.66,269.80,262.98,267.96,403800,267.96
2011-03-07,265.75,267.46,262.95,263.25,357600,263.25
2011-03-04,266.53,268.75,263.29,265.42,261800,265.42
2011-03-03,264.46,266.95,263.01,266.53,483400,266.53
2011-03-02,263.74,264.54,260.68,262.84,564700,262.84
2011-03-01,265.54,267.98,260.21,263.52,1016900,263.52
2011-02-28,255.51,260.00,255.45,257.95,524800,257.95
2011-02-25,254.91,255.75,252.54,255.39,277400,255.39
2011-02-24,252.09,254.20,249.05,253.25,289300,253.25
2011-02-23,252.53,254.58,247.36,250.64,398600,250.64
2011-02-22,253.13,254.58,249.10,252.59,383600,252.59
2011-02-18,256.48,259.04,253.71,255.64,338500,255.64
2011-02-17,262.22,262.22,254.71,255.57,418400,255.57
2011-02-16,262.00,265.54,261.58,262.78,213500,262.78
2011-02-15,260.52,260.98,259.33,260.81,287100,260.81
2011-02-14,261.16,261.76,259.70,260.82,227300,260.82
2011-02-11,259.14,261.72,258.64,260.88,200800,260.88
2011-02-10,260.83,261.50,256.15,259.64,361100,259.64
2011-02-09,259.50,263.62,259.10,261.76,285000,261.76
2011-02-08,258.03,259.99,257.78,259.83,218600,259.83
2011-02-07,259.00,261.59,257.35,258.03,271400,258.03
2011-02-04,254.71,260.18,254.33,258.70,328700,258.70
2011-02-03,251.36,255.70,251.36,255.01,421200,255.01
2011-02-02,254.79,254.95,251.06,251.76,270400,251.76
2011-02-01,254.57,255.21,251.80,255.00,340100,255.00
2011-01-31,251.39,255.38,251.07,253.53,360400,253.53
2011-01-28,256.80,257.40,250.62,251.06,390100,251.06
2011-01-27,250.41,257.99,250.24,256.10,579500,256.10
2011-01-26,249.20,251.83,246.26,250.07,523000,250.07
2011-01-25,249.50,251.59,247.35,248.70,487100,248.70
2011-01-24,252.50,253.01,249.92,251.49,469100,251.49
2011-01-21,253.97,254.96,251.77,252.13,770300,252.13
2011-01-20,249.52,252.81,249.00,252.56,648100,252.56
2011-01-19,250.85,252.00,249.07,249.99,666400,249.99
2011-01-18,251.84,253.33,250.22,250.59,478800,250.59
2011-01-14,251.26,253.22,249.77,252.62,426700,252.62
2011-01-13,251.27,252.83,250.14,251.93,477500,251.93
2011-01-12,252.05,252.76,249.62,251.16,633100,251.16
2011-01-11,253.49,254.72,250.01,251.52,417100,251.52
2011-01-10,249.78,254.18,249.75,252.74,618200,252.74
2011-01-07,250.76,253.17,249.41,250.67,817700,250.67
2011-01-06,254.04,254.94,246.62,249.55,1103100,249.55
2011-01-05,256.91,258.89,254.84,255.20,825000,255.20
2011-01-04,269.15,269.15,257.07,258.36,1115900,258.36
2011-01-03,273.49,273.99,266.61,268.40,618100,268.40
2010-12-31,274.96,275.04,272.25,272.59,159100,272.59
2010-12-30,273.75,276.00,273.62,275.50,153400,275.50
2010-12-29,272.49,274.50,272.01,273.64,245900,273.64
2010-12-28,270.98,272.56,270.52,272.47,285000,272.47
2010-12-27,271.55,271.62,270.00,270.92,106000,270.92
2010-12-23,272.10,272.69,270.98,271.90,144200,271.90
2010-12-22,273.00,273.00,271.09,272.06,194600,272.06
2010-12-21,273.04,273.40,271.42,272.19,355600,272.19
2010-12-20,271.68,272.87,269.20,272.77,365400,272.77
2010-12-17,269.11,271.00,269.11,269.99,537400,269.99
2010-12-16,264.01,269.72,262.94,269.11,452400,269.11
2010-12-15,262.04,264.82,262.04,262.55,260600,262.55
2010-12-14,264.89,264.89,261.78,262.66,283100,262.66
2010-12-13,264.91,266.29,264.48,264.50,336200,264.50
2010-12-10,263.57,264.95,262.42,264.74,239500,264.74
2010-12-09,262.61,264.61,260.72,263.90,301000,263.90
2010-12-08,260.49,263.26,259.40,262.57,521200,262.57
2010-12-07,270.31,271.27,255.94,260.15,1553900,260.15
2010-12-06,265.99,266.25,261.77,261.91,750600,261.91
2010-12-03,263.20,265.49,262.40,265.20,360500,265.20
2010-12-02,260.96,263.49,259.91,263.20,271100,263.20
2010-12-01,261.89,262.00,259.73,260.56,362300,260.56
2010-11-30,256.87,260.25,256.72,259.41,429500,259.41
2010-11-29,259.22,259.52,255.23,257.80,353500,257.80
2010-11-26,258.06,259.75,257.18,259.48,162600,259.48
2010-11-24,255.31,259.14,255.31,259.14,281100,259.14
2010-11-23,254.31,255.13,250.92,254.91,248200,254.91
2010-11-22,250.77,256.00,250.77,255.65,426900,255.65
2010-11-19,250.95,251.85,250.34,251.20,375700,251.20
2010-11-18,251.71,253.50,251.14,251.17,369700,251.17
2010-11-17,249.14,250.70,248.17,249.23,329600,249.23
2010-11-16,250.79,252.88,248.60,249.00,338400,249.00
2010-11-15,251.55,253.47,250.88,251.39,389800,251.39
2010-11-12,251.21,252.40,249.35,250.68,340600,250.68
2010-11-11,248.96,252.48,248.55,252.09,617400,252.09
2010-11-10,243.22,249.53,242.87,248.95,729800,248.95
2010-11-09,243.05,243.66,242.05,243.00,328600,243.00
2010-11-08,238.85,243.62,238.59,242.85,400400,242.85
2010-11-05,239.17,240.50,239.17,239.87,439900,239.87
2010-11-04,239.15,239.48,237.94,239.24,618700,239.24
2010-11-03,237.84,238.70,236.00,238.00,533800,238.00
2010-11-02,237.00,238.86,236.25,237.99,271200,237.99
2010-11-01,237.69,238.00,234.34,235.64,326200,235.64
2010-10-29,235.88,237.69,235.35,237.63,233700,237.63
2010-10-28,236.93,237.93,234.80,236.80,425200,236.80
2010-10-27,234.76,236.06,232.94,235.85,339000,235.85
2010-10-26,234.47,237.00,234.47,236.50,440500,236.50
2010-10-25,234.90,236.75,234.76,235.12,378300,235.12
2010-10-22,231.65,234.98,230.72,234.72,330600,234.72
2010-10-21,232.58,234.47,229.99,231.37,427500,231.37
2010-10-20,229.92,233.00,229.84,231.90,444200,231.90
2010-10-19,231.40,233.00,227.70,229.47,719500,229.47
2010-10-18,232.71,233.10,231.06,232.80,446900,232.80
2010-10-15,233.50,233.75,232.04,232.96,621100,232.96
2010-10-14,232.70,233.37,231.14,233.00,623900,233.00
2010-10-13,233.70,233.70,231.38,232.55,733700,232.55
2010-10-12,233.05,233.91,231.53,232.95,503900,232.95
2010-10-11,234.00,234.50,232.07,232.83,455600,232.83
2010-10-08,233.50,233.78,231.92,232.81,626900,232.81
