Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,312.97,332.93,311.14,331.25,575000,331.25
2011-09-06,306.00,318.79,304.95,314.49,379700,314.49
2011-08-29,304.53,312.75,303.00,310.85,369600,310.85
2011-08-22,297.69,306.00,290.59,301.30,405900,301.30
2011-08-15,289.21,294.00,279.93,291.42,389100,291.42
2011-08-08,275.10,288.94,266.25,287.61,685800,287.61
2011-08-01,287.00,287.36,270.24,278.74,421800,278.74
2011-07-25,294.27,296.37,282.50,285.45,264300,285.45
2011-07-18,297.08,299.21,294.47,295.85,218400,295.85
2011-07-11,295.94,302.00,293.10,297.28,338200,297.28
2011-07-05,296.14,299.45,294.51,298.28,314800,298.28
2011-06-27,290.99,298.19,290.00,297.62,336700,297.62
2011-06-20,291.31,294.27,290.03,291.60,428200,291.60
2011-06-13,291.30,293.05,285.21,291.71,455400,291.71
2011-06-06,286.63,292.54,283.25,290.20,368300,290.20
2011-05-31,298.86,299.60,284.83,285.48,369400,285.48
2011-05-23,276.29,298.47,273.18,296.71,613600,296.71
2011-05-16,286.24,287.52,274.33,276.60,393700,276.60
2011-05-09,281.17,288.50,279.35,286.30,310900,286.30
2011-05-02,283.20,287.00,280.50,281.56,292600,281.56
2011-04-25,284.71,284.94,279.68,282.38,324200,282.38
2011-04-18,280.28,284.97,274.77,284.85,295400,284.85
2011-04-11,272.61,281.96,269.68,280.08,458300,280.08
2011-04-04,275.00,279.94,272.54,276.26,251100,276.26
2011-03-28,276.16,276.16,268.80,274.67,303000,274.67
2011-03-21,264.33,277.50,261.75,275.49,418500,275.49
2011-03-14,263.89,265.71,256.86,262.98,340500,262.98
2011-03-07,265.75,269.80,262.95,265.93,319100,265.93
2011-02-28,255.51,268.75,255.45,265.42,570300,265.42
2011-02-22,253.13,255.75,247.36,255.39,337200,255.39
2011-02-14,261.16,265.54,253.71,255.64,296900,255.64
2011-02-07,259.00,263.62,256.15,260.88,267300,260.88
2011-01-31,251.39,260.18,251.06,258.70,344100,258.70
2011-01-24,252.50,257.99,246.26,251.06,489700,251.06
2011-01-18,251.84,254.96,249.00,252.13,640900,252.13
2011-01-10,249.78,254.72,249.62,252.62,514500,252.62
2011-01-03,273.49,273.99,246.62,250.67,895900,250.67
2010-12-27,271.55,276.00,270.00,272.59,189800,272.59
2010-12-20,271.68,273.40,269.20,271.90,264900,271.90
2010-12-13,264.91,271.00,261.78,269.99,373900,269.99
2010-12-06,265.99,271.27,255.94,264.74,673200,264.74
2010-11-29,259.22,265.49,255.23,265.20,355300,265.20
2010-11-22,250.77,259.75,250.77,259.48,279700,259.48
2010-11-15,251.55,253.50,248.17,251.20,360600,251.20
2010-11-08,238.85,252.48,238.59,250.68,483300,250.68
2010-11-01,237.69,240.50,234.34,239.87,437900,239.87
2010-10-25,234.90,237.93,232.94,237.63,363300,237.63
2010-10-18,232.71,234.98,227.70,234.72,473700,234.72
2010-10-11,234.00,234.50,231.14,232.96,587600,232.96
2010-10-04,229.75,233.99,228.76,232.81,591900,232.81
2010-09-27,225.59,231.73,224.00,228.83,595300,228.83
2010-09-20,222.00,226.06,214.00,225.73,744000,225.73
2010-09-13,214.99,220.92,213.52,220.88,436700,220.88
2010-09-07,217.94,221.57,215.88,217.90,363300,217.90
2010-08-30,213.45,219.23,209.53,218.45,418000,218.45
2010-08-23,213.36,215.21,208.01,214.65,419200,214.65
2010-08-16,206.87,213.79,205.95,213.07,395900,213.07
2010-08-09,208.10,209.30,203.05,207.86,582400,207.86
2010-08-02,213.51,213.65,204.00,207.39,602100,207.39
2010-07-26,207.90,213.00,207.10,211.57,703600,211.57
2010-07-19,202.92,208.20,201.90,207.00,731300,207.00
2010-07-12,200.38,206.42,199.76,202.25,682200,202.25
2010-07-06,196.32,200.74,192.65,200.12,655500,200.12
2010-06-28,196.13,198.22,189.38,195.01,579600,195.01
2010-06-21,196.75,197.63,192.13,196.13,609700,196.13
2010-06-14,190.42,196.75,190.09,195.31,559000,195.31
2010-06-07,190.10,191.66,183.70,189.30,839200,189.30
2010-06-01,191.32,194.13,188.19,188.89,810900,188.89
2010-05-24,181.77,195.75,180.02,190.88,1112300,190.88
2010-05-17,180.90,185.46,177.66,183.47,599300,183.47
2010-05-10,179.71,185.40,178.90,180.31,449000,180.31
2010-05-03,184.47,186.33,171.65,176.08,478700,176.08
2010-04-26,184.98,187.94,179.10,185.01,349600,185.01
2010-04-19,180.15,184.07,177.67,184.05,299900,184.05
2010-04-12,175.36,181.50,174.68,180.11,339100,180.11
2010-04-05,174.59,176.63,172.59,175.29,330700,175.29
2010-03-29,174.31,175.33,172.43,174.88,305700,174.88
2010-03-22,172.65,175.39,171.62,174.22,395500,174.22
2010-03-15,168.89,174.15,167.46,172.28,470800,172.28
2010-03-08,168.76,169.69,166.72,168.89,456500,168.89
2010-03-01,165.43,170.33,162.57,168.79,924400,168.79
2010-02-22,164.30,167.09,162.60,165.93,495000,165.93
2010-02-16,161.32,165.73,160.20,163.67,612000,163.67
2010-02-08,157.56,161.13,155.87,160.85,498000,160.85
2010-02-01,155.45,158.05,153.44,155.38,496100,155.38
2010-01-25,156.75,159.59,154.44,155.03,507000,155.03
2010-01-19,154.81,159.01,154.35,155.87,623700,155.87
2010-01-11,155.01,156.19,152.75,155.08,465700,155.08
2010-01-04,158.99,159.39,152.32,155.28,718700,155.28
2009-12-28,160.00,160.94,158.07,158.07,266900,158.07
2009-12-21,158.29,161.33,157.74,159.91,418900,159.91
2009-12-14,158.36,160.89,156.41,158.29,518100,158.29
2009-12-07,152.63,158.95,149.92,155.78,855600,155.78
2009-11-30,149.63,154.83,146.98,152.08,644600,152.08
2009-11-23,148.12,151.36,146.17,150.05,408600,150.05
2009-11-16,143.71,147.89,141.43,147.42,671100,147.42
2009-11-09,141.01,148.32,140.33,143.67,713500,143.67
2009-11-02,135.82,141.42,135.13,140.32,739000,140.32
2009-10-26,137.51,140.50,135.31,135.31,863600,135.31
2009-10-19,143.84,145.34,137.19,137.62,1135500,137.62
2009-10-12,146.12,146.83,143.21,144.52,844300,144.52
2009-10-05,145.70,148.78,144.57,145.92,848800,145.92
