Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,57.49,59.05,57.48,59.04,3735064,59.04
2011-09-23,57.23,58.03,56.62,57.22,3230900,57.22
2011-09-22,56.67,59.19,56.48,57.84,7141000,57.84
2011-09-21,59.09,59.42,57.48,57.48,4685000,57.48
2011-09-20,60.00,60.29,58.88,58.94,3709900,58.94
2011-09-19,59.78,60.41,59.27,59.86,3574000,59.86
2011-09-16,59.65,60.91,59.30,59.94,4522300,59.94
2011-09-15,59.98,60.00,58.67,59.36,2903800,59.36
2011-09-14,59.34,60.00,57.86,59.37,3064900,59.37
2011-09-13,58.22,59.59,57.66,59.21,2909900,59.21
2011-09-12,55.40,58.08,55.39,58.01,2985400,58.01
2011-09-09,56.69,57.36,55.87,56.29,2337700,56.29
2011-09-08,57.93,58.23,57.08,57.40,2459600,57.40
2011-09-07,57.31,58.30,57.31,58.24,2935600,58.24
2011-09-06,55.01,56.71,54.78,56.61,3018300,56.61
2011-09-02,56.09,57.10,55.87,56.44,3147000,56.44
2011-09-01,57.22,58.30,56.76,57.13,3332200,57.13
2011-08-31,57.35,57.79,56.34,56.86,2798000,56.86
2011-08-30,56.74,57.94,56.51,57.16,2951700,57.16
2011-08-29,55.45,57.01,55.26,56.99,2660200,56.99
2011-08-26,52.97,55.28,52.52,54.90,2219600,54.90
2011-08-25,54.13,54.71,53.06,53.19,1942500,53.19
2011-08-24,53.36,54.46,52.93,53.70,2129300,53.70
2011-08-23,51.82,53.37,51.40,53.32,1901300,53.32
2011-08-22,51.70,52.02,50.92,51.66,2022700,51.66
2011-08-19,50.33,52.14,50.27,50.64,2331200,50.64
2011-08-18,51.91,52.13,50.52,51.01,2798200,51.01
2011-08-17,54.05,54.55,52.77,53.33,1697700,53.33
2011-08-16,54.14,54.45,53.40,54.01,2597800,54.01
2011-08-15,54.94,55.27,53.75,54.60,1877900,54.60
2011-08-12,53.60,54.48,52.74,54.43,3084800,54.43
2011-08-11,50.51,53.63,50.17,52.98,3835700,52.98
2011-08-10,51.41,51.55,49.80,50.06,5101700,50.06
2011-08-09,50.62,52.64,49.47,52.55,4781800,52.55
2011-08-08,51.25,52.16,48.75,49.73,5796300,49.73
2011-08-05,53.54,53.75,51.00,52.90,4477400,52.90
2011-08-04,53.63,54.15,52.79,52.85,4321700,52.85
2011-08-03,55.01,55.07,53.59,54.25,5327200,54.25
2011-08-02,56.84,57.51,54.91,54.94,3020800,54.94
