Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,57.90,59.05,57.48,59.04,3730000,59.04
2011-09-19,59.78,60.41,56.48,57.22,4468100,57.22
2011-09-12,55.40,60.91,55.39,59.94,3277200,59.94
2011-09-06,55.01,58.30,54.78,56.29,2687800,56.29
2011-08-29,55.45,58.30,55.26,56.44,2977800,56.44
2011-08-22,51.70,55.28,50.92,54.90,2043000,54.90
2011-08-15,54.94,55.27,50.27,50.64,2260500,50.64
2011-08-08,51.25,54.48,48.75,54.43,4520000,54.43
2011-08-01,58.85,58.97,51.00,52.90,4095900,52.90
2011-07-25,59.23,59.82,56.83,58.49,1906200,58.49
2011-07-18,58.26,60.20,58.00,59.70,1889200,59.70
2011-07-11,59.49,60.25,58.06,58.66,1932000,58.66
2011-07-05,59.49,60.55,58.93,60.14,2101500,60.14
2011-06-27,56.39,59.53,56.23,59.39,2436200,59.39
2011-06-20,52.00,57.63,51.83,56.59,4939900,56.59
2011-06-13,53.21,54.89,51.98,51.99,3698200,51.99
2011-06-06,51.36,54.28,51.25,52.91,3435000,52.91
2011-05-31,53.98,54.47,51.35,51.61,2909100,51.61
2011-05-23,53.39,54.47,53.05,53.46,1848600,53.46
2011-05-16,55.38,55.59,53.81,53.83,2185200,53.83
2011-05-09,55.59,56.83,55.38,55.65,1565100,55.65
2011-05-02,56.10,56.63,55.17,55.68,2017000,55.68
2011-04-25,57.29,57.90,55.85,56.13,3247000,56.13
2011-04-18,55.38,57.88,54.57,57.30,3545200,57.30
2011-04-11,53.61,55.85,53.56,55.84,3943700,55.84
2011-04-04,48.77,55.17,47.77,53.82,5320900,53.82
2011-03-28,47.40,49.09,47.15,48.71,2189400,48.71
2011-03-21,46.84,48.12,45.77,47.28,2710300,47.28
2011-03-14,45.53,46.44,44.79,45.58,4214300,45.58
2011-03-07,48.67,48.82,45.32,45.82,3343300,45.82
2011-02-28,47.95,49.20,47.00,48.34,2010000,48.34
2011-02-22,50.27,50.95,46.78,47.85,2580800,47.85
2011-02-14,49.96,50.84,49.07,50.82,2215000,50.82
2011-02-07,48.41,50.08,48.04,50.04,1805700,50.04
2011-01-31,48.61,49.06,47.48,48.34,2247400,48.34
2011-01-24,48.30,50.87,48.05,48.60,2679000,48.60
2011-01-18,49.50,50.15,47.52,48.11,3064000,48.11
2011-01-10,48.31,49.67,48.15,49.51,1838800,49.51
2011-01-03,49.55,50.50,48.23,48.63,2575800,48.63
2010-12-27,49.74,50.23,48.88,49.15,1350900,49.15
2010-12-20,47.97,50.95,47.30,50.10,4161200,50.10
2010-12-13,46.83,48.96,46.70,47.72,3639800,47.72
2010-12-06,45.79,46.86,45.61,46.76,1598700,46.76
2010-11-29,43.73,46.03,43.12,45.95,2226500,45.95
2010-11-22,43.01,44.42,42.31,44.00,2010900,44.00
2010-11-15,44.35,44.51,42.37,43.09,2601000,43.09
2010-11-08,44.90,45.13,43.67,44.11,1735500,44.11
2010-11-01,44.12,45.74,43.21,45.13,2518200,45.13
2010-10-25,44.30,44.73,42.77,43.90,1795300,43.90
2010-10-18,43.59,44.44,42.40,44.02,2118800,44.02
2010-10-11,42.89,43.84,42.65,43.64,2140400,43.64
2010-10-04,43.16,44.06,42.54,42.87,2797400,42.87
2010-09-27,43.47,44.17,42.94,43.40,2665800,43.40
2010-09-20,41.41,44.10,41.26,43.72,5175000,43.72
2010-09-13,40.48,42.15,40.39,41.10,3618600,41.10
2010-09-07,38.77,40.56,38.33,40.35,3078800,40.35
2010-08-30,36.90,39.57,35.55,39.02,2969000,39.02
2010-08-23,38.60,38.85,35.88,37.00,3599700,37.00
2010-08-16,36.90,39.48,36.78,38.34,3603100,38.34
2010-08-09,39.15,39.50,36.80,37.08,3060400,37.08
2010-08-02,38.67,39.32,37.90,38.83,2646900,38.83
2010-07-26,38.65,39.81,36.70,37.88,3445200,37.88
2010-07-19,36.18,38.80,35.95,38.72,3425600,38.72
2010-07-12,37.37,38.54,35.97,36.04,3628700,36.04
2010-07-06,36.87,37.65,35.73,37.45,3269300,37.45
2010-06-28,39.32,39.67,35.94,36.19,4234000,36.19
2010-06-21,42.88,43.19,38.84,39.34,6124500,39.34
2010-06-14,44.74,45.96,41.26,42.49,6218900,42.49
2010-06-07,43.22,44.62,41.88,44.44,3238000,44.44
2010-06-01,44.66,45.71,42.86,43.19,2677900,43.19
2010-05-24,44.03,45.41,42.11,44.87,3042200,44.87
2010-05-17,44.66,45.42,42.57,44.27,4256100,44.27
2010-05-10,44.64,47.28,43.99,44.46,3868400,44.46
2010-05-03,46.22,47.08,26.50,42.91,4243000,42.91
2010-04-26,47.78,48.52,45.91,45.96,4112900,45.96
2010-04-19,45.37,47.92,44.58,47.84,3412000,47.84
2010-04-12,45.56,46.00,45.15,45.33,3399500,45.33
2010-04-05,44.55,46.78,44.28,45.51,5556200,45.51
2010-03-29,44.02,44.45,43.69,44.18,2143100,44.18
2010-03-22,43.78,44.64,43.67,44.00,2345300,44.00
2010-03-15,42.32,44.50,42.11,43.89,3478400,43.89
2010-03-08,41.66,42.41,40.58,42.28,3185300,42.28
2010-03-01,41.75,42.04,40.99,41.65,2396400,41.65
2010-02-22,41.29,41.92,40.73,41.61,2121600,41.61
2010-02-16,39.92,41.53,39.80,41.41,3080500,41.41
2010-02-08,38.57,39.92,38.06,39.78,2485600,39.78
2010-02-01,38.76,40.16,37.97,38.50,2748100,38.50
2010-01-25,39.27,39.77,38.66,38.70,2931600,38.70
2010-01-19,40.66,41.26,39.01,39.07,3032100,39.07
2010-01-11,42.00,42.40,40.61,40.67,3151200,40.67
2010-01-04,39.37,43.42,38.40,42.03,6139200,42.03
2009-12-28,39.62,39.79,38.59,38.61,1325300,38.61
2009-12-21,37.56,39.66,37.53,39.47,1735600,39.47
2009-12-14,38.41,38.87,37.05,37.49,2382500,37.49
2009-12-07,39.03,39.39,37.58,38.19,2746000,38.19
2009-11-30,36.76,39.95,36.50,39.15,3588700,39.15
2009-11-23,37.48,38.11,36.21,36.99,1694400,36.99
2009-11-16,37.15,37.87,36.60,37.24,2117100,37.24
2009-11-09,37.38,38.39,36.89,37.10,2630400,37.10
2009-11-02,35.20,37.59,35.20,37.14,3603500,37.14
2009-10-26,36.40,36.74,34.89,35.21,3570200,35.21
2009-10-19,36.50,36.83,35.41,36.17,3422400,36.17
2009-10-12,37.33,37.51,36.01,36.34,5182200,36.34
2009-10-05,36.66,38.22,36.46,37.39,2704000,37.39
2009-09-28,37.08,38.00,36.22,36.65,3256200,36.65
2009-09-21,39.19,40.23,36.53,36.80,5766300,36.80
2009-09-14,36.60,39.84,36.08,39.28,3879800,39.28
2009-09-08,37.02,37.45,36.20,36.71,2571600,36.71
2009-08-31,36.77,37.23,35.17,36.67,2826500,36.67
2009-08-24,35.82,38.23,35.10,37.14,4147100,37.14
2009-08-17,34.15,35.81,33.54,35.81,3316700,35.81
2009-08-10,36.37,36.74,34.55,34.88,3070600,34.88
2009-08-03,34.83,37.07,34.41,36.94,3124700,36.94
2009-07-27,34.68,35.94,34.02,34.75,3283100,34.75
2009-07-20,33.02,35.84,32.81,34.75,5834500,34.75
2009-07-13,29.79,32.86,29.30,32.65,4714800,32.65
2009-07-06,29.77,30.13,29.13,29.81,3943300,29.81
2009-06-29,31.00,31.38,29.41,29.66,4257800,29.66
2009-06-22,28.30,31.48,27.52,31.03,8961200,31.03
2009-06-15,27.97,28.79,27.27,28.53,5355800,28.53
2009-06-08,28.88,30.09,27.23,28.36,4775400,28.36
2009-06-01,28.51,30.81,28.40,29.20,4514200,29.20
2009-05-26,26.80,29.10,26.41,28.11,4517500,28.11
2009-05-18,28.22,30.09,26.64,27.11,4760700,27.11
2009-05-11,28.00,29.01,26.91,27.83,4384100,27.83
2009-05-04,29.49,30.49,27.93,28.50,4920700,28.50
2009-04-27,29.90,31.29,29.04,29.30,4790200,29.30
2009-04-20,30.68,32.10,29.38,30.36,6531500,30.36
2009-04-13,30.71,31.91,29.94,31.37,6697500,31.37
2009-04-06,27.39,31.70,25.44,31.09,17071100,31.09
2009-03-30,24.74,27.74,23.83,27.62,7180900,27.62
2009-03-23,23.75,26.99,23.20,25.00,6733900,25.00
2009-03-16,22.93,24.14,21.81,23.18,4481700,23.18
2009-03-09,19.39,23.10,19.22,22.93,5684200,22.93
2009-03-02,20.64,21.40,19.11,19.52,5686800,19.52
2009-02-23,20.98,21.93,20.54,21.30,5602300,21.30
2009-02-17,21.34,22.11,20.55,21.11,6245600,21.11
2009-02-09,23.94,24.25,21.50,22.01,5771500,22.01
2009-02-02,22.80,24.52,21.91,24.00,7107600,24.00
2009-01-26,24.99,26.08,23.03,23.23,6883700,23.23
2009-01-20,25.96,26.03,24.35,25.53,7505000,25.53
2009-01-12,25.56,26.50,24.52,25.94,7945000,25.94
2009-01-05,25.51,26.73,24.82,25.93,6827100,25.93
2009-01-02,25.09,26.74,25.09,26.49,5131800,26.49
