Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,24.25,25.2,24.07,24.96,8754580,24.96
2011-09-09,23.87,24.68,23.75,24.50,7660200,24.50
2011-09-08,24.37,24.42,24.00,24.20,4787800,24.20
2011-09-07,23.62,24.55,23.48,24.55,5422400,24.55
2011-09-06,23.33,23.50,23.00,23.30,8019200,23.30
2011-09-02,24.43,24.50,23.90,24.10,5095100,24.10
2011-09-01,25.59,25.73,24.79,24.79,4379800,24.79
2011-08-31,25.35,25.92,25.27,25.59,4877800,25.59
2011-08-30,25.25,25.50,24.99,25.23,4868500,25.23
2011-08-29,25.06,25.50,24.89,25.43,3621800,25.43
2011-08-26,24.00,24.98,23.78,24.79,4024100,24.79
2011-08-25,25.06,25.26,24.06,24.14,5105800,24.14
2011-08-24,24.47,25.13,24.30,25.05,3776600,25.05
2011-08-23,24.05,24.68,23.81,24.38,5937800,24.38
2011-08-22,24.46,24.63,23.73,23.95,5982300,23.95
2011-08-19,23.70,24.92,23.64,24.06,7017400,24.06
2011-08-18,24.15,24.15,23.25,24.02,11864600,24.02
2011-08-17,25.03,25.33,24.52,24.81,4870800,24.81
2011-08-16,24.26,24.94,24.25,24.87,5207000,24.87
2011-08-15,23.93,24.59,23.67,24.52,6209200,24.52
2011-08-12,25.10,25.46,23.52,23.68,11643300,23.68
2011-08-11,24.18,25.29,24.00,24.95,6337900,24.95
2011-08-10,24.80,24.87,24.03,24.08,6653000,24.08
2011-08-09,24.26,25.13,23.60,25.12,11903500,25.12
2011-08-08,24.62,24.91,23.78,23.95,10835400,23.95
2011-08-05,25.24,25.56,24.62,25.52,12814200,25.52
2011-08-04,26.62,26.64,24.87,24.92,12838900,24.92
2011-08-03,27.05,27.12,26.31,26.98,8693800,26.98
2011-08-02,26.76,27.19,26.47,26.89,11104000,26.89
2011-08-01,27.96,28.03,26.78,26.96,7074400,26.96
2011-07-29,27.70,27.94,27.25,27.60,7637200,27.60
2011-07-28,28.74,29.02,27.92,27.94,6635400,27.94
2011-07-27,29.42,29.50,28.58,28.78,7181200,28.78
2011-07-26,29.37,29.76,29.17,29.76,6185800,29.76
2011-07-25,29.04,29.42,29.00,29.30,3370400,29.30
2011-07-22,29.61,29.69,29.30,29.56,3327200,29.56
2011-07-21,29.09,29.79,28.94,29.70,5884700,29.70
2011-07-20,29.10,29.12,28.69,28.92,4770900,28.92
2011-07-19,29.19,29.20,28.57,29.02,7001400,29.02
2011-07-18,29.37,29.45,28.75,28.96,6444100,28.96
2011-07-15,29.52,29.62,29.07,29.61,8550100,29.61
2011-07-14,30.61,30.78,29.38,29.46,12289500,29.46
2011-07-13,31.30,31.56,31.11,31.25,4736200,31.25
2011-07-12,30.92,31.49,30.35,31.15,4772100,31.15
2011-07-11,31.51,31.75,30.97,31.09,6114400,31.09
2011-07-08,31.92,32.12,31.76,31.82,5600000,31.82
2011-07-07,32.25,32.65,32.10,32.28,5892200,32.28
2011-07-06,32.27,32.28,31.83,32.00,5177800,32.00
2011-07-05,32.00,32.47,31.91,32.24,6625400,32.24
2011-07-01,31.38,32.05,31.28,32.00,5909000,32.00
2011-06-30,31.66,31.89,31.39,31.41,5313400,31.41
2011-06-29,32.06,32.20,31.54,31.67,5546900,31.52
2011-06-28,31.45,32.01,31.35,31.92,6246400,31.77
2011-06-27,32.28,32.45,31.23,31.32,8299600,31.17
2011-06-24,32.19,32.48,31.81,32.48,13396300,32.33
2011-06-23,31.28,32.17,31.13,32.12,7493500,31.97
2011-06-22,32.28,32.47,31.76,31.77,6071400,31.62
2011-06-21,32.83,32.85,31.94,32.38,13098300,32.23
2011-06-20,30.88,31.56,30.82,31.54,7159400,31.39
2011-06-17,30.44,31.10,30.26,31.01,10184000,30.86
2011-06-16,30.34,30.76,29.67,30.01,8831800,29.87
2011-06-15,29.89,31.13,29.83,30.41,12107300,30.27
2011-06-14,31.11,31.32,29.35,30.13,31063400,29.99
2011-06-13,28.82,29.23,28.50,28.82,9998700,28.68
2011-06-10,28.91,29.09,28.31,28.43,6190900,28.30
2011-06-09,28.71,29.33,28.60,28.97,4933800,28.83
2011-06-08,28.82,29.03,28.37,28.67,7558500,28.53
2011-06-07,29.80,29.80,28.65,28.93,11604800,28.79
2011-06-06,30.67,30.87,29.88,29.88,6370300,29.74
2011-06-03,30.12,31.30,30.02,30.63,7610900,30.48
2011-06-02,30.97,31.50,30.37,30.54,6497900,30.40
2011-06-01,31.76,31.86,30.97,30.97,5295400,30.82
2011-05-31,31.80,32.16,31.64,31.76,10358800,31.61
2011-05-27,31.19,31.67,31.09,31.59,3802800,31.44
2011-05-26,31.17,31.76,30.88,31.09,5730000,30.94
2011-05-25,31.20,31.60,31.08,31.20,5728800,31.05
2011-05-24,31.63,31.98,31.42,31.76,4446400,31.61
2011-05-23,31.12,31.72,31.00,31.52,4133000,31.37
2011-05-20,31.79,31.79,31.21,31.33,4832300,31.18
2011-05-19,32.22,32.27,31.61,31.80,4397300,31.65
2011-05-18,31.96,32.24,31.83,32.22,3752100,32.07
2011-05-17,32.00,32.39,31.75,31.96,5982500,31.81
2011-05-16,32.26,32.40,32.07,32.13,4380700,31.98
2011-05-13,31.87,32.32,31.85,32.31,8343700,32.16
2011-05-12,30.30,31.79,30.18,31.69,7300000,31.54
2011-05-11,30.44,30.68,30.23,30.43,5175400,30.29
2011-05-10,30.53,30.73,30.30,30.38,5193600,30.24
2011-05-09,30.91,31.00,30.24,30.40,5530000,30.26
2011-05-06,31.25,31.39,30.74,31.00,8125800,30.85
2011-05-05,31.12,31.39,30.79,30.91,4821200,30.76
2011-05-04,31.40,31.44,31.00,31.31,3835500,31.16
2011-05-03,31.28,31.66,31.10,31.41,5529000,31.26
2011-05-02,31.40,32.05,31.26,31.45,9005500,31.30
2011-04-29,30.90,31.33,30.65,31.22,6626800,31.07
2011-04-28,30.72,30.95,30.50,30.84,5095600,30.69
2011-04-27,30.69,30.94,30.50,30.70,4906200,30.55
2011-04-26,30.37,30.90,30.20,30.70,6200000,30.55
2011-04-25,29.91,30.79,29.79,30.20,4887300,30.06
2011-04-21,30.42,30.55,29.93,30.12,7220900,29.98
2011-04-20,29.85,30.21,29.71,30.10,6373200,29.96
2011-04-19,29.22,29.67,29.15,29.60,5439500,29.46
2011-04-18,28.50,29.28,28.37,29.22,7997700,29.08
2011-04-15,29.37,29.61,28.71,28.85,11341400,28.71
2011-04-14,30.57,30.76,29.37,29.46,14239000,29.32
2011-04-13,30.63,30.84,29.79,30.25,9085900,30.11
2011-04-12,30.23,30.72,30.06,30.39,8400600,30.25
2011-04-11,30.20,30.62,29.88,30.51,11832700,30.22
2011-04-08,29.94,30.17,29.37,29.70,8482400,29.41
2011-04-07,29.95,30.67,29.86,29.99,12688400,29.70
2011-04-06,28.89,29.94,28.80,29.75,12507100,29.46
2011-04-05,28.09,28.95,28.09,28.64,8758400,28.36
2011-04-04,28.67,28.76,28.15,28.15,8962700,27.88
2011-04-01,28.86,28.86,28.63,28.64,10160900,28.36
2011-03-31,29.22,29.22,28.52,28.72,15470400,28.44
2011-03-30,29.19,29.43,29.02,29.21,6296700,28.93
2011-03-29,29.46,29.81,28.76,29.08,10186000,28.80
2011-03-28,29.25,29.74,29.20,29.35,10513100,29.07
2011-03-25,29.80,29.80,28.65,29.22,24556700,28.94
2011-03-24,32.66,32.98,29.85,30.13,37417800,29.84
2011-03-23,31.31,31.88,31.09,31.85,8648400,31.54
2011-03-22,31.83,31.98,31.36,31.42,4943200,31.12
2011-03-21,31.86,31.97,31.41,31.90,5103500,31.59
2011-03-18,31.17,31.54,30.90,31.53,7431700,31.23
2011-03-17,31.23,31.23,30.72,30.87,3501000,30.57
2011-03-16,30.96,31.47,30.84,30.84,6847300,30.54
