Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,24.30,25.20,24.07,24.96,8745900,24.96
2011-09-06,23.33,24.68,23.00,24.50,6472400,24.50
2011-08-29,25.06,25.92,23.90,24.10,4568600,24.10
2011-08-22,24.46,25.26,23.73,24.79,4965300,24.79
2011-08-15,23.93,25.33,23.25,24.06,7033800,24.06
2011-08-08,24.62,25.46,23.52,23.68,9474600,23.68
2011-08-01,27.96,28.03,24.62,25.52,10505000,25.52
2011-07-25,29.04,29.76,27.25,27.60,6202000,27.60
2011-07-18,29.37,29.79,28.57,29.56,5485600,29.56
2011-07-11,31.51,31.75,29.07,29.61,7292400,29.61
2011-07-05,32.00,32.65,31.76,31.82,5823800,31.82
2011-06-27,32.28,32.45,31.23,32.00,6263000,32.00
2011-06-20,30.88,32.85,30.82,32.48,9443700,32.33
2011-06-13,28.82,31.32,28.50,31.01,14437000,30.86
2011-06-06,30.67,30.87,28.31,28.43,7331600,28.30
2011-05-31,31.80,32.16,30.02,30.63,7440700,30.48
2011-05-23,31.12,31.98,30.88,31.59,4768200,31.44
2011-05-16,32.26,32.40,31.21,31.33,4668900,31.18
2011-05-09,30.91,32.32,30.18,32.31,6308500,32.16
2011-05-02,31.40,32.05,30.74,31.00,6263400,30.85
2011-04-25,29.91,31.33,29.79,31.22,5543100,31.07
2011-04-18,28.50,30.55,28.37,30.12,6757800,29.98
2011-04-11,30.20,30.84,28.71,28.85,10979900,28.71
2011-04-04,28.67,30.67,28.09,29.70,10279800,29.41
2011-03-28,29.25,29.81,28.52,28.64,10525400,28.36
2011-03-21,31.86,32.98,28.65,29.22,16133900,28.94
2011-03-14,31.06,31.66,30.72,31.53,6185200,31.23
2011-03-07,32.59,32.77,30.75,31.52,6778300,31.22
2011-02-28,32.39,33.22,32.03,32.69,5807500,32.38
2011-02-22,33.28,33.74,32.00,32.37,5903800,32.06
2011-02-14,33.53,33.66,32.33,33.04,8821000,32.72
2011-02-07,35.36,35.45,33.33,33.60,6761800,33.28
2011-01-31,34.01,35.29,33.60,35.24,6103400,34.90
2011-01-24,35.16,35.40,34.00,34.11,5055800,33.78
2011-01-18,35.61,35.79,34.65,35.11,5569300,34.77
2011-01-10,35.31,36.13,35.22,35.62,5688100,35.28
2011-01-03,34.10,36.33,34.00,35.37,11624300,35.03
2010-12-27,34.33,34.50,33.95,34.29,4975100,33.96
2010-12-20,34.41,34.44,33.40,34.35,9148500,33.87
2010-12-13,42.40,42.57,34.25,34.27,24750400,33.79
2010-12-06,43.19,43.21,41.36,41.80,5746200,41.22
2010-11-29,44.48,44.62,42.24,42.83,6853000,42.23
2010-11-22,43.48,45.63,43.43,44.75,4455000,44.13
2010-11-15,43.72,44.03,42.56,43.54,4123700,42.93
2010-11-08,44.64,45.08,43.50,43.59,3826800,42.98
2010-11-01,42.98,45.41,42.00,44.75,4810500,44.13
2010-10-25,43.07,43.85,41.96,42.98,4670300,42.38
2010-10-18,42.08,42.89,41.70,42.74,5451600,42.14
2010-10-11,41.23,42.36,40.23,42.15,6022200,41.56
2010-10-04,40.59,41.33,39.70,41.09,5878600,40.52
2010-09-27,40.41,41.24,38.84,40.76,6793500,40.19
2010-09-20,37.78,39.88,37.37,39.60,6008600,38.90
2010-09-13,34.21,37.49,34.21,37.15,9245000,36.50
2010-09-07,34.20,34.65,33.15,33.88,6486800,33.28
2010-08-30,31.89,34.67,31.32,34.37,5691000,33.77
2010-08-23,32.70,32.96,30.90,31.86,5304200,31.30
2010-08-16,32.98,33.40,32.05,32.50,5169000,31.93
2010-08-09,35.09,35.65,32.81,33.14,5283000,32.56
2010-08-02,35.11,36.21,34.46,34.91,6003300,34.30
2010-07-26,35.86,37.04,34.00,34.66,6753300,34.05
2010-07-19,34.35,35.82,33.80,35.79,5925800,35.16
2010-07-12,34.20,35.58,33.75,34.33,6650400,33.73
2010-07-06,34.23,34.90,32.81,34.37,8176200,33.77
2010-06-28,35.28,35.73,33.40,33.86,6802000,33.26
2010-06-21,38.15,38.22,35.00,35.16,8321500,34.40
2010-06-14,41.93,42.65,37.45,37.83,12599400,37.01
2010-06-07,39.04,41.33,37.39,41.20,6940100,40.31
2010-06-01,41.76,42.19,38.60,38.88,9036700,38.04
2010-05-24,41.73,42.60,39.68,42.25,7032800,41.34
2010-05-17,43.39,44.18,39.88,41.80,5852400,40.90
2010-05-10,42.98,45.37,42.46,43.07,6385200,42.14
2010-05-03,45.93,46.72,39.00,41.03,11899900,40.14
2010-04-26,48.04,48.83,45.50,45.52,6414300,44.53
2010-04-19,44.75,48.75,44.09,48.58,7463500,47.53
2010-04-12,45.00,46.30,44.40,45.39,6338700,44.41
2010-04-05,42.94,44.90,42.65,44.89,7549100,43.78
2010-03-29,43.42,43.42,42.36,42.57,6689500,41.52
2010-03-22,40.59,44.79,40.54,43.16,12963700,42.10
2010-03-15,39.78,41.80,39.13,40.99,7460600,39.98
2010-03-08,38.72,40.38,38.59,40.12,6052200,39.13
2010-03-01,36.58,39.01,36.28,38.64,7607900,37.69
2010-02-22,36.48,37.09,36.03,36.50,5771200,35.60
2010-02-16,35.90,36.84,35.79,36.34,4897800,35.44
2010-02-08,35.82,36.33,35.01,35.76,5435900,34.88
2010-02-01,36.82,37.47,35.16,35.82,5826800,34.94
2010-01-25,37.32,37.84,36.05,36.65,7660500,35.75
2010-01-19,38.87,39.40,37.06,37.15,6672500,36.23
2010-01-11,40.04,40.04,38.71,38.93,6117900,37.97
2010-01-04,39.84,41.59,39.63,39.91,8109000,38.93
2009-12-28,40.81,41.20,39.46,39.46,3726200,38.49
2009-12-21,39.52,41.12,39.45,40.70,5097200,39.56
2009-12-14,44.85,45.55,39.26,39.50,17896500,38.39
2009-12-07,43.85,44.43,42.56,44.34,4607800,43.10
2009-11-30,43.50,44.50,42.65,43.79,5764300,42.56
2009-11-23,43.68,44.32,42.26,42.83,5303100,41.63
2009-11-16,42.16,43.50,41.31,43.30,5504300,42.09
2009-11-09,40.51,43.07,40.30,41.88,4922200,40.70
2009-11-02,38.35,40.54,38.01,40.24,4965400,39.11
2009-10-26,39.14,40.24,38.06,38.18,5072400,37.11
2009-10-19,40.76,41.28,38.33,39.17,4980500,38.07
2009-10-12,38.74,41.00,38.52,40.73,5387300,39.59
2009-10-05,36.42,38.88,36.32,38.44,4055000,37.36
2009-09-28,37.39,38.25,36.30,36.41,4036600,35.39
2009-09-21,37.45,39.02,37.08,37.30,5610100,36.12
2009-09-14,39.74,40.68,37.41,37.90,12212900,36.70
2009-09-08,39.79,41.48,39.37,39.76,8035600,38.50
2009-08-31,37.16,39.87,35.66,39.41,8428600,38.16
2009-08-24,37.58,38.19,35.76,37.54,6099600,36.35
2009-08-17,35.61,37.75,34.62,37.49,5103000,36.30
2009-08-10,38.31,38.61,36.01,36.44,6470300,35.28
2009-08-03,37.94,39.86,36.97,39.75,5100500,38.49
2009-07-27,36.57,37.78,35.61,37.37,5713800,36.18
2009-07-20,36.20,37.43,35.49,36.55,5825400,35.39
2009-07-13,33.70,36.31,33.25,36.18,6138900,35.03
2009-07-06,31.53,33.27,31.25,32.77,7541600,31.73
2009-06-29,33.70,34.80,32.02,32.08,5460600,31.06
2009-06-22,34.22,34.41,32.70,33.58,5535900,32.38
2009-06-15,38.01,39.03,33.81,34.38,14799900,33.15
2009-06-08,36.96,39.98,36.87,38.55,7023100,37.17
2009-06-01,35.67,38.23,35.36,37.44,6718400,36.10
2009-05-26,34.92,37.30,33.99,35.10,7934400,33.85
2009-05-18,35.56,38.15,34.23,35.18,6731000,33.92
2009-05-11,37.42,38.76,34.65,35.41,8786500,34.15
2009-05-04,37.57,41.58,37.02,37.93,9292000,36.58
2009-04-27,39.04,39.60,37.02,37.20,6594500,35.87
2009-04-20,38.99,42.06,38.07,39.27,7168700,37.87
2009-04-13,40.74,41.36,37.14,39.51,8119700,38.10
2009-04-06,39.65,41.45,38.02,41.09,8140000,39.49
2009-03-30,37.10,41.32,36.27,40.26,10226800,38.69
2009-03-23,33.69,39.25,32.27,38.04,15880500,36.56
2009-03-16,30.00,33.70,29.04,32.30,12159600,31.04
2009-03-09,25.49,29.95,24.60,29.69,11873500,28.53
2009-03-02,28.29,28.44,23.97,24.71,12993900,23.75
2009-02-23,28.29,29.65,26.84,28.82,11729700,27.70
2009-02-17,29.20,29.47,27.00,27.90,11095400,26.81
2009-02-09,29.78,30.89,28.48,30.35,8305800,29.17
2009-02-02,27.28,30.07,26.80,29.84,8390600,28.68
2009-01-26,27.74,30.67,27.40,28.02,8230300,26.93
2009-01-20,28.89,29.22,26.31,27.65,10953400,26.57
2009-01-12,27.72,30.00,25.56,29.34,10945300,28.20
2009-01-05,29.51,31.73,27.82,28.08,8815900,26.98
2009-01-02,27.96,29.16,27.83,29.02,5387700,27.89
