Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,6.08,6.08,5.29,5.46,110799,5.46
2011-09-08,6.08,6.08,5.29,5.46,110800,5.46
2011-09-07,6.33,6.33,6.10,6.11,25700,6.11
2011-09-06,6.73,6.73,6.20,6.20,55200,6.20
2011-09-02,6.82,6.98,6.81,6.82,11200,6.82
2011-09-01,6.75,6.97,6.75,6.89,16000,6.89
2011-08-31,6.78,6.96,6.75,6.88,9300,6.88
2011-08-30,6.79,6.79,6.60,6.60,17300,6.60
2011-08-29,6.90,6.94,6.70,6.80,32700,6.80
2011-08-26,6.83,7.00,6.81,6.89,19500,6.89
2011-08-25,6.90,6.96,6.79,6.83,16700,6.83
2011-08-24,7.07,7.24,6.95,7.02,44000,7.02
2011-08-23,7.01,7.15,6.99,7.07,13800,7.07
2011-08-22,6.95,7.09,6.95,7.00,14000,7.00
2011-08-19,7.00,7.00,6.80,6.84,13600,6.84
2011-08-18,7.19,7.19,6.80,6.99,41700,6.99
2011-08-17,7.24,7.27,7.09,7.11,3600,7.11
2011-08-16,7.15,7.28,7.05,7.28,16600,7.28
2011-08-15,7.22,7.22,7.10,7.15,13700,7.15
2011-08-12,7.05,7.56,7.05,7.15,23000,7.15
2011-08-11,7.11,7.24,7.00,7.01,18000,7.01
2011-08-10,7.25,7.25,7.00,7.00,19500,7.00
2011-08-09,6.75,7.10,6.75,6.78,20700,6.78
2011-08-08,7.00,7.20,6.20,6.57,53200,6.57
2011-08-05,7.30,7.44,7.12,7.29,26800,7.29
2011-08-04,7.77,7.80,7.45,7.45,41300,7.45
2011-08-03,7.82,7.89,7.70,7.80,11300,7.80
2011-08-02,8.00,8.10,7.79,7.79,24800,7.79
2011-08-01,8.25,8.25,8.00,8.04,10900,8.04
2011-07-29,8.36,8.48,8.30,8.48,7700,8.48
2011-07-28,8.49,8.54,8.32,8.54,7100,8.54
2011-07-27,8.51,8.57,8.43,8.44,4500,8.44
2011-07-26,8.46,8.56,8.37,8.51,20500,8.51
2011-07-25,8.48,8.49,8.37,8.46,16400,8.46
2011-07-22,8.32,8.43,8.24,8.36,6000,8.36
2011-07-21,7.95,8.46,7.95,8.31,17100,8.31
2011-07-20,8.02,8.02,7.89,7.89,7900,7.89
2011-07-19,7.99,8.10,7.93,8.00,11900,8.00
2011-07-18,8.00,8.06,7.90,7.92,19800,7.92
2011-07-15,8.07,8.17,8.05,8.12,4900,8.12
2011-07-14,8.20,8.25,8.04,8.04,9000,8.04
2011-07-13,8.48,8.63,8.25,8.29,15200,8.29
2011-07-12,8.29,8.40,8.29,8.34,2700,8.34
2011-07-11,8.46,8.46,8.30,8.30,8300,8.30
2011-07-08,8.40,8.43,8.35,8.43,9900,8.43
2011-07-07,8.44,8.56,8.31,8.50,27500,8.50
2011-07-06,8.48,8.48,8.30,8.30,7600,8.30
2011-07-05,8.07,8.50,8.07,8.45,15800,8.45
2011-07-01,8.18,8.18,8.00,8.12,8900,8.12
2011-06-30,7.94,8.13,7.91,8.10,13900,8.10
2011-06-29,7.81,7.95,7.81,7.95,7700,7.95
2011-06-28,7.60,7.80,7.60,7.80,17200,7.80
2011-06-27,7.80,7.80,7.57,7.65,32900,7.65
2011-06-24,8.01,8.13,7.94,7.95,9800,7.95
2011-06-23,8.34,8.34,7.98,7.98,45000,7.98
2011-06-22,8.35,8.39,8.24,8.39,9200,8.39
2011-06-21,8.48,8.48,8.31,8.33,6400,8.33
2011-06-20,8.60,8.60,8.48,8.50,15500,8.50
2011-06-17,8.74,8.85,8.74,8.83,13700,8.83
2011-06-16,8.75,8.80,8.65,8.70,5200,8.70
2011-06-15,8.84,8.87,8.66,8.66,4600,8.66
2011-06-14,8.71,8.92,8.59,8.87,16100,8.87
2011-06-13,8.62,8.88,8.55,8.62,17500,8.62
2011-06-10,8.97,8.97,8.76,8.84,12100,8.84
2011-06-09,8.86,8.96,8.81,8.90,12000,8.90
2011-06-08,8.98,8.98,8.83,8.87,18200,8.87
2011-06-07,8.76,9.03,8.76,8.92,10800,8.92
2011-06-06,8.79,8.83,8.64,8.66,6400,8.66
2011-06-03,8.88,8.89,8.83,8.83,15500,8.83
2011-06-02,8.74,9.05,8.74,8.91,22800,8.91
2011-06-01,8.85,8.85,8.61,8.63,6700,8.63
2011-05-31,8.94,8.96,8.80,8.86,23900,8.86
2011-05-27,8.55,8.63,8.41,8.63,14700,8.63
2011-05-26,8.27,8.50,8.27,8.46,7900,8.46
2011-05-25,8.24,8.24,7.85,8.21,34400,8.21
2011-05-24,8.32,8.32,8.24,8.24,17600,8.24
2011-05-23,8.43,8.74,8.21,8.35,38500,8.35
2011-05-20,8.85,9.05,8.85,8.87,26200,8.87
2011-05-19,8.95,8.99,8.82,8.92,17800,8.92
2011-05-18,8.98,9.10,8.90,9.04,20600,9.04
2011-05-17,9.04,9.22,8.94,8.98,25600,8.98
2011-05-16,9.25,9.25,9.01,9.15,15300,9.15
