Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,6.73,6.73,5.29,5.46,63900,5.46
2011-08-29,6.90,6.98,6.60,6.82,17300,6.82
2011-08-22,6.95,7.24,6.79,6.89,21600,6.89
2011-08-15,7.22,7.28,6.80,6.84,17800,6.84
2011-08-08,7.00,7.56,6.20,7.15,26800,7.15
2011-08-01,8.25,8.25,7.12,7.29,23000,7.29
2011-07-25,8.48,8.57,8.30,8.48,11200,8.48
2011-07-18,8.00,8.46,7.89,8.36,12500,8.36
2011-07-11,8.46,8.63,8.04,8.12,8000,8.12
2011-07-05,8.07,8.56,8.07,8.43,15200,8.43
2011-06-27,7.80,8.18,7.57,8.12,16100,8.12
2011-06-20,8.60,8.60,7.94,7.95,17100,7.95
2011-06-13,8.88,8.92,8.55,8.83,11400,8.83
2011-06-06,8.79,9.03,8.64,8.84,11900,8.84
2011-05-31,8.94,9.05,8.61,8.83,17200,8.83
2011-05-23,8.43,8.74,7.85,8.63,22600,8.63
2011-05-16,9.25,9.25,8.82,8.87,21100,8.87
2011-05-09,9.59,9.81,9.26,9.26,20500,9.26
2011-05-02,10.10,10.19,9.61,9.71,15700,9.71
2011-04-25,10.35,10.59,10.01,10.19,14300,10.19
2011-04-18,10.23,10.43,9.90,10.31,19400,10.31
2011-04-11,9.88,10.20,9.70,10.20,14300,10.20
2011-04-04,9.89,10.18,9.75,9.88,13700,9.88
2011-03-28,9.71,9.85,9.54,9.76,14200,9.76
2011-03-21,10.37,10.75,9.50,9.78,58800,9.78
2011-03-14,10.24,10.75,9.66,10.31,26700,10.31
2011-03-07,9.50,10.25,9.42,10.06,22500,10.06
2011-02-28,9.49,9.53,9.00,9.50,19400,9.50
2011-02-22,9.71,9.71,9.01,9.29,13000,9.29
2011-02-14,9.57,9.75,9.29,9.56,19400,9.56
2011-02-07,8.64,9.69,8.50,9.40,27600,9.40
2011-01-31,9.23,9.23,8.40,8.52,34600,8.52
2011-01-24,9.41,9.68,9.15,9.39,11200,9.39
2011-01-18,9.90,9.97,9.25,9.31,19300,9.31
2011-01-10,9.24,10.03,9.20,9.98,19700,9.98
2011-01-03,9.21,9.60,9.08,9.33,18600,9.33
