Date,Open,High,Low,Close,Volume,Adj Close
2012-08-07,70.88,71,69.52,0,6737,0
2012-08-06,74.01,74.02,70.31,71.73,16200,71.73
2012-08-03,74.56,74.61,72.50,73.84,27300,73.84
2012-08-02,78.38,79.10,76.55,78.41,12900,78.41
2012-08-01,77.33,78.19,75.48,76.36,15700,76.36
2012-07-31,74.16,77.16,74.10,77.14,13800,77.14
2012-07-30,74.86,76.16,73.98,74.19,22600,74.19
2012-07-27,78.00,78.36,73.15,74.06,46400,74.06
2012-07-26,82.19,83.40,79.46,79.96,27200,79.96
2012-07-25,84.04,86.20,83.64,85.24,26000,85.24
2012-07-24,83.35,86.63,83.26,85.26,50200,85.26
2012-07-23,85.00,86.94,83.86,84.40,26300,84.40
2012-07-20,79.30,80.64,78.73,80.03,18000,80.03
2012-07-19,79.10,79.22,77.05,77.33,21900,77.33
2012-07-18,82.05,82.16,79.42,79.68,17700,79.68
2012-07-17,81.13,83.62,80.43,80.85,12100,80.85
2012-07-16,81.50,83.35,81.28,82.44,8300,82.44
2012-07-13,82.38,82.44,80.58,81.60,19700,81.60
2012-07-12,86.49,87.28,83.93,84.55,53000,84.55
2012-07-11,83.28,84.72,81.29,83.49,19100,83.49
2012-07-10,78.52,83.78,78.36,83.06,15800,83.06
2012-07-09,79.80,81.52,79.80,80.30,12100,80.30
2012-07-06,78.49,80.49,78.15,79.06,24700,79.06
2012-07-05,76.59,78.53,74.36,76.07,31700,76.07
2012-07-03,77.11,77.53,75.46,75.50,18300,75.50
2012-07-02,79.84,80.19,77.93,78.01,15600,78.01
2012-06-29,83.38,84.35,80.62,80.88,34800,80.88
2012-06-28,91.35,93.19,90.29,90.92,29100,90.92
2012-06-27,89.10,91.56,88.95,89.75,18200,89.75
2012-06-26,89.89,90.92,88.01,89.36,11800,89.36
2012-06-25,88.28,90.49,87.94,89.39,15800,89.39
2012-06-22,82.46,85.65,82.17,84.96,15400,84.96
2012-06-21,78.68,83.74,78.48,83.62,22700,83.62
2012-06-20,76.88,79.74,76.04,78.11,31500,78.11
2012-06-19,81.36,81.82,76.38,77.08,21300,77.08
2012-06-18,85.27,85.65,82.52,82.98,19000,82.98
2012-06-15,84.19,85.08,83.21,83.49,14200,83.49
2012-06-14,86.65,87.63,84.72,85.63,17800,85.63
2012-06-13,87.00,87.21,84.26,86.43,19600,86.43
2012-06-12,87.53,88.22,86.18,86.40,9400,86.40
2012-06-11,82.98,88.96,82.70,88.89,17300,88.89
2012-06-08,85.64,86.84,84.87,85.17,38400,85.17
2012-06-07,82.10,83.28,79.73,82.65,48700,82.65
2012-06-06,88.31,88.64,84.72,85.72,31500,85.72
2012-06-05,87.99,90.00,85.00,89.26,19300,89.26
2012-06-04,89.45,90.25,87.72,90.25,18600,90.25
2012-06-01,89.06,89.82,86.94,89.59,25600,89.59
2012-05-31,88.04,90.00,84.96,85.30,23600,85.30
2012-05-30,88.19,88.19,86.42,87.20,29700,87.20
2012-05-29,81.58,84.84,81.38,83.40,35700,83.40
2012-05-25,87.94,88.55,84.72,85.43,53600,85.43
2012-05-24,87.62,91.74,87.42,88.85,57100,88.85
2012-05-23,89.30,94.13,88.14,88.54,106000,88.54
2012-05-22,85.20,89.50,82.86,88.74,47000,88.74
2012-05-21,88.04,88.04,83.55,84.24,68500,84.24
2012-05-18,86.87,89.99,86.22,87.84,60000,87.84
2012-05-17,83.08,88.04,80.55,87.66,57800,87.66
2012-05-16,78.42,84.60,78.40,82.81,53800,82.81
2012-05-15,79.64,82.70,77.88,82.45,63000,82.45
2012-05-14,77.54,79.48,77.39,79.45,41400,79.45
2012-05-11,73.03,73.76,70.57,73.47,72600,73.47
2012-05-10,17.85,18.12,17.67,18.04,10400,72.16
2012-05-09,18.41,18.65,17.99,18.26,33000,73.04
2012-05-08,17.37,17.91,17.37,17.72,19000,70.88
2012-05-07,17.35,17.48,16.89,16.99,14800,67.96
2012-05-04,16.42,17.21,16.42,17.17,20000,68.68
2012-05-03,16.26,16.75,16.21,16.34,26500,65.36
