Date,Open,High,Low,Close,Volume,Adj Close
2012-08-06,74.01,74.02,69.52,70.74,11200,71.73
2012-07-30,74.86,79.10,72.50,73.84,18400,73.84
2012-07-23,85.00,86.94,73.15,74.06,35200,74.06
2012-07-16,81.50,83.62,77.05,80.03,15600,80.03
2012-07-09,79.80,87.28,78.36,81.60,23900,81.60
2012-07-02,79.84,80.49,74.36,79.06,22500,79.06
2012-06-25,88.28,93.19,80.62,80.88,21900,80.88
2012-06-18,85.27,85.65,76.04,84.96,21900,84.96
2012-06-11,82.98,88.96,82.70,83.49,15600,83.49
2012-06-04,89.45,90.25,79.73,85.17,31300,85.17
2012-05-29,81.58,90.00,81.38,89.59,28600,89.59
2012-05-21,88.04,94.13,82.86,85.43,66400,85.43
2012-05-14,77.54,89.99,77.39,87.84,55200,87.84
2012-05-07,17.35,73.76,16.89,73.47,29900,73.47
2012-04-30,15.95,17.21,15.80,17.17,14700,68.68
2012-04-23,15.97,16.34,15.58,15.99,12000,63.96
2012-04-16,14.86,15.87,14.86,15.40,17500,61.60
2012-04-09,15.17,15.76,14.64,15.16,11400,60.64
2012-04-02,14.34,14.95,13.79,14.70,12300,58.80
2012-03-26,13.57,14.61,13.16,14.27,10100,57.08
2012-03-19,13.22,14.20,12.97,13.80,11700,55.20
2012-03-12,13.71,13.98,12.86,13.11,8400,52.44
2012-03-05,12.41,13.73,12.41,13.28,15600,53.12
2012-02-27,12.85,12.93,12.09,12.22,13700,48.88
2012-02-21,12.77,13.01,12.53,12.65,8600,50.60
2012-02-13,13.03,13.59,12.82,12.85,17600,51.40
2012-02-06,13.24,13.61,12.58,13.42,14600,53.68
2012-01-30,14.51,14.67,12.89,13.10,19100,52.40
2012-01-23,14.59,14.75,13.54,14.03,11000,56.12
2012-01-17,15.51,15.75,14.49,14.51,19700,58.04
2012-01-09,17.58,17.71,15.93,16.39,23400,65.56
2012-01-03,17.76,18.11,16.96,18.07,13600,72.28
2011-12-27,18.52,19.60,18.42,18.95,6300,75.80
2011-12-19,19.92,20.63,18.35,18.36,10000,73.44
2011-12-12,18.44,20.11,18.39,19.67,23900,78.68
2011-12-05,17.13,18.66,16.90,17.68,26600,70.72
2011-11-28,20.78,21.08,17.33,17.93,34900,71.72
2011-11-21,19.86,22.51,19.59,22.30,32800,89.20
2011-11-14,17.68,19.26,17.34,19.01,20300,76.04
2011-11-07,17.24,18.63,16.74,17.38,29500,69.52
2011-10-31,16.73,19.23,16.69,17.45,31400,69.80
2011-10-24,20.67,20.67,16.27,16.29,53100,65.16
2011-10-17,20.70,22.72,20.28,20.81,61100,83.24
2011-10-10,22.60,22.68,19.74,20.11,53000,80.44
2011-10-03,26.48,29.18,22.40,24.08,93600,96.32
2011-09-26,24.71,26.56,22.14,26.28,45600,105.12
2011-09-19,21.17,26.74,20.63,24.91,39200,99.64
2011-09-12,20.52,21.52,19.22,19.83,26700,79.32
2011-09-06,20.09,20.10,17.58,19.72,31600,78.88
2011-08-29,19.23,19.44,16.70,18.15,23700,72.60
2011-08-22,19.76,21.30,19.47,19.89,29800,79.56
2011-08-15,19.42,20.79,18.46,20.73,28900,82.92
2011-08-08,22.22,24.54,19.94,20.15,54800,80.60
2011-08-01,15.75,21.68,15.74,20.01,46500,80.04
2011-07-25,16.00,16.78,15.51,16.14,29400,64.56
2011-07-18,17.09,17.25,15.73,15.85,16900,63.40
2011-07-11,16.17,16.90,15.93,16.66,16100,66.64
2011-07-05,14.66,15.70,14.66,15.55,9700,62.20
2011-06-27,16.92,16.92,14.57,14.78,14500,59.12
2011-06-20,16.83,17.08,15.99,16.83,14700,67.32
2011-06-13,16.14,17.22,15.81,16.70,16400,66.80
2011-06-06,15.26,16.27,15.16,16.20,19100,64.80
2011-05-31,14.99,15.66,14.79,15.08,19700,60.32
2011-05-23,17.14,17.21,15.20,15.30,18300,61.20
2011-05-16,16.79,16.95,15.74,16.47,25100,65.88
2011-05-09,15.60,16.84,15.15,16.61,17500,66.44
2011-05-02,14.17,16.43,14.17,15.61,22300,62.44
2011-04-25,14.11,14.84,13.80,14.30,5800,57.20
2011-04-18,15.02,15.49,13.94,13.95,7000,55.80
2011-04-11,13.75,15.11,13.65,14.55,17100,58.20
2011-04-04,13.75,14.02,13.46,13.66,11700,54.64
2011-03-28,15.42,15.74,13.78,13.80,21600,55.20
2011-03-21,15.91,16.09,15.08,15.36,15000,61.44
2011-03-14,16.39,17.29,15.93,16.28,25800,65.12
2011-03-07,15.19,16.83,15.19,16.37,13600,65.48
2011-02-28,16.02,16.46,15.22,15.34,20500,61.36
2011-02-22,16.45,16.93,15.90,16.14,46100,64.56
2011-02-14,17.30,17.30,15.77,15.79,13300,63.16
2011-02-07,17.39,18.03,16.93,17.12,41500,68.48
2011-01-31,16.74,17.45,15.67,17.14,27900,68.56
2011-01-24,15.87,17.48,15.49,16.96,23200,67.84
2011-01-18,14.79,15.93,14.76,15.89,10600,63.56
2011-01-10,15.74,15.92,14.40,14.92,12200,59.68
2011-01-03,14.86,15.70,14.57,15.52,20000,62.08
2010-12-27,16.66,16.73,14.94,15.06,21700,60.24
2010-12-20,16.98,17.45,16.34,16.39,22100,65.56
2010-12-13,16.75,17.32,16.31,16.98,29300,67.92
2010-12-06,16.14,17.51,15.54,17.02,21900,68.08
2010-11-29,17.68,18.21,15.90,16.01,24600,64.04
2010-11-22,16.78,18.04,16.61,17.44,25900,69.76
2010-11-15,16.51,17.98,16.36,16.46,35400,65.84
2010-11-08,15.35,17.09,15.02,16.77,24000,67.08
2010-11-01,16.52,16.53,14.83,15.04,26500,60.16
2010-10-25,16.81,17.32,16.36,16.78,20400,67.12
2010-10-18,15.70,17.40,15.32,17.25,37200,69.00
2010-10-11,15.87,16.45,15.18,15.50,30800,62.00
2010-10-04,16.58,17.00,15.75,16.07,46200,64.28
2010-09-27,18.45,18.70,16.43,16.58,42400,66.32
2010-09-20,19.46,19.67,17.88,18.50,33800,74.00
2010-09-13,19.64,19.74,18.87,19.62,19900,78.48
2010-09-07,20.53,20.98,20.05,20.25,20000,81.00
2010-08-30,22.09,22.89,19.63,20.34,33500,81.36
2010-08-23,21.11,23.62,21.01,21.75,56300,87.00
2010-08-16,21.83,21.95,20.47,21.40,34900,85.60
2010-08-09,20.24,22.80,20.20,22.00,61500,88.00
2010-08-02,20.26,20.80,19.86,20.52,34400,82.08
2010-07-26,21.76,22.04,20.81,21.03,37800,84.12
2010-07-19,25.13,25.37,21.51,21.61,46700,86.44
2010-07-12,23.60,25.54,23.29,25.47,38200,101.88
2010-07-06,25.23,26.54,22.97,23.05,35400,92.20
2010-06-28,23.88,28.61,23.88,26.02,47800,104.08
2010-06-21,22.94,25.34,22.74,23.95,38100,95.80
2010-06-14,24.69,25.78,23.64,24.02,38400,96.08
2010-06-07,28.49,29.69,25.15,25.24,46700,100.96
2010-06-01,27.62,28.85,25.61,28.58,39800,114.32
2010-05-24,29.84,33.94,26.99,27.52,63500,110.08
2010-05-17,26.37,33.88,25.70,30.02,106900,120.08
2010-05-10,23.94,27.00,23.75,26.34,64400,105.36
2010-05-03,22.52,31.30,22.37,28.81,58400,115.24
2010-04-26,22.06,24.86,21.91,22.84,33900,91.36
2010-04-19,22.80,23.43,21.80,22.20,33000,88.80
2010-04-12,21.14,22.75,20.85,22.42,15800,89.68
2010-04-05,21.04,22.33,20.90,21.20,13400,84.80
2010-03-29,24.02,24.05,21.27,21.52,27000,86.08
2010-03-22,24.66,25.10,22.85,24.50,23500,98.00
2010-03-15,22.90,24.05,21.89,23.96,16900,95.84
2010-03-08,23.38,24.26,22.06,22.79,15600,91.16
2010-03-01,25.72,25.90,23.40,23.48,24100,93.92
2010-02-22,24.94,28.79,24.94,26.29,41600,105.16
2010-02-16,26.84,27.18,24.95,25.36,27500,101.44
2010-02-08,31.00,31.68,27.24,27.81,40200,111.24
2010-02-01,29.53,33.45,26.47,30.60,43100,122.40
2010-01-25,26.64,30.52,26.45,30.24,49600,120.96
2010-01-19,23.50,27.77,22.88,27.43,23700,109.72
2010-01-11,21.20,24.03,21.13,23.76,9300,95.04
2010-01-04,22.28,22.32,21.02,21.31,7400,85.24
2009-12-28,23.20,23.65,22.91,23.16,4600,92.64
2009-12-21,24.95,25.87,23.72,23.79,9400,95.16
2009-12-14,22.72,25.99,22.66,25.36,8100,101.44
2009-12-07,23.05,24.73,22.25,23.26,12300,93.04
2009-11-30,24.13,24.46,21.35,22.94,16400,91.76
2009-11-23,23.80,25.39,22.98,24.49,12500,97.96
2009-11-16,24.58,25.51,23.02,24.94,14600,99.76
2009-11-09,24.75,26.41,23.54,25.15,14800,100.60
2009-11-02,29.67,31.09,25.61,25.74,17500,102.96
2009-10-26,26.42,32.86,25.91,30.28,16500,121.12
2009-10-19,26.32,29.20,25.33,26.93,12100,107.72
2009-10-12,28.03,29.10,26.00,26.40,1800,105.60
2009-10-05,33.20,33.24,28.99,28.99,1900,115.96
2009-09-28,35.48,35.70,32.77,33.56,2700,134.24
2009-09-21,36.57,36.83,33.55,35.78,800,143.12
2009-09-14,40.10,40.10,35.14,36.13,1000,144.52
2009-09-08,40.87,41.29,38.60,39.38,1400,157.52
2009-08-31,45.29,48.44,42.88,43.13,1600,172.52
2009-08-24,40.20,45.12,39.88,44.00,900,176.00
2009-08-17,47.46,47.97,41.07,41.25,1800,165.00
2009-08-10,42.43,45.17,42.06,44.01,800,176.04
2009-08-03,44.59,44.59,41.72,42.00,400,168.00
2009-07-27,48.95,51.02,47.53,47.72,200,190.88
2009-07-20,52.30,52.64,47.85,48.95,3200,195.80
2009-07-13,67.00,68.77,54.41,54.69,1700,218.76
2009-07-06,62.88,70.15,61.10,66.90,1000,267.60
2009-06-29,57.28,59.86,54.89,59.80,700,239.20
2009-06-22,62.77,66.51,57.23,57.28,600,229.12
2009-06-19,58.96,59.01,58.39,58.44,500,233.76
