Date,Open,High,Low,Close,Volume,Adj Close
2011-09-16,24.33,24.33,23.75,23.93,5970658,23.93
2011-09-15,23.30,23.76,23.08,23.63,7936800,23.63
2011-09-14,23.99,24.00,23.26,23.45,8765200,23.45
2011-09-13,23.85,24.13,23.72,24.06,2801700,24.06
2011-09-12,23.64,23.89,23.45,23.85,3258000,23.85
2011-09-09,24.51,24.54,23.68,23.80,4518400,23.80
2011-09-08,24.61,24.91,24.54,24.76,3163200,24.76
2011-09-07,24.19,24.74,24.15,24.74,2956600,24.74
2011-09-06,23.67,24.04,23.40,23.90,2295000,23.90
2011-09-02,24.33,24.46,24.07,24.09,2219000,24.09
2011-09-01,24.48,24.82,24.34,24.55,3165500,24.55
2011-08-31,24.61,24.68,24.18,24.42,7001500,24.42
2011-08-30,24.24,24.65,24.11,24.55,2883700,24.55
2011-08-29,24.13,24.44,24.08,24.41,2298800,24.41
2011-08-26,23.61,23.99,23.18,23.91,2240900,23.91
2011-08-25,24.08,24.16,23.61,23.66,2555700,23.66
2011-08-24,23.79,24.08,23.69,24.04,2975400,24.04
2011-08-23,23.33,23.92,23.17,23.92,4157900,23.92
2011-08-22,23.58,23.62,23.21,23.27,2953400,23.27
2011-08-19,23.16,23.54,23.10,23.28,4134400,23.28
2011-08-18,23.42,23.58,23.08,23.39,4992500,23.39
2011-08-17,24.02,24.26,23.62,23.75,2988100,23.75
2011-08-16,23.44,23.84,23.33,23.75,5138500,23.75
2011-08-15,23.36,23.62,23.17,23.60,3323500,23.60
2011-08-12,23.22,23.40,22.95,23.19,5147700,23.19
2011-08-11,22.82,23.24,22.56,23.01,6303300,23.01
2011-08-10,22.80,23.18,22.64,22.72,9276400,22.72
2011-08-09,23.23,23.74,22.20,22.99,13790100,22.99
2011-08-08,23.90,24.30,23.35,23.57,12652500,23.57
2011-08-05,24.40,24.50,23.82,24.44,8025900,24.44
2011-08-04,24.87,25.04,24.08,24.12,5384900,24.12
2011-08-03,25.13,25.38,24.94,25.08,4708900,25.08
2011-08-02,25.29,25.46,25.16,25.16,3208200,25.16
2011-08-01,25.83,25.83,25.34,25.48,4089300,25.48
2011-07-29,25.51,25.76,25.36,25.61,4481600,25.61
2011-07-28,25.84,25.95,25.60,25.63,3073500,25.63
2011-07-27,26.10,26.16,25.74,25.78,3402800,25.78
2011-07-26,26.38,26.43,26.18,26.36,3761700,26.13
2011-07-25,26.26,26.60,26.25,26.25,3054000,26.02
2011-07-22,26.50,26.53,26.30,26.52,2904100,26.29
2011-07-21,26.47,26.59,26.37,26.53,3094000,26.30
2011-07-20,26.56,26.57,26.29,26.39,3242300,26.16
2011-07-19,26.19,26.50,26.16,26.49,3551400,26.26
2011-07-18,26.12,26.27,26.03,26.23,7675900,26.00
2011-07-15,25.98,26.37,25.67,26.37,13149600,26.14
2011-07-14,26.30,26.41,26.21,26.26,10847600,26.03
2011-07-13,26.42,26.48,26.24,26.27,4222200,26.04
2011-07-12,26.10,26.50,26.04,26.32,4867700,26.09
2011-07-11,26.15,26.29,25.94,26.15,3665400,25.92
2011-07-08,26.06,26.34,26.02,26.31,4606400,26.08
2011-07-07,26.09,26.50,26.08,26.25,7432900,26.02
2011-07-06,25.74,26.00,25.70,25.99,4116700,25.76
2011-07-05,25.86,25.89,25.64,25.74,2269900,25.52
2011-07-01,25.75,25.90,25.69,25.90,4059000,25.67
2011-06-30,25.76,25.83,25.62,25.81,5050900,25.58
2011-06-29,25.73,25.92,25.56,25.71,3076200,25.49
2011-06-28,25.52,25.86,25.47,25.72,5131600,25.50
2011-06-27,25.69,25.75,25.36,25.39,3883100,25.17
2011-06-24,25.33,25.52,25.15,25.20,5500100,24.98
2011-06-23,24.68,25.64,24.55,25.37,11999700,25.15
2011-06-22,24.94,25.44,24.90,25.42,8296400,25.20
2011-06-21,24.96,25.16,24.81,24.93,7260200,24.71
2011-06-20,24.65,24.97,24.62,24.86,3285100,24.64
2011-06-17,24.87,24.98,24.63,24.65,5231000,24.43
2011-06-16,24.50,24.91,24.27,24.67,6047200,24.45
2011-06-15,24.27,24.31,23.91,24.03,4196100,23.82
2011-06-14,24.45,24.49,24.23,24.40,3571800,24.19
2011-06-13,24.31,24.46,24.16,24.31,2428800,24.10
2011-06-10,24.27,24.46,24.14,24.18,3299200,23.97
2011-06-09,24.36,24.63,24.26,24.55,3225200,24.34
2011-06-08,24.34,24.36,24.00,24.34,3108300,24.13
2011-06-07,24.44,24.65,24.32,24.33,2881300,24.12
2011-06-06,24.39,24.49,24.32,24.36,2896200,24.15
2011-06-03,24.72,24.75,24.42,24.47,3825500,24.26
2011-06-02,25.32,25.33,24.78,24.94,3324800,24.72
2011-06-01,25.43,25.50,25.27,25.29,4284600,25.07
