Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,23.64,24.33,23.08,23.93,5746100,23.93
2011-09-06,23.67,24.91,23.40,23.80,3233300,23.80
2011-08-29,24.13,24.82,24.07,24.09,3513700,24.09
2011-08-22,23.58,24.16,23.17,23.91,2976600,23.91
2011-08-15,23.36,24.26,23.08,23.28,4115400,23.28
2011-08-08,23.90,24.30,22.20,23.19,9434000,23.19
2011-08-01,25.83,25.83,23.82,24.44,5083400,24.44
2011-07-25,26.26,26.60,25.36,25.61,3554700,25.61
2011-07-18,26.12,26.59,26.03,26.52,4093500,26.29
2011-07-11,26.15,26.50,25.67,26.37,7350500,26.14
2011-07-05,25.86,26.50,25.64,26.31,4606400,26.08
2011-06-27,25.69,25.92,25.36,25.90,4240100,25.67
2011-06-20,24.65,25.64,24.55,25.20,7268300,24.98
2011-06-13,24.31,24.98,23.91,24.65,4294900,24.43
2011-06-06,24.39,24.65,24.00,24.18,3082000,23.97
2011-05-31,25.14,25.50,24.42,24.47,3739000,24.26
2011-05-23,25.35,25.54,24.67,25.04,3125900,24.82
2011-05-16,25.42,25.69,25.15,25.52,4094300,25.30
2011-05-09,25.22,25.61,25.02,25.52,3269300,25.30
2011-05-02,24.50,25.82,24.50,25.17,9671700,24.95
2011-04-25,24.05,24.50,23.96,24.45,3768400,24.24
2011-04-18,24.43,24.74,24.05,24.12,3192100,23.68
2011-04-11,23.67,24.71,23.51,24.69,3978500,24.24
2011-04-04,23.92,23.99,23.58,23.65,2216500,23.22
2011-03-28,23.84,23.99,23.61,23.84,3019500,23.41
2011-03-21,22.89,23.90,22.64,23.83,4383700,23.40
2011-03-14,23.25,23.39,22.44,22.77,6056400,22.36
2011-03-07,23.20,23.47,23.02,23.37,2747300,22.95
2011-02-28,23.08,23.30,22.65,23.16,3223000,22.74
2011-02-22,22.49,23.09,22.45,23.00,4146500,22.58
2011-02-14,22.55,22.85,22.36,22.76,3899400,22.35
2011-02-07,22.78,22.95,22.36,22.52,3755600,22.11
2011-01-31,22.48,22.85,22.28,22.78,3401600,22.37
2011-01-24,23.44,23.68,22.43,22.44,4978600,22.03
2011-01-18,23.16,23.64,23.08,23.47,3336400,22.82
2011-01-10,22.76,23.37,22.52,23.11,4246500,22.47
2011-01-03,22.69,22.85,22.43,22.61,5096400,21.98
2010-12-27,22.32,22.70,22.26,22.58,2559900,21.95
2010-12-20,22.57,22.71,22.20,22.40,4621800,21.78
2010-12-13,22.40,22.56,22.03,22.49,3793900,21.86
2010-12-06,22.05,22.39,21.80,22.33,3416700,21.71
2010-11-29,21.48,22.10,21.43,22.08,4702500,21.47
2010-11-22,21.46,21.68,21.25,21.62,1964400,21.02
2010-11-15,22.05,22.18,21.02,21.48,3402900,20.88
2010-11-08,22.08,22.32,21.87,22.01,2950700,21.40
2010-11-01,22.54,22.56,21.97,22.14,3110400,21.52
2010-10-25,23.02,23.16,22.19,22.49,3234400,21.86
2010-10-18,22.40,23.00,22.40,22.95,5036400,22.09
2010-10-11,21.92,22.85,21.85,22.42,4722600,21.58
2010-10-04,22.15,22.39,21.78,21.87,4362600,21.05
2010-09-27,21.71,22.17,21.65,22.13,4714500,21.30
2010-09-20,22.13,22.38,21.03,21.78,7777400,20.96
2010-09-13,22.09,22.31,21.67,22.09,3149200,21.26
2010-09-07,21.90,22.16,21.78,21.95,3156100,21.12
2010-08-30,21.59,22.15,21.34,21.99,3095800,21.16
2010-08-23,21.50,21.75,21.23,21.74,3696600,20.92
2010-08-16,21.53,22.13,21.34,21.45,4580500,20.64
2010-08-09,22.32,22.52,21.33,21.62,8188100,20.81
2010-08-02,23.69,23.87,22.18,22.21,7295700,21.37
2010-07-26,23.82,24.25,23.15,23.48,3312800,22.60
2010-07-19,23.73,24.06,23.50,23.93,3058500,22.84
2010-07-12,23.89,24.24,23.63,23.66,3007900,22.58
2010-07-06,23.37,24.08,23.12,23.91,3182000,22.82
2010-06-28,23.99,24.16,23.01,23.16,5207500,22.10
2010-06-21,25.14,25.25,23.80,23.92,4648500,22.83
2010-06-14,24.99,25.42,24.89,24.97,4033600,23.83
2010-06-07,24.19,25.04,23.97,24.88,4430200,23.74
2010-06-01,23.99,24.84,23.83,24.21,3415500,23.10
2010-05-24,24.71,24.75,23.69,24.18,4332300,23.08
2010-05-17,24.40,24.84,23.90,24.76,7299900,23.63
2010-05-10,24.19,24.92,23.83,24.37,3938400,23.26
2010-05-03,24.58,24.83,22.36,23.58,5409300,22.50
2010-04-26,24.85,25.01,24.09,24.47,4416400,23.35
2010-04-19,24.79,25.16,24.66,24.91,2755300,23.58
2010-04-12,25.13,25.28,24.76,24.88,3943000,23.55
2010-04-05,25.34,25.38,24.79,25.23,4434800,23.88
2010-03-29,24.69,25.29,24.62,25.23,4612600,23.88
2010-03-22,25.54,26.32,24.23,24.64,6810800,23.32
2010-03-15,25.34,26.04,25.30,25.84,3813800,24.46
2010-03-08,25.31,25.49,25.05,25.37,2632200,24.01
2010-03-01,24.55,25.29,24.55,25.29,4361600,23.94
2010-02-22,24.61,24.75,24.17,24.46,3755800,23.15
2010-02-16,23.63,24.70,23.41,24.64,4580000,23.32
2010-02-08,22.87,23.44,22.65,23.40,3882800,22.15
2010-02-01,22.85,23.14,22.19,22.83,5374000,21.61
2010-01-25,23.25,23.40,22.67,22.74,3372800,21.52
2010-01-19,23.28,23.95,23.14,23.14,4139500,21.71
2010-01-11,23.09,23.86,23.06,23.26,3545500,21.83
2010-01-04,23.25,23.55,22.95,23.02,3131800,21.60
2009-12-28,23.42,23.67,23.04,23.05,2357900,21.63
2009-12-21,22.76,23.42,21.83,23.25,5729300,21.82
2009-12-14,22.54,22.75,21.91,22.16,3809200,20.79
2009-12-07,22.54,22.76,22.08,22.47,2716000,21.08
2009-11-30,22.25,22.79,22.09,22.60,2812400,21.21
2009-11-23,22.47,22.84,21.98,22.18,2214700,20.81
2009-11-16,22.46,22.50,22.07,22.35,3111000,20.97
2009-11-09,21.44,22.48,21.44,22.41,4000700,21.03
2009-11-02,21.13,21.40,20.55,21.40,3533500,20.08
2009-10-26,21.51,21.72,20.90,21.00,4006600,19.70
2009-10-19,21.70,22.39,21.48,21.56,3160300,20.04
2009-10-12,21.50,21.78,20.97,21.70,4312600,20.17
2009-10-05,21.46,21.49,21.01,21.41,4326600,19.90
2009-09-28,21.48,21.94,21.00,21.41,4340200,19.90
2009-09-21,22.30,22.73,21.42,21.47,5420300,19.96
2009-09-14,22.17,22.44,21.93,22.32,5013900,20.75
2009-09-08,20.97,22.24,20.80,22.22,5539800,20.66
2009-08-31,20.18,20.74,19.74,20.72,5036400,19.26
2009-08-24,20.26,20.52,20.09,20.27,3277000,18.84
2009-08-17,19.15,20.31,19.00,20.21,4149800,18.79
2009-08-10,19.58,19.81,19.14,19.20,3192400,17.85
2009-08-03,19.87,20.00,19.48,19.59,2970400,18.21
2009-07-27,19.69,20.00,19.33,19.63,3925900,18.25
2009-07-20,19.00,19.72,18.74,19.67,3557200,18.11
2009-07-13,18.73,19.24,18.56,18.91,4388400,17.41
2009-07-06,18.54,19.35,18.51,18.69,4318600,17.21
2009-06-29,19.34,19.56,18.56,18.56,4946900,17.09
2009-06-22,18.74,20.06,18.56,19.34,7238900,17.81
2009-06-15,18.80,19.11,18.47,18.76,4715500,17.27
2009-06-08,19.70,19.92,19.10,19.46,3613000,17.92
2009-06-01,18.77,19.85,18.67,19.84,3910200,18.27
2009-05-26,18.38,18.74,17.94,18.59,3488300,17.12
2009-05-18,17.76,18.72,17.66,18.44,4539100,16.98
2009-05-11,17.50,17.91,17.40,17.66,3977300,16.26
2009-05-04,17.88,18.35,17.46,17.57,4303900,16.18
2009-04-27,17.83,18.09,17.39,17.95,3595000,16.53
2009-04-20,18.13,18.31,17.72,17.89,4203600,16.30
2009-04-13,17.51,18.48,17.38,18.27,4185000,16.64
2009-04-06,16.92,17.66,16.75,17.65,3752900,16.08
2009-03-30,16.72,17.40,16.37,17.10,5370700,15.58
2009-03-23,15.28,17.46,14.90,16.95,6921500,15.44
2009-03-16,14.92,15.27,14.55,15.07,4862800,13.73
2009-03-09,14.64,14.83,14.00,14.81,4409300,13.49
2009-03-02,14.95,15.47,14.38,14.71,4839700,13.40
2009-02-23,15.78,15.84,14.85,15.08,3940800,13.74
2009-02-17,16.37,16.50,15.44,15.66,5437200,14.27
2009-02-09,17.41,17.61,16.16,16.22,5616600,14.78
2009-02-02,17.05,17.98,16.94,17.48,4022600,15.92
2009-01-26,17.80,17.98,16.99,17.10,5314700,15.58
2009-01-20,16.82,17.71,16.43,17.66,6637400,15.92
2009-01-12,16.67,17.13,16.31,16.99,4706400,15.31
2009-01-05,16.79,16.97,16.38,16.73,4634700,15.08
2009-01-02,16.54,16.95,16.47,16.80,3318300,15.14
