Date,Open,High,Low,Close,Volume,Adj Close
2011-09-16,33.44,33.69,33.08,33.52,10767981,33.52
2011-09-15,33.37,33.51,32.71,33.32,5687800,33.32
2011-09-14,32.77,33.45,31.91,32.95,6395900,32.95
2011-09-13,31.39,32.57,31.19,32.25,8185200,32.25
2011-09-12,30.29,31.54,30.16,31.49,8383800,31.49
2011-09-09,30.84,31.15,30.46,30.68,6718700,30.68
2011-09-08,31.50,32.07,31.23,31.61,7357100,31.61
2011-09-07,31.33,31.89,31.16,31.83,5625300,31.83
2011-09-06,29.77,30.55,29.69,30.47,7343000,30.47
2011-09-02,31.03,31.23,30.63,30.86,5771400,30.86
2011-09-01,32.83,32.87,31.73,31.96,6472900,31.96
2011-08-31,33.09,33.63,32.70,33.03,5783400,33.03
2011-08-30,32.75,32.93,32.22,32.68,4910700,32.68
2011-08-29,31.43,33.00,31.43,32.95,4706700,32.95
2011-08-26,30.37,31.40,29.78,30.91,7976200,30.91
2011-08-25,31.66,31.84,30.12,30.26,8523900,30.26
2011-08-24,30.37,31.76,30.29,31.55,6819600,31.55
2011-08-23,29.59,30.93,29.53,30.88,5854000,30.63
2011-08-22,30.33,30.42,29.44,29.84,6215000,29.60
2011-08-19,28.96,30.40,28.96,29.52,8793100,29.28
2011-08-18,30.47,30.57,29.68,30.03,9880800,29.79
2011-08-17,31.59,31.93,31.14,31.42,5045100,31.17
2011-08-16,31.13,31.75,30.80,31.47,6090800,31.22
2011-08-15,31.39,31.72,31.25,31.53,4457700,31.27
2011-08-12,31.44,31.89,30.82,31.10,5879600,30.85
2011-08-11,29.68,31.24,29.44,30.82,12588700,30.57
2011-08-10,30.40,30.56,29.36,29.42,11284400,29.18
2011-08-09,31.18,31.89,29.82,31.84,15480800,31.58
2011-08-08,30.65,31.23,29.76,30.53,20321900,30.28
2011-08-05,31.76,32.40,30.95,32.22,17180700,31.96
2011-08-04,31.13,31.80,30.15,31.49,11314700,31.24
2011-08-03,31.77,32.42,30.96,32.23,6288600,31.97
2011-08-02,32.21,32.56,31.77,31.77,4877300,31.51
2011-08-01,33.89,33.90,32.52,32.81,4502800,32.54
2011-07-29,33.57,33.86,33.28,33.30,4971900,33.03
2011-07-28,34.58,34.64,33.73,33.87,8688800,33.60
2011-07-27,36.06,36.13,34.89,34.97,4738100,34.69
2011-07-26,36.37,36.74,36.00,36.06,2271400,35.77
2011-07-25,36.18,36.33,36.01,36.14,2338700,35.85
2011-07-22,36.61,36.86,36.45,36.55,3023900,36.25
2011-07-21,35.81,36.58,35.73,36.28,3715100,35.99
2011-07-20,35.78,35.78,35.35,35.42,2927200,35.13
2011-07-19,35.06,35.80,35.06,35.67,3023600,35.38
2011-07-18,34.68,34.95,34.38,34.73,3874100,34.45
2011-07-15,35.34,35.44,34.91,35.19,2971500,34.91
2011-07-14,35.81,35.88,34.68,35.31,5787700,35.02
2011-07-13,36.06,36.61,35.88,36.01,3691900,35.72
2011-07-12,36.01,36.44,35.76,35.83,5376900,35.54
2011-07-11,36.45,36.66,36.15,36.39,4303800,36.10
2011-07-08,37.44,37.47,36.81,37.38,3874100,37.08
2011-07-07,37.96,38.22,37.91,38.10,3561400,37.79
2011-07-06,37.91,38.11,37.70,37.86,4019500,37.55
2011-07-05,38.64,38.69,38.05,38.33,3976800,38.02
2011-07-01,37.88,38.83,37.86,38.79,3654500,38.48
2011-06-30,37.74,37.89,37.34,37.63,3906600,37.33
2011-06-29,38.13,38.28,37.31,37.38,4353300,37.08
2011-06-28,37.62,38.09,37.62,37.81,2710800,37.50
2011-06-27,37.39,37.71,37.26,37.45,2585700,37.15
2011-06-24,37.79,37.90,37.17,37.30,5763700,37.00
2011-06-23,36.05,37.86,36.05,37.64,7817800,37.34
2011-06-22,37.10,37.15,36.32,36.36,4088100,36.07
