Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,30.29,33.69,30.16,33.52,7883700,33.52
2011-09-06,29.77,32.07,29.69,30.68,6761000,30.68
2011-08-29,31.43,33.63,30.63,30.86,5529000,30.86
2011-08-22,30.33,31.84,29.44,30.91,7077700,30.91
2011-08-15,31.39,31.93,28.96,29.52,6853500,29.28
2011-08-08,30.65,31.89,29.36,31.10,13111000,30.85
2011-08-01,33.89,33.90,30.15,32.22,8832800,31.96
2011-07-25,36.18,36.74,33.28,33.30,4601700,33.03
2011-07-18,34.68,36.86,34.38,36.55,3312700,36.25
2011-07-11,36.45,36.66,34.68,35.19,4426300,34.91
2011-07-05,38.64,38.69,36.81,37.38,3857900,37.08
2011-06-27,37.39,38.83,37.26,38.79,3442100,38.48
2011-06-20,34.91,37.90,34.70,37.30,6128200,37.00
2011-06-13,35.27,35.98,34.21,35.27,6265300,34.98
2011-06-06,36.54,37.38,35.41,35.80,4618300,35.51
2011-05-31,39.05,39.05,36.49,36.65,3558800,36.35
2011-05-23,38.66,39.00,37.60,38.40,3122800,38.09
2011-05-16,40.66,40.99,39.50,39.56,3542600,39.24
2011-05-09,39.99,41.83,39.45,41.02,3721200,40.44
2011-05-02,38.32,41.95,38.03,40.18,5543600,39.61
2011-04-25,37.49,39.40,36.90,38.07,4380700,37.53
2011-04-18,37.24,38.70,37.16,37.61,4579300,37.07
2011-04-11,37.48,39.19,37.22,37.98,5134900,37.44
2011-04-04,39.16,39.16,37.09,37.40,4842300,36.87
2011-03-28,39.08,39.21,37.86,38.25,5301500,37.71
2011-03-21,40.25,41.28,38.61,38.78,7377200,38.23
2011-03-14,39.43,40.16,38.08,39.63,6446800,39.07
2011-03-07,40.64,41.76,39.12,39.94,7792700,39.37
2011-02-28,43.28,43.37,39.74,40.36,7114900,39.79
2011-02-22,43.13,44.11,40.52,42.78,6871000,42.17
2011-02-14,47.46,47.48,45.44,45.70,2720600,45.05
2011-02-07,45.76,47.71,45.68,47.63,2493900,46.70
2011-01-31,44.76,45.95,44.63,45.79,3290700,44.90
2011-01-24,45.79,47.54,44.50,44.61,4041600,43.74
2011-01-18,47.99,48.13,45.45,46.12,3219400,45.22
2011-01-10,46.53,48.00,46.03,47.85,3093600,46.92
2011-01-03,46.44,48.14,46.32,47.14,3228300,46.22
2010-12-27,46.04,46.39,45.66,46.11,1590700,45.21
2010-12-20,43.07,47.22,42.58,46.30,5013000,45.40
2010-12-13,44.47,44.47,42.09,42.51,4029200,41.68
2010-12-06,42.90,44.44,42.77,43.97,2778500,43.11
2010-11-29,41.19,43.46,40.56,43.29,3829100,42.45
2010-11-22,41.79,42.51,40.79,41.76,3208800,40.95
2010-11-15,42.57,42.62,40.97,41.92,3173000,41.10
2010-11-08,44.36,44.51,42.16,42.54,3828900,41.61
2010-11-01,43.59,44.90,42.44,44.70,4394700,43.72
2010-10-25,40.64,43.67,40.47,43.17,6857900,42.23
2010-10-18,39.43,40.23,38.92,40.14,6242000,39.26
2010-10-11,40.16,40.59,39.24,39.33,4764800,38.47
2010-10-04,38.27,40.37,37.65,40.28,5598700,39.40
2010-09-27,37.87,39.08,37.27,38.39,4713200,37.55
2010-09-20,36.28,38.92,36.23,37.79,6220200,36.96
2010-09-13,35.76,36.31,35.21,35.92,3531400,35.13
2010-09-07,33.87,35.65,33.72,35.28,4217000,34.51
2010-08-30,31.37,34.76,30.50,34.67,3828300,33.91
2010-08-23,31.89,32.10,29.95,31.46,4483100,30.77
2010-08-16,32.17,33.39,31.19,31.79,3712400,31.09
2010-08-09,35.64,35.72,32.13,32.51,4581700,31.70
2010-08-02,35.42,36.08,34.96,35.63,3448300,34.75
2010-07-26,34.08,35.19,33.89,34.68,3918000,33.82
2010-07-19,31.48,34.28,30.69,34.19,5283300,33.34
2010-07-12,31.72,32.99,31.30,31.41,4850300,30.63
2010-07-06,31.30,32.20,30.21,32.12,5443100,31.32
2010-06-28,32.86,32.90,29.68,30.62,9315100,29.86
2010-06-21,35.97,36.05,32.16,32.58,8431600,31.77
2010-06-14,37.07,37.48,35.24,35.41,6061600,34.53
2010-06-07,35.63,36.36,33.76,36.31,4592700,35.41
2010-06-01,36.40,37.53,35.17,35.29,4069200,34.41
2010-05-24,35.69,37.12,34.06,36.23,7077800,35.33
2010-05-17,37.87,38.86,35.00,35.61,6577600,34.73
