Date,Open,High,Low,Close,Volume,Adj Close
2011-09-08,0,0,0,72.69,0,72.69
2011-09-07,73.90,74.29,73.18,73.96,219300,73.96
2011-09-06,71.51,73.25,70.34,72.95,195200,72.95
2011-09-02,72.99,74.44,72.89,73.10,154600,73.10
2011-09-01,75.91,75.98,74.30,74.32,191100,74.32
2011-08-31,75.74,76.61,74.63,75.61,311800,75.61
2011-08-30,75.84,76.04,74.92,75.25,258200,75.25
2011-08-29,75.03,76.62,74.93,76.53,117500,76.08
2011-08-26,72.72,74.36,71.07,74.16,158600,73.72
2011-08-25,75.19,75.75,72.70,72.92,166800,72.49
2011-08-24,73.68,74.79,71.94,74.65,295600,74.21
2011-08-23,71.29,74.10,71.29,74.10,175700,73.66
2011-08-22,72.43,73.04,69.48,70.84,526200,70.42
2011-08-19,70.01,74.64,70.00,72.25,291000,71.83
2011-08-18,76.31,76.31,73.60,73.94,334400,73.51
2011-08-17,79.57,80.68,78.07,78.39,165900,77.93
2011-08-16,79.85,80.11,78.92,79.32,274700,78.85
2011-08-15,78.30,80.35,77.99,80.22,349200,79.75
2011-08-12,76.48,78.26,75.99,77.51,248200,77.05
2011-08-11,73.45,76.81,72.69,75.97,283000,75.52
2011-08-10,74.59,75.39,72.74,72.81,374900,72.38
2011-08-09,70.71,75.57,70.38,75.56,918300,75.12
2011-08-08,70.02,72.04,69.92,69.98,650100,69.57
2011-08-05,73.50,74.25,71.19,72.84,973600,72.41
2011-08-04,74.10,74.30,72.71,72.99,547600,72.56
2011-08-03,75.92,76.24,74.00,75.00,597500,74.56
2011-08-02,76.52,77.78,75.75,75.82,316400,75.37
2011-08-01,79.00,79.00,76.94,77.02,521000,76.57
2011-07-29,80.86,82.00,78.01,78.74,696000,78.28
2011-07-28,82.35,83.79,82.15,83.03,290200,82.54
2011-07-27,83.75,84.08,82.23,82.46,201900,81.98
2011-07-26,84.95,85.15,83.84,84.14,129100,83.65
2011-07-25,85.22,86.07,85.00,85.12,122900,84.62
2011-07-22,85.56,86.14,85.14,86.14,157100,85.63
2011-07-21,85.00,86.01,84.82,85.83,221900,85.33
2011-07-20,84.77,84.80,84.04,84.74,193200,84.24
2011-07-19,84.12,85.69,84.12,84.86,117800,84.36
2011-07-18,83.72,84.46,83.05,83.31,149500,82.82
2011-07-15,84.17,84.32,82.55,84.20,166300,83.70
2011-07-14,85.78,86.07,83.32,83.84,171500,83.35
2011-07-13,85.27,87.43,84.76,85.61,152500,85.11
2011-07-12,85.08,85.53,84.61,84.98,164100,84.48
2011-07-11,86.59,86.60,84.84,85.29,166200,84.79
2011-07-08,87.65,88.08,87.12,87.78,171100,87.26
2011-07-07,88.32,88.50,87.74,88.28,127700,87.76
2011-07-06,86.89,87.81,86.60,87.45,155800,86.94
2011-07-05,86.62,87.23,86.16,86.80,165000,86.29
2011-07-01,86.08,86.89,85.08,86.58,202700,86.07
2011-06-30,84.53,86.58,84.33,86.07,276400,85.56
2011-06-29,84.15,85.67,83.75,84.63,256500,84.13
2011-06-28,82.95,84.14,82.57,83.97,240700,83.48
2011-06-27,83.07,83.16,81.79,82.49,519200,82.00
2011-06-24,84.05,84.23,82.66,83.25,385700,82.76
2011-06-23,84.00,84.40,82.50,84.06,624100,83.57
2011-06-22,85.11,85.61,84.93,85.09,387400,84.59
2011-06-21,85.24,85.71,84.55,85.47,671300,84.97
2011-06-20,84.21,85.59,84.21,85.13,138700,84.63
2011-06-17,85.43,86.46,83.71,84.85,544100,84.35
2011-06-16,86.47,86.49,84.56,85.53,239400,85.03
2011-06-15,86.50,87.32,84.94,86.55,292400,86.04
2011-06-14,86.24,87.67,86.24,87.17,149600,86.66
2011-06-13,86.88,87.27,84.74,85.44,149000,84.94
2011-06-10,87.65,88.66,86.84,86.95,161200,86.44
2011-06-09,86.92,88.64,86.92,88.04,136700,87.52
2011-06-08,88.06,89.41,87.02,87.04,132000,86.53
2011-06-07,89.17,89.33,88.20,88.82,130200,88.30
2011-06-06,89.45,90.42,88.47,88.75,226400,88.23
2011-06-03,90.65,91.14,89.26,89.57,151000,89.04
2011-06-02,90.83,92.87,90.27,91.56,200400,91.02
2011-06-01,92.97,93.75,90.50,90.70,200500,90.17
2011-05-31,92.23,93.02,90.84,92.97,311800,92.42
2011-05-27,91.27,92.11,90.99,91.40,98000,90.86
2011-05-26,90.59,91.15,89.87,91.09,182400,90.11
2011-05-25,89.90,91.49,89.61,90.96,126800,89.98
2011-05-24,90.26,91.43,90.06,90.53,105800,89.55
2011-05-23,88.90,90.72,88.60,90.21,116700,89.24
2011-05-20,91.48,91.48,90.04,90.31,163100,89.34
2011-05-19,93.29,93.65,91.19,91.79,131300,90.80
2011-05-18,90.72,93.19,90.52,93.07,110200,92.07
2011-05-17,91.33,92.18,90.50,90.74,184600,89.76
2011-05-16,90.07,93.79,90.07,92.03,132900,91.04
2011-05-13,92.48,93.42,91.18,91.60,120300,90.61
2011-05-12,91.07,93.06,90.53,92.40,150000,91.40
2011-05-11,93.63,93.75,89.90,91.59,196400,90.60
2011-05-10,93.93,94.10,92.73,93.97,99400,92.96
2011-05-09,91.26,93.65,91.26,93.57,146000,92.56
2011-05-06,92.48,93.78,90.83,91.47,175900,90.48
2011-05-05,93.92,93.92,87.79,91.72,597700,90.73
2011-05-04,94.34,95.08,92.88,93.29,125000,92.28
2011-05-03,96.00,96.00,93.53,94.89,162000,93.87
2011-05-02,97.55,97.70,96.26,96.42,162000,95.38
2011-04-29,96.91,97.92,96.09,97.61,146000,96.56
2011-04-28,93.25,98.10,92.93,96.87,327800,95.82
2011-04-27,95.05,95.30,91.94,93.82,277600,92.81
2011-04-26,94.48,96.12,94.16,95.18,103600,94.15
2011-04-25,95.60,95.88,93.52,94.40,151200,93.38
2011-04-21,94.89,95.89,94.50,95.51,62700,94.48
2011-04-20,94.56,95.65,94.47,94.95,93500,93.93
2011-04-19,92.24,93.48,91.34,93.30,140600,92.29
2011-04-18,91.84,92.79,90.98,92.10,164500,91.11
2011-04-15,92.31,93.50,91.82,93.05,143300,92.05
2011-04-14,91.79,93.96,90.86,92.30,163100,91.30
2011-04-13,92.99,93.31,91.41,92.64,104200,91.64
2011-04-12,93.04,94.18,92.26,92.57,167000,91.57
2011-04-11,94.96,95.59,93.17,93.58,135500,92.57
2011-04-08,95.80,96.04,94.64,95.32,119700,94.29
2011-04-07,94.96,96.50,94.69,95.05,219200,94.02
2011-04-06,97.30,97.55,94.94,95.16,127400,94.13
2011-04-05,94.84,97.70,94.74,96.83,208500,95.79
2011-04-04,94.85,95.51,94.48,95.19,122300,94.16
2011-04-01,93.72,95.24,93.58,94.53,166000,93.51
2011-03-31,92.43,93.98,92.38,93.53,184300,92.52
2011-03-30,92.23,93.00,91.36,92.37,136200,91.37
2011-03-29,90.05,91.93,89.93,91.91,157700,90.92
2011-03-28,90.95,90.95,89.99,90.22,111900,89.25
2011-03-25,90.13,91.99,90.01,90.77,233400,89.79
2011-03-24,89.98,90.12,88.81,89.98,183300,89.01
2011-03-23,89.29,89.99,88.77,89.58,108800,88.61
2011-03-22,89.58,90.24,89.26,89.67,96700,88.70
2011-03-21,89.85,90.24,88.93,89.65,141400,88.68
2011-03-18,89.55,89.69,88.34,88.77,552000,87.81
2011-03-17,88.42,89.71,87.51,88.45,262600,87.50
2011-03-16,86.93,88.82,86.13,87.58,519800,86.63
2011-03-15,84.93,87.32,84.62,86.89,329400,85.95
2011-03-14,86.42,88.19,86.42,87.39,189600,86.45
2011-03-11,85.70,87.83,85.62,87.18,206300,86.24
