Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,71.51,74.29,70.34,72.69,208900,72.69
2011-08-29,75.03,76.62,72.89,73.10,206600,73.10
2011-08-22,72.43,75.75,69.48,74.16,264500,73.72
2011-08-15,78.30,80.68,70.00,72.25,283000,71.83
2011-08-08,70.02,78.26,69.92,77.51,494900,77.05
2011-08-01,79.00,79.00,71.19,72.84,591200,72.41
2011-07-25,85.22,86.07,78.01,78.74,288000,78.28
2011-07-18,83.72,86.14,83.05,86.14,167900,85.63
2011-07-11,86.59,87.43,82.55,84.20,164100,83.70
2011-07-05,86.62,88.50,86.16,87.78,154900,87.26
2011-06-27,83.07,86.89,81.79,86.58,299100,86.07
2011-06-20,84.21,85.71,82.50,83.25,441400,82.76
2011-06-13,86.88,87.67,83.71,84.85,274900,84.35
2011-06-06,89.45,90.42,86.84,86.95,157300,86.44
2011-05-31,92.23,93.75,89.26,89.57,215900,89.04
2011-05-23,88.90,92.11,88.60,91.40,125900,90.86
2011-05-16,90.07,93.79,90.04,90.31,144400,89.34
2011-05-09,91.26,94.10,89.90,91.60,142400,90.61
2011-05-02,97.55,97.70,87.79,91.47,244500,90.48
2011-04-25,95.60,98.10,91.94,97.61,201200,96.56
2011-04-18,91.84,95.89,90.98,95.51,115300,94.48
2011-04-11,94.96,95.59,90.86,93.05,142600,92.05
2011-04-04,94.85,97.70,94.48,95.32,159400,94.29
2011-03-28,90.95,95.24,89.93,94.53,151200,93.51
2011-03-21,89.85,91.99,88.77,90.77,152700,89.79
2011-03-14,86.42,89.71,84.62,88.77,370600,87.81
2011-03-07,90.27,90.66,85.26,87.18,317400,86.24
2011-02-28,92.55,93.90,89.68,90.45,232000,89.47
2011-02-22,93.75,94.97,88.70,92.00,254900,91.01
2011-02-14,95.12,98.00,94.31,95.07,156700,93.58
2011-02-07,94.27,96.14,91.73,94.82,208000,93.33
2011-01-31,91.10,95.65,91.10,93.87,220000,92.39
2011-01-24,85.35,92.96,85.23,90.92,256600,89.49
2011-01-18,89.02,90.55,85.04,85.35,235700,84.01
2011-01-10,86.28,90.47,85.69,89.14,187700,87.74
2011-01-03,89.77,91.01,86.70,87.79,237100,86.41
2010-12-27,88.76,90.91,87.78,89.27,130200,87.87
2010-12-20,87.65,89.63,86.88,88.70,200300,87.31
2010-12-13,89.70,90.58,85.75,87.53,538000,86.15
2010-12-06,86.87,90.59,86.40,89.66,1482200,88.25
2010-11-29,81.30,87.10,79.90,86.87,392600,85.50
2010-11-22,81.39,83.45,80.62,81.88,163200,80.21
2010-11-15,80.03,82.20,78.15,81.80,200300,80.13
2010-11-08,81.84,82.75,79.15,79.57,229500,77.95
2010-11-01,79.09,82.60,78.44,82.15,182300,80.47
2010-10-25,77.82,80.23,75.50,78.87,282100,77.26
2010-10-18,76.77,78.83,76.10,77.24,171600,75.66
2010-10-11,79.85,80.50,76.75,78.17,248800,76.57
2010-10-04,76.25,80.21,74.25,79.74,410100,78.11
2010-09-27,79.34,79.72,75.67,76.13,287700,74.58
2010-09-20,72.19,80.30,71.85,79.49,334700,77.87
2010-09-13,73.45,74.38,71.14,72.30,178700,70.82
2010-09-07,73.91,76.00,72.41,72.65,149300,71.17
2010-08-30,71.32,74.25,70.24,74.03,148300,72.52
2010-08-23,72.49,73.49,70.07,71.92,215700,70.07
2010-08-16,71.36,75.27,70.16,71.87,242900,70.02
2010-08-09,76.03,76.12,70.63,70.96,222600,69.13
2010-08-02,71.67,75.61,71.20,75.12,301400,73.19
2010-07-26,77.91,78.00,68.50,70.69,563000,68.87
2010-07-19,75.20,78.00,74.76,77.71,210100,75.71
2010-07-12,76.22,77.64,74.60,75.22,190400,73.29
2010-07-06,74.51,76.80,72.42,76.75,231400,74.78
2010-06-28,75.96,75.96,69.95,73.45,505900,71.56
2010-06-21,78.37,79.81,75.67,75.70,308800,73.75
2010-06-14,78.37,79.08,77.21,78.25,224000,76.24
2010-06-07,73.25,77.92,72.72,77.81,309800,75.81
2010-06-01,75.59,76.06,72.98,73.43,442300,71.54
2010-05-24,74.74,77.36,72.66,75.86,494100,73.91
2010-05-17,78.53,79.88,72.90,75.35,455200,73.03
2010-05-10,76.57,80.38,76.03,78.50,504700,76.08
2010-05-03,75.85,77.31,71.68,75.50,745100,73.18
2010-04-26,79.40,79.99,69.39,75.31,753900,72.99
2010-04-19,76.85,79.39,76.39,79.06,351900,76.63
2010-04-12,78.76,80.23,76.90,77.86,379400,75.46
2010-04-05,79.87,80.50,77.33,79.03,327000,76.60
2010-03-29,79.55,81.05,79.00,79.77,333100,77.31
2010-03-22,79.94,82.54,78.61,79.29,453600,76.85
2010-03-15,80.34,82.65,80.04,80.67,409300,78.19
2010-03-08,77.86,81.90,77.01,81.45,508000,78.94
2010-03-01,76.16,77.17,74.31,76.97,459400,74.60
2010-02-22,75.59,75.97,72.21,75.53,329600,73.20
2010-02-16,73.33,75.68,72.86,75.18,381800,72.48
2010-02-08,65.90,73.95,64.74,72.36,1010300,69.76
2010-02-01,64.20,67.27,63.26,65.87,555100,63.51
2010-01-25,68.12,68.97,62.79,63.04,459100,60.78
2010-01-19,71.85,72.84,66.75,67.27,470300,64.86
2010-01-11,73.69,74.00,70.51,71.42,248600,68.86
2010-01-04,67.75,73.99,67.60,73.81,472100,71.16
2009-12-28,68.02,69.22,67.18,67.19,154900,64.78
2009-12-21,66.99,70.27,66.80,67.78,234300,65.35
2009-12-14,68.04,68.65,65.16,66.54,296400,64.15
2009-12-07,64.79,68.28,64.42,67.60,419700,65.17
2009-11-30,64.78,68.00,63.70,64.37,353500,62.06
2009-11-23,66.73,67.50,64.26,64.50,300300,62.19
2009-11-16,63.66,66.06,63.61,65.73,474100,63.03
2009-11-09,64.24,65.72,62.76,63.50,384300,60.90
2009-11-02,62.86,64.48,60.71,63.40,517200,60.80
2009-10-26,64.27,65.67,61.24,62.32,628900,59.76
2009-10-19,65.51,67.05,62.77,64.55,324300,61.90
2009-10-12,63.21,66.15,62.85,65.47,382200,62.78
2009-10-05,59.94,64.99,59.10,63.31,390500,60.71
2009-09-28,59.74,62.49,58.57,59.25,416000,56.82
2009-09-21,58.57,60.58,58.06,59.20,397000,56.77
2009-09-14,58.54,59.95,57.45,59.50,505600,57.06
2009-09-08,57.50,59.00,57.11,58.57,655300,56.17
2009-08-31,54.06,57.58,52.60,57.10,642800,54.76
2009-08-24,52.50,54.68,51.39,54.33,397500,52.10
2009-08-17,50.53,52.59,49.15,52.18,263900,49.71
2009-08-10,53.80,53.80,50.63,51.55,392400,49.11
2009-08-03,53.68,55.34,52.04,53.78,587200,51.23
2009-07-27,48.80,53.31,48.36,53.19,831300,50.67
2009-07-20,50.52,51.20,46.53,48.79,1152700,46.48
2009-07-13,49.50,51.47,45.64,50.02,1020700,47.65
2009-07-06,52.76,53.92,50.10,51.01,694800,48.60
2009-06-29,54.14,56.44,53.21,55.40,586400,52.78
2009-06-22,53.62,56.25,52.85,52.92,1156300,50.42
2009-06-15,57.30,57.75,53.41,55.05,821900,52.44
2009-06-08,55.11,58.95,54.43,58.28,604500,55.52
2009-06-01,54.29,56.92,52.25,55.83,513900,53.19
2009-05-26,51.65,53.98,50.98,53.63,472200,51.09
2009-05-18,50.84,54.98,50.48,52.58,802900,49.75
2009-05-11,49.83,51.50,48.51,50.16,763900,47.46
2009-05-04,49.47,51.32,49.24,50.68,624400,47.95
2009-04-27,50.87,52.55,47.02,49.21,971200,46.56
2009-04-20,48.21,52.59,46.46,52.02,954000,49.22
2009-04-13,52.37,54.21,48.50,49.11,892500,46.47
2009-04-06,54.37,56.56,49.70,53.26,709900,50.39
2009-03-30,55.49,59.09,53.94,54.52,1013200,51.59
2009-03-23,56.39,59.00,55.25,56.93,806500,53.87
2009-03-16,54.03,58.00,52.12,55.33,1530800,52.35
2009-03-09,57.01,61.78,52.50,53.43,1115600,50.56
2009-03-02,51.27,61.35,48.48,57.77,2754000,54.66
2009-02-23,56.31,56.99,48.89,52.22,1272100,49.41
2009-02-17,57.45,60.50,53.55,56.17,880100,52.80
2009-02-09,65.00,65.25,56.79,59.14,1224700,55.60
2009-02-02,59.66,65.23,59.15,63.90,1104400,60.07
2009-01-26,54.05,60.92,53.69,60.17,665900,56.57
2009-01-20,50.75,55.39,46.17,53.80,1054400,50.58
2009-01-12,60.99,60.99,47.00,51.36,878100,48.28
2009-01-05,61.03,65.75,60.04,61.27,711700,57.60
2009-01-02,58.75,61.69,57.62,60.89,522900,57.24
