Date,Open,High,Low,Close,Volume,Adj Close
2011-09-27,27.89,28.32,27.51,27.59,43539210,27.59
2011-09-26,25.44,26.84,25.37,26.72,60128000,26.72
2011-09-23,23.52,25.15,23.46,24.98,56330600,24.98
2011-09-22,24.57,24.99,23.19,23.96,86914400,23.96
2011-09-21,27.00,27.53,25.51,25.52,73165300,25.52
2011-09-20,27.80,27.93,26.90,26.93,35419400,26.93
2011-09-19,28.07,28.08,27.32,27.71,37811400,27.71
2011-09-16,28.92,29.28,28.16,28.99,49241900,28.99
2011-09-15,27.92,28.60,27.56,28.59,40745500,28.59
2011-09-14,27.38,27.73,26.70,27.39,32634200,27.39
2011-09-13,27.15,27.65,26.82,27.05,36296700,27.05
2011-09-12,26.25,26.98,26.05,26.96,44486300,26.96
2011-09-09,27.65,27.80,26.64,26.74,46652300,26.74
2011-09-08,28.64,28.84,27.84,27.98,38061800,27.98
2011-09-07,28.33,29.20,28.10,28.98,35099200,28.98
2011-09-06,27.04,27.92,26.60,27.70,44663700,27.70
2011-09-02,28.42,29.03,28.26,28.40,36128000,28.40
2011-09-01,30.93,31.05,30.00,30.00,32273400,30.00
2011-08-31,31.23,31.54,30.76,31.05,34079800,31.05
2011-08-30,31.04,31.29,30.45,30.94,30682600,30.94
2011-08-29,30.57,31.29,30.31,31.29,35270900,31.29
2011-08-26,29.50,30.25,29.05,29.84,52076800,29.84
2011-08-25,30.81,31.58,28.97,29.83,93618100,29.83
2011-08-24,27.44,28.46,27.15,28.45,54803500,28.45
2011-08-23,26.13,27.34,25.40,27.32,68228200,27.32
2011-08-22,27.72,27.84,25.99,26.06,61703800,26.06
2011-08-19,27.41,28.56,26.75,26.77,56199100,26.77
2011-08-18,28.70,29.00,26.76,27.98,79479300,27.98
2011-08-17,30.27,30.83,29.70,29.85,33900900,29.85
2011-08-16,30.64,30.71,29.36,29.94,50459800,29.94
2011-08-15,30.59,31.32,30.25,31.27,45423900,31.27
2011-08-12,31.19,31.97,29.50,29.85,63917600,29.85
2011-08-11,29.20,31.00,28.58,30.29,63486600,30.29
2011-08-10,31.01,31.02,28.35,28.49,99090000,28.49
2011-08-09,29.43,32.91,28.49,31.82,120458000,31.82
2011-08-08,31.55,32.42,26.25,27.95,142308300,27.95
2011-08-05,34.97,35.50,31.81,33.44,103688800,33.44
2011-08-04,36.61,36.99,34.75,34.81,57091700,34.81
2011-08-03,37.05,37.46,36.42,37.26,31623100,37.26
2011-08-02,38.25,38.50,37.03,37.04,41079100,37.04
2011-08-01,39.34,39.38,37.92,38.48,33848100,38.48
2011-07-29,37.92,38.77,37.64,38.34,27141900,38.34
2011-07-28,38.24,38.87,38.10,38.18,23233800,38.18
2011-07-27,39.39,39.42,38.01,38.27,39694100,38.26
2011-07-26,39.76,40.09,39.40,39.72,21205600,39.71
2011-07-25,39.69,40.06,39.40,39.91,21427400,39.90
2011-07-22,40.27,40.50,39.84,40.26,24164500,40.25
2011-07-21,39.14,40.38,39.06,40.32,53445100,40.31
2011-07-20,38.17,39.12,38.04,38.62,31574600,38.61
2011-07-19,37.83,38.18,37.42,38.02,32172000,38.01
2011-07-18,38.20,38.25,36.92,37.74,50137500,37.73
2011-07-15,40.14,40.39,38.12,38.38,69517800,38.37
2011-07-14,39.72,39.87,39.00,39.02,32718400,39.01
2011-07-13,39.44,40.22,39.11,39.47,32756100,39.46
2011-07-12,39.48,40.02,39.02,39.07,43630400,39.06
2011-07-11,41.28,41.40,39.57,39.79,47287600,39.78
2011-07-08,42.08,42.25,41.83,42.03,22229800,42.02
2011-07-07,42.37,42.96,42.31,42.63,22067400,42.62
2011-07-06,42.15,42.22,41.37,42.01,28177800,42.00
2011-07-05,42.89,43.00,42.21,42.57,34279200,42.56
2011-07-01,41.53,43.06,41.42,42.88,42780800,42.87
2011-06-30,41.59,42.00,41.21,41.64,32392400,41.63
2011-06-29,41.01,41.53,40.68,41.50,46800700,41.49
2011-06-28,40.16,40.32,39.76,40.15,22526900,40.14
2011-06-27,39.44,40.20,39.43,39.99,29365900,39.98
2011-06-24,39.44,39.71,38.96,39.59,63661100,39.58
2011-06-23,38.93,39.46,38.58,39.41,38344100,39.40
2011-06-22,39.21,40.17,39.02,39.51,40189000,39.50
2011-06-21,38.26,39.38,38.00,39.31,44132600,39.30
2011-06-20,37.95,38.72,37.81,38.16,30249100,38.15
2011-06-17,38.01,38.47,37.87,38.30,38591200,38.29
2011-06-16,37.70,38.34,37.01,37.63,59369000,37.62
2011-06-15,38.38,38.83,37.30,38.00,49812600,37.99
2011-06-14,39.51,39.55,38.66,38.78,38166800,38.77
2011-06-13,38.06,39.48,37.87,39.17,51683900,39.16
2011-06-10,37.61,38.32,36.84,37.92,57048500,37.91
2011-06-09,36.87,37.98,36.80,37.77,51092100,37.76
2011-06-08,37.37,38.00,36.76,36.81,64098400,36.80
2011-06-07,38.45,38.60,37.54,37.58,49736400,37.57
2011-06-06,39.55,39.60,37.90,38.07,69952400,38.06
2011-06-03,39.50,40.30,39.45,39.85,27554900,39.84
2011-06-02,39.70,40.34,39.10,40.01,40828200,40.00
2011-06-01,40.99,41.00,39.59,39.65,41994500,39.64
2011-05-31,41.39,41.59,40.76,41.15,34705800,41.14
2011-05-27,40.30,41.06,40.29,40.97,27696700,40.96
2011-05-26,40.04,40.53,40.04,40.22,32041000,40.21
2011-05-25,40.33,40.85,40.20,40.33,40313600,40.32
2011-05-24,40.22,40.69,39.41,40.51,61023600,40.49
2011-05-23,40.31,40.64,40.06,40.16,34722800,40.14
2011-05-20,41.12,41.64,40.96,41.02,31538600,41.00
2011-05-19,41.34,41.62,41.17,41.38,30115400,41.36
2011-05-18,41.49,41.55,41.00,41.24,33051500,41.22
2011-05-17,41.00,41.65,40.99,41.54,36727300,41.52
2011-05-16,41.08,41.98,40.94,41.19,42979300,41.17
