Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,25.44,26.84,25.37,26.72,60128000,26.72
2011-09-19,28.07,28.08,23.19,24.98,57928200,24.98
2011-09-12,26.25,29.28,26.05,28.99,40680900,28.99
2011-09-06,27.04,29.20,26.60,26.74,41119200,26.74
2011-08-29,30.57,31.54,28.26,28.40,33686900,28.40
2011-08-22,27.72,31.58,25.40,29.84,66086000,29.84
2011-08-15,30.59,31.32,26.75,26.77,53092600,26.77
2011-08-08,31.55,32.91,26.25,29.85,97852100,29.85
2011-08-01,39.34,39.38,31.81,33.44,53466100,33.44
2011-07-25,39.69,40.09,37.64,38.34,26540500,38.34
2011-07-18,38.20,40.50,36.92,40.26,38298700,40.25
2011-07-11,41.28,41.40,38.12,38.38,45182000,38.37
2011-07-05,42.89,43.00,41.37,42.03,26688500,42.02
2011-06-27,39.44,43.06,39.43,42.88,34773300,42.87
2011-06-20,37.95,40.17,37.81,39.59,43315100,39.58
2011-06-13,38.06,39.55,37.01,38.30,47524700,38.29
2011-06-06,39.55,39.60,36.76,37.92,58385500,37.91
2011-05-31,41.39,41.59,39.10,39.85,36270800,39.84
2011-05-23,40.31,41.06,39.41,40.97,39159500,40.96
2011-05-16,41.08,41.98,40.94,41.02,34882400,41.00
2011-05-09,44.89,45.12,41.42,41.53,49919500,41.51
2011-05-02,4.60,4.60,4.46,4.52,26450200,45.18
2011-04-25,4.54,4.60,4.47,4.59,32085100,45.88
2011-04-18,4.42,4.60,4.35,4.55,49063600,45.48
2011-04-11,4.58,4.60,4.39,4.42,38172700,44.18
2011-04-04,4.46,4.69,4.39,4.56,46198900,45.58
2011-03-28,4.46,4.52,4.38,4.45,28345300,44.48
2011-03-21,4.61,4.62,4.34,4.46,46887100,44.58
2011-03-14,4.52,4.55,4.37,4.50,48641800,44.98
2011-03-07,4.54,4.67,4.50,4.57,39336000,45.68
2011-02-28,4.73,4.75,4.52,4.54,49890700,45.38
2011-02-22,4.84,4.84,4.57,4.70,67600800,46.98
2011-02-14,4.89,4.96,4.86,4.91,32733400,49.08
2011-02-07,4.84,4.91,4.76,4.88,38914300,48.78
2011-01-31,4.74,4.91,4.73,4.82,37258500,48.18
