Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,30.06,30.34,29.68,30.3,14202509,30.3
2011-09-23,29.46,29.90,29.05,29.83,20944100,29.83
2011-09-22,30.54,30.90,29.18,29.55,26238400,29.55
2011-09-21,32.33,32.52,31.24,31.28,12618500,31.28
2011-09-20,32.66,32.88,32.23,32.31,10117700,32.31
2011-09-19,32.38,32.64,32.06,32.51,9979700,32.51
2011-09-16,33.14,33.29,32.63,32.91,16655300,32.91
2011-09-15,32.58,32.99,32.43,32.94,8466900,32.94
2011-09-14,31.67,32.73,31.23,32.29,12593100,32.29
2011-09-13,31.36,31.61,31.02,31.45,9792200,31.45
2011-09-12,30.69,31.31,30.52,31.29,10440000,31.29
2011-09-09,31.64,31.72,30.73,31.04,17509200,31.04
2011-09-08,32.42,32.66,31.91,31.95,10673200,31.95
2011-09-07,32.15,32.68,31.99,32.63,11460500,32.63
2011-09-06,31.46,31.94,31.33,31.76,12844800,31.76
2011-09-02,32.84,33.04,32.41,32.46,9144700,32.46
2011-09-01,34.09,34.33,33.34,33.38,10212100,33.38
2011-08-31,33.85,34.32,33.74,34.06,12282000,34.06
2011-08-30,33.12,33.87,32.82,33.58,14060100,33.58
2011-08-29,32.72,33.17,32.61,33.16,8397500,33.16
2011-08-26,32.12,32.64,31.36,32.40,11247100,32.40
2011-08-25,32.53,32.83,31.88,32.01,10799000,32.01
2011-08-24,32.01,32.58,31.73,32.51,12595700,32.51
2011-08-23,32.07,32.11,31.33,32.11,30417400,32.11
2011-08-22,32.42,32.65,31.94,32.02,15000100,32.02
2011-08-19,31.95,32.98,31.82,31.85,19006700,31.85
2011-08-18,32.47,32.69,32.17,32.55,23724700,32.55
2011-08-17,33.61,33.75,32.84,33.37,12741000,33.37
2011-08-16,33.12,33.67,32.75,33.42,18558300,33.42
2011-08-15,33.43,33.80,33.09,33.65,17839100,33.65
2011-08-12,32.76,33.56,32.44,33.09,24426900,33.09
2011-08-11,31.83,33.08,31.81,32.12,36389500,32.12
2011-08-10,31.84,32.27,29.60,31.54,87048500,31.54
2011-08-09,33.47,34.75,32.31,34.70,31836700,34.70
2011-08-08,34.06,34.57,33.03,33.03,25923500,33.03
2011-08-05,35.79,35.95,34.40,35.18,22781900,35.18
2011-08-04,36.85,36.89,35.26,35.35,19369200,35.35
2011-08-03,36.94,37.50,36.47,37.43,11804500,37.43
2011-08-02,38.06,38.43,36.93,36.97,13621500,36.97
2011-08-01,38.73,38.75,37.82,38.44,11497500,38.44
2011-07-29,39.05,39.31,38.50,38.62,16020600,38.62
2011-07-28,39.46,39.83,39.19,39.40,11028100,39.40
2011-07-27,40.35,40.37,39.42,39.52,10736600,39.52
2011-07-26,40.38,40.81,40.37,40.51,9292900,40.51
2011-07-25,40.25,40.89,40.16,40.56,6840900,40.56
2011-07-22,40.78,40.97,40.54,40.65,7723300,40.65
2011-07-21,39.69,40.87,39.67,40.74,13473000,40.74
2011-07-20,39.58,39.85,39.28,39.36,6126400,39.36
2011-07-19,39.04,39.73,38.99,39.54,7987500,39.54
2011-07-18,39.12,39.12,38.46,38.75,11309600,38.75
2011-07-15,39.72,39.82,38.98,39.27,18304900,39.27
2011-07-14,39.53,39.84,39.39,39.58,13294000,39.58
2011-07-13,39.25,39.83,39.09,39.56,12361400,39.56
2011-07-12,39.34,39.52,39.03,39.15,11311000,39.15
2011-07-11,39.49,39.54,39.08,39.22,9785500,39.22
2011-07-08,39.98,39.98,39.20,39.91,11795100,39.91
2011-07-07,39.85,40.06,39.73,39.74,10227600,39.74
2011-07-06,39.95,39.95,39.27,39.57,11435800,39.57
2011-07-05,39.77,40.18,39.60,39.97,9446200,39.97
2011-07-01,39.15,39.86,39.03,39.72,9245300,39.72
2011-06-30,38.50,39.12,38.35,39.04,10049800,39.04
2011-06-29,38.11,38.43,37.73,38.35,9614100,38.35
2011-06-28,38.17,38.45,37.79,37.92,11912700,37.92
2011-06-27,37.62,38.42,37.47,38.07,8258400,38.07
2011-06-24,37.91,38.02,37.39,37.58,13425400,37.58
2011-06-23,37.88,37.93,37.19,37.82,11874100,37.82
2011-06-22,38.56,38.77,38.28,38.31,8543700,38.31
2011-06-21,38.45,38.89,38.25,38.78,7815000,38.78
2011-06-20,37.85,38.27,37.65,38.23,8746200,38.23
2011-06-17,38.31,38.37,37.98,38.04,12658300,38.04
2011-06-16,38.37,38.47,37.77,38.01,11806900,38.01
2011-06-15,38.38,38.82,38.24,38.39,10716200,38.39
2011-06-14,38.68,38.86,38.51,38.59,10074600,38.59
2011-06-13,38.63,38.86,38.35,38.37,9253400,38.37
2011-06-10,39.15,39.33,38.42,38.50,13084700,38.50
2011-06-09,38.95,39.53,38.85,39.37,9642200,39.37
2011-06-08,39.46,39.65,39.14,39.23,8483000,39.23
2011-06-07,39.61,39.88,39.33,39.35,8666700,39.35
2011-06-06,39.18,39.70,39.14,39.40,9193400,39.40
2011-06-03,39.66,39.66,39.17,39.38,15135500,39.38
2011-06-02,40.35,40.69,39.99,40.06,13421400,40.06
2011-06-01,41.53,41.59,40.32,40.40,12632100,40.40
2011-05-31,41.90,41.99,41.48,41.63,10977200,41.63
2011-05-27,41.19,41.67,41.19,41.52,8529400,41.52
2011-05-26,41.02,41.22,40.55,40.99,11189400,40.99
2011-05-25,40.92,41.34,40.85,41.13,7030500,41.13
2011-05-24,41.27,41.34,40.87,41.09,8459300,41.09
2011-05-23,41.15,41.33,40.95,41.16,7955900,41.16
2011-05-20,41.34,41.84,41.12,41.50,9213000,41.50
2011-05-19,41.55,41.74,41.14,41.38,10055800,41.38
2011-05-18,40.94,41.45,40.90,41.42,9948300,41.42
2011-05-17,40.86,41.14,40.68,41.01,10024400,41.01
2011-05-16,41.26,41.30,40.89,40.93,11697800,40.93
2011-05-13,41.61,41.87,41.25,41.52,8420500,41.52
2011-05-12,41.51,41.76,40.94,41.58,13100000,41.58
2011-05-11,42.11,42.58,41.11,41.52,38451900,41.52
2011-05-10,43.24,44.13,43.10,43.91,12506500,43.91
2011-05-09,43.32,43.35,42.93,43.10,6308300,43.10
2011-05-06,43.30,43.50,42.85,43.06,7791900,43.06
2011-05-05,42.51,43.25,42.44,42.69,8242300,42.69
2011-05-04,42.94,43.24,42.30,42.62,7481400,42.62
2011-05-03,43.25,43.57,42.89,43.07,6206900,43.07
2011-05-02,43.47,43.79,43.21,43.27,5601100,43.27
2011-04-29,43.04,43.35,42.81,43.10,5700000,43.10
2011-04-28,42.38,43.15,42.38,43.02,6529800,43.02
2011-04-27,42.26,42.68,42.18,42.58,5417300,42.58
2011-04-26,41.98,42.44,41.72,42.33,7290800,42.33
