Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,30.06,30.34,29.68,30.30,14200600,30.30
2011-09-19,32.38,32.88,29.05,29.83,15979600,29.83
2011-09-12,30.69,33.29,30.52,32.91,11589500,32.91
2011-09-06,31.46,32.68,30.73,31.04,13121900,31.04
2011-08-29,32.72,34.33,32.41,32.46,10819200,32.46
2011-08-22,32.42,32.83,31.33,32.40,16011800,32.40
2011-08-15,33.43,33.80,31.82,31.85,18373900,31.85
2011-08-08,34.06,34.75,29.60,33.09,41125000,33.09
2011-08-01,38.73,38.75,34.40,35.18,15814900,35.18
2011-07-25,40.25,40.89,38.50,38.62,10783800,38.62
2011-07-18,39.12,40.97,38.46,40.65,9323900,40.65
2011-07-11,39.49,39.84,38.98,39.27,13011300,39.27
2011-07-05,39.77,40.18,39.20,39.91,10726100,39.91
2011-06-27,37.62,39.86,37.47,39.72,9816000,39.72
2011-06-20,37.85,38.89,37.19,37.58,10080800,37.58
2011-06-13,38.63,38.86,37.77,38.04,10901800,38.04
2011-06-06,39.18,39.88,38.42,38.50,9814000,38.50
2011-05-31,41.90,41.99,39.17,39.38,13041500,39.38
2011-05-23,41.15,41.67,40.55,41.52,8632900,41.52
2011-05-16,41.26,41.84,40.68,41.50,10187800,41.50
2011-05-09,43.32,44.13,40.94,41.52,15757400,41.52
2011-05-02,43.47,43.79,42.30,43.06,7064700,43.06
2011-04-25,42.34,43.35,41.72,43.10,6018900,43.10
2011-04-18,40.97,42.46,40.46,42.27,7285000,42.27
2011-04-11,41.76,42.02,40.84,41.52,8163000,41.52
2011-04-04,42.87,43.05,41.40,41.76,7802900,41.76
2011-03-28,43.19,43.48,42.36,42.85,6818300,42.85
2011-03-21,41.46,43.24,40.87,42.97,8132600,42.97
2011-03-14,42.64,42.68,40.42,41.23,13000400,41.23
2011-03-07,43.53,43.61,42.16,42.93,8236300,42.93
2011-02-28,43.02,44.34,42.97,43.55,10603100,43.55
2011-02-22,42.83,43.29,41.60,42.95,14239800,42.95
2011-02-14,43.19,43.90,42.98,43.56,9957300,43.56
2011-02-07,40.80,44.05,40.71,43.41,16793600,43.41
2011-01-31,39.04,40.77,38.65,40.71,10700400,40.71
2011-01-24,39.64,39.95,38.65,38.85,8424500,38.85
2011-01-18,39.07,39.94,38.51,39.74,9043400,39.74
2011-01-10,39.01,39.81,38.93,39.29,7430400,39.29
2011-01-03,37.74,40.00,37.62,39.45,14581100,39.45
2010-12-27,37.55,37.84,37.07,37.51,3828500,37.51
2010-12-20,37.03,37.99,36.84,37.70,5408200,37.70
2010-12-13,36.95,37.50,36.57,37.05,9101900,37.05
2010-12-06,37.43,37.98,36.51,36.66,7013400,36.66
2010-11-29,36.45,37.67,36.02,37.59,12390800,37.18
2010-11-22,36.88,37.05,36.00,36.70,7768400,36.30
2010-11-15,37.42,37.78,36.70,37.01,11576100,36.61
2010-11-08,37.05,38.00,35.15,37.75,19854800,37.34
2010-11-01,36.21,37.27,35.76,37.20,12649400,36.80
2010-10-25,35.16,36.52,34.99,36.13,12987000,35.74
2010-10-18,34.83,35.04,34.00,34.97,10615100,34.59
2010-10-11,34.52,35.20,33.96,34.88,9170200,34.50
2010-10-04,33.23,34.70,33.08,34.51,11721000,34.14
2010-09-27,33.60,33.66,32.68,33.34,11470900,32.98
2010-09-20,34.56,34.99,33.00,33.58,12099100,33.22
2010-09-13,34.42,34.73,33.71,34.56,10032200,34.19
2010-09-07,34.50,34.63,33.66,34.15,8364300,33.78
2010-08-30,32.73,34.70,31.91,34.67,9021500,34.29
2010-08-23,33.23,33.55,31.55,32.78,11536900,32.43
2010-08-16,33.44,34.22,32.71,33.05,9164200,32.69
2010-08-09,34.96,35.41,33.41,33.68,11611800,33.32
2010-08-02,34.14,35.09,34.02,35.00,8952300,34.62
2010-07-26,34.09,34.80,33.02,33.69,8208000,33.33
2010-07-19,33.09,34.21,32.63,34.13,10440900,33.76
