Date,Open,High,Low,Close,Volume,Adj Close
2011-09-21,32.79,33.77,32.66,33.35,9968365,33.35
2011-09-20,33.19,33.46,32.36,32.73,13707800,32.73
2011-09-19,33.20,33.45,32.54,33.10,18591600,33.10
2011-09-16,32.71,33.90,32.36,33.69,27418100,33.69
2011-09-15,30.99,32.24,30.88,32.04,16921900,32.04
2011-09-14,29.55,30.70,29.06,30.14,13965600,30.14
2011-09-13,29.42,29.67,29.11,29.40,9347700,29.40
2011-09-12,28.44,29.53,28.40,29.42,16593000,29.42
2011-09-09,30.11,30.12,28.28,28.46,19861500,28.46
2011-09-08,29.65,30.65,29.54,30.51,13886100,30.51
2011-09-07,29.70,29.85,29.31,29.75,13736500,29.75
2011-09-06,28.51,29.37,28.41,29.27,9821300,29.27
2011-09-02,29.86,30.03,29.16,29.41,7975900,29.41
2011-09-01,30.77,31.16,30.25,30.39,9778000,30.39
2011-08-31,31.00,31.59,30.42,30.87,12963800,30.87
2011-08-30,30.29,31.19,30.05,30.95,12149500,30.95
2011-08-29,29.73,30.70,29.73,30.49,11584800,30.49
2011-08-26,28.25,29.47,27.66,29.46,12532600,29.46
2011-08-25,29.12,29.48,28.24,28.33,10978300,28.33
2011-08-24,28.92,29.67,28.57,29.05,10150000,29.05
2011-08-23,27.53,28.95,27.17,28.92,11221000,28.92
2011-08-22,27.78,27.99,27.12,27.36,10118800,27.36
2011-08-19,27.47,28.54,26.86,27.16,16779300,27.16
2011-08-18,29.35,29.73,27.59,27.94,16643600,27.94
2011-08-17,30.46,30.99,29.79,30.25,8800300,30.25
2011-08-16,30.56,30.82,29.87,30.36,8794300,30.36
2011-08-15,30.64,30.95,30.25,30.89,7648100,30.89
2011-08-12,30.35,30.68,29.87,30.53,12225900,30.53
2011-08-11,29.24,30.58,29.02,30.20,15198400,30.20
2011-08-10,29.37,30.37,28.79,29.15,22550700,29.15
2011-08-09,27.33,30.17,27.27,30.16,31574200,30.16
2011-08-08,28.34,28.75,26.94,26.95,22342000,26.95
2011-08-05,30.37,30.43,28.52,29.30,25585400,29.30
2011-08-04,31.66,31.80,30.03,30.04,24401900,30.04
2011-08-03,31.77,32.56,30.86,32.25,17419100,32.25
2011-08-02,32.75,32.91,31.73,31.75,14945800,31.75
2011-08-01,33.12,33.36,32.31,33.02,12040100,33.02
2011-07-29,33.12,33.48,32.71,32.75,10635700,32.75
2011-07-28,33.23,33.78,33.06,33.35,7548600,33.35
2011-07-27,34.17,34.19,33.31,33.36,11836000,33.36
2011-07-26,33.94,34.49,33.83,34.42,12258700,34.42
2011-07-25,32.95,33.99,32.85,33.80,10386500,33.80
2011-07-22,33.49,33.65,33.12,33.50,9887100,33.50
2011-07-21,33.76,34.99,33.34,33.44,26565500,33.44
2011-07-20,34.00,34.18,32.97,33.17,22902700,33.17
2011-07-19,33.08,34.06,32.76,33.76,18114000,33.76
2011-07-18,32.81,33.24,32.35,32.70,10356000,32.70
2011-07-15,32.52,33.03,32.33,32.81,15988200,32.81
2011-07-14,32.32,32.80,31.92,32.19,10941100,32.19
2011-07-13,32.41,32.80,32.05,32.38,11680100,32.38
2011-07-12,33.25,33.49,32.13,32.26,14026800,32.26
2011-07-11,33.10,34.07,32.72,32.91,15605800,32.91
2011-07-08,32.96,33.43,32.84,33.42,8381400,33.42
2011-07-07,33.10,33.60,33.04,33.33,11139200,33.33
2011-07-06,32.64,33.10,32.35,32.92,9876500,32.92
2011-07-05,32.75,32.88,32.37,32.64,9225800,32.64
2011-07-01,32.26,32.80,31.99,32.74,12962600,32.74
2011-06-30,32.33,32.82,31.69,32.27,31933800,32.27
2011-06-29,29.16,31.11,28.54,30.86,34094200,30.86
2011-06-28,28.79,29.41,28.66,28.96,16257700,28.96
2011-06-27,28.25,29.09,28.24,28.71,14028300,28.71
2011-06-24,29.30,29.56,28.16,28.35,22876700,28.35
2011-06-23,29.03,29.35,28.77,29.25,16903300,29.25
2011-06-22,29.62,29.67,29.30,29.35,10371300,29.35
2011-06-21,28.89,29.88,28.77,29.78,12372000,29.78
2011-06-20,28.67,28.97,28.56,28.82,12108000,28.82
2011-06-17,28.82,28.91,28.44,28.83,16170100,28.83
2011-06-16,28.63,29.11,28.26,28.47,13322300,28.47
2011-06-15,29.48,29.67,28.55,28.66,17813000,28.66
2011-06-14,30.10,30.27,29.67,29.76,11163900,29.76
2011-06-13,30.05,30.20,29.46,29.86,11335000,29.86
2011-06-10,30.49,30.80,29.93,29.96,13417400,29.96
2011-06-09,30.60,30.95,30.45,30.66,12816400,30.66
2011-06-08,30.55,30.89,30.35,30.57,22684500,30.57
2011-06-07,29.79,30.34,29.48,29.92,11406400,29.92
2011-06-06,30.22,30.48,29.49,29.56,12378500,29.56
2011-06-03,30.79,31.07,30.28,30.30,12283500,30.30
2011-06-02,30.51,31.35,30.51,31.28,15821100,31.28
2011-06-01,31.12,31.21,30.61,30.64,10374100,30.64
2011-05-31,31.16,31.41,30.95,31.17,9395800,31.17
2011-05-27,30.67,30.77,30.50,30.68,6975800,30.68
2011-05-26,30.58,30.87,30.37,30.66,11845600,30.66
2011-05-25,30.87,30.90,30.33,30.70,16757700,30.70
2011-05-24,31.74,31.96,30.81,30.82,13483900,30.82
2011-05-23,32.00,32.00,31.50,31.63,9050000,31.63
2011-05-20,32.79,32.88,32.46,32.48,6933100,32.48
2011-05-19,33.12,33.20,32.76,32.90,4772800,32.90
2011-05-18,32.57,32.93,32.19,32.88,5794600,32.88
2011-05-17,32.33,32.67,32.06,32.65,6667700,32.65
2011-05-16,33.33,33.40,32.30,32.37,7326000,32.37
2011-05-13,33.50,33.93,33.27,33.57,6499000,33.57
2011-05-12,33.26,33.75,32.96,33.58,8300000,33.58
2011-05-11,33.61,34.00,33.14,33.31,10479400,33.31
2011-05-10,34.00,34.38,33.62,33.93,14587900,33.93
2011-05-09,32.58,33.32,32.37,33.12,7695600,33.12
2011-05-06,33.00,33.40,32.18,32.72,10990800,32.72
2011-05-05,32.70,33.33,32.46,32.68,7794300,32.68
2011-05-04,33.35,33.46,32.66,33.01,9084200,33.01
2011-05-03,33.55,33.97,33.27,33.54,5795200,33.54
2011-05-02,33.71,34.38,33.59,33.64,9553800,33.64
2011-04-29,34.12,34.49,33.99,34.39,12300000,34.39
2011-04-28,34.53,34.65,33.20,34.00,18914700,34.00
2011-04-27,33.24,34.24,33.08,34.03,16914500,34.03
2011-04-26,33.27,33.41,32.81,33.08,10181800,33.08
2011-04-25,32.44,32.96,32.25,32.96,9319600,32.96
2011-04-21,31.81,32.00,31.63,31.95,8385600,31.95
2011-04-20,31.60,32.23,31.39,31.76,6971800,31.76
