Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,33.20,33.46,32.36,32.73,16149700,32.73
2011-09-12,28.44,33.90,28.40,33.69,16849200,33.69
2011-09-06,28.51,30.65,28.28,28.46,14326300,28.46
2011-08-29,29.73,31.59,29.16,29.41,10890400,29.41
2011-08-22,27.78,29.67,27.12,29.46,11000100,29.46
2011-08-15,30.64,30.99,26.86,27.16,11733100,27.16
2011-08-08,28.34,30.68,26.94,30.53,20778200,30.53
2011-08-01,33.12,33.36,28.52,29.30,18878400,29.30
2011-07-25,32.95,34.49,32.71,32.75,10533100,32.75
2011-07-18,32.81,34.99,32.35,33.50,17565000,33.50
2011-07-11,33.10,34.07,31.92,32.81,13648400,32.81
2011-07-05,32.75,33.60,32.35,33.42,9655700,33.42
2011-06-27,28.25,32.82,28.24,32.74,21855300,32.74
2011-06-20,28.67,29.88,28.16,28.35,14926200,28.35
2011-06-13,30.05,30.27,28.26,28.83,13960800,28.83
2011-06-06,30.22,30.95,29.48,29.96,14540600,29.96
2011-05-31,31.16,31.41,30.28,30.30,11968600,30.30
2011-05-23,32.00,32.00,30.33,30.68,11622600,30.68
2011-05-16,33.33,33.40,32.06,32.48,6298800,32.48
2011-05-09,32.58,34.38,32.37,33.57,9512300,33.57
2011-05-02,33.71,34.38,32.18,32.72,8643600,32.72
2011-04-25,32.44,34.65,32.25,34.39,13526100,34.39
2011-04-18,31.20,32.23,30.44,31.95,7513000,31.95
2011-04-11,31.24,31.73,30.19,31.61,8126000,31.61
2011-04-04,31.36,32.85,30.87,31.14,8489200,31.14
2011-03-28,31.82,31.87,30.29,31.36,12728500,31.36
2011-03-21,30.96,32.38,29.97,31.70,7999900,31.70
2011-03-14,30.74,31.06,29.61,30.47,11453600,30.47
2011-03-07,32.13,32.47,30.64,30.92,10800700,30.92
2011-02-28,33.70,33.99,31.80,32.01,9870400,32.01
2011-02-22,34.13,34.52,32.50,33.63,10177800,33.63
2011-02-14,34.49,35.35,33.65,34.53,9608900,34.53
2011-02-07,32.14,34.78,31.74,34.51,15026000,34.51
2011-01-31,30.27,32.42,29.69,32.21,12097200,32.21
2011-01-24,29.99,31.20,29.95,30.31,12384800,30.31
2011-01-18,29.23,30.98,28.87,30.02,19543800,30.02
2011-01-10,27.64,29.20,27.48,29.18,9681100,29.18
2011-01-03,28.21,29.33,27.22,27.70,11420200,27.70
2010-12-27,28.18,28.50,27.69,27.83,5819200,27.83
2010-12-20,29.85,29.89,28.19,28.32,11396200,28.32
2010-12-13,30.73,30.82,29.78,29.82,12508200,29.82
2010-12-06,29.48,30.81,29.41,30.69,10567900,30.69
2010-11-29,30.82,31.64,28.79,29.61,17096400,29.61
2010-11-22,30.07,31.48,29.65,31.15,11112400,31.15
2010-11-15,30.17,30.85,29.42,30.30,13314800,30.30
2010-11-08,30.79,31.25,30.08,30.14,13832400,30.14
2010-11-01,29.46,30.93,29.22,30.87,15928600,30.87
2010-10-25,27.68,29.90,27.56,29.86,20446600,29.86
2010-10-18,25.85,28.44,25.13,28.07,22348200,28.07
2010-10-11,24.54,25.90,24.08,25.68,11680000,25.68
2010-10-04,24.45,24.87,23.93,24.61,9980500,24.61
2010-09-27,24.71,25.16,24.19,24.46,11245600,24.46
2010-09-20,24.27,24.89,23.38,24.74,14467600,24.74
2010-09-13,24.00,24.47,23.65,24.22,13104900,24.22
2010-09-07,23.99,24.63,23.45,24.10,15647300,24.10
2010-08-30,23.20,24.48,22.74,24.13,16717000,24.13
2010-08-23,23.43,23.61,22.37,23.18,17294300,23.18
2010-08-16,21.46,23.45,21.40,23.37,21681700,23.37
2010-08-09,21.86,22.63,21.21,21.50,14828900,21.50
2010-08-02,21.28,21.58,20.70,21.45,10966700,21.45
2010-07-26,20.99,21.31,20.53,20.91,9590000,20.91
2010-07-19,20.17,21.54,19.92,21.09,17387900,21.09
2010-07-12,20.18,21.46,20.06,20.09,15340800,20.09
2010-07-06,19.64,20.31,19.16,20.29,16028200,20.29
2010-06-28,20.87,20.97,19.06,19.26,22407100,19.26
2010-06-21,22.44,22.63,20.54,20.95,13663800,20.95
2010-06-14,22.80,22.92,21.91,22.16,14717600,22.16
2010-06-07,22.00,22.69,20.93,22.65,22616800,22.65
2010-06-01,21.02,22.84,20.70,21.99,26116000,21.99
2010-05-24,21.33,22.04,20.56,21.41,18410000,21.41
2010-05-17,22.16,22.77,20.31,21.42,25262000,21.42
2010-05-10,22.63,23.31,21.97,22.25,16368600,22.25
2010-05-03,23.65,24.10,20.56,21.48,26863500,21.48
2010-04-26,24.43,24.79,23.66,23.78,19373500,23.78
2010-04-19,26.20,26.58,23.90,24.55,26802000,24.55
2010-04-12,26.64,27.21,26.22,26.33,13765900,26.33
2010-04-05,26.50,27.67,26.16,26.55,15089400,26.55
2010-03-29,27.50,27.52,26.55,26.57,11197100,26.57
2010-03-22,26.74,28.37,26.62,27.45,15965400,27.45
2010-03-15,25.97,27.78,25.79,27.19,17304700,27.19
2010-03-08,24.43,26.00,24.40,25.97,16873000,25.97
2010-03-01,23.12,24.95,22.96,24.63,16779400,24.63
2010-02-22,23.42,23.50,22.57,23.02,13361100,23.02
2010-02-16,21.99,23.49,21.99,23.42,13759000,23.42
2010-02-08,22.73,22.95,21.51,21.77,13397300,21.77
2010-02-01,22.91,23.38,22.24,22.71,14515400,22.71
2010-01-25,23.71,24.36,22.87,23.02,21012100,23.02
2010-01-19,22.28,24.56,22.18,23.58,37363800,23.58
2010-01-11,23.53,23.75,22.12,22.47,14720000,22.47
2010-01-04,23.72,23.98,23.10,23.51,11049400,23.51
2009-12-28,23.87,24.00,23.51,23.53,6047900,23.53
2009-12-21,22.80,24.24,22.68,23.89,11467300,23.89
2009-12-14,22.72,23.00,22.26,22.67,13421900,22.67
2009-12-07,23.54,23.97,22.06,22.70,15334300,22.70
2009-11-30,23.21,24.75,23.20,23.67,19511400,23.67
2009-11-23,22.98,23.75,22.80,23.22,9063100,23.22
2009-11-16,23.82,24.12,22.75,22.79,13037100,22.79
2009-11-09,23.38,24.08,23.14,23.74,13323300,23.74
2009-11-02,22.06,23.50,21.51,23.34,13860200,23.34
2009-10-26,23.45,23.81,22.13,22.27,17004800,22.27
2009-10-19,24.73,25.80,23.27,23.56,30177100,23.56
2009-10-12,24.66,25.48,24.33,24.49,16032100,24.49
2009-10-05,22.78,25.14,22.59,24.42,19085300,24.42
2009-09-28,23.56,24.01,22.54,22.70,15290300,22.70
2009-09-21,24.34,24.57,23.21,23.45,13747000,23.45
2009-09-14,23.39,24.74,23.36,24.34,20108700,24.34
2009-09-08,22.01,23.85,21.62,23.56,18468800,23.56
2009-08-31,22.21,23.18,21.16,21.91,18788300,21.91
2009-08-24,22.07,22.94,21.77,22.46,12756000,22.46
2009-08-17,21.11,22.10,20.55,22.08,14391600,22.08
2009-08-10,22.66,22.66,21.50,21.64,14840800,21.64
2009-08-03,22.20,23.14,21.18,22.55,22340400,22.55
2009-07-27,21.36,22.06,21.24,21.25,17352200,21.25
2009-07-20,18.60,21.57,18.38,21.24,28758600,21.24
2009-07-13,16.30,18.85,16.10,18.55,22399500,18.55
2009-07-06,16.33,16.59,15.77,16.30,17667300,16.30
2009-06-29,17.43,17.69,16.22,16.34,27126500,16.34
2009-06-22,17.09,17.50,16.08,17.35,17215300,17.35
2009-06-15,17.64,17.74,16.88,17.28,14925900,17.28
2009-06-08,17.85,18.15,17.33,17.80,17190400,17.80
2009-06-01,17.87,18.39,17.56,17.84,20603200,17.84
2009-05-26,17.14,17.73,16.51,17.62,16068900,17.62
2009-05-18,17.01,18.35,16.86,17.36,13752800,17.36
2009-05-11,17.05,17.49,16.11,16.91,13771500,16.91
2009-05-04,16.53,17.62,16.40,17.38,18097600,17.38
2009-04-27,16.21,17.06,16.07,16.51,18640700,16.51
2009-04-20,14.28,16.94,13.67,16.78,31192000,16.78
2009-04-13,14.63,14.72,13.80,14.39,16796400,14.39
2009-04-06,14.05,15.04,13.44,15.02,13230700,15.02
2009-03-30,12.60,14.63,12.22,14.31,19361800,14.31
2009-03-23,12.46,13.19,12.25,12.85,12285800,12.85
