Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,32.25,33.32,31.15,32.94,18181989,32.94
2011-09-23,31.40,33.08,31.40,32.37,23085700,32.37
2011-09-22,33.46,33.50,30.97,32.14,49671000,32.14
2011-09-21,38.08,38.10,35.56,35.59,40981800,35.59
2011-09-20,39.96,40.77,38.13,38.55,25602000,38.55
2011-09-19,40.49,40.54,39.31,40.22,18525900,40.22
2011-09-16,43.01,43.09,41.29,41.59,15299600,41.59
2011-09-15,42.48,42.72,41.50,42.54,12122800,42.54
2011-09-14,42.17,42.28,40.55,41.71,16767100,41.71
2011-09-13,41.46,42.27,40.82,42.00,12886000,42.00
2011-09-12,41.02,42.03,40.24,41.31,19422600,41.31
2011-09-09,43.51,43.66,41.51,41.99,25657400,41.99
2011-09-08,44.76,45.55,44.01,44.27,13767900,44.27
2011-09-07,45.38,45.56,44.87,45.17,15874900,45.17
2011-09-06,43.46,44.44,43.00,44.36,14869200,44.36
2011-09-02,45.15,45.55,44.54,44.94,15232900,44.94
2011-09-01,46.89,47.87,46.25,46.46,14527800,46.46
2011-08-31,47.26,48.60,46.60,47.11,21414300,47.11
2011-08-30,45.61,46.92,45.10,46.61,14128600,46.61
2011-08-29,45.11,45.89,44.72,45.81,10591500,45.81
2011-08-26,43.16,44.73,42.37,44.53,14704700,44.53
2011-08-25,44.05,44.54,43.11,43.50,14756000,43.50
2011-08-24,42.95,43.54,42.11,43.47,15995400,43.47
2011-08-23,41.95,43.05,41.55,42.89,15530600,42.89
2011-08-22,43.30,43.38,41.46,41.60,16110700,41.60
2011-08-19,41.94,44.19,41.76,41.94,20168700,41.94
2011-08-18,45.14,45.17,42.19,42.85,29773900,42.85
2011-08-17,46.20,47.59,46.15,46.61,14401800,46.61
2011-08-16,46.00,46.59,45.49,46.01,17513500,46.01
2011-08-15,45.70,46.70,45.60,46.68,13993300,46.68
2011-08-12,46.73,46.74,45.10,45.40,15401100,45.40
2011-08-11,44.30,46.48,43.66,45.82,19401400,45.82
2011-08-10,44.08,45.56,43.11,43.55,25770300,43.55
2011-08-09,43.32,45.17,41.45,45.05,33417800,45.05
2011-08-08,44.13,45.02,41.20,41.89,33127600,41.89
2011-08-05,47.68,48.46,44.03,45.99,31096600,45.99
2011-08-04,49.33,49.41,46.78,46.80,27257000,46.80
2011-08-03,51.40,51.86,49.50,50.65,19387000,50.65
2011-08-02,52.70,53.70,51.42,51.44,14370800,51.44
2011-08-01,54.38,54.55,52.42,53.17,12944100,53.17
2011-07-29,53.16,53.83,52.18,52.96,15667400,52.96
2011-07-28,54.35,54.94,54.00,54.04,11699500,54.04
2011-07-27,55.64,56.32,54.26,54.45,13723100,54.45
2011-07-26,56.07,56.78,55.43,56.08,15921600,56.08
2011-07-25,55.17,55.96,54.86,55.46,9494300,55.46
2011-07-22,55.43,55.81,54.91,55.67,11615200,55.67
2011-07-21,55.94,56.68,54.77,55.34,18476900,55.34
2011-07-20,56.46,56.50,55.47,55.92,14056600,55.92
2011-07-19,56.00,56.38,55.65,56.30,12827500,56.30
2011-07-18,55.19,55.95,54.63,55.05,14714300,55.05
2011-07-15,54.76,55.40,54.57,55.34,13696700,55.34
2011-07-14,55.30,55.50,54.00,54.25,16542800,54.25
2011-07-13,54.61,55.89,54.38,54.89,17646900,54.89
2011-07-12,53.10,55.08,53.05,54.08,18354100,53.83
2011-07-11,53.88,54.21,53.02,53.30,19934500,53.05
2011-07-08,54.62,55.24,54.16,55.12,17860500,54.87
2011-07-07,54.78,56.12,54.46,55.49,23570400,55.23
2011-07-06,53.00,53.81,52.76,53.52,13638200,53.27
2011-07-05,53.52,53.98,53.15,53.62,15679500,53.37
2011-07-01,52.85,53.50,51.97,53.50,17077900,53.25
2011-06-30,51.94,53.42,51.88,52.90,24250800,52.66
2011-06-29,51.08,52.62,50.85,51.62,24492700,51.38
2011-06-28,48.91,50.46,48.70,50.44,19061200,50.21
2011-06-27,48.13,48.83,47.40,48.69,14089500,48.46
2011-06-24,49.45,49.65,48.19,48.43,17760800,48.21
