Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,40.49,40.77,30.97,32.37,31573200,32.37
2011-09-12,41.02,43.09,40.24,41.59,15299600,41.59
2011-09-06,43.46,45.56,41.51,41.99,17542300,41.99
2011-08-29,45.11,48.60,44.54,44.94,15179000,44.94
2011-08-22,43.30,44.73,41.46,44.53,15419400,44.53
2011-08-15,45.70,47.59,41.76,41.94,19170200,41.94
2011-08-08,44.13,46.74,41.20,45.40,25423600,45.40
2011-08-01,54.38,54.55,44.03,45.99,21011100,45.99
2011-07-25,55.17,56.78,52.18,52.96,13301100,52.96
2011-07-18,55.19,56.68,54.63,55.67,14338100,55.67
2011-07-11,53.88,55.89,53.02,55.34,17235000,55.34
2011-07-05,53.52,56.12,52.76,55.12,17687100,54.87
2011-06-27,48.13,53.50,47.40,53.50,19794400,53.25
2011-06-20,47.55,49.90,47.11,48.43,18067000,48.21
2011-06-13,48.33,50.38,47.06,47.93,20144200,47.71
2011-06-06,50.35,51.07,48.51,48.93,17547200,48.70
2011-05-31,52.40,52.70,48.40,49.93,22331500,49.70
2011-05-23,46.94,51.90,46.67,51.73,21119600,51.49
2011-05-16,48.37,49.30,46.06,48.38,26665100,48.16
2011-05-09,51.03,52.30,47.60,48.27,21805300,48.05
2011-05-02,55.12,55.57,49.41,50.17,23179600,49.94
2011-04-25,54.94,56.49,54.13,55.02,16865100,54.77
2011-04-18,50.54,55.00,49.71,54.84,22251900,54.59
2011-04-11,57.23,57.60,50.86,51.17,20461600,50.93
2011-04-04,55.96,58.75,55.11,57.23,16769100,56.70
2011-03-28,54.98,56.27,53.45,55.08,16977500,54.57
2011-03-21,52.46,55.25,51.21,54.55,19086800,54.05
2011-03-14,49.06,53.29,46.53,51.78,27977700,51.30
2011-03-07,51.98,52.32,46.20,49.48,25448000,49.02
2011-02-28,53.10,53.50,51.01,51.71,14186900,51.23
2011-02-22,51.38,53.05,49.60,52.45,21970000,51.96
2011-02-14,54.36,56.43,52.79,52.95,15795700,52.46
2011-02-07,57.36,57.64,52.76,53.52,15603900,53.02
2011-01-31,107.49,114.21,55.00,56.76,23051000,56.23
2011-01-24,108.19,111.62,104.61,106.17,25537400,52.59
2011-01-18,118.85,119.67,108.11,108.40,23045300,53.70
2011-01-10,117.49,122.69,115.55,118.35,17328200,58.63
2011-01-03,121.69,122.50,115.05,117.47,21296400,57.95
2010-12-27,117.17,120.78,117.06,120.09,8495000,59.24
2010-12-20,115.29,118.17,113.93,118.17,12063900,58.30
2010-12-13,115.14,117.40,109.75,113.71,18757600,56.10
2010-12-06,108.97,114.24,106.70,112.87,22528600,55.68
2010-11-29,97.57,109.43,96.35,108.95,22531200,53.75
2010-11-22,100.44,102.50,97.79,97.92,16885300,48.31
2010-11-15,103.90,104.48,96.02,101.80,26279500,50.22
2010-11-08,104.29,108.51,100.62,103.92,28495600,51.27
2010-11-01,96.55,107.07,95.01,104.84,24809000,51.72
2010-10-25,97.00,98.42,94.00,94.79,20268900,46.76
2010-10-18,96.64,99.65,92.00,94.05,25271600,46.40
