Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,85.62,88.65,85.21,88.18,219933,88.18
2011-09-16,87.50,87.82,86.46,87.25,332100,87.25
2011-09-15,87.13,87.71,86.01,87.64,173600,87.64
2011-09-14,84.99,87.31,84.03,86.37,300000,86.37
2011-09-13,83.97,84.97,83.09,84.73,235500,84.73
2011-09-12,81.18,83.56,81.18,83.54,280400,83.54
2011-09-09,84.16,84.26,81.65,82.24,360100,82.24
2011-09-08,84.90,85.57,84.26,84.81,365900,84.81
2011-09-07,83.87,85.45,83.57,85.41,276400,85.41
2011-09-06,81.70,82.98,80.93,82.46,270100,82.46
2011-09-02,84.89,86.02,83.86,83.99,264000,83.99
2011-09-01,88.29,88.75,86.52,86.66,260600,86.66
2011-08-31,88.47,90.18,87.14,87.90,401900,87.90
2011-08-30,86.63,88.56,86.43,87.80,270000,87.80
2011-08-29,85.21,87.07,85.01,87.04,260400,87.04
2011-08-26,81.47,84.79,80.48,84.50,291400,84.23
2011-08-25,83.66,84.07,81.67,81.95,332700,81.69
2011-08-24,83.25,84.43,81.77,83.06,473400,82.79
2011-08-23,80.56,83.30,79.81,83.29,336500,83.02
2011-08-22,81.17,81.31,79.15,80.16,314500,79.90
2011-08-19,80.13,82.35,79.01,79.15,392500,78.90
2011-08-18,83.63,83.82,80.34,81.17,559100,80.91
2011-08-17,86.12,86.84,84.53,86.08,416900,85.80
2011-08-16,85.46,86.47,84.88,85.65,331500,85.38
2011-08-15,85.37,86.57,84.32,86.57,430600,86.29
2011-08-12,84.26,84.92,83.10,84.55,530200,84.28
2011-08-11,80.60,84.44,80.26,83.65,617300,83.38
2011-08-10,82.05,82.99,80.16,80.17,795600,79.91
2011-08-09,80.25,83.91,78.25,83.86,818400,83.59
2011-08-08,84.21,84.31,78.45,78.45,764700,78.20
2011-08-05,87.35,87.52,83.72,85.47,694800,85.20
2011-08-04,88.56,88.91,86.36,86.44,532600,86.16
2011-08-03,89.32,89.93,87.78,89.75,344200,89.46
2011-08-02,91.00,92.38,89.04,89.06,399800,88.78
2011-08-01,93.15,93.47,90.69,91.43,330200,91.14
2011-07-29,91.65,92.98,91.18,92.09,457500,91.80
2011-07-28,92.32,93.33,91.58,92.79,500300,92.49
2011-07-27,94.33,94.56,91.87,92.03,294800,91.74
2011-07-26,95.73,95.73,94.61,94.76,274600,94.46
2011-07-25,95.17,96.39,94.76,95.61,245300,95.30
2011-07-22,96.00,96.47,95.69,96.10,208000,95.79
2011-07-21,95.29,96.54,94.69,96.32,422700,96.01
