Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,81.18,87.82,81.18,87.25,264300,87.25
2011-09-06,81.70,85.57,80.93,82.24,318100,82.24
2011-08-29,85.21,90.18,83.86,83.99,291300,83.99
2011-08-22,81.17,84.79,79.15,84.50,349700,84.23
2011-08-15,85.37,86.84,79.01,79.15,426100,78.90
2011-08-08,84.21,84.92,78.25,84.55,705200,84.28
2011-08-01,93.15,93.47,83.72,85.47,460300,85.20
2011-07-25,95.17,96.39,91.18,92.09,354500,91.80
2011-07-18,94.48,96.83,93.08,96.10,358500,95.79
2011-07-11,100.30,100.68,94.50,94.99,449500,94.69
2011-07-05,103.30,104.33,100.90,101.45,331800,101.13
2011-06-27,98.60,103.40,97.90,103.14,382000,102.81
2011-06-20,97.63,101.57,97.49,98.44,281500,98.13
2011-06-13,104.29,104.85,96.61,97.97,571500,97.66
2011-06-06,107.13,107.57,103.56,104.02,195900,103.69
2011-05-31,109.00,111.00,106.51,107.23,212700,106.89
2011-05-23,106.48,108.97,105.10,108.06,136100,107.71
2011-05-16,108.81,109.38,105.56,108.15,203000,107.53
2011-05-09,106.68,112.40,106.19,109.50,332700,108.87
2011-05-02,109.77,109.77,104.83,106.43,217700,105.82
2011-04-25,105.58,110.19,104.81,109.41,213700,108.79
2011-04-18,102.42,105.85,100.80,105.50,207200,104.90
2011-04-11,104.43,104.82,102.53,104.00,176700,103.41
2011-04-04,104.85,106.47,103.95,104.46,135900,103.86
2011-03-28,102.50,106.00,101.97,104.91,241100,104.31
2011-03-21,99.65,103.41,98.90,102.11,156500,101.53
2011-03-14,102.24,103.01,96.49,98.51,407400,97.95
2011-03-07,104.68,104.77,101.25,102.43,250500,101.85
2011-02-28,105.68,106.37,101.35,104.04,206400,103.45
2011-02-22,106.68,107.36,100.14,105.00,356700,104.40
2011-02-14,104.70,108.32,104.58,107.88,148100,107.02
2011-02-07,101.91,105.00,101.91,104.83,211800,104.00
2011-01-31,99.79,102.95,99.39,101.91,163500,101.10
2011-01-24,96.21,100.73,95.78,99.66,264400,98.87
2011-01-18,94.62,98.72,94.62,96.10,209900,95.34
2011-01-10,93.81,95.45,93.11,95.05,193600,94.29
2011-01-03,94.68,95.85,93.34,94.39,214100,93.64
2010-12-27,94.58,95.84,93.73,93.76,113400,93.01
2010-12-20,92.94,95.40,92.59,95.00,213300,94.24
2010-12-13,95.80,96.86,91.01,93.00,408200,92.26
2010-12-06,93.05,95.65,92.60,95.45,161800,94.69
2010-11-29,89.87,93.46,88.42,93.31,136400,92.57
2010-11-22,88.97,90.82,88.04,90.29,130500,89.57
2010-11-15,87.67,89.50,86.00,89.41,143300,88.47
2010-11-08,88.82,89.30,87.11,87.41,182300,86.49
2010-11-01,88.16,89.70,87.40,89.30,165900,88.37
2010-10-25,89.55,89.87,86.95,87.78,212400,86.86
2010-10-18,86.57,89.46,86.44,89.07,489100,88.14
2010-10-11,82.53,87.15,82.15,86.73,363400,85.82
2010-10-04,81.89,83.05,80.22,82.67,294800,81.80
2010-09-27,80.65,83.00,80.16,81.98,352800,81.12
2010-09-20,82.62,84.79,79.58,80.53,568000,79.69
2010-09-13,81.46,84.11,81.17,82.05,430700,81.19
2010-09-07,78.82,80.62,78.11,80.57,300800,79.73
2010-08-30,74.23,78.99,72.89,78.98,276100,78.15
2010-08-23,75.47,75.92,72.42,74.48,401500,73.70
2010-08-16,74.70,76.11,73.58,75.19,223100,74.17
2010-08-09,77.55,78.83,75.00,75.09,281700,74.07
2010-08-02,75.99,78.05,75.38,77.96,218300,76.90
2010-07-26,74.84,76.20,73.41,75.00,243600,73.98
2010-07-19,69.81,74.66,68.42,74.63,295300,73.62
2010-07-12,68.74,71.78,68.49,69.79,255000,68.84
2010-07-06,66.84,69.31,65.90,69.08,216800,68.14
2010-06-28,70.75,71.45,65.32,66.14,311400,65.24
2010-06-21,72.04,72.79,68.25,70.46,383900,69.51
2010-06-14,68.69,72.19,68.52,71.35,417700,70.38
2010-06-07,68.46,68.49,64.89,68.42,344800,67.49
2010-06-01,67.86,69.88,66.89,68.46,440100,67.53
2010-05-24,68.69,70.11,66.36,68.05,561600,67.13
2010-05-17,73.52,74.66,66.82,69.08,368400,67.91
2010-05-10,74.10,75.33,70.57,73.44,383000,72.20
2010-05-03,75.64,76.75,68.89,70.56,392700,69.37
2010-04-26,76.41,77.64,74.44,75.22,324600,73.95
2010-04-19,74.22,76.84,73.96,76.61,263700,75.31
2010-04-12,75.17,76.36,74.42,74.56,205500,73.30
2010-04-05,73.43,75.14,73.30,74.95,243500,73.68
