Date,Open,High,Low,Close,Volume,Adj Close
2011-10-03,66.90,67.92,64.97,65.15,4643600,65.15
2011-09-26,68.10,71.62,67.62,67.68,3609600,67.68
2011-09-19,74.99,76.84,64.55,67.30,5167300,67.30
2011-09-12,72.39,77.92,71.54,76.40,3108200,76.40
2011-09-06,72.43,76.64,71.33,73.40,3100800,73.40
2011-08-29,76.67,80.71,74.46,74.90,2707700,74.77
2011-08-22,74.92,77.44,72.16,75.72,3518700,75.59
2011-08-15,81.20,81.98,72.89,73.16,3491200,73.04
2011-08-08,80.34,81.91,75.13,80.48,4630200,80.34
2011-08-01,88.05,88.05,80.18,82.36,4398500,82.22
2011-07-25,91.70,92.35,86.33,86.88,3394400,86.73
2011-07-18,91.80,94.07,90.05,92.79,2392700,92.63
2011-07-11,96.75,96.75,91.26,92.20,2732300,92.04
2011-07-05,96.17,98.66,95.20,97.56,2356000,97.39
2011-06-27,91.97,96.83,91.61,96.52,2104100,96.36
2011-06-20,86.83,93.45,81.22,91.87,4051500,91.71
2011-06-13,85.92,88.00,84.95,86.99,2352000,86.84
2011-06-06,89.99,90.56,84.79,85.38,3089300,85.11
2011-05-31,92.63,94.39,89.90,90.15,2480100,89.86
2011-05-23,92.56,92.69,90.80,91.90,1887900,91.61
2011-05-16,93.38,94.65,92.05,93.82,1860800,93.52
2011-05-09,95.60,96.50,93.50,93.58,2159400,93.28
2011-05-02,96.25,96.89,91.80,95.65,2451800,95.34
2011-04-25,93.75,96.25,92.90,95.67,1561200,95.36
2011-04-18,91.34,94.23,91.10,93.94,1922300,93.64
2011-04-11,91.30,94.67,90.66,92.58,2589400,92.28
2011-04-04,95.01,95.42,90.82,91.16,1752200,90.87
2011-03-28,91.09,96.50,90.60,95.00,2559200,94.70
2011-03-21,90.37,91.06,87.05,90.28,2176000,89.99
2011-03-14,89.72,90.40,85.03,89.28,4946800,89.00
2011-03-07,88.88,91.33,87.11,90.71,3159600,90.30
2011-02-28,91.01,91.02,86.32,88.69,3687200,88.29
2011-02-22,96.05,96.20,87.54,89.88,4354200,89.47
2011-02-14,95.03,98.52,93.81,98.32,2884700,97.87
