Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,18.91,19.76,18.76,19.4,2340226,19.4
2011-09-22,19.21,20.05,18.50,19.01,6215100,19.01
2011-09-21,21.92,22.40,20.16,20.19,6433100,20.19
2011-09-20,21.53,22.74,21.10,21.89,6354700,21.89
2011-09-19,20.78,21.47,20.40,21.25,4281700,21.25
2011-09-16,21.76,21.76,20.88,21.27,3853200,21.27
2011-09-15,21.55,21.88,21.14,21.67,5032400,21.67
2011-09-14,20.53,21.74,20.19,21.18,7613600,21.18
2011-09-13,20.22,20.82,20.08,20.20,6259800,20.20
2011-09-12,18.71,20.21,18.52,20.19,5514600,20.19
2011-09-09,19.54,20.13,18.63,19.00,5434900,19.00
2011-09-08,20.20,21.06,19.68,19.92,5015400,19.92
2011-09-07,19.81,20.42,19.57,20.37,4980300,20.37
2011-09-06,19.51,19.83,18.90,19.37,8811800,19.37
2011-09-02,20.38,22.32,19.64,20.21,22423900,20.21
2011-09-01,19.16,19.26,18.20,18.59,8880000,18.59
2011-08-31,19.04,19.25,18.11,18.46,6174700,18.46
2011-08-30,17.77,19.09,17.58,18.75,6353500,18.75
2011-08-29,17.18,18.26,17.11,18.08,4543600,18.08
2011-08-26,15.77,16.98,15.63,16.81,5371700,16.81
2011-08-25,16.82,17.20,15.67,15.72,4839000,15.72
2011-08-24,16.79,17.12,16.13,16.76,3457200,16.76
2011-08-23,15.28,17.04,15.26,16.85,5405300,16.85
2011-08-22,15.61,15.85,14.75,15.13,3852000,15.13
2011-08-19,14.52,15.93,14.50,15.02,5385500,15.02
2011-08-18,14.77,15.50,14.41,14.89,7002200,14.89
2011-08-17,16.35,16.66,15.27,15.63,5278100,15.63
2011-08-16,17.09,17.70,16.12,16.19,6877500,16.19
2011-08-15,16.15,17.53,16.10,17.46,5707800,17.46
2011-08-12,15.63,16.35,15.47,15.95,5337600,15.95
2011-08-11,13.92,15.69,13.88,15.39,6184800,15.39
2011-08-10,13.32,14.44,13.08,13.44,5311300,13.44
2011-08-09,13.13,13.91,12.50,13.85,5184600,13.85
2011-08-08,13.59,14.10,12.26,12.55,7354100,12.55
2011-08-05,15.28,15.45,13.95,14.63,4945600,14.63
2011-08-04,15.76,15.87,14.86,14.86,4187500,14.86
2011-08-03,15.93,16.41,15.50,16.15,5014300,16.15
2011-08-02,16.82,17.20,15.74,15.74,4060300,15.74
2011-08-01,17.76,18.00,16.80,17.04,4039400,17.04
2011-07-29,17.35,17.73,16.55,17.04,5349900,17.04
2011-07-28,18.52,18.84,17.70,17.78,3134400,17.78
2011-07-27,19.73,19.83,18.19,18.46,5447100,18.46
2011-07-26,19.41,20.60,19.15,20.43,5940100,20.43
2011-07-25,18.88,19.10,18.62,18.67,3091200,18.67
2011-07-22,18.14,19.46,18.05,19.21,3787000,19.21
2011-07-21,17.90,18.39,17.52,18.10,2658900,18.10
2011-07-20,18.24,18.39,17.54,17.89,3816900,17.89
2011-07-19,17.21,17.97,17.17,17.97,3624800,17.97
2011-07-18,17.04,17.18,16.44,16.98,2959700,16.98
2011-07-15,17.20,17.36,16.76,17.17,4291000,17.17
2011-07-14,17.43,17.81,16.40,16.78,3813900,16.78
2011-07-13,17.41,17.98,17.32,17.41,2065300,17.41
2011-07-12,17.45,17.75,17.18,17.23,2671300,17.23
2011-07-11,18.02,18.30,17.41,17.55,3725400,17.55
2011-07-08,18.73,18.73,18.07,18.34,3998800,18.34
2011-07-07,18.50,19.60,18.42,19.19,3202900,19.19
2011-07-06,18.57,18.60,17.80,18.24,3263800,18.24
2011-07-05,18.78,18.92,18.44,18.55,3098900,18.55
2011-07-01,18.15,18.89,17.86,18.83,3268800,18.83
2011-06-30,17.88,18.46,17.71,18.03,4950100,18.03
2011-06-29,17.61,18.09,17.23,17.83,5113700,17.83
2011-06-28,16.83,17.75,16.78,17.66,5118700,17.66
2011-06-27,16.20,16.96,16.03,16.80,4113300,16.80
2011-06-24,16.56,16.68,15.85,16.06,4821400,16.06
2011-06-23,15.44,16.57,15.34,16.52,4909300,16.52
2011-06-22,15.51,16.08,15.48,15.76,4255300,15.76
2011-06-21,14.80,15.71,14.65,15.66,4111600,15.66
2011-06-20,14.73,15.08,14.43,14.65,4229400,14.65
2011-06-17,15.03,15.09,14.27,14.87,8099100,14.87
2011-06-16,14.53,15.76,13.91,14.84,24864600,14.84
2011-06-15,18.59,18.76,17.65,17.73,8541200,17.73
2011-06-14,18.34,19.10,18.31,19.04,3643300,19.04
2011-06-13,18.30,18.82,17.77,18.05,3699500,18.05
2011-06-10,18.32,18.61,18.02,18.21,2671100,18.21
2011-06-09,18.82,18.97,18.18,18.43,4236000,18.43
2011-06-08,18.86,19.03,18.29,18.81,8424800,18.81
2011-06-07,20.67,20.81,19.86,19.96,4925200,19.96
2011-06-06,21.06,21.34,20.30,20.42,3944900,20.42
2011-06-03,21.65,21.79,20.96,21.15,5117500,21.15
2011-06-02,22.46,22.69,21.90,22.10,3734400,22.10
2011-06-01,23.78,24.31,22.26,22.29,4269800,22.29
2011-05-31,24.00,24.10,23.54,24.02,2693500,24.02
2011-05-27,23.47,24.00,23.40,23.72,1862100,23.72
2011-05-26,23.06,23.60,22.93,23.33,2613200,23.33
2011-05-25,22.56,23.71,22.50,23.32,2796900,23.32
2011-05-24,22.89,23.29,22.53,22.55,3056700,22.55
2011-05-23,22.95,23.24,22.50,22.62,2953200,22.62
2011-05-20,23.66,24.07,23.30,23.45,3138300,23.45
2011-05-19,23.88,24.29,23.54,23.82,2599000,23.82
2011-05-18,22.83,23.72,22.83,23.66,2696600,23.66
2011-05-17,23.73,23.76,22.33,22.79,4824800,22.79
2011-05-16,24.91,25.23,23.75,23.82,3914300,23.82
2011-05-13,26.01,26.50,24.97,25.06,3061700,25.06
2011-05-12,25.79,26.49,25.07,25.97,2700000,25.97
2011-05-11,26.90,27.64,25.95,26.05,2907800,26.05
2011-05-10,26.43,27.15,26.24,26.98,2025500,26.98
2011-05-09,25.28,26.33,25.19,26.18,2527000,26.18
2011-05-06,25.72,25.99,25.08,25.36,3078100,25.36
2011-05-05,25.94,26.33,25.11,25.32,4497500,25.32
2011-05-04,26.01,26.08,25.05,25.31,3379600,25.31
2011-05-03,27.06,27.08,26.00,26.42,3425200,26.42
2011-05-02,28.50,28.74,27.10,27.22,3020900,27.22
2011-04-29,26.45,28.42,26.24,28.09,3800000,28.09
2011-04-28,27.66,28.44,26.80,27.27,3191500,27.27
2011-04-27,25.78,28.32,25.69,27.83,5695400,27.83
2011-04-26,26.02,26.15,25.60,25.79,2038200,25.79
2011-04-25,26.78,26.86,25.86,25.93,2041300,25.93
2011-04-21,26.31,27.00,25.97,26.75,3398300,26.75
2011-04-20,25.12,25.86,24.81,25.86,3405800,25.86
2011-04-19,24.34,24.66,24.00,24.59,2617000,24.59
2011-04-18,24.45,24.73,24.00,24.30,2265800,24.30
2011-04-15,24.70,25.34,24.30,24.96,2391700,24.96
2011-04-14,24.53,25.00,24.00,24.68,2806100,24.68
2011-04-13,24.65,25.56,24.55,24.84,3231000,24.84
2011-04-12,24.25,24.35,23.13,24.05,3471600,24.05
2011-04-11,25.72,25.72,24.33,24.60,3697400,24.60
2011-04-08,26.50,26.57,25.54,25.76,3511900,25.76
2011-04-07,26.23,26.46,25.71,26.03,3965200,26.03
2011-04-06,24.47,26.52,24.47,26.30,9147000,26.30
2011-04-05,23.20,24.59,23.20,24.14,4395800,24.14
2011-04-04,23.58,23.95,23.23,23.41,1901100,23.41
2011-04-01,24.56,24.56,23.25,23.64,5114900,23.64
2011-03-31,22.92,24.74,22.85,24.60,7124700,24.60
2011-03-30,22.82,22.98,22.35,22.92,2771300,22.92
2011-03-29,22.21,22.80,21.82,22.47,3793000,22.47
2011-03-28,23.69,23.79,22.11,22.21,4666300,22.21
2011-03-25,23.65,24.10,23.25,23.54,4570200,23.54
2011-03-24,22.30,23.40,22.10,23.23,6401800,23.23
2011-03-23,21.55,22.05,21.15,21.97,3250200,21.97
2011-03-22,21.99,22.22,21.45,21.48,3179200,21.48
2011-03-21,21.48,22.12,20.85,22.02,4941200,22.02
2011-03-18,22.30,22.35,20.82,21.14,8626100,21.14
2011-03-17,23.39,23.61,21.61,21.84,7534400,21.84
2011-03-16,22.87,24.18,22.68,22.88,7514200,22.88
2011-03-15,22.28,23.40,21.84,22.58,4703800,22.58
2011-03-14,23.02,24.24,22.96,23.21,5644700,23.21
2011-03-11,23.75,24.28,23.03,23.21,8248900,23.21
2011-03-10,24.42,25.00,23.63,23.92,12756100,23.92
2011-03-09,25.00,27.19,24.55,24.61,40365300,24.61
2011-03-08,41.04,41.70,39.73,40.04,8599000,40.04
2011-03-07,43.39,43.50,39.68,40.72,4177500,40.72
2011-03-04,42.23,44.07,41.28,43.22,4642200,43.22
2011-03-03,41.01,42.59,41.01,42.13,3849500,42.13
2011-03-02,39.77,41.17,39.49,40.39,2261000,40.39
2011-03-01,40.97,41.19,39.48,39.68,3120100,39.68
2011-02-28,42.00,42.21,39.63,41.02,2911100,41.02
2011-02-25,40.15,41.30,39.73,41.10,2870100,41.10
2011-02-24,39.04,40.00,38.40,39.57,3769300,39.57
2011-02-23,39.33,39.65,36.86,38.83,4234400,38.83
2011-02-22,40.59,40.98,37.85,39.21,5460300,39.21
2011-02-18,42.39,43.24,41.62,41.99,2222400,41.99
2011-02-17,42.61,43.11,41.86,42.65,2160000,42.65
2011-02-16,42.00,42.75,41.54,42.59,2814400,42.59
2011-02-15,42.80,42.80,40.60,41.35,4081100,41.35
2011-02-14,43.77,46.09,42.66,43.23,5556200,43.23
2011-02-11,40.86,43.27,40.72,43.01,3979600,43.01
2011-02-10,39.01,41.94,39.01,40.93,2985700,40.93
2011-02-09,38.93,40.72,38.59,40.02,3259600,40.02
2011-02-08,39.15,39.21,38.17,38.95,2183400,38.95
2011-02-07,38.80,40.75,38.40,38.93,4058900,38.93
2011-02-04,38.63,39.90,37.47,38.97,7295700,38.97
2011-02-03,34.48,34.73,33.80,34.43,1660000,34.43
2011-02-02,34.06,34.98,34.02,34.43,1694300,34.43
2011-02-01,33.68,34.85,33.68,34.31,3036400,34.31
2011-01-31,32.30,33.60,32.23,33.30,3684700,33.30
2011-01-28,32.86,33.99,31.74,32.36,4239600,32.36
2011-01-27,31.54,32.53,31.15,32.13,2420500,32.13
2011-01-26,30.27,31.59,29.96,31.41,2640000,31.41
2011-01-25,31.01,31.09,29.52,30.01,3847800,30.01
2011-01-24,30.93,31.75,30.05,31.48,2586400,31.48
2011-01-21,30.99,31.95,30.63,30.91,2364100,30.91
2011-01-20,30.62,31.49,29.60,30.49,4691700,30.49
2011-01-19,33.47,33.52,31.13,31.38,4051000,31.38
2011-01-18,34.69,34.87,32.82,33.28,2978600,33.28
2011-01-14,34.44,35.01,33.82,34.62,4620900,34.62
2011-01-13,33.73,35.25,33.68,34.76,2888300,34.76
2011-01-12,33.26,33.72,32.61,33.66,2445400,33.66
2011-01-11,33.20,33.39,32.18,32.75,2683400,32.75
2011-01-10,31.61,33.13,31.29,32.97,2046500,32.97
2011-01-07,32.30,32.60,31.05,31.66,2029700,31.66
2011-01-06,31.20,32.72,30.86,32.25,3813200,32.25
2011-01-05,30.60,31.14,30.13,30.86,2601500,30.86
2011-01-04,31.11,31.20,29.55,30.78,4085400,30.78
2011-01-03,30.20,31.67,30.15,30.60,4870500,30.60
2010-12-31,28.42,30.12,28.32,29.69,3797800,29.69
2010-12-30,28.60,28.69,28.01,28.25,1978100,28.25
2010-12-29,29.03,29.03,28.15,28.57,2143300,28.57
2010-12-28,29.84,30.28,28.70,28.83,2256500,28.83
2010-12-27,28.76,30.06,28.69,29.79,1584900,29.79
2010-12-23,29.26,29.33,28.62,29.03,1668900,29.03
2010-12-22,29.25,29.42,28.57,28.98,1910900,28.98
