Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,20.78,22.74,18.50,19.01,5821100,19.01
2011-09-12,18.71,21.88,18.52,21.27,5654700,21.27
2011-09-06,19.51,21.06,18.63,19.00,6060600,19.00
2011-08-29,17.18,22.32,17.11,20.21,9675100,20.21
2011-08-22,15.61,17.20,14.75,16.81,4585000,16.81
2011-08-15,16.15,17.70,14.41,15.02,6050200,15.02
2011-08-08,13.59,16.35,12.26,15.95,5874400,15.95
2011-08-01,17.76,18.00,13.95,14.63,4449400,14.63
2011-07-25,18.88,20.60,16.55,17.04,4592500,17.04
2011-07-18,17.04,19.46,16.44,19.21,3369400,19.21
2011-07-11,18.02,18.30,16.40,17.17,3313300,17.17
2011-07-05,18.78,19.60,17.80,18.34,3391100,18.34
2011-06-27,16.20,18.89,16.03,18.83,4512900,18.83
2011-06-20,14.73,16.68,14.43,16.06,4465400,16.06
2011-06-13,18.30,19.10,13.91,14.87,9769500,14.87
2011-06-06,21.06,21.34,18.02,18.21,4840400,18.21
2011-05-31,24.00,24.31,20.96,21.15,3953800,21.15
2011-05-23,22.95,24.00,22.50,23.72,2656400,23.72
2011-05-16,24.91,25.23,22.33,23.45,3434600,23.45
2011-05-09,25.28,27.64,24.97,25.06,2644400,25.06
2011-05-02,28.50,28.74,25.05,25.36,3480200,25.36
2011-04-25,26.78,28.44,25.60,28.09,3353200,28.09
2011-04-18,24.45,27.00,24.00,26.75,2921700,26.75
2011-04-11,25.72,25.72,23.13,24.96,3119500,24.96
2011-04-04,23.58,26.57,23.20,25.76,4584200,25.76
2011-03-28,23.69,24.74,21.82,23.64,4694000,23.64
2011-03-21,21.48,24.10,20.85,23.54,4468500,23.54
2011-03-14,23.02,24.24,20.82,21.14,6804600,21.14
2011-03-07,43.39,43.50,23.03,23.21,14829300,23.21
2011-02-28,42.00,44.07,39.48,43.22,3356700,43.22
2011-02-22,40.59,41.30,36.86,41.10,4083500,41.10
2011-02-14,43.77,46.09,40.60,41.99,3366800,41.99
2011-02-07,38.80,43.27,38.17,43.01,3293400,43.01
2011-01-31,32.30,39.90,32.23,38.97,3474200,38.97
2011-01-24,30.93,33.99,29.52,32.36,3146800,32.36
2011-01-18,34.69,34.87,29.60,30.91,3521300,30.91
2011-01-10,31.61,35.25,31.29,34.62,2936900,34.62
2011-01-03,30.20,32.72,29.55,31.66,3480000,31.66
2010-12-27,28.76,30.28,28.01,29.69,2352100,29.69
2010-12-20,29.11,30.12,28.46,29.03,2961400,29.03
2010-12-13,25.61,29.05,24.84,29.02,4152100,29.02
2010-12-06,24.16,25.81,23.40,25.33,2459400,25.33
2010-11-29,19.58,24.64,18.90,24.01,4194500,24.01
2010-11-22,19.15,19.98,19.02,19.74,1623600,19.74
2010-11-15,19.50,19.62,18.34,19.08,1829200,19.08
2010-11-08,19.30,20.47,17.53,19.39,4447400,19.39
2010-11-01,16.91,19.59,16.90,19.29,2454400,19.29
2010-10-25,19.37,19.81,14.89,17.03,7007400,17.03
2010-10-18,21.22,21.36,18.23,19.12,3388900,19.12
2010-10-11,19.53,21.44,19.53,21.14,2433700,21.14
2010-10-04,18.88,19.64,18.30,19.34,2144900,19.34
2010-09-27,17.93,19.51,17.36,19.06,2765600,19.06
2010-09-20,17.63,18.37,16.82,17.82,2684100,17.82
2010-09-13,15.45,17.69,15.42,17.53,3158700,17.53
2010-09-07,15.57,16.10,15.10,15.30,2797500,15.30
2010-08-30,12.64,15.97,12.57,15.60,3796100,15.60
2010-08-23,14.00,14.05,11.98,12.73,2783900,12.73
2010-08-16,14.15,14.59,13.40,13.88,1628000,13.88
2010-08-09,17.17,17.47,14.01,14.17,2827300,14.17
2010-08-02,16.23,17.41,16.10,17.07,1670400,17.07
2010-07-26,17.29,17.91,15.51,16.03,2294700,16.03
2010-07-19,15.46,17.50,14.66,17.14,1739500,17.14
2010-07-12,15.53,16.38,15.16,15.44,1230000,15.44
2010-07-06,14.94,15.78,13.92,15.55,1959200,15.55
2010-06-28,15.71,16.20,14.16,14.72,2003400,14.72
2010-06-21,16.24,16.55,15.11,15.77,4197400,15.77
2010-06-14,15.16,16.23,15.15,16.10,1805600,16.10
2010-06-07,14.07,15.01,13.06,15.00,2236900,15.00
2010-06-01,15.06,15.27,13.71,13.96,1420400,13.96
2010-05-24,14.11,15.47,12.96,15.20,2230000,15.20
2010-05-17,15.26,15.50,13.50,14.49,1601200,14.49
2010-05-10,13.75,16.57,13.61,15.22,2552100,15.22
2010-05-03,15.01,15.54,12.66,13.00,2554800,13.00
2010-04-26,15.66,16.11,14.83,14.96,1387600,14.96
2010-04-19,16.67,16.75,15.45,15.66,1301600,15.66
2010-04-12,16.26,17.19,16.14,16.76,1481000,16.76
2010-04-05,15.79,17.07,15.50,16.10,1826900,16.10
2010-03-29,15.48,16.15,15.25,15.76,1516900,15.76
2010-03-22,14.91,15.99,14.81,15.45,2119000,15.45
2010-03-15,14.15,15.44,14.09,15.10,3684400,15.10
2010-03-08,13.17,14.00,13.05,13.98,904000,13.98
2010-03-01,12.51,13.60,12.00,13.08,1769300,13.08
2010-02-22,12.17,12.55,11.72,12.50,805500,12.50
2010-02-16,11.51,12.30,11.30,12.10,1208400,12.10
2010-02-08,10.16,11.55,9.87,11.40,1399600,11.40
2010-02-01,10.37,11.00,9.64,10.08,681400,10.08
2010-01-25,10.43,10.81,9.75,10.30,794100,10.30
2010-01-19,10.64,11.74,10.25,10.30,1337500,10.30
2010-01-11,11.00,11.30,10.24,10.71,991500,10.71
2010-01-04,9.01,10.96,8.98,10.89,1452000,10.89
2009-12-28,8.88,9.17,8.71,8.92,251700,8.92
2009-12-21,8.76,8.97,8.54,8.90,494500,8.90
2009-12-14,8.46,8.79,8.24,8.71,992100,8.71
2009-12-07,8.35,8.65,7.65,8.11,1020400,8.11
2009-11-30,9.15,9.82,8.25,8.43,1242100,8.43
2009-11-23,9.48,9.74,8.86,9.11,268600,9.11
2009-11-16,8.35,9.49,8.31,9.36,654100,9.36
2009-11-09,8.05,8.48,7.78,8.41,652500,8.41
2009-11-02,7.42,8.10,7.05,8.00,861400,8.00
2009-10-26,8.86,9.10,7.32,7.45,993400,7.45
2009-10-19,9.14,9.36,8.58,8.76,590600,8.76
