Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,83.99,84.82,78.68,79.21,2383400,79.21
2011-09-12,86.81,93.64,83.57,85.70,2663900,85.70
2011-09-06,87.21,91.09,82.11,84.96,2631200,84.96
2011-08-29,102.90,103.60,88.82,90.10,1669500,90.10
2011-08-22,90.75,101.55,87.29,100.71,1761200,100.71
2011-08-15,104.31,106.81,87.82,88.68,2488700,88.68
2011-08-08,96.90,107.99,92.75,104.13,3170800,104.13
2011-08-01,121.35,123.86,99.03,105.43,2123200,105.43
2011-07-25,123.47,124.00,115.62,118.23,1038300,118.23
2011-07-18,123.84,126.14,121.12,124.12,897900,124.12
2011-07-11,130.32,130.98,122.35,124.64,1194200,124.64
2011-07-05,132.03,134.21,130.24,132.60,1599000,132.60
2011-06-27,116.15,142.22,115.06,133.06,2944200,133.06
2011-06-20,121.27,126.00,116.29,116.56,1596800,116.56
2011-06-13,118.48,122.99,115.33,121.55,1373100,121.55
2011-06-06,118.27,119.49,111.40,117.09,1411500,117.09
2011-05-31,126.37,128.95,118.15,118.66,1930600,118.66
2011-05-23,124.12,126.61,114.40,121.37,2385200,121.37
2011-05-16,125.00,131.88,122.51,126.38,1485600,126.38
2011-05-09,131.17,132.29,123.39,125.65,1964300,125.65
2011-05-02,140.84,140.87,124.30,129.96,2466300,129.96
2011-04-25,137.59,145.16,133.63,139.57,1906300,139.57
2011-04-18,136.46,139.90,132.17,137.22,1721700,137.22
2011-04-11,148.21,148.54,137.18,137.64,1765100,137.64
2011-04-04,161.38,161.40,145.10,147.32,1237400,147.32
2011-03-28,153.02,163.00,152.25,160.40,1507700,160.40
2011-03-21,151.75,152.18,147.69,150.44,1013800,150.44
2011-03-14,146.70,159.62,144.10,149.66,3296500,149.66
2011-03-07,147.45,147.70,137.10,139.74,1587900,139.74
2011-02-28,153.77,155.21,143.90,146.57,2655800,146.57
2011-02-22,166.00,169.91,155.00,155.72,2241500,155.72
2011-02-14,164.89,175.45,164.01,168.22,1635200,168.22
2011-02-07,158.70,167.40,154.06,166.11,1438600,166.11
2011-01-31,147.77,165.90,147.00,157.94,1939500,157.94
2011-01-24,150.25,158.71,147.42,147.49,2244600,147.49
2011-01-18,140.01,148.67,139.65,147.41,1810500,147.41
2011-01-10,133.77,142.11,133.77,140.84,1242900,140.84
2011-01-03,131.85,135.84,130.24,133.58,1037500,133.58
2010-12-27,131.35,131.74,128.89,130.14,832100,130.14
2010-12-20,133.95,134.00,131.28,131.93,1054800,131.93
2010-12-13,139.07,140.73,131.39,133.25,1893800,133.25
2010-12-06,131.97,139.66,130.66,138.20,1383700,138.20
2010-11-29,127.45,132.10,120.90,131.04,1902300,131.04
2010-11-22,126.45,127.15,122.12,126.22,1460000,126.22
2010-11-15,138.98,140.20,121.34,126.75,3180800,126.75
2010-11-08,138.21,142.42,136.84,138.39,1375700,138.39
2010-11-01,137.84,140.79,133.80,138.83,2212300,138.83
2010-10-25,146.87,153.30,136.21,137.68,2029500,137.68
2010-10-18,143.96,148.64,142.21,145.55,1398800,145.55
2010-10-11,138.80,145.56,136.20,144.56,2094700,144.56
2010-10-04,146.10,146.32,136.98,137.62,1890200,137.62
2010-09-27,147.24,151.39,144.41,147.23,1381900,147.23
2010-09-20,146.13,148.16,142.00,147.09,1044200,147.09
2010-09-13,140.00,145.75,137.51,144.88,1824000,144.88
2010-09-07,134.67,140.00,134.00,138.41,1106700,138.41
2010-08-30,128.14,137.80,124.71,136.45,1305000,136.45
2010-08-23,128.23,130.47,122.00,128.88,1457300,128.88
2010-08-16,123.91,127.41,121.72,125.03,968000,125.03
2010-08-09,130.00,130.95,123.01,124.52,1070000,124.52
2010-08-02,126.34,132.00,124.91,129.34,1572400,129.34
2010-07-26,137.48,139.90,124.33,125.45,2350400,125.45
2010-07-19,129.14,140.00,128.31,139.99,1492200,139.99
2010-07-12,131.60,135.40,128.18,128.92,1607000,128.92
2010-07-06,123.51,132.26,121.12,132.13,2125600,132.13
2010-06-28,121.85,123.91,112.06,120.52,2042200,120.52
2010-06-21,125.50,126.49,115.16,119.26,1816400,119.26
2010-06-14,109.03,125.88,107.20,123.68,2927900,123.68
2010-06-07,110.03,110.08,100.19,107.27,2465500,107.27
2010-06-01,112.22,115.34,106.67,109.84,2138700,109.84
2010-05-24,115.41,117.00,103.70,112.36,2142600,112.36
2010-05-17,119.71,120.31,105.35,113.95,4049100,113.95
2010-05-10,129.20,134.24,118.75,120.31,1742200,120.31
2010-05-03,145.75,148.11,117.27,122.55,3024700,122.55
2010-04-26,132.96,152.53,127.78,143.98,3894500,143.98
2010-04-19,132.10,135.72,128.00,133.87,1585300,133.87
2010-04-12,123.94,139.46,123.76,134.32,2030300,134.32
2010-04-05,122.48,127.56,120.11,124.09,1598000,124.09
2010-03-29,118.22,123.40,117.30,121.30,1902700,121.30
2010-03-22,110.22,118.58,108.97,116.50,2327500,116.50
2010-03-15,115.53,118.64,112.55,113.30,1580000,113.30
2010-03-08,109.20,117.44,104.83,115.53,2492500,115.53
2010-03-01,107.59,110.15,104.36,108.62,1836900,108.62
2010-02-22,114.76,115.12,98.71,105.75,4631400,105.75
2010-02-16,116.84,127.00,115.12,116.00,3756700,116.00
2010-02-08,111.98,115.90,107.25,115.10,2254500,115.10
2010-02-01,114.89,120.30,110.84,114.19,1766200,114.19
2010-01-25,114.68,120.03,111.02,113.30,2885100,113.30
2010-01-19,123.13,124.68,109.77,112.39,3825700,112.39
2010-01-11,141.00,141.24,122.50,124.07,3506900,124.07
2010-01-04,136.00,142.46,133.57,139.68,1995000,139.68
2009-12-28,134.78,137.11,133.50,135.40,877600,135.40
2009-12-21,135.74,138.70,132.00,133.80,1534100,133.80
2009-12-14,134.84,142.66,133.25,135.67,3388400,135.67
2009-12-07,131.20,137.30,130.69,133.10,2236700,133.10
2009-11-30,120.79,133.44,118.06,129.62,2772300,129.62
2009-11-23,123.65,124.93,116.51,120.30,1348700,120.30
2009-11-16,120.03,127.99,118.90,121.18,2411600,121.18
2009-11-09,120.50,123.85,115.09,118.30,2745100,118.30
2009-11-02,121.24,127.10,117.14,117.93,2828400,117.93
2009-10-26,155.20,158.14,121.32,121.93,5622500,121.93
2009-10-19,147.25,157.00,145.50,152.39,2530900,152.39
2009-10-12,156.67,162.20,146.92,147.54,6014200,147.54
2009-10-05,151.01,158.00,148.43,156.69,2210100,156.69
2009-09-28,148.24,157.15,143.47,150.00,3315200,150.00
2009-09-21,153.60,163.32,146.43,152.87,2529900,152.87
2009-09-14,131.78,157.10,130.12,156.15,3869600,156.15
2009-09-08,123.90,144.82,123.43,136.75,5495100,136.75
2009-08-31,121.89,122.97,112.09,121.47,2888100,121.47
2009-08-24,123.50,128.80,120.43,124.21,4066300,124.21
2009-08-17,135.88,138.81,121.50,121.54,4570000,121.54
2009-08-10,146.25,149.83,140.63,141.78,2294900,141.78
2009-08-03,156.25,158.50,141.76,146.47,3634200,146.47
2009-07-27,172.55,176.05,153.14,154.39,4869000,154.39
2009-07-20,145.80,173.10,145.50,169.43,3413700,169.43
2009-07-13,144.00,150.47,139.90,144.55,2957900,144.55
2009-07-06,152.04,152.64,142.78,143.10,3264400,143.10
2009-06-29,162.74,164.50,151.40,154.20,3608200,154.20
2009-06-22,170.80,174.69,156.80,160.72,4407600,160.72
2009-06-15,180.25,182.75,164.45,173.46,2619400,173.46
2009-06-08,179.00,187.50,173.58,183.80,2664700,183.80
2009-06-01,194.48,196.25,175.00,182.10,2914600,182.10
2009-05-26,182.18,191.75,176.26,190.29,3910400,190.29
2009-05-18,178.99,205.43,176.87,191.72,3395400,191.72
2009-05-11,188.09,197.25,176.84,177.43,2821500,177.43
2009-05-04,181.61,207.51,179.09,191.05,3502200,191.05
2009-04-27,144.62,190.63,144.62,180.89,5821500,180.89
2009-04-20,140.64,151.44,135.60,147.46,2446000,147.46
2009-04-13,140.58,151.99,139.50,143.80,2632200,143.80
2009-04-06,130.50,144.29,129.88,142.05,2855600,142.05
2009-03-30,137.51,142.93,129.78,134.38,3998400,134.38
2009-03-23,124.00,158.49,122.39,147.36,4831900,147.36
2009-03-16,131.65,132.37,109.84,120.37,4238100,120.37
2009-03-09,107.08,133.60,106.72,129.55,4630000,129.55
2009-03-02,103.53,117.79,100.90,108.49,4709800,108.49
2009-02-23,138.06,138.30,101.10,105.74,7325800,105.74
2009-02-17,138.20,142.87,123.76,134.01,4093500,134.01
2009-02-09,145.54,154.92,139.78,144.45,3158600,144.45
2009-02-02,140.23,152.72,135.29,146.30,3398000,146.30
2009-01-26,139.89,148.41,135.88,142.80,3391500,142.80
2009-01-20,145.01,146.37,128.89,137.51,3455700,137.51
2009-01-12,159.45,159.53,130.88,145.42,4563200,145.42
2009-01-05,149.05,165.20,145.62,162.54,4565200,162.54
2009-01-02,137.00,151.99,137.00,151.50,3935700,151.50
