Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,136.95,137,135.88,136.05,3058193,136.05
2011-09-08,139.30,139.67,138.23,138.34,3480000,138.34
2011-09-07,139.71,140.50,139.56,140.50,2182600,140.50
2011-09-06,139.91,140.34,139.17,139.46,3003400,139.46
2011-09-02,141.68,141.82,141.28,141.39,840800,141.39
2011-09-01,142.34,142.59,141.72,142.15,1300200,142.15
2011-08-31,143.88,143.91,143.08,143.12,1494000,143.09
2011-08-30,143.82,144.11,143.50,143.99,571400,143.96
2011-08-29,144.85,144.93,144.37,144.59,1030300,144.56
2011-08-26,143.63,144.45,142.76,144.43,2040800,144.40
2011-08-25,143.90,143.97,142.74,143.32,1452000,143.29
2011-08-24,143.82,144.27,143.36,143.65,1204500,143.62
2011-08-23,143.69,143.93,143.22,143.89,1343900,143.86
2011-08-22,143.72,143.72,143.08,143.11,992400,143.08
2011-08-19,143.53,143.97,143.25,143.40,1233200,143.37
2011-08-18,142.98,143.00,142.18,142.83,2576000,142.80
2011-08-17,144.31,144.63,143.67,143.81,1051300,143.78
2011-08-16,143.41,144.16,143.22,143.53,1074900,143.50
2011-08-15,143.48,144.21,143.39,143.84,1833000,143.81
2011-08-12,142.14,142.32,141.57,141.96,1540300,141.93
2011-08-11,141.51,142.39,141.26,141.72,2065000,141.69
2011-08-10,141.90,141.93,141.09,141.28,3074200,141.25
2011-08-09,142.09,142.93,141.43,142.82,3209800,142.79
2011-08-08,141.09,141.95,140.75,141.56,2001600,141.53
2011-08-05,141.58,142.42,140.93,142.25,3224700,142.22
2011-08-04,141.17,141.36,140.59,140.66,4215200,140.63
2011-08-03,142.57,142.87,142.03,142.62,1341400,142.59
2011-08-02,141.64,142.27,141.21,141.53,2063600,141.50
2011-08-01,143.25,143.30,141.32,142.00,1850300,141.97
2011-07-29,143.19,143.61,142.90,143.14,1149700,143.07
2011-07-28,142.12,142.75,142.09,142.54,875100,142.47
2011-07-27,144.14,144.14,142.87,143.23,1196200,143.16
2011-07-26,144.09,144.72,144.04,144.61,967000,144.54
2011-07-25,143.05,143.43,142.72,143.20,746700,143.13
2011-07-22,143.10,143.21,142.71,143.15,1294200,143.08
2011-07-21,142.68,143.64,142.41,143.22,3117900,143.15
2011-07-20,141.47,141.79,141.17,141.72,1281700,141.65
2011-07-19,141.07,141.60,140.56,140.86,2032200,140.79
2011-07-18,140.26,140.67,139.64,140.59,3977500,140.52
2011-07-15,140.71,141.36,140.39,140.95,5193200,140.88
2011-07-14,141.71,141.95,140.62,140.77,1998400,140.70
2011-07-13,140.20,141.36,139.82,140.86,3201500,140.79
2011-07-12,139.26,139.98,139.02,139.19,3223300,139.12
2011-07-11,140.05,140.22,139.32,139.57,2506500,139.50
2011-07-08,142.61,142.85,141.56,142.04,1319900,141.97
2011-07-07,142.19,143.18,142.19,142.97,1551100,142.90
2011-07-06,142.74,142.84,142.30,142.55,1336500,142.48
2011-07-05,144.21,144.39,143.41,143.68,1580300,143.61
2011-07-01,144.27,144.77,143.83,144.74,1438800,144.67
2011-06-30,144.23,144.86,144.09,144.48,1040900,144.35
2011-06-29,143.37,143.89,142.93,143.81,2575600,143.68
2011-06-28,142.59,143.46,142.51,143.10,1502500,142.97
2011-06-27,141.28,142.42,141.19,142.28,744200,142.15
2011-06-24,141.60,141.70,140.90,141.32,1251200,141.20
2011-06-23,141.25,142.13,140.77,142.10,2128900,141.97
2011-06-22,143.36,143.89,142.92,143.04,1574300,142.91
2011-06-21,143.12,143.68,143.06,143.51,1557400,143.38
2011-06-20,142.39,142.74,142.36,142.47,1295600,142.34
2011-06-17,142.34,142.82,142.14,142.54,3474800,142.41
2011-06-16,140.76,141.42,140.60,141.28,3104400,141.16
2011-06-15,142.40,142.54,141.03,141.16,5241800,141.04
2011-06-14,143.71,144.41,143.69,143.92,1061500,143.79
2011-06-13,143.13,143.72,142.92,143.57,1107700,143.44
2011-06-10,143.99,144.05,142.65,142.79,2100800,142.66
2011-06-09,144.28,144.79,144.22,144.53,2116500,144.40
2011-06-08,145.70,145.82,145.07,145.14,1689000,145.01
2011-06-07,146.04,146.39,145.90,146.24,1218400,146.11
2011-06-06,145.66,145.72,145.00,145.05,1182300,144.92
2011-06-03,144.65,145.86,144.52,145.74,2232700,145.61
2011-06-02,143.97,144.57,143.46,144.34,2031400,144.21
2011-06-01,143.64,144.02,142.66,142.81,1773600,142.68
2011-05-31,143.56,143.62,143.07,143.38,1345700,143.21
2011-05-27,141.97,142.50,141.65,142.35,1915800,142.18
2011-05-26,141.34,141.54,140.17,140.85,1371800,140.68
2011-05-25,140.33,140.65,139.77,140.33,869300,140.16
2011-05-24,140.46,140.80,140.30,140.54,972000,140.37
2011-05-23,139.47,140.16,139.44,139.94,1243000,139.77
2011-05-20,141.87,141.90,140.88,141.03,2776900,140.86
2011-05-19,141.86,142.71,141.79,142.56,925700,142.39
2011-05-18,141.59,142.28,141.40,141.85,787000,141.68
2011-05-17,140.91,141.82,140.67,141.69,1264700,141.52
2011-05-16,141.10,141.91,141.02,141.26,1881000,141.09
2011-05-13,142.00,142.08,140.12,140.52,2035800,140.35
2011-05-12,141.49,142.23,141.10,141.84,1053500,141.67
2011-05-11,142.53,142.62,141.18,141.49,2195100,141.32
2011-05-10,142.90,143.56,142.65,143.44,1042800,143.27
2011-05-09,142.62,142.99,142.01,142.95,1826100,142.78
2011-05-06,144.70,144.80,142.60,143.00,3966200,142.83
2011-05-05,146.52,146.53,144.54,144.69,2466300,144.52
2011-05-04,148.54,148.81,147.68,147.72,1402300,147.54
2011-05-03,147.55,148.32,147.48,147.74,1891800,147.56
2011-05-02,147.89,148.44,147.67,147.74,1238500,147.56
2011-04-29,147.89,148.09,147.54,147.54,594000,147.32
2011-04-28,147.45,148.00,147.19,147.65,1674700,147.43
2011-04-27,146.17,147.41,145.78,147.41,3097000,147.19
2011-04-26,145.67,146.01,145.49,145.86,1200000,145.64
2011-04-25,145.56,145.58,144.85,145.27,410500,145.06
2011-04-21,145.11,145.38,144.77,145.01,568300,144.80
2011-04-20,144.57,144.86,144.29,144.57,584100,144.36
2011-04-19,142.38,142.95,142.33,142.75,529200,142.54
2011-04-18,142.53,142.73,141.02,141.76,1483200,141.55
2011-04-15,143.55,143.99,143.34,143.69,566400,143.48
2011-04-14,143.61,144.47,143.55,144.39,647400,144.18
2011-04-13,144.30,144.54,143.57,143.89,884800,143.68
2011-04-12,144.61,144.61,143.81,144.20,1004800,143.99
2011-04-11,143.81,144.08,143.67,143.71,768300,143.50
2011-04-08,143.78,144.08,143.60,144.00,743600,143.79
2011-04-07,142.08,142.63,142.01,142.47,2491100,142.26
2011-04-06,142.32,142.93,142.20,142.74,1793100,142.53
2011-04-05,141.02,141.89,140.97,141.67,619000,141.46
2011-04-04,141.83,141.95,141.42,141.63,313800,141.42
2011-04-01,140.49,141.92,140.06,141.66,1497300,141.45
2011-03-31,141.11,141.54,141.11,141.16,1508400,140.95
2011-03-30,140.25,140.92,139.98,140.69,1841100,140.48
2011-03-29,140.01,140.54,139.93,140.49,1812800,140.28
2011-03-28,140.18,140.60,140.15,140.36,3589700,140.15
2011-03-25,140.70,140.96,139.97,140.17,3687600,139.96
2011-03-24,140.63,141.63,140.48,141.13,3573900,140.92
2011-03-23,140.56,141.05,140.44,140.46,2219200,140.25
2011-03-22,141.61,141.61,141.24,141.40,1631500,141.19
2011-03-21,141.35,141.83,140.84,141.64,1340500,141.43
2011-03-18,140.82,141.27,140.71,141.14,1295500,140.93
2011-03-17,139.52,139.86,139.23,139.63,1332800,139.42
2011-03-16,138.75,138.91,138.13,138.32,776100,138.12
2011-03-15,138.47,139.57,138.29,139.41,983400,139.20
2011-03-14,138.90,139.47,138.88,139.44,743800,139.23
2011-03-11,137.35,138.48,137.33,138.47,559700,138.27
2011-03-10,137.62,137.78,137.22,137.33,641400,137.13
2011-03-09,138.57,138.78,138.31,138.47,270000,138.27
2011-03-08,138.17,138.66,138.08,138.42,791500,138.22
2011-03-07,139.46,139.72,139.02,139.18,574500,138.97
2011-03-04,139.33,139.53,139.04,139.28,541700,139.07
2011-03-03,138.85,139.15,138.72,139.04,1072700,138.83
2011-03-02,137.85,138.34,137.85,138.09,743600,137.89
2011-03-01,137.79,137.97,137.09,137.16,518300,136.96
2011-02-28,137.84,137.91,137.26,137.43,862400,137.23
2011-02-25,136.91,137.11,136.70,136.98,486200,136.78
2011-02-24,137.42,137.64,137.12,137.47,1434000,137.27
2011-02-23,136.62,137.31,136.61,136.91,1016800,136.71
2011-02-22,136.22,136.49,135.81,135.98,798400,135.78
2011-02-18,135.63,136.61,135.57,136.32,1348500,136.12
2011-02-17,135.26,135.64,135.20,135.53,381300,135.33
2011-02-16,134.31,135.35,134.19,135.17,457100,134.97
2011-02-15,134.60,134.76,134.25,134.29,439000,134.09
2011-02-14,134.03,134.53,134.02,134.34,545100,134.14
2011-02-11,134.65,135.19,134.46,134.97,984600,134.77
2011-02-10,135.57,135.83,135.24,135.43,616100,135.23
2011-02-09,136.27,136.90,136.15,136.79,963100,136.59
2011-02-08,135.81,136.34,135.61,135.80,437800,135.60
2011-02-07,134.61,135.47,134.56,135.34,367000,135.14
2011-02-04,135.27,135.45,134.90,135.36,1065100,135.16
2011-02-03,136.18,136.24,135.59,135.80,1217900,135.60
2011-02-02,137.38,137.73,137.13,137.55,581500,137.35
2011-02-01,137.14,137.89,136.77,137.78,1947700,137.58
2011-01-31,136.53,136.85,136.09,136.38,1036100,136.18
2011-01-28,136.38,136.63,135.30,135.57,906700,135.37
2011-01-27,136.88,137.04,136.27,136.86,1059600,136.66
2011-01-26,136.21,136.54,135.88,136.35,1009300,136.15
