Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,139.91,140.50,138.23,138.34,2888600,138.34
2011-08-29,144.85,144.93,141.28,141.39,1047300,141.39
2011-08-22,143.72,144.45,142.74,144.43,1406700,144.40
2011-08-15,143.48,144.63,142.18,143.40,1553600,143.37
2011-08-08,141.09,142.93,140.75,141.96,2378100,141.93
2011-08-01,143.25,143.30,140.59,142.25,2539000,142.22
2011-07-25,143.05,144.72,142.09,143.14,986900,143.07
2011-07-18,140.26,143.64,139.64,143.15,2340700,143.08
2011-07-11,140.05,141.95,139.02,140.95,3224500,140.88
2011-07-05,144.21,144.39,141.56,142.04,1446900,141.97
2011-06-27,141.28,144.86,141.19,144.74,1460400,144.67
2011-06-20,142.39,143.89,140.77,141.32,1561400,141.20
2011-06-13,143.13,144.41,140.60,142.54,2798000,142.41
2011-06-06,145.66,146.39,142.65,142.79,1661400,142.66
2011-05-31,143.56,145.86,142.66,145.74,1845800,145.61
2011-05-23,139.47,142.50,139.44,142.35,1274300,142.18
2011-05-16,141.10,142.71,140.67,141.03,1527000,140.86
2011-05-09,142.62,143.56,140.12,140.52,1630600,140.35
2011-05-02,147.89,148.81,142.60,143.00,2193000,142.83
2011-04-25,145.56,148.09,144.85,147.54,1395200,147.32
2011-04-18,142.53,145.38,141.02,145.01,791200,144.80
2011-04-11,143.81,144.61,143.34,143.69,774300,143.48
2011-04-04,141.83,144.08,140.97,144.00,1192100,143.79
2011-03-28,140.18,141.92,139.93,141.66,2049800,141.45
2011-03-21,141.35,141.83,139.97,140.17,2490500,139.96
2011-03-14,138.90,141.27,138.13,141.14,1026300,140.93
2011-03-07,139.46,139.72,137.22,138.47,567400,138.27
2011-02-28,137.84,139.53,137.09,139.28,747700,139.07
2011-02-22,136.22,137.64,135.81,136.98,933800,136.78
2011-02-14,134.03,136.61,134.02,136.32,634200,136.12
2011-02-07,134.61,136.90,134.46,134.97,673700,134.77
2011-01-31,136.53,137.89,134.90,135.36,1169600,135.16
2011-01-24,135.37,137.04,135.30,135.57,1070400,135.37
2011-01-18,133.54,135.70,133.01,135.63,1489400,135.43
2011-01-10,128.62,133.47,128.42,133.20,1610200,133.00
2011-01-03,132.83,133.51,128.53,128.59,1458000,128.40
2010-12-27,131.00,133.70,130.44,133.09,532200,132.89
2010-12-20,131.14,131.19,130.06,130.67,640900,130.48
2010-12-13,132.63,133.90,130.84,131.36,1135600,131.17
2010-12-06,132.24,133.42,131.15,131.79,955000,131.59
2010-11-29,130.51,133.67,129.23,133.58,2762700,133.38
2010-11-22,135.92,136.11,131.63,131.98,1106800,131.78
2010-11-15,136.09,136.39,133.96,136.36,1603000,136.16
2010-11-08,138.79,138.99,135.85,136.40,1764600,136.20
2010-11-01,138.81,142.28,138.14,139.83,1727700,139.62
2010-10-25,139.71,139.82,136.85,138.69,1245700,138.48
2010-10-18,138.83,139.85,136.64,138.78,1345500,138.57
2010-10-11,138.78,140.43,137.45,139.25,1761500,139.03
2010-10-04,136.51,139.43,136.22,138.75,2663100,138.54
2010-09-27,134.31,137.31,133.93,137.25,1426400,137.04
2010-09-20,129.94,134.45,129.91,134.41,3249200,134.20
2010-09-13,127.90,130.70,127.77,129.88,2047100,129.68
2010-09-07,127.21,127.24,126.37,126.66,522300,126.46
2010-08-30,126.60,128.50,126.14,128.47,580800,128.27
2010-08-23,126.50,127.34,125.71,126.89,1248000,126.69
2010-08-16,127.80,128.56,126.19,126.65,1211100,126.45
2010-08-09,132.00,132.10,127.07,127.08,1102100,126.88
2010-08-02,130.75,132.88,130.67,132.45,1083100,132.25
2010-07-26,128.95,130.63,128.84,129.88,768800,129.68
2010-07-19,129.12,129.41,126.91,128.72,1472400,128.52
2010-07-12,125.23,129.38,125.14,128.82,1502500,128.62
2010-07-06,125.50,126.60,125.24,126.00,1385100,125.81
2010-06-28,123.00,125.62,121.13,125.08,1691700,124.89
2010-06-21,123.42,123.60,121.70,123.44,1820400,123.25
2010-06-14,122.11,123.72,121.79,123.36,3999800,123.17
2010-06-07,119.07,121.06,118.79,120.57,2065800,120.38
2010-06-01,121.58,123.20,119.19,119.28,2021600,119.10
2010-05-24,123.50,123.80,121.42,122.37,2561000,122.18
2010-05-17,123.42,125.63,121.27,125.36,5112600,125.17
2010-05-10,128.87,129.08,123.24,123.47,2716600,123.28
2010-05-03,131.94,132.02,124.88,126.96,2806000,126.76
2010-04-26,132.83,133.33,130.79,132.77,1325300,132.56
2010-04-19,133.95,134.54,132.24,133.37,729800,133.16
2010-04-12,135.60,136.44,134.40,134.77,671600,134.56
2010-04-05,134.81,134.96,132.70,134.58,615800,134.37
2010-03-29,134.19,135.55,133.65,135.51,696300,135.30
2010-03-22,134.46,135.36,132.37,133.80,843900,133.59
2010-03-15,136.80,137.53,134.72,135.06,616000,134.85
2010-03-08,136.53,137.46,135.33,137.30,362600,137.09
2010-03-01,135.06,137.08,134.32,135.91,678700,135.70
2010-02-22,135.90,136.53,134.38,135.85,764600,135.64
2010-02-16,136.25,137.49,134.57,135.65,1278700,135.44
2010-02-08,136.51,138.11,135.25,135.87,815900,135.66
2010-02-01,138.94,139.47,135.60,136.40,701400,136.19
2010-01-25,141.18,141.37,138.35,138.39,434100,138.18
2010-01-19,142.59,142.81,140.09,141.14,413300,140.92
