Date,Open,High,Low,Close,Volume,Adj Close
2011-09-22,9.79,10.14,9.76,9.86,44631181,9.86
2011-09-21,10.40,10.51,9.97,9.97,62227400,9.97
2011-09-20,10.61,10.65,10.41,10.42,37695200,10.42
2011-09-19,10.34,10.62,10.30,10.54,41428800,10.54
2011-09-16,10.62,10.69,10.36,10.62,46818400,10.62
2011-09-15,10.45,10.64,10.32,10.63,53825800,10.63
2011-09-14,10.25,10.50,10.04,10.32,70759900,10.32
2011-09-13,10.16,10.23,10.00,10.17,44176500,10.17
2011-09-12,9.86,10.14,9.85,10.11,58303900,10.11
2011-09-09,10.11,10.29,9.98,10.05,69885400,10.05
2011-09-08,10.49,10.64,10.27,10.34,45010100,10.34
2011-09-07,10.44,10.58,10.32,10.56,44896300,10.56
2011-09-06,10.02,10.27,10.00,10.22,65558100,10.22
2011-09-02,10.53,10.68,10.26,10.42,61985500,10.42
2011-09-01,11.14,11.27,10.81,10.85,63996800,10.85
2011-08-31,11.03,11.30,10.98,11.12,69267200,11.12
2011-08-30,10.87,10.96,10.64,10.87,50345100,10.87
2011-08-29,10.64,10.95,10.61,10.93,48805200,10.93
2011-08-26,10.18,10.53,10.06,10.40,59378300,10.40
2011-08-25,10.53,10.72,10.22,10.28,50106400,10.28
2011-08-24,10.31,10.46,10.13,10.45,52988800,10.45
2011-08-23,10.16,10.32,10.01,10.31,52091400,10.31
2011-08-22,10.39,10.39,9.81,10.01,73334700,10.01
2011-08-19,10.05,10.45,9.90,9.99,87160900,9.99
2011-08-18,10.67,10.70,10.22,10.38,87018900,10.38
2011-08-17,11.34,11.40,10.92,11.11,52232300,11.11
2011-08-16,11.23,11.45,11.05,11.22,53384400,11.22
2011-08-15,11.29,11.37,11.17,11.35,46249200,11.35
2011-08-12,11.29,11.31,11.00,11.06,79279300,11.06
2011-08-11,10.48,11.12,10.43,10.94,114926800,10.94
2011-08-10,10.82,10.87,10.32,10.41,119877300,10.41
2011-08-09,10.50,10.95,10.13,10.91,177330900,10.91
2011-08-08,10.02,10.42,9.87,9.93,202155900,9.93
2011-08-05,11.05,11.23,10.32,10.84,139254200,10.84
2011-08-04,11.49,11.51,10.77,10.86,153368800,10.86
2011-08-03,11.92,11.92,11.36,11.65,127291500,11.65
2011-08-02,12.28,12.35,11.82,11.85,97171100,11.85
2011-08-01,12.75,12.81,12.21,12.35,73771800,12.35
2011-07-29,12.11,12.42,12.00,12.21,68621600,12.21
2011-07-28,12.40,12.65,12.30,12.32,69884600,12.32
2011-07-27,12.80,12.85,12.30,12.37,113808600,12.37
2011-07-26,13.30,13.44,12.85,12.94,109165800,12.94
2011-07-25,13.04,13.24,13.01,13.17,45334300,13.17
2011-07-22,13.29,13.34,13.15,13.31,26480600,13.31
2011-07-21,13.16,13.32,13.08,13.28,43705600,13.28
2011-07-20,13.19,13.19,12.92,13.08,33450700,13.08
2011-07-19,13.00,13.18,12.86,13.09,53892600,13.09
2011-07-18,13.02,13.06,12.63,12.90,66084800,12.90
2011-07-15,13.14,13.20,13.00,13.09,41208600,13.09
2011-07-14,13.33,13.40,13.04,13.09,45989000,13.09
2011-07-13,13.30,13.43,13.23,13.27,44328200,13.27
2011-07-12,13.13,13.38,13.12,13.12,57768900,13.12
2011-07-11,13.64,13.69,13.26,13.32,61376200,13.32
2011-07-08,13.86,13.90,13.61,13.88,68554700,13.88
2011-07-07,14.13,14.22,13.90,14.12,66182800,14.12
2011-07-06,14.13,14.13,13.89,13.96,46233600,13.96
2011-07-05,14.07,14.18,13.91,14.10,47019400,14.10
2011-07-01,13.92,14.13,13.73,14.02,66304800,14.02
2011-06-30,13.46,13.97,13.36,13.79,74124000,13.79
2011-06-29,13.41,13.51,13.32,13.42,54105500,13.42
2011-06-28,13.55,13.55,13.25,13.33,54013200,13.33
2011-06-27,13.35,13.55,13.09,13.46,50005900,13.46
2011-06-24,13.52,13.60,13.14,13.24,82743600,13.24
2011-06-23,13.12,13.50,13.06,13.47,59361900,13.47
2011-06-22,13.39,13.50,13.33,13.36,42578600,13.36
2011-06-21,13.08,13.53,13.04,13.32,72508100,13.32
2011-06-20,12.66,13.03,12.65,12.94,51392800,12.94
2011-06-17,12.94,12.95,12.68,12.77,75778900,12.77
2011-06-16,13.05,13.18,12.68,12.83,91842200,12.83
2011-06-15,13.30,13.36,13.05,13.15,88736600,13.15
2011-06-14,13.29,13.56,13.25,13.43,61363200,13.43
2011-06-13,13.14,13.26,12.78,13.14,110748300,13.14
2011-06-10,13.68,13.74,13.33,13.35,96684000,13.35
2011-06-09,13.74,13.87,13.58,13.80,55365400,13.80
2011-06-08,13.96,14.01,13.65,13.70,77161700,13.70
2011-06-07,14.17,14.19,13.94,13.95,73208000,13.95
2011-06-06,13.99,14.12,13.86,13.91,54183600,13.91
2011-06-03,13.88,14.22,13.81,14.01,57295900,14.01
2011-06-02,14.26,14.37,14.09,14.18,58588100,14.18
2011-06-01,14.78,14.90,14.20,14.23,91509400,14.23
2011-05-31,14.75,14.92,14.64,14.92,66438900,14.92
2011-05-27,14.55,14.64,14.46,14.60,35654200,14.60
2011-05-26,14.51,14.60,14.40,14.56,45961100,14.56
2011-05-25,14.58,14.66,14.35,14.58,93969200,14.58
2011-05-24,14.84,14.85,14.56,14.66,48890300,14.66
2011-05-23,14.71,14.93,14.65,14.80,49529300,14.80
2011-05-20,15.05,15.11,14.97,15.00,39285300,15.00
2011-05-19,15.10,15.17,15.01,15.12,38684200,15.12
2011-05-18,15.01,15.16,14.87,15.12,41278000,15.12
2011-05-17,15.06,15.18,14.82,14.97,65261100,14.97
2011-05-16,15.21,15.32,15.10,15.13,51778600,15.13
2011-05-13,15.22,15.30,15.03,15.08,43317100,15.08
2011-05-12,15.14,15.34,15.12,15.26,48775700,15.26
2011-05-11,15.11,15.35,15.06,15.15,54989600,15.15
2011-05-10,15.13,15.20,15.08,15.15,36633400,15.15
2011-05-09,15.12,15.20,15.02,15.08,33369700,15.08
2011-05-06,15.26,15.37,15.08,15.11,58371200,15.11
2011-05-05,14.97,15.30,14.88,15.08,62502900,15.08
2011-05-04,15.42,15.45,14.97,15.15,71753400,15.15
2011-05-03,15.42,15.56,15.26,15.38,68659100,15.38
2011-05-02,15.52,15.69,15.41,15.45,42185500,15.45
2011-04-29,15.49,15.68,15.40,15.47,40203200,15.47
2011-04-28,15.47,15.70,15.42,15.50,48145500,15.50
2011-04-27,15.85,15.87,15.42,15.58,84380600,15.58
2011-04-26,16.04,16.18,15.66,15.66,166900000,15.66
2011-04-25,15.51,15.59,15.35,15.54,54775800,15.54
2011-04-21,15.23,15.45,15.10,15.43,53181900,15.43
2011-04-20,14.95,15.20,14.84,15.09,70978900,15.09
2011-04-19,14.65,14.79,14.54,14.66,33575500,14.66
2011-04-18,14.51,14.74,14.49,14.62,49822500,14.62
2011-04-15,14.86,14.91,14.61,14.71,47434700,14.71
2011-04-14,14.74,14.85,14.61,14.81,62357700,14.81
2011-04-13,15.04,15.05,14.80,14.98,58736600,14.98
2011-04-12,14.59,15.00,14.50,14.91,82591000,14.91
2011-04-11,15.27,15.40,14.74,14.86,85626200,14.86
2011-04-08,15.65,15.68,15.16,15.33,51126100,15.33
2011-04-07,15.71,15.82,15.45,15.53,51295100,15.53
2011-04-06,15.91,15.98,15.61,15.73,62315800,15.73
2011-04-05,15.65,15.81,15.55,15.79,72422000,15.79
2011-04-04,15.39,15.74,15.39,15.55,99116600,15.55
2011-04-01,15.03,15.42,14.92,15.16,116247300,15.16
2011-03-31,14.82,14.95,14.71,14.91,41909100,14.91
2011-03-30,14.88,14.97,14.74,14.86,40889600,14.86
2011-03-29,14.83,14.94,14.73,14.84,33301800,14.84
2011-03-28,14.99,15.09,14.83,14.86,41259800,14.86
2011-03-25,15.20,15.20,14.90,15.01,58954600,15.01
2011-03-24,14.40,15.12,14.39,15.04,128201100,15.04
2011-03-23,14.26,14.45,14.02,14.31,64431300,14.31
2011-03-22,14.52,14.57,14.32,14.34,44731700,14.34
2011-03-21,14.70,14.72,14.48,14.59,46486600,14.59
2011-03-18,14.58,14.67,14.43,14.49,64541000,14.49
2011-03-17,14.56,14.58,14.18,14.26,78683000,14.26
2011-03-16,14.73,14.79,13.89,14.18,127862700,14.18
2011-03-15,13.80,14.80,13.75,14.67,108919700,14.67
2011-03-14,14.47,14.64,14.20,14.30,65056100,14.30
2011-03-11,13.90,14.46,13.87,14.36,72249100,14.36
2011-03-10,14.10,14.28,14.01,14.06,107127400,14.06
2011-03-09,14.59,14.60,14.25,14.29,68046300,14.29
2011-03-08,14.02,14.55,14.01,14.47,106699200,14.47
2011-03-07,14.34,14.42,13.98,14.01,105389900,14.01
2011-03-04,14.79,14.79,14.28,14.42,81593400,14.42
2011-03-03,14.90,14.95,14.66,14.76,66720400,14.76
2011-03-02,14.66,14.89,14.62,14.66,67127000,14.66
2011-03-01,15.10,15.12,14.60,14.66,74337200,14.66
2011-02-28,15.29,15.29,14.89,15.05,54120000,15.05
2011-02-25,14.94,15.11,14.85,15.07,78341600,15.07
2011-02-24,14.57,14.99,14.50,14.70,120277400,14.70
2011-02-23,15.02,15.04,14.49,14.86,159528600,14.86
2011-02-22,15.36,15.52,15.08,15.23,97449900,15.23
2011-02-18,15.95,15.99,15.70,15.77,68774000,15.77
2011-02-17,16.01,16.03,15.83,15.97,53727600,15.97
2011-02-16,16.16,16.18,16.00,16.05,59843600,16.05
2011-02-15,16.03,16.16,15.95,16.10,51612800,16.10
2011-02-14,16.38,16.39,16.02,16.09,69632700,16.09
2011-02-11,16.06,16.51,15.99,16.38,94736400,16.38
2011-02-10,15.99,16.11,15.90,15.95,65334900,15.95
2011-02-09,16.13,16.30,16.02,16.09,61896700,16.09
2011-02-08,16.17,16.26,16.02,16.24,59674500,16.24
2011-02-07,15.84,16.36,15.80,16.11,118132900,16.11
2011-02-04,15.91,15.95,15.64,15.72,79198700,15.72
2011-02-03,15.38,15.78,15.10,15.76,153131300,15.76
2011-02-02,15.91,15.98,15.31,15.40,187008500,15.40
2011-02-01,16.14,16.24,15.85,15.89,178894300,15.89
2011-01-31,16.56,16.64,15.45,15.95,275198200,15.95
2011-01-28,17.79,17.88,15.98,16.27,480879500,16.27
