Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,10.34,10.65,9.97,9.97,47117100,9.97
2011-09-12,9.86,10.69,9.85,10.62,54776900,10.62
2011-09-06,10.02,10.64,9.98,10.05,56337400,10.05
2011-08-29,10.64,11.30,10.26,10.42,58907700,10.42
2011-08-22,10.39,10.72,9.81,10.40,57626400,10.40
2011-08-15,11.29,11.45,9.90,9.99,65239000,9.99
2011-08-08,10.02,11.31,9.87,11.06,138714000,11.06
2011-08-01,12.75,12.81,10.32,10.84,118171400,10.84
2011-07-25,13.04,13.44,12.00,12.21,81362900,12.21
2011-07-18,13.02,13.34,12.63,13.31,44722800,13.31
2011-07-11,13.64,13.69,13.00,13.09,50134100,13.09
2011-07-05,14.07,14.22,13.61,13.88,56997600,13.88
2011-06-27,13.35,14.13,13.09,14.02,59710600,14.02
2011-06-20,12.66,13.60,12.65,13.24,61717000,13.24
2011-06-13,13.14,13.56,12.68,12.77,85693800,12.77
2011-06-06,13.99,14.19,13.33,13.35,71320500,13.35
2011-05-31,14.75,14.92,13.81,14.01,68458000,14.01
2011-05-23,14.71,14.93,14.35,14.60,54800800,14.60
2011-05-16,15.21,15.32,14.82,15.00,47257400,15.00
2011-05-09,15.12,15.35,15.02,15.08,43417100,15.08
2011-05-02,15.52,15.69,14.88,15.11,60694400,15.11
2011-04-25,15.51,16.18,15.35,15.47,78881000,15.47
2011-04-18,14.51,15.45,14.49,15.43,51889700,15.43
2011-04-11,15.27,15.40,14.50,14.71,67349200,14.71
2011-04-04,15.39,15.98,15.16,15.33,67255100,15.33
2011-03-28,14.99,15.42,14.71,15.16,54721500,15.16
2011-03-21,14.70,15.20,14.02,15.01,68561000,15.01
2011-03-14,14.47,14.80,13.75,14.49,89012500,14.49
2011-03-07,14.34,14.60,13.87,14.36,91902300,14.36
2011-02-28,15.29,15.29,14.28,14.42,68779600,14.42
2011-02-22,15.36,15.52,14.49,15.07,113899300,15.07
2011-02-14,16.38,16.39,15.70,15.77,60718100,15.77
2011-02-07,15.84,16.51,15.80,16.38,79955000,16.38
2011-01-31,16.56,16.64,15.10,15.72,174686200,15.72
2011-01-24,18.03,18.88,15.98,16.27,142855900,16.27
2011-01-18,18.66,18.77,17.35,17.95,67793300,17.95
2011-01-10,18.43,18.97,18.13,18.65,68848200,18.65
2011-01-03,17.02,18.42,16.96,18.27,96992600,18.27
