Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,57.52,57.84,54.94,56.41,30085281,56.41
2011-09-22,61.07,61.23,58.65,59.30,27372500,59.30
2011-09-21,65.45,66.90,64.28,64.28,16292300,64.28
2011-09-20,63.55,66.39,63.21,65.63,15775600,65.63
2011-09-19,64.07,64.76,63.22,63.48,12326100,63.48
2011-09-16,63.01,64.21,62.86,64.11,12489200,64.11
2011-09-15,62.65,62.90,61.35,62.80,14250700,62.80
2011-09-14,64.27,64.31,63.00,63.17,11954300,63.17
2011-09-13,63.99,64.75,62.88,64.39,10438400,64.39
2011-09-12,64.75,65.60,62.34,63.90,18843400,63.90
2011-09-09,65.99,66.98,65.31,65.80,14665800,65.80
2011-09-08,66.64,66.94,66.00,66.63,16666600,66.63
2011-09-07,63.75,65.46,63.10,65.43,15155100,65.43
2011-09-06,65.27,66.68,64.38,65.34,23412000,65.34
2011-09-02,64.33,65.34,64.24,64.91,18725800,64.91
2011-09-01,62.89,63.90,62.32,63.38,12892500,63.38
2011-08-31,63.02,63.45,61.91,62.80,11582100,62.80
2011-08-30,62.70,63.29,62.08,63.00,11241500,63.00
2011-08-29,62.73,62.84,61.14,61.95,12107900,61.95
2011-08-26,61.17,62.57,59.58,62.48,12205600,62.48
2011-08-25,59.02,61.45,58.57,61.07,15036200,61.07
2011-08-24,60.93,61.22,58.79,59.96,18463200,59.96
2011-08-23,62.53,63.06,60.64,61.49,22696900,61.49
2011-08-22,62.13,64.05,61.85,63.70,21888700,63.70
2011-08-19,60.64,61.76,60.46,61.26,15347500,61.26
2011-08-18,61.04,61.13,59.29,59.76,11366200,59.76
2011-08-17,60.34,61.56,60.28,60.74,8825900,60.74
2011-08-16,60.87,61.22,60.00,60.28,11112800,60.28
2011-08-15,59.07,61.00,58.60,60.90,11934000,60.90
2011-08-12,59.21,59.49,58.23,59.22,13455500,59.22
2011-08-11,58.96,60.34,57.79,59.85,20157100,59.85
2011-08-10,57.73,60.53,56.72,59.30,23957300,59.30
2011-08-09,56.38,57.72,54.90,57.70,23868200,57.70
2011-08-08,56.19,57.98,55.27,55.44,26913200,55.44
