Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,64.07,66.90,54.94,56.41,20369700,56.41
2011-09-12,64.75,65.60,61.35,64.11,13595200,64.11
2011-09-06,65.27,66.98,63.10,65.80,17474800,65.80
2011-08-29,62.73,65.34,61.14,64.91,13309900,64.91
2011-08-22,62.13,64.05,58.57,62.48,18058100,62.48
2011-08-15,59.07,61.76,58.60,61.26,11717200,61.26
2011-08-08,56.19,60.53,54.90,59.22,21670200,59.22
2011-08-01,56.99,59.77,53.78,55.42,15739400,55.42
2011-07-25,61.43,61.71,56.76,56.89,11320100,56.89
2011-07-18,60.39,61.00,59.04,60.76,10556900,60.76
2011-07-11,56.47,60.12,55.31,59.72,15103100,59.72
2011-07-05,54.93,56.98,54.55,56.29,10060900,56.29
2011-06-27,52.23,55.00,51.80,53.74,9761800,53.74
2011-06-20,51.96,55.40,51.95,52.58,11995900,52.58
2011-06-13,53.15,54.05,51.10,51.97,11012000,51.97
2011-06-06,56.26,56.80,52.80,53.40,10842700,53.40
2011-05-31,58.46,58.50,55.82,56.49,9472400,56.49
2011-05-23,55.37,58.09,54.92,57.92,9144200,57.92
2011-05-16,54.15,56.51,53.61,55.76,13444100,55.76
2011-05-09,56.82,57.47,53.37,54.21,12652700,54.21
2011-05-02,61.45,62.16,55.24,56.09,16719700,56.09
2011-04-25,62.87,62.90,59.51,62.20,10001600,62.20
2011-04-18,61.35,63.11,59.53,62.63,9792300,62.63
2011-04-11,63.84,63.85,60.51,61.44,9870000,61.44
2011-04-04,60.07,64.14,59.68,63.95,8150900,63.95
2011-03-28,58.89,60.59,58.04,59.77,7042900,59.77
2011-03-21,57.72,61.37,57.21,59.52,8010300,59.52
2011-03-14,57.81,58.08,54.68,56.66,10133700,56.66
2011-03-07,61.24,61.30,56.12,57.82,8535100,57.82
2011-02-28,59.24,61.25,58.92,60.40,7340700,60.40
2011-02-22,60.20,60.33,57.63,58.95,9339700,58.95
2011-02-14,55.99,59.66,55.95,58.98,6783300,58.98
2011-02-07,56.66,57.67,55.22,55.73,7613600,55.73
2011-01-31,54.14,57.03,53.44,56.11,9359200,56.11
2011-01-24,53.89,55.31,52.46,54.20,14935100,54.20
2011-01-18,55.65,56.41,53.38,53.94,12366400,53.94
2011-01-10,56.88,58.24,54.61,54.88,10745800,54.88
2011-01-03,61.81,62.02,56.40,56.74,11874300,56.74
2010-12-27,59.93,61.74,58.93,61.47,4146900,61.47
2010-12-20,60.63,60.87,59.00,59.89,5818600,59.89
2010-12-13,62.58,62.99,59.40,60.44,9285600,60.03
2010-12-06,63.07,64.62,60.60,61.66,10207200,61.25
2010-11-29,58.42,63.14,57.61,62.71,9276300,62.29
2010-11-22,59.13,60.23,58.26,58.61,7019000,58.22
2010-11-15,60.23,60.39,57.05,59.28,10260700,58.88
2010-11-08,59.97,63.76,59.19,60.07,15359400,59.67
2010-11-01,57.58,60.85,56.17,60.09,10601900,59.69
2010-10-25,55.98,57.49,53.67,57.30,8315500,56.92
2010-10-18,57.00,57.51,53.78,54.89,11395700,54.52
2010-10-11,57.03,58.88,56.11,57.41,9408400,57.03
2010-10-04,56.37,58.58,55.20,57.30,11582800,56.92
2010-09-27,55.85,57.25,54.28,56.60,10708700,56.22
2010-09-20,55.18,56.67,53.85,55.67,10849100,55.30
2010-09-13,53.20,55.77,52.72,54.78,9444600,54.41
2010-09-07,54.26,54.69,52.43,53.04,6636400,52.68
2010-08-30,53.20,54.49,52.76,53.69,7764700,53.33
2010-08-23,51.37,53.46,49.57,53.34,8063300,52.98
2010-08-16,50.36,52.55,50.17,51.28,6436800,50.94
2010-08-09,50.17,50.49,48.99,49.74,6639800,49.41
2010-08-02,48.93,50.70,47.68,50.17,7111700,49.83
