Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,37.39,37.49,36.95,37.4,2758277,37.4
2011-09-16,37.92,38.19,37.65,37.70,7003600,37.70
2011-09-15,37.29,37.91,37.29,37.80,4223300,37.80
2011-09-14,37.06,37.46,36.75,37.19,6150100,37.19
2011-09-13,37.25,37.28,36.76,36.97,5408900,36.97
2011-09-12,37.26,37.49,36.61,37.20,5877800,37.20
2011-09-09,37.71,37.76,37.23,37.52,6165200,37.52
2011-09-08,37.46,38.19,37.33,37.90,4235300,37.90
2011-09-07,37.32,37.62,37.11,37.56,3782300,37.56
2011-09-06,36.70,37.10,36.54,36.89,4910100,36.89
2011-09-02,37.30,37.74,37.29,37.41,2993900,37.41
2011-09-01,37.94,38.18,37.68,37.71,3483100,37.71
2011-08-31,37.74,38.09,37.62,37.91,4029300,37.91
2011-08-30,37.42,37.90,37.15,37.66,3638800,37.66
2011-08-29,36.95,37.55,36.85,37.55,3005400,37.55
2011-08-26,36.52,36.82,35.84,36.68,3543400,36.68
2011-08-25,37.01,37.13,36.36,36.59,4063400,36.59
2011-08-24,36.70,37.08,36.43,36.99,3918200,36.99
2011-08-23,36.25,36.75,36.05,36.75,4092400,36.75
2011-08-22,36.17,36.36,35.97,36.21,4169400,36.21
2011-08-19,36.10,36.59,35.81,35.81,6084000,35.81
2011-08-18,36.24,36.74,35.94,36.30,6554300,36.30
2011-08-17,36.82,37.07,36.58,36.73,3395200,36.73
2011-08-16,36.40,36.83,36.25,36.67,5311300,36.67
2011-08-15,36.42,36.61,36.03,36.61,3150400,36.61
2011-08-12,35.87,36.25,35.60,36.17,5589000,36.17
2011-08-11,35.05,36.15,34.82,35.78,7901000,35.78
2011-08-10,35.60,35.88,34.81,34.95,9284900,34.95
2011-08-09,35.65,36.08,34.64,36.01,9961500,36.01
2011-08-08,35.66,36.56,35.59,35.61,11873200,35.61
2011-08-05,36.10,36.78,35.59,36.48,8439600,36.48
2011-08-04,36.46,37.12,35.77,35.80,7513200,35.80
2011-08-03,36.55,36.71,36.23,36.71,4356000,36.71
2011-08-02,36.94,37.01,36.50,36.50,4148400,36.50
2011-08-01,37.91,37.91,36.82,37.11,3727200,37.11
2011-07-29,37.11,37.65,36.98,37.35,4416800,37.35
2011-07-28,37.51,37.80,37.26,37.29,2951900,37.29
2011-07-27,37.81,37.96,37.43,37.52,5741000,37.52
