Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,37.26,38.19,36.61,37.70,5732700,37.70
2011-09-06,36.70,38.19,36.54,37.52,4773200,37.52
2011-08-29,36.95,38.18,36.85,37.41,3430100,37.41
2011-08-22,36.17,37.13,35.84,36.68,3957300,36.68
2011-08-15,36.42,37.07,35.81,35.81,4899000,35.81
2011-08-08,35.66,36.56,34.64,36.17,8921900,36.17
2011-08-01,37.91,37.91,35.59,36.48,5636800,36.48
2011-07-25,37.43,37.96,36.98,37.35,3909600,37.35
2011-07-18,37.61,38.00,37.08,37.82,4203100,37.82
2011-07-11,36.60,37.76,36.59,37.75,6036100,37.75
2011-07-05,36.96,37.33,36.70,36.81,4491900,36.81
2011-06-27,36.97,37.81,36.55,37.35,6394900,37.04
2011-06-20,37.84,38.63,36.83,36.85,5094500,36.55
2011-06-13,38.09,38.35,37.26,37.95,3455000,37.64
2011-06-06,37.96,38.32,37.52,37.56,2935600,37.25
2011-05-31,39.56,39.78,37.85,37.94,3553100,37.63
2011-05-23,39.55,39.84,38.83,39.29,2776600,38.97
2011-05-16,39.57,40.00,39.39,39.72,3849100,39.40
2011-05-09,38.68,39.77,38.49,39.72,3238700,39.40
2011-05-02,38.68,39.32,38.29,38.67,4245100,38.35
2011-04-25,37.79,38.75,37.79,38.58,4248800,38.26
2011-04-18,37.10,38.17,37.04,37.91,4726200,37.60
2011-04-11,36.10,37.38,36.09,37.35,3567700,37.04
2011-04-04,36.50,36.69,35.89,36.21,4205700,35.91
2011-03-28,36.62,36.90,36.37,36.39,2939200,35.82
2011-03-21,36.81,37.23,35.68,36.50,4332300,35.92
2011-03-14,37.19,37.22,35.03,36.65,4662100,36.07
2011-03-07,36.90,37.48,36.71,37.31,2767700,36.72
2011-02-28,37.27,37.45,36.59,36.76,4153200,36.18
2011-02-22,36.32,37.31,36.23,37.14,6216700,36.55
2011-02-14,35.98,36.21,35.60,36.10,3903300,35.53
2011-02-07,35.65,35.93,35.33,35.91,4248000,35.34
2011-01-31,34.97,35.63,34.54,35.55,5226200,34.99
2011-01-24,36.52,36.77,34.92,34.94,4851000,34.39
2011-01-18,35.92,37.23,35.70,36.48,5795800,35.90
2011-01-10,35.55,36.76,35.34,35.80,4725100,35.23
2011-01-03,35.75,36.68,35.37,35.62,6370500,35.06
2010-12-27,35.74,35.90,35.35,35.59,1974900,34.76
2010-12-20,36.32,36.39,35.31,35.74,4134900,34.91
2010-12-13,35.95,36.78,35.81,36.38,6028700,35.53
2010-12-06,35.60,35.86,34.96,35.70,5062300,34.87
2010-11-29,34.98,35.88,34.94,35.61,4628100,34.78
2010-11-22,34.91,35.35,34.82,35.11,3633300,34.29
2010-11-15,36.50,36.67,34.88,35.11,4755800,34.29
2010-11-08,36.39,36.81,35.68,36.34,4319700,35.49
2010-11-01,37.70,37.70,36.16,36.53,4954200,35.68
2010-10-25,37.37,37.70,36.84,37.56,2776900,36.68
2010-10-18,37.27,37.51,36.90,37.30,3271700,36.43
2010-10-11,37.08,37.54,36.45,37.28,4419900,36.41
2010-10-04,36.82,37.43,36.64,36.98,3913000,36.12
2010-09-27,37.04,37.23,36.28,36.95,4509700,35.82
2010-09-20,36.33,37.43,35.52,37.24,7457000,36.10
2010-09-13,37.30,37.30,36.16,36.17,4598200,35.06
2010-09-07,35.99,37.20,35.84,37.19,3570500,36.05
2010-08-30,35.89,36.49,35.54,36.06,4377900,34.95
2010-08-23,35.17,36.02,34.94,36.00,5329300,34.90
2010-08-16,34.77,35.54,34.50,35.14,4637000,34.06
2010-08-09,33.62,35.17,33.42,34.86,6221700,33.79
