Date,Open,High,Low,Close,Volume,Adj Close
2011-10-31,167.76,172.04,163.61,170.85,13384800,170.85
2011-10-24,160.55,170.29,160.22,169.62,14918300,169.62
2011-10-17,164.00,164.16,156.05,159.52,12665900,159.52
2011-10-10,162.05,164.00,160.82,163.40,9227800,163.40
2011-10-03,161.09,161.58,155.27,159.18,15735100,159.18
2011-09-26,157.12,162.29,154.19,158.06,24681400,158.06
2011-09-19,176.83,176.86,158.55,159.80,26556300,159.80
2011-09-12,178.73,179.54,172.56,176.03,19741800,176.03
2011-09-06,184.58,185.85,174.45,180.70,26768600,180.70
2011-08-29,175.95,183.51,172.88,183.24,19695500,183.24
2011-08-22,181.95,184.82,165.88,177.47,47004100,177.47
2011-08-15,169.32,181.67,168.95,179.95,22756500,179.95
2011-08-08,165.48,175.13,164.76,169.97,44534700,169.97
2011-08-01,157.47,163.87,156.78,161.75,26373700,161.75
2011-07-25,157.60,159.25,156.11,158.29,14312000,158.29
2011-07-18,155.76,156.58,154.10,156.12,16873100,156.12
2011-07-11,151.33,155.29,150.20,155.20,21378700,155.20
2011-07-05,146.96,150.50,146.85,150.25,12240900,150.25
2011-06-27,145.93,147.42,143.97,144.93,12415400,144.93
2011-06-20,150.08,151.86,145.97,146.26,16236600,146.26
2011-06-13,148.66,150.29,147.19,149.94,13743700,149.94
2011-06-06,150.82,151.45,148.69,149.24,10242700,149.24
2011-05-31,149.88,151.13,148.07,150.22,13755900,150.22
2011-05-23,147.04,149.92,146.97,149.70,12366200,149.70
2011-05-16,145.88,147.78,143.42,147.49,13809500,147.49
2011-05-09,146.67,148.19,144.49,145.63,16503400,145.63
2011-05-02,151.46,153.61,142.55,145.30,31776500,145.30
2011-04-25,147.57,153.03,145.48,152.37,20419200,152.37
2011-04-18,145.21,147.06,144.63,146.74,13029100,146.74
2011-04-11,143.28,145.12,140.75,145.05,14446700,145.05
2011-04-04,140.13,143.84,139.45,143.66,12268800,143.66
2011-03-28,137.82,140.40,137.68,139.20,11143200,139.20
2011-03-21,139.50,141.28,138.66,139.26,13008900,139.26
2011-03-14,139.33,139.55,135.23,138.37,14963200,138.37
2011-03-07,140.29,140.61,136.85,138.22,11902300,138.22
2011-02-28,137.65,140.55,137.03,139.35,15188900,139.35
