Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,22.59,23.07,22.43,22.71,31924000,22.71
2011-09-19,23.10,25.10,21.50,22.32,52856200,22.32
2011-09-12,22.13,23.59,22.13,23.53,22867500,23.53
2011-09-06,23.28,24.67,22.50,22.65,26753800,22.53
2011-08-29,24.95,26.46,24.32,24.34,20846300,24.21
2011-08-22,24.16,25.33,24.05,24.82,34515100,24.69
2011-08-15,32.35,34.00,22.75,23.60,56974200,23.47
2011-08-08,31.13,32.36,29.75,32.32,29015200,32.15
2011-08-01,35.40,35.50,31.52,32.63,21936700,32.46
2011-07-25,36.27,37.70,35.10,35.17,17572800,34.98
2011-07-18,34.98,37.12,34.80,36.70,16093100,36.51
2011-07-11,36.00,36.00,34.97,35.09,15022000,34.90
2011-07-05,36.78,37.00,35.80,36.43,15975700,36.24
2011-06-27,35.05,37.24,34.91,37.05,17044700,36.85
2011-06-20,34.79,35.65,34.55,34.90,20553700,34.72
2011-06-13,34.65,35.32,33.95,35.00,26868600,34.81
2011-06-06,35.99,36.24,35.14,35.25,14845200,34.94
2011-05-31,37.28,37.52,36.00,36.11,19826900,35.80
2011-05-23,35.58,37.04,35.44,36.96,25420000,36.64
2011-05-16,40.20,40.34,35.91,35.98,43490600,35.67
2011-05-09,40.79,41.74,40.22,40.41,12695000,40.06
2011-05-02,40.69,41.52,39.80,40.81,14040400,40.46
2011-04-25,41.06,41.30,39.99,40.37,16461500,40.02
2011-04-18,39.96,41.20,39.16,40.99,13939600,40.63
2011-04-11,40.71,41.55,40.12,40.26,14058700,39.91
2011-04-04,40.65,41.80,40.20,40.70,17526700,40.35
2011-03-28,42.42,42.83,37.60,40.98,18005900,40.62
2011-03-21,41.85,43.28,41.35,42.53,15612400,42.16
2011-03-14,41.31,42.15,40.10,41.32,24185200,40.96
2011-03-07,42.90,43.05,41.26,41.73,17020500,41.29
2011-02-28,43.06,43.86,42.06,42.61,22133600,42.16
2011-02-22,47.57,48.55,42.08,42.68,52774800,42.23
2011-02-14,48.45,49.12,47.54,48.67,12584900,48.15
2011-02-07,47.71,49.39,47.61,48.64,16815800,48.13
2011-01-31,45.41,47.53,45.13,47.43,14894100,46.93
2011-01-24,46.69,47.83,45.36,45.51,16812400,45.03
2011-01-18,46.14,47.64,45.76,47.23,20651100,46.73
2011-01-10,44.86,46.40,44.57,46.25,16157300,45.76
2011-01-03,42.22,45.39,42.22,45.09,20000500,44.61
2010-12-27,41.49,42.62,41.47,42.10,7970300,41.65
2010-12-20,41.73,42.10,41.29,41.74,13406900,41.30
2010-12-13,42.06,42.19,41.00,41.96,20067700,41.52
2010-12-06,42.54,43.25,42.09,42.62,15946100,42.09
2010-11-29,42.58,43.27,41.80,43.03,19784200,42.49
2010-11-22,42.95,44.44,42.15,43.20,30649600,42.66
2010-11-15,42.32,43.01,40.77,42.49,21132600,41.96
2010-11-08,43.63,44.65,42.02,42.21,17369100,41.68
2010-11-01,42.17,44.56,42.07,43.72,16777300,43.18
2010-10-25,42.96,43.23,41.88,42.04,15954900,41.52
2010-10-18,42.69,43.47,41.92,42.87,17568000,42.34
2010-10-11,41.25,42.84,40.82,42.82,18219500,42.29
2010-10-04,40.86,41.30,40.36,41.15,23412500,40.64
2010-09-27,41.16,43.15,40.25,40.77,34411500,40.26
2010-09-20,39.25,41.70,39.00,40.98,23426600,40.47
2010-09-13,38.45,40.62,37.97,39.14,31524400,38.65
2010-09-07,39.75,40.16,38.08,38.28,23543500,37.72
2010-08-30,38.88,40.49,38.03,40.34,23563800,39.75
2010-08-23,39.94,40.00,37.32,38.00,29878900,37.45
2010-08-16,40.51,41.70,39.33,39.85,26576800,39.27
2010-08-09,43.47,43.84,39.95,40.45,82803000,39.86
2010-08-02,46.59,47.80,41.85,41.85,16194300,41.24
2010-07-26,46.10,47.83,45.71,46.04,14790500,45.37
2010-07-19,46.40,46.95,45.27,46.15,16059600,45.48
2010-07-12,45.02,47.97,45.02,46.20,12831100,45.53
2010-07-06,43.37,45.59,42.79,45.25,15369900,44.59
2010-06-28,45.89,46.46,42.31,42.81,19418100,42.19
2010-06-21,48.37,48.50,45.35,45.92,15571500,45.25
2010-06-14,47.87,48.62,46.83,47.98,16699700,47.28
2010-06-07,46.18,47.28,45.03,47.19,16377800,46.43
2010-06-01,45.85,47.72,45.50,46.05,19510700,45.31
2010-05-24,46.28,47.09,44.17,46.01,19885800,45.27
2010-05-17,47.45,48.28,44.80,46.58,26346200,45.83
2010-05-10,49.02,50.33,46.59,47.43,19981000,46.66
2010-05-03,52.04,52.95,41.94,46.73,24450200,45.97
2010-04-26,53.93,54.60,51.92,51.97,15602000,51.13
2010-04-19,53.45,54.03,52.51,53.90,11348900,53.03
2010-04-12,53.79,54.75,53.53,53.75,11672500,52.88
2010-04-05,53.28,53.97,52.77,53.87,9626100,53.00
2010-03-29,53.42,53.75,52.82,53.24,10979400,52.38
2010-03-22,52.13,53.79,52.13,53.42,14301800,52.56
2010-03-15,52.16,52.95,51.91,52.49,14167400,51.64
2010-03-08,51.65,52.43,51.38,52.36,11226100,51.43
2010-03-01,50.68,52.25,50.68,52.03,12829000,51.11
2010-02-22,50.71,51.00,49.93,50.79,12673300,49.89
2010-02-16,48.94,51.00,48.79,50.79,19576400,49.89
2010-02-08,47.15,48.85,47.05,48.46,15546900,47.60
2010-02-01,47.37,48.89,46.46,47.32,17189700,46.48
2010-01-25,49.55,50.50,46.80,47.07,19453000,46.24
2010-01-19,52.10,52.79,49.25,49.29,16004600,48.42
2010-01-11,52.58,52.94,51.65,52.47,12746500,51.54
2010-01-04,51.54,52.74,51.32,52.59,11599400,51.66
2009-12-28,52.88,52.95,51.47,51.51,9653800,50.60
2009-12-21,51.49,52.94,51.45,52.87,10061000,51.94
2009-12-14,49.95,51.61,49.93,51.50,16421700,50.59
2009-12-07,49.48,50.23,48.81,50.05,14548800,49.09
2009-11-30,48.97,49.90,48.81,49.79,16815900,48.83
2009-11-23,50.43,51.03,48.60,49.07,13934900,48.13
2009-11-16,49.89,51.43,49.32,50.04,16483700,49.08
2009-11-09,49.07,50.00,48.82,49.91,15251200,48.95
2009-11-02,47.43,49.16,47.16,49.16,13582300,48.21
2009-10-26,48.47,48.90,46.85,47.46,13077400,46.55
2009-10-19,48.23,49.20,47.73,48.56,11730400,47.63
2009-10-12,47.44,48.41,46.55,48.37,13401200,47.44
2009-10-05,45.48,47.48,45.33,47.38,14105900,46.47
2009-09-28,46.97,48.00,45.20,45.28,19199200,44.41
2009-09-21,45.63,47.86,45.51,47.02,15012300,46.11
2009-09-14,45.33,46.50,45.26,46.15,13996500,45.26
2009-09-08,45.11,46.53,44.98,46.10,13663900,45.13
2009-08-31,44.11,45.15,43.60,45.10,13113000,44.16
2009-08-24,44.83,45.55,44.10,44.76,16415600,43.82
2009-08-17,43.63,44.84,42.52,44.78,18787200,43.84
2009-08-10,43.37,44.50,43.17,44.09,11993400,43.17
2009-08-03,43.37,43.73,42.14,43.54,15498700,42.63
2009-07-27,41.64,43.55,41.15,43.30,15176400,42.39
2009-07-20,40.16,41.93,39.75,41.72,14238900,40.85
2009-07-13,37.27,40.00,36.67,39.98,15873900,39.14
2009-07-06,37.55,38.20,36.78,37.24,12516400,36.46
2009-06-29,37.85,39.62,37.81,37.85,18201500,37.06
2009-06-22,37.91,38.58,36.99,37.61,17687100,36.82
2009-06-15,37.32,38.45,36.61,38.35,17650600,37.55
2009-06-08,36.86,37.80,36.31,37.76,15257600,36.97
2009-06-01,34.80,37.50,34.70,37.35,18632400,36.49
2009-05-26,33.86,35.25,33.75,34.35,18253300,33.56
2009-05-18,35.20,36.98,33.55,34.14,25725100,33.35
2009-05-11,34.04,35.65,33.93,35.01,14768000,34.20
2009-05-04,36.75,37.24,33.40,34.68,18518000,33.88
2009-04-27,35.13,37.40,34.94,36.52,14359500,35.68
2009-04-20,35.36,36.00,33.96,35.80,15684100,34.97
2009-04-13,33.81,36.87,33.47,36.30,17591900,35.46
2009-04-06,34.02,34.65,32.63,34.43,15008300,33.64
2009-03-30,32.26,34.92,30.98,34.15,22344800,33.36
2009-03-23,29.65,33.64,29.29,33.33,26819100,32.56
2009-03-16,29.64,29.99,28.34,28.85,23354700,28.19
2009-03-09,26.47,30.00,25.39,29.45,28386600,28.77
2009-03-02,28.75,29.18,25.70,26.98,29133900,26.28
2009-02-23,31.29,31.48,28.75,29.03,32411400,28.28
2009-02-17,35.07,35.21,30.67,31.24,33140100,30.43
2009-02-09,36.45,36.76,33.76,35.87,17782500,34.94
