Date,Open,High,Low,Close,Volume,Adj Close
2011-09-27,50.13,54.14,47.26,53.4,3384184,53.4
2011-09-26,58.12,58.86,44.01,49.54,7540800,49.54
2011-09-23,55.10,58.64,54.60,57.81,1241200,57.81
2011-09-22,56.50,57.50,54.25,55.47,1821400,55.47
2011-09-21,60.00,62.07,58.31,58.36,1646000,58.36
2011-09-20,63.39,64.00,58.66,59.40,1997400,59.40
2011-09-19,60.88,63.82,60.06,63.14,1364000,63.14
2011-09-16,64.42,64.77,60.97,62.18,2369500,62.18
2011-09-15,64.46,65.00,62.80,64.05,1009500,64.05
2011-09-14,64.35,64.73,62.51,63.81,1715800,63.81
2011-09-13,66.28,67.40,63.56,63.74,2294400,63.74
2011-09-12,65.31,66.75,64.20,66.46,1529400,66.46
2011-09-09,67.04,67.51,61.37,64.28,3639400,64.28
2011-09-08,69.74,69.84,66.89,67.13,1413500,67.13
2011-09-07,68.63,70.88,67.35,70.11,1263500,70.11
2011-09-06,66.50,67.96,65.68,67.48,1162400,67.48
2011-09-02,68.55,69.86,66.05,68.39,2168100,68.39
2011-09-01,70.90,72.83,69.16,69.31,1352800,69.31
2011-08-31,73.46,73.74,69.00,70.40,1563500,70.40
2011-08-30,71.00,73.25,70.67,72.48,1303800,72.48
2011-08-29,70.40,71.58,69.70,71.49,1640700,71.49
2011-08-26,66.18,70.00,65.55,69.06,1489700,69.06
2011-08-25,68.72,70.30,65.91,66.12,2000400,66.12
2011-08-24,68.30,69.48,66.36,67.93,1302700,67.93
2011-08-23,65.73,68.22,64.00,68.18,2144000,68.18
2011-08-22,65.42,65.63,62.40,64.64,2324300,64.64
2011-08-19,62.30,66.73,61.42,62.98,2750700,62.98
2011-08-18,67.14,68.40,64.59,64.69,3288600,64.69
2011-08-17,64.44,71.87,63.76,69.56,6046900,69.56
2011-08-16,61.25,66.59,61.00,64.03,5457000,64.03
2011-08-15,64.12,67.38,58.51,64.96,15151400,64.96
2011-08-12,72.01,76.99,70.15,75.72,2565700,75.72
2011-08-11,70.51,73.75,67.31,71.36,3019100,71.36
2011-08-10,70.05,74.82,67.28,69.73,2358100,69.73
2011-08-09,65.37,71.92,64.13,71.73,3026600,71.73
2011-08-08,64.42,67.40,63.58,63.98,2107000,63.98
2011-08-05,68.03,68.97,64.00,68.10,2259200,68.10
2011-08-04,71.50,72.09,66.49,67.26,2924700,67.26
2011-08-03,66.82,72.33,64.60,71.96,4514900,71.96
2011-08-02,66.49,68.91,63.18,63.21,1771300,63.21
2011-08-01,68.11,69.11,65.00,67.12,2037600,67.12
2011-07-29,65.98,70.20,63.08,68.25,2821300,68.25
2011-07-28,73.79,73.80,66.12,67.75,2873400,67.75
2011-07-27,74.44,74.99,69.13,69.77,1861800,69.77
2011-07-26,71.87,75.14,71.62,74.01,2021400,74.01
2011-07-25,71.87,73.39,69.00,71.30,2943400,71.30
2011-07-22,74.18,77.75,70.91,72.96,4236400,72.96
2011-07-21,76.05,82.50,69.46,74.27,12006000,74.27
2011-07-20,54.45,70.00,54.20,68.67,11534600,68.67
2011-07-19,52.00,53.89,49.90,53.26,6927100,53.26
2011-07-18,42.76,43.10,41.20,41.51,830000,41.51
2011-07-15,42.99,43.45,42.51,43.01,588500,43.01
2011-07-14,43.60,44.35,42.55,42.63,640400,42.63
2011-07-13,43.82,44.63,43.25,43.59,593900,43.59
2011-07-12,43.56,43.93,43.04,43.41,682500,43.41
2011-07-11,44.95,45.32,43.65,44.05,713400,44.05
2011-07-08,45.73,46.17,45.00,45.58,1114800,45.58
2011-07-07,45.95,47.74,45.45,47.17,963200,47.17
2011-07-06,45.66,46.17,45.00,45.65,743200,45.65
2011-07-05,46.75,47.41,44.96,45.72,1479700,45.72
2011-07-01,46.75,47.74,45.65,46.87,3622000,46.87
2011-06-30,40.31,41.09,40.31,40.85,364100,40.75
2011-06-29,40.46,40.67,39.90,40.30,461300,40.20
2011-06-28,39.52,40.55,39.27,40.54,567800,40.44
2011-06-27,38.20,39.62,37.74,39.42,723500,39.32
2011-06-24,38.78,39.22,38.02,38.31,729000,38.22
2011-06-23,36.91,38.67,36.80,38.51,852800,38.42
2011-06-22,37.04,37.74,36.90,37.51,656600,37.42
2011-06-21,35.99,37.37,35.85,37.31,866100,37.22
2011-06-20,34.99,36.04,34.99,35.83,998000,35.74
2011-06-17,35.20,35.53,34.90,35.19,938700,35.10
2011-06-16,35.24,35.40,34.62,35.02,678700,34.93
2011-06-15,35.36,36.12,35.11,35.28,539200,35.19
2011-06-14,35.91,36.44,35.56,35.80,529400,35.71
2011-06-13,35.52,36.30,35.47,35.52,560700,35.43
2011-06-10,36.00,36.25,35.38,35.91,739200,35.82
2011-06-09,35.20,36.94,34.93,36.35,702800,36.26
2011-06-08,36.97,36.99,34.61,35.19,1126600,35.10
2011-06-07,37.45,37.62,36.91,37.11,592300,37.02
2011-06-06,37.79,38.33,37.27,37.37,642200,37.28
2011-06-03,39.26,39.41,37.86,37.88,1099700,37.79
2011-06-02,40.26,41.00,39.50,39.81,985600,39.71
2011-06-01,42.92,43.04,40.20,40.26,1115100,40.16
2011-05-31,42.78,43.06,41.78,43.01,507900,42.90
2011-05-27,43.01,43.01,42.04,42.32,391500,42.22
2011-05-26,42.22,43.48,41.87,43.01,735100,42.90
2011-05-25,40.88,42.43,40.52,42.20,478500,42.10
2011-05-24,42.03,42.57,40.86,40.89,621500,40.79
2011-05-23,42.34,42.38,41.66,41.98,488800,41.88
2011-05-20,43.44,43.67,42.45,42.67,552500,42.57
2011-05-19,43.36,43.86,42.66,43.72,394700,43.61
2011-05-18,43.34,43.48,42.34,42.85,812900,42.75
2011-05-17,45.09,45.09,42.76,43.08,855400,42.97
2011-05-16,44.82,45.33,44.52,44.58,533900,44.47
2011-05-13,45.14,45.89,44.73,45.27,603900,45.16
2011-05-12,44.88,45.73,44.64,45.04,534000,44.93
2011-05-11,43.44,45.25,41.70,45.13,1590500,45.02
2011-05-10,46.17,46.43,45.02,45.79,421900,45.68
2011-05-09,44.88,46.05,44.74,46.02,520500,45.91
2011-05-06,45.17,45.79,44.58,44.95,479000,44.84
2011-05-05,44.28,45.48,43.53,44.63,863500,44.52
2011-05-04,44.63,45.00,44.20,44.51,670100,44.40
2011-05-03,45.35,45.75,44.35,44.75,666000,44.64
2011-05-02,45.96,46.19,45.02,45.62,938600,45.51
2011-04-29,48.20,48.32,46.00,46.29,928000,46.18
2011-04-28,46.97,48.14,44.70,48.01,2200000,47.89
2011-04-27,46.34,47.75,46.32,47.75,903700,47.63
2011-04-26,45.51,46.40,45.16,46.19,531400,46.08
2011-04-25,45.61,45.84,44.91,45.36,382700,45.25
2011-04-21,46.40,46.66,45.60,45.90,431900,45.79
2011-04-20,45.50,46.00,45.40,45.89,310800,45.78
2011-04-19,45.49,45.71,44.44,44.97,595800,44.86
2011-04-18,45.46,45.82,44.54,45.30,335000,45.19
2011-04-15,45.90,46.38,45.01,46.20,842900,46.09
2011-04-14,44.93,46.21,44.85,46.08,561000,45.97
2011-04-13,45.14,45.62,44.76,45.32,911300,45.21
2011-04-12,46.00,46.20,44.55,44.76,839400,44.65
2011-04-11,47.10,47.33,46.12,46.39,368400,46.28
2011-04-08,48.23,48.30,46.58,47.16,621700,47.04
2011-04-07,47.98,48.72,47.24,47.91,419900,47.79
