Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,58.12,58.86,44.01,49.54,7540800,49.54
2011-09-19,60.88,64.00,54.25,57.81,1614000,57.81
2011-09-12,65.31,67.40,60.97,62.18,1783700,62.18
2011-09-06,66.50,70.88,61.37,64.28,1869700,64.28
2011-08-29,70.40,73.74,66.05,68.39,1605700,68.39
2011-08-22,65.42,70.30,62.40,69.06,1852200,69.06
2011-08-15,64.12,71.87,58.51,62.98,6538900,62.98
2011-08-08,64.42,76.99,63.58,75.72,2615300,75.72
2011-08-01,68.11,72.33,63.18,68.10,2701500,68.10
2011-07-25,71.87,75.14,63.08,68.25,2504200,68.25
2011-07-18,42.76,82.50,41.20,72.96,7106800,72.96
2011-07-11,44.95,45.32,42.51,43.01,643700,43.01
2011-07-05,46.75,47.74,44.96,45.58,1075200,45.58
2011-06-27,38.20,47.74,37.74,46.87,1147700,46.87
2011-06-20,34.99,39.22,34.99,38.31,820500,38.22
2011-06-13,35.52,36.44,34.62,35.19,649300,35.10
2011-06-06,37.79,38.33,34.61,35.91,760600,35.82
2011-05-31,42.78,43.06,37.86,37.88,927000,37.79
2011-05-23,42.34,43.48,40.52,42.32,543000,42.22
2011-05-16,44.82,45.33,42.34,42.67,629800,42.57
2011-05-09,44.88,46.43,41.70,45.27,734100,45.16
2011-05-02,45.96,46.19,43.53,44.95,723400,44.84
2011-04-25,45.61,48.32,44.70,46.29,989100,46.18
2011-04-18,45.46,46.66,44.44,45.90,418300,45.79
2011-04-11,47.10,47.33,44.55,46.20,704600,46.09
2011-04-04,48.70,49.57,46.58,47.16,702300,47.04
2011-03-28,44.36,49.00,42.62,48.46,1477800,48.24
2011-03-21,42.27,44.94,42.03,44.32,604900,44.12
2011-03-14,42.13,43.32,40.15,42.01,971600,41.82
2011-03-07,46.29,46.81,41.10,42.76,1138200,42.57
2011-02-28,48.33,49.19,45.77,46.22,947800,46.01
2011-02-22,57.64,58.04,45.88,48.37,2360100,48.15
2011-02-14,56.36,58.64,56.00,58.13,1071000,57.87
2011-02-07,52.83,56.87,52.11,55.40,1401400,55.15
2011-01-31,47.05,50.97,46.33,50.81,913200,50.58
2011-01-24,48.56,49.00,46.72,47.29,713500,47.08
2011-01-18,47.92,51.03,46.44,46.98,1305900,46.77
2011-01-10,46.90,49.89,43.50,47.81,1391900,47.59
2011-01-03,42.27,47.74,41.88,46.90,1358800,46.69
2010-12-27,42.89,43.02,41.64,41.64,505800,41.45
2010-12-20,40.99,43.35,40.61,42.81,1257600,42.62
2010-12-13,39.25,40.08,38.23,39.09,801200,38.91
2010-12-06,35.00,39.40,34.84,38.72,1118600,38.55
2010-11-29,33.82,35.38,32.75,35.12,603900,34.96
2010-11-22,33.34,34.79,33.04,34.12,476400,33.97
2010-11-15,33.41,34.37,32.85,33.40,574600,33.25
2010-11-08,34.44,36.81,33.43,33.46,922500,33.31
2010-11-01,33.95,35.75,32.85,34.36,964100,34.21
2010-10-25,29.99,33.95,29.95,33.57,868900,33.42
2010-10-18,29.61,30.19,29.08,29.89,242900,29.76
2010-10-11,29.35,30.20,29.01,29.61,308200,29.48
2010-10-04,30.15,30.67,28.90,29.46,467400,29.33
2010-09-27,28.70,30.33,28.03,30.19,614600,30.05
2010-09-20,27.13,28.79,27.08,28.63,459900,28.50
2010-09-13,25.73,27.26,25.55,27.01,512600,26.89
2010-09-07,25.79,25.95,25.17,25.50,387600,25.39
2010-08-30,25.04,26.13,24.39,25.96,383100,25.84
2010-08-23,26.68,26.75,24.57,25.19,364200,25.08
2010-08-16,25.88,26.86,25.65,26.61,341600,26.49
2010-08-09,27.04,27.13,25.50,25.88,356000,25.76
2010-08-02,27.75,27.75,26.47,26.90,447300,26.78
2010-07-26,27.35,28.47,26.62,27.29,377100,27.17
2010-07-19,26.44,27.32,26.05,27.26,284900,27.14
2010-07-12,25.43,27.36,25.15,26.44,438700,26.32
2010-07-06,24.41,25.43,24.00,25.43,407200,25.32
2010-06-28,26.25,26.39,23.73,24.13,398600,24.02
2010-06-21,26.04,26.25,25.25,26.20,326000,26.08
2010-06-14,25.42,26.15,25.00,25.82,287400,25.70
2010-06-07,25.49,25.59,24.24,25.29,350000,25.18
2010-06-01,26.03,26.27,25.16,25.35,418000,25.24
2010-05-24,25.59,26.49,24.48,26.10,466700,25.98
2010-05-17,26.52,27.30,24.29,25.59,603800,25.47
2010-05-10,26.67,27.87,26.02,26.32,482100,26.20
2010-05-03,27.79,28.61,22.30,25.94,730000,25.82
2010-04-26,29.04,29.18,27.24,27.67,836100,27.55
2010-04-19,29.18,29.98,28.72,28.94,399900,28.81
2010-04-12,29.19,29.67,28.78,29.35,353000,29.22
2010-04-05,27.63,29.78,27.42,29.11,507800,28.98
2010-03-29,27.91,28.20,27.49,27.63,294500,27.51
2010-03-22,27.45,28.25,27.01,27.73,336500,27.61
2010-03-15,27.70,28.34,27.20,27.52,516600,27.40
2010-03-08,25.85,27.85,25.61,27.65,463600,27.53
2010-03-01,25.68,26.78,25.59,25.78,555700,25.66
2010-02-22,26.23,26.49,25.52,25.65,334400,25.53
2010-02-16,25.50,26.63,25.06,26.25,360700,26.13
2010-02-08,24.13,25.17,23.37,25.12,296000,25.01
2010-02-01,24.93,25.30,23.60,24.23,292800,24.12
2010-01-25,25.32,25.99,24.64,24.79,363400,24.68
2010-01-19,25.79,26.48,25.15,25.15,429300,25.04
2010-01-11,26.70,27.04,25.67,25.72,436100,25.60
2010-01-04,26.94,27.98,25.76,26.53,717300,26.41
2009-12-28,26.80,27.20,26.38,26.56,332600,26.44
2009-12-21,25.34,26.76,25.27,26.70,377900,26.58
2009-12-14,25.31,25.82,24.90,25.29,498000,25.18
2009-12-07,25.27,25.71,25.00,25.22,383200,25.11
2009-11-30,23.78,25.70,23.51,25.29,684000,25.18
2009-11-23,23.85,24.20,23.34,23.69,533900,23.58
2009-11-16,23.07,23.97,22.91,23.56,877500,23.45
2009-11-09,22.01,23.56,22.00,22.88,712100,22.78
2009-11-02,20.46,22.05,19.74,21.91,1065500,21.81
2009-10-26,19.24,21.16,18.41,20.56,1383800,20.47
2009-10-19,21.50,21.50,19.12,19.13,2879500,19.04
2009-10-12,24.08,24.87,23.25,24.44,744900,24.33
2009-10-05,22.51,24.47,22.29,24.05,505900,23.94
2009-09-28,23.08,23.64,22.10,22.47,436900,22.37
2009-09-21,23.35,24.22,22.99,23.01,560700,22.91
2009-09-14,22.50,23.52,22.35,23.25,480900,23.15
2009-09-08,22.02,22.91,21.60,22.61,494700,22.51
2009-08-31,20.96,21.98,20.66,21.89,675900,21.79
2009-08-24,22.30,22.76,20.64,21.03,802800,20.94
2009-08-17,21.50,23.85,20.86,22.58,2212800,22.48
2009-08-10,31.13,31.79,27.86,29.50,1034500,29.37
2009-08-03,30.00,31.48,29.61,30.97,580500,30.83
2009-07-27,28.16,29.99,27.58,29.61,631000,29.48
2009-07-20,26.45,28.13,26.24,28.11,534200,27.98
2009-07-13,23.53,26.58,23.03,26.39,573300,26.27
2009-07-06,23.81,23.81,22.50,23.39,393200,23.28
2009-06-29,23.98,24.78,23.69,23.83,375100,23.72
2009-06-22,24.36,24.37,23.53,23.90,459900,23.79
2009-06-15,25.28,25.37,23.22,24.46,675300,24.35
2009-06-08,25.60,26.11,24.81,25.46,434300,25.35
2009-06-01,25.72,27.16,25.72,25.99,583700,25.87
2009-05-26,25.45,25.92,24.10,25.62,813500,25.50
2009-05-18,27.27,27.96,25.47,25.52,603500,25.40
2009-05-11,29.08,29.20,26.05,27.14,799700,27.02
2009-05-04,27.25,29.75,26.45,29.36,714800,29.23
2009-04-27,26.35,27.24,25.72,27.00,634000,26.88
2009-04-20,26.55,27.00,25.51,26.75,471200,26.63
2009-04-13,27.20,27.29,24.96,26.89,576200,26.77
2009-04-06,26.76,27.70,25.50,27.56,726400,27.44
2009-03-30,22.13,27.07,22.13,26.99,1511400,26.87
2009-03-23,23.46,23.77,22.06,22.09,605400,21.99
2009-03-16,22.85,24.50,22.02,22.99,787700,22.89
2009-03-09,21.03,23.93,20.43,22.70,1077600,22.60
2009-03-02,29.26,29.52,20.58,21.33,2015600,21.23
2009-02-23,29.58,30.72,28.61,29.38,701300,29.25
2009-02-17,32.53,32.53,28.27,29.31,1193700,29.18
2009-02-09,33.35,33.59,31.41,33.11,494000,32.96
2009-02-02,32.07,33.69,31.23,33.35,1036400,33.20
2009-01-26,31.18,33.32,31.09,32.33,894100,32.18
2009-01-20,26.73,31.32,26.63,31.17,1415200,31.03
2009-01-12,27.37,27.76,25.43,26.73,595800,26.61
2009-01-05,27.79,28.43,25.67,27.33,761600,27.21
2009-01-02,27.54,27.92,27.08,27.79,334600,27.66
