Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,78.61,79.86,78.52,78.96,58160,78.96
2011-09-16,79.32,80.73,79.32,79.99,347000,79.99
2011-09-15,78.31,79.58,78.10,79.37,199800,79.37
2011-09-14,75.51,77.50,74.72,76.81,110100,76.81
2011-09-13,75.31,76.01,74.60,75.18,199700,75.18
2011-09-12,73.61,75.01,72.97,74.96,169000,74.96
2011-09-09,75.96,76.00,73.86,74.28,147800,74.28
2011-09-08,76.49,77.64,76.34,76.60,113400,76.60
2011-09-07,75.80,77.03,75.33,77.03,170900,77.03
2011-09-06,76.99,76.99,73.26,74.58,175600,74.58
2011-09-02,75.85,76.50,74.79,75.31,101000,75.31
2011-09-01,77.56,78.20,76.98,77.17,165700,77.17
2011-08-31,77.77,78.72,77.11,77.59,308200,77.59
2011-08-30,76.17,77.86,76.04,77.55,85800,77.55
2011-08-29,75.69,76.78,75.47,76.65,75400,76.65
2011-08-26,73.55,74.79,72.24,74.65,108300,74.65
2011-08-25,75.00,75.35,73.24,73.81,209200,73.81
2011-08-24,73.43,74.68,72.89,74.54,158800,74.54
2011-08-23,71.11,73.62,70.60,73.60,198000,73.60
2011-08-22,72.23,72.77,70.46,70.74,174700,70.74
2011-08-19,68.94,71.03,68.85,70.48,313100,70.48
2011-08-18,71.76,71.83,69.07,69.73,170300,69.73
2011-08-17,74.02,74.92,73.50,73.90,172600,73.90
2011-08-16,72.73,74.00,72.73,73.79,225900,73.79
2011-08-15,73.36,73.79,72.09,73.10,189700,73.10
2011-08-12,69.88,72.97,69.37,72.61,464400,72.61
2011-08-11,68.82,70.09,68.15,69.12,641400,69.12
2011-08-10,71.44,72.02,68.51,68.62,461000,68.62
2011-08-09,70.18,73.39,69.46,73.38,716100,73.38
2011-08-08,69.25,70.61,68.55,69.15,806800,69.15
2011-08-05,69.76,71.48,67.88,71.00,703800,71.00
2011-08-04,70.52,70.58,69.18,69.18,530900,69.18
2011-08-03,71.26,71.61,70.13,71.17,403700,71.17
2011-08-02,73.18,73.81,70.97,71.06,418100,71.06
2011-08-01,74.53,74.88,72.81,73.35,332500,73.35
2011-07-29,75.20,75.20,73.60,73.69,526100,73.69
2011-07-28,76.21,76.47,75.80,75.82,441400,75.82
2011-07-27,77.80,78.57,76.06,76.21,393500,76.21
2011-07-26,80.16,80.24,78.64,78.66,171100,78.66
2011-07-25,80.64,80.77,79.99,80.05,120200,80.05
2011-07-22,81.60,81.74,81.16,81.23,136600,81.23
2011-07-21,80.24,81.79,79.88,81.57,284200,81.57
2011-07-20,79.57,79.89,79.21,79.85,206600,79.85
2011-07-19,79.44,79.94,78.88,79.72,403500,79.72
2011-07-18,80.08,80.08,78.89,78.99,166700,78.99
2011-07-15,81.31,81.33,79.80,80.23,210000,80.23
2011-07-14,81.95,82.29,81.04,81.11,325900,81.11
2011-07-13,82.24,82.67,81.74,81.99,101100,81.99
2011-07-12,82.71,82.84,81.82,82.06,170100,82.06
2011-07-11,83.00,83.55,82.70,82.79,749900,82.79
2011-07-08,83.36,84.19,83.36,84.07,120800,84.07
2011-07-07,85.17,85.17,84.23,84.49,103400,84.49
2011-07-06,83.50,84.12,83.23,83.97,130300,83.97
2011-07-05,83.57,84.07,83.47,83.93,137000,83.93
2011-07-01,82.96,84.03,82.91,83.88,133000,83.88
2011-06-30,82.55,83.50,82.38,83.42,186900,83.42
2011-06-29,82.58,83.06,82.14,82.31,225400,82.31
2011-06-28,81.67,82.69,81.16,82.52,322900,82.52
2011-06-27,81.93,82.31,81.32,81.57,184400,81.57
2011-06-24,82.02,82.63,81.00,81.78,470400,81.78
2011-06-23,83.99,84.59,80.80,81.56,847800,81.56
2011-06-22,87.82,89.59,87.57,87.99,439300,87.99
2011-06-21,86.21,88.62,86.14,88.19,268200,88.19
2011-06-20,84.13,85.81,83.65,85.72,173000,85.72
2011-06-17,83.95,84.41,83.60,84.19,194500,84.19
2011-06-16,82.53,83.59,82.53,83.50,212800,83.50
2011-06-15,82.50,83.49,82.50,82.78,214100,82.78
2011-06-14,84.23,84.35,83.06,83.13,297200,83.13
2011-06-13,84.40,84.89,83.31,83.75,191600,83.75
2011-06-10,84.83,84.92,84.19,84.59,126000,84.59
2011-06-09,84.71,85.19,84.17,85.09,106600,85.09
2011-06-08,84.98,84.99,84.31,84.57,85000,84.57
2011-06-07,85.03,85.42,84.32,84.88,142100,84.88
2011-06-06,85.77,85.77,84.46,84.71,87300,84.71
2011-06-03,85.58,86.66,85.25,86.03,101200,86.03
2011-06-02,86.62,86.85,85.80,86.64,85800,86.64
2011-06-01,87.65,87.99,86.42,86.50,173600,86.50
2011-05-31,87.34,87.82,86.52,87.72,187600,87.72
2011-05-27,86.62,87.07,86.35,86.72,81500,86.72
2011-05-26,84.65,86.35,84.60,86.24,203200,86.24
2011-05-25,84.75,85.17,84.42,84.89,109600,84.89
2011-05-24,85.36,85.64,84.61,84.94,55200,84.94
2011-05-23,86.06,86.06,84.90,85.14,90500,85.14
2011-05-20,87.62,88.11,86.55,87.36,59500,87.36
2011-05-19,88.25,88.33,87.21,87.88,80700,87.88
2011-05-18,85.99,88.03,85.60,88.02,91300,88.02
2011-05-17,85.19,85.87,84.83,85.79,97600,85.79
2011-05-16,87.06,87.72,85.24,85.34,145600,85.34
2011-05-13,88.67,88.87,87.48,87.53,53600,87.53
2011-05-12,87.63,88.76,87.45,88.57,47000,88.57
2011-05-11,89.11,89.18,87.72,87.96,79000,87.96
2011-05-10,88.16,89.44,87.92,89.37,67000,89.37
2011-05-09,86.70,88.06,86.46,87.78,156000,87.78
2011-05-06,86.40,87.28,86.20,86.72,212600,86.72
2011-05-05,85.74,86.77,85.15,85.86,205100,85.86
2011-05-04,87.67,88.00,85.95,86.02,282000,86.02
2011-05-03,87.44,87.87,86.72,87.56,147000,87.56
2011-05-02,88.70,89.21,85.98,87.65,253000,87.65
2011-04-29,86.76,88.89,86.35,88.24,277000,88.24
2011-04-28,86.87,87.30,86.55,86.72,128900,86.72
2011-04-27,86.56,87.19,86.18,87.11,151100,87.11
2011-04-26,87.06,87.19,86.35,86.47,224100,86.47
2011-04-25,88.06,88.11,86.90,87.04,119500,87.04
2011-04-21,87.68,88.31,87.37,88.22,172800,88.22
2011-04-20,86.54,87.24,86.10,87.22,154900,87.22
2011-04-19,85.43,85.51,84.97,85.50,247600,85.50
2011-04-18,85.03,85.51,84.61,85.10,187300,85.10
2011-04-15,85.97,86.00,84.92,85.88,268200,85.88
2011-04-14,85.28,86.08,84.91,85.96,110900,85.96
2011-04-13,85.88,86.41,85.28,86.00,119400,86.00
2011-04-12,85.33,86.07,85.18,85.67,148000,85.67
2011-04-11,86.05,86.49,85.22,85.61,170800,85.61
2011-04-08,86.97,87.11,85.70,86.10,193500,86.10
2011-04-07,86.76,87.07,86.17,86.58,238700,86.58
2011-04-06,88.19,88.75,86.48,86.90,494000,86.90
2011-04-05,88.88,89.53,87.85,88.00,286600,88.00
2011-04-04,89.02,89.73,89.02,89.38,224500,89.38
2011-04-01,89.02,89.58,88.64,89.20,420100,89.20
2011-03-31,88.80,88.94,88.39,88.75,217100,88.75
2011-03-30,88.87,89.01,88.53,88.94,267200,88.94
2011-03-29,88.13,89.00,87.45,88.42,175400,88.42
2011-03-28,88.49,89.19,88.13,88.13,295400,88.13
2011-03-25,89.26,89.44,88.58,88.70,335900,88.70
2011-03-24,89.50,89.82,88.92,89.24,405300,89.24
2011-03-23,88.26,89.51,88.14,89.38,116700,89.38
2011-03-22,88.51,88.80,88.25,88.28,152200,88.28
2011-03-21,87.64,88.91,87.42,88.62,185900,88.62
2011-03-18,85.80,86.86,84.31,86.52,361000,86.52
2011-03-17,86.20,86.40,85.69,85.79,130000,85.79
2011-03-16,86.22,86.48,84.56,84.95,261200,84.95
2011-03-15,86.59,87.11,86.15,86.33,408700,86.33
2011-03-14,88.59,89.87,88.53,88.62,343500,88.62
2011-03-11,88.06,89.70,88.00,89.53,152900,89.53
2011-03-10,88.80,89.24,87.81,88.28,273500,88.28
2011-03-09,88.93,89.87,88.67,89.22,196900,89.22
2011-03-08,87.98,89.36,87.63,89.08,170500,89.08
2011-03-07,87.13,88.84,87.13,88.00,281100,88.00
2011-03-04,85.53,87.56,85.42,87.03,311000,87.03
2011-03-03,84.30,86.04,83.97,85.90,267000,85.90
2011-03-02,82.34,84.20,82.34,83.87,127700,83.87
2011-03-01,84.16,84.16,81.95,82.48,277300,82.48
2011-02-28,83.96,84.01,83.02,83.70,171300,83.70
2011-02-25,82.60,84.19,82.60,84.17,125300,84.17
2011-02-24,83.20,83.50,81.90,82.58,161300,82.58
2011-02-23,83.43,83.67,82.82,83.33,221700,83.33
2011-02-22,83.09,83.92,82.60,83.59,197800,83.59
2011-02-18,84.37,84.51,83.50,83.97,155700,83.97
2011-02-17,83.72,84.99,83.68,84.35,247800,84.35
2011-02-16,83.00,84.14,83.00,84.14,149900,84.14
2011-02-15,82.42,83.10,82.42,83.00,276900,83.00
2011-02-14,81.92,83.30,81.92,83.11,178000,83.11
2011-02-11,81.93,83.00,81.72,82.31,572500,82.31
2011-02-10,81.99,82.69,81.71,82.46,106700,82.46
2011-02-09,82.60,82.98,82.26,82.56,120500,82.56
2011-02-08,82.74,82.90,82.31,82.68,134600,82.68
2011-02-07,80.81,82.89,80.81,82.89,242000,82.89
2011-02-04,81.01,81.26,80.67,81.21,239200,81.21
2011-02-03,80.74,80.99,80.04,80.87,352500,80.87
2011-02-02,80.55,81.99,79.57,81.16,480000,81.16
2011-02-01,81.53,82.58,80.78,82.46,213400,82.46
2011-01-31,80.99,82.37,80.96,81.96,144800,81.96
2011-01-28,82.33,82.46,81.01,81.01,120600,81.01
2011-01-27,83.13,83.40,81.65,82.41,144400,82.41
2011-01-26,82.31,85.49,82.23,83.20,502100,83.20
2011-01-25,81.31,82.22,80.49,82.22,221600,82.22
2011-01-24,79.79,81.62,79.50,81.43,260500,81.43
2011-01-21,79.50,79.73,79.25,79.68,183500,79.68
2011-01-20,78.23,79.23,78.03,79.14,144500,79.14
2011-01-19,78.92,79.50,78.87,78.96,138800,78.96
2011-01-18,78.70,79.39,78.63,79.14,117600,79.14
2011-01-14,78.94,79.00,78.28,78.77,225500,78.77
2011-01-13,79.49,79.51,79.03,79.15,117300,79.15
2011-01-12,79.52,79.61,78.88,79.54,154500,79.54
2011-01-11,79.09,79.69,78.66,79.00,200000,79.00
2011-01-10,79.01,79.04,78.07,78.93,186200,78.93
2011-01-07,80.00,80.37,75.31,79.39,806600,79.39
2011-01-06,81.04,81.92,80.39,80.51,181200,80.51
2011-01-05,79.76,81.49,79.56,81.36,172800,81.36
2011-01-04,81.60,81.92,79.69,80.08,193900,80.08
2011-01-03,80.96,81.90,80.95,81.50,176000,81.50
2010-12-31,80.36,80.93,80.16,80.39,45500,80.39
2010-12-30,80.41,80.92,80.29,80.36,38800,80.36
2010-12-29,79.98,80.80,79.98,80.31,74700,80.31
2010-12-28,80.05,80.05,78.94,79.94,120400,79.94
2010-12-27,79.62,79.98,79.16,79.98,45300,79.98
2010-12-23,79.93,80.18,79.69,79.74,50400,79.74
2010-12-22,80.86,81.26,79.97,80.12,103900,80.12
2010-12-21,79.20,80.70,78.74,80.67,134500,80.67
2010-12-20,79.86,79.93,78.49,78.92,106800,78.92
2010-12-17,78.52,80.04,78.22,79.62,194600,79.62
2010-12-16,77.35,78.29,77.32,78.14,137800,78.14
2010-12-15,78.59,78.79,77.22,77.24,139400,77.24
2010-12-14,78.02,78.93,77.98,78.59,130900,78.59
2010-12-13,77.94,80.56,77.90,78.07,160100,78.07
2010-12-10,77.25,77.61,77.01,77.58,72500,77.58
2010-12-09,77.37,77.48,76.61,77.21,105300,77.21
2010-12-08,77.49,77.49,76.51,77.20,97500,77.20
2010-12-07,76.86,77.77,76.86,77.30,125000,77.30
2010-12-06,76.03,76.59,75.99,76.50,115700,76.50
2010-12-03,74.91,76.67,74.42,76.23,234200,76.23
2010-12-02,73.32,74.87,73.32,74.85,173100,74.85
2010-12-01,73.07,73.41,72.05,73.39,397500,73.39
2010-11-30,72.54,72.64,71.77,72.32,398000,72.32
2010-11-29,71.70,73.21,71.70,72.95,259200,72.95
2010-11-26,72.17,72.74,71.71,71.97,73600,71.97
