Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,73.61,80.73,72.97,79.99,205100,79.99
2011-09-06,76.99,77.64,73.26,74.28,151900,74.28
2011-08-29,75.69,78.72,74.79,75.31,147200,75.31
2011-08-22,72.23,75.35,70.46,74.65,169800,74.65
2011-08-15,73.36,74.92,68.85,70.48,214300,70.48
2011-08-08,69.25,73.39,68.15,72.61,617900,72.61
2011-08-01,74.53,74.88,67.88,71.00,477800,71.00
2011-07-25,80.64,80.77,73.60,73.69,330400,73.69
2011-07-18,80.08,81.79,78.88,81.23,239500,81.23
2011-07-11,83.00,83.55,79.80,80.23,311400,80.23
2011-07-05,83.57,85.17,83.23,84.07,122800,84.07
2011-06-27,81.93,84.03,81.16,83.88,210500,83.88
2011-06-20,84.13,89.59,80.80,81.78,439700,81.78
2011-06-13,84.40,84.89,82.50,84.19,222000,84.19
2011-06-06,85.77,85.77,84.17,84.59,109400,84.59
2011-05-31,87.34,87.99,85.25,86.03,137000,86.03
2011-05-23,86.06,87.07,84.42,86.72,108000,86.72
2011-05-16,87.06,88.33,84.83,87.36,94900,87.36
2011-05-09,86.70,89.44,86.46,87.53,80500,87.53
2011-05-02,88.70,89.21,85.15,86.72,219900,86.72
2011-04-25,88.06,88.89,86.18,88.24,180100,88.24
2011-04-18,85.03,88.31,84.61,88.22,190600,88.22
2011-04-11,86.05,86.49,84.91,85.88,163400,85.88
2011-04-04,89.02,89.73,85.70,86.10,287400,86.10
2011-03-28,88.49,89.58,87.45,89.20,275000,89.20
2011-03-21,87.64,89.82,87.42,88.70,239200,88.70
2011-03-14,88.59,89.87,84.31,86.52,300800,86.52
2011-03-07,87.13,89.87,87.13,89.53,214900,89.53
2011-02-28,83.96,87.56,81.95,87.03,230800,87.03
2011-02-22,83.09,84.19,81.90,84.17,176500,84.17
2011-02-14,81.92,84.99,81.92,83.97,201600,83.97
2011-02-07,80.81,83.00,80.81,82.31,235200,82.31
2011-01-31,80.99,82.58,79.57,81.21,285900,81.21
2011-01-24,79.79,85.49,79.50,81.01,249800,81.01
2011-01-18,78.70,79.73,78.03,79.68,146100,79.68
2011-01-10,79.01,79.69,78.07,78.77,176700,78.77
2011-01-03,80.96,81.92,75.31,79.39,306100,79.39
2010-12-27,79.62,80.93,78.94,80.39,64900,80.39
2010-12-20,79.86,81.26,78.49,79.74,98900,79.74
2010-12-13,77.94,80.56,77.22,79.62,152500,79.62
2010-12-06,76.03,77.77,75.99,77.58,103200,77.58
2010-11-29,71.70,76.67,71.70,76.23,292400,76.23
2010-11-22,71.82,72.74,71.49,71.97,135900,71.97
2010-11-15,72.46,72.92,71.17,72.20,116500,72.20
2010-11-08,74.86,74.86,71.83,72.37,208100,72.37
2010-11-01,72.26,75.74,72.26,75.28,168600,75.28
2010-10-25,72.21,72.60,70.27,72.24,90400,72.24
2010-10-18,71.60,72.47,70.85,71.99,221400,71.99
2010-10-11,68.19,71.96,67.86,71.60,219700,71.60
2010-10-04,68.55,68.91,67.49,68.37,133900,68.37
2010-09-27,67.60,68.96,66.01,68.96,198800,68.96
2010-09-20,65.20,67.95,64.63,67.82,205600,67.82
2010-09-13,63.86,65.12,63.56,64.94,182600,64.94
2010-09-07,64.50,64.66,63.10,63.58,227800,63.58
2010-08-30,62.60,64.78,61.47,64.75,198100,64.75
2010-08-23,62.50,63.20,61.57,62.19,152500,62.19
2010-08-16,61.01,62.93,60.75,62.57,116300,62.57
2010-08-09,64.01,64.67,60.81,61.32,165000,61.32
2010-08-02,63.72,64.25,63.23,63.84,142100,63.84
2010-07-26,62.00,63.59,61.73,63.31,272600,63.31
2010-07-19,59.30,61.97,58.24,61.97,196600,61.97
2010-07-12,59.13,60.71,58.70,59.08,216100,59.08
2010-07-06,58.66,59.97,57.76,59.36,232600,59.36
2010-06-28,57.47,59.14,56.65,58.35,409300,58.35
2010-06-21,59.44,60.00,56.51,57.37,468800,57.37
2010-06-14,54.52,59.78,53.97,59.50,306200,59.50
2010-06-07,52.00,54.43,51.49,54.41,314700,54.41
2010-06-01,51.61,53.12,50.81,52.03,337300,52.03
2010-05-24,49.57,54.01,48.22,51.76,261800,51.76
2010-05-17,52.68,53.72,49.24,49.79,301400,49.79
2010-05-10,52.79,53.99,51.41,52.61,372500,52.61
2010-05-03,51.77,53.23,50.41,50.55,437400,50.55
2010-04-26,52.75,53.02,50.59,50.67,212700,50.67
2010-04-19,53.02,54.31,52.52,52.92,169600,52.92
2010-04-12,52.33,53.73,52.02,53.38,288400,53.38
2010-04-05,53.06,53.92,51.50,52.26,182100,52.26
2010-03-29,52.95,53.85,52.87,53.14,273100,53.14
2010-03-22,52.50,53.29,51.60,52.94,370800,52.94
2010-03-15,56.45,56.58,52.83,53.00,329900,53.00
2010-03-08,54.34,56.73,54.27,56.69,172900,56.69
2010-03-01,51.90,55.28,51.76,54.50,190900,54.50
2010-02-22,51.61,52.64,51.16,51.80,223000,51.80
2010-02-16,51.44,52.10,51.09,51.73,122900,51.73
2010-02-08,50.40,51.32,49.46,51.32,178800,51.32
2010-02-01,51.42,53.10,49.85,50.61,201300,50.61
2010-01-25,52.49,52.61,51.16,51.44,109700,51.44
2010-01-19,54.20,54.51,52.23,52.37,183300,52.37
2010-01-11,55.27,55.66,54.14,54.20,129900,54.20
2010-01-04,55.00,55.70,53.00,55.20,280300,55.20
2009-12-28,53.78,55.61,53.78,54.81,100100,54.81
2009-12-21,52.51,54.96,52.11,54.03,118400,54.03
2009-12-14,52.39,52.88,51.27,52.63,98500,52.63
2009-12-07,51.85,52.78,50.73,52.14,133500,52.14
2009-11-30,50.81,53.45,49.83,52.01,360500,52.01
2009-11-23,52.55,52.93,50.33,50.65,168700,50.65
2009-11-16,53.08,53.97,51.97,52.15,149100,52.15
2009-11-09,53.82,54.93,52.38,53.13,111800,53.13
2009-11-02,52.11,53.83,51.11,53.75,233600,53.75
2009-10-26,53.40,54.21,51.24,51.76,222500,51.76
2009-10-19,53.12,54.75,52.06,53.59,211500,53.59
2009-10-12,52.08,54.09,51.63,53.01,197200,53.01
2009-10-05,50.26,52.61,50.00,52.18,114700,52.18
2009-09-28,51.19,52.15,49.98,50.37,243600,50.37
2009-09-21,52.01,53.27,51.17,51.19,341700,51.19
2009-09-14,52.53,54.48,50.30,52.76,367600,52.76
2009-09-08,49.51,53.38,47.25,52.73,225100,52.73
2009-08-31,49.19,49.60,47.55,49.32,174900,49.32
2009-08-24,49.66,50.25,48.58,49.40,200200,49.40
2009-08-17,46.58,50.11,46.03,49.89,208200,49.89
2009-08-10,48.03,48.44,46.52,47.23,217100,47.23
2009-08-03,50.00,50.15,47.63,48.32,219700,48.32
2009-07-27,49.60,50.43,49.12,49.94,184300,49.94
2009-07-20,47.86,50.00,47.17,49.79,145600,49.79
2009-07-13,45.55,48.55,44.65,47.36,151800,47.36
2009-07-06,47.00,47.00,44.65,45.61,202800,45.61
2009-06-29,49.35,50.05,46.85,46.85,343600,46.85
2009-06-22,46.28,50.00,46.17,49.13,488500,49.13
2009-06-15,50.02,50.24,46.55,46.70,536100,46.70
2009-06-08,49.10,51.45,47.51,50.76,294700,50.76
2009-06-01,48.61,50.15,48.13,49.54,319200,49.54
2009-05-26,46.71,49.94,46.53,48.00,837100,48.00
2009-05-18,45.49,48.47,45.34,46.69,450000,46.69
2009-05-11,41.78,45.00,41.11,44.84,359600,44.84
2009-05-04,41.38,42.47,39.88,42.14,392600,42.14
2009-04-27,41.09,42.42,40.54,41.41,251700,41.41
2009-04-20,42.27,43.00,39.76,41.54,280100,41.54
2009-04-13,42.05,43.00,41.38,42.89,149000,42.89
2009-04-06,42.28,42.56,40.09,42.06,257100,42.06
2009-03-30,42.42,43.66,40.25,43.11,305300,43.11
2009-03-23,41.20,43.46,40.56,42.64,304300,42.64
2009-03-16,37.95,41.52,36.74,40.05,504200,40.05
2009-03-09,36.75,38.89,36.15,37.80,415700,37.80
2009-03-02,40.10,40.35,36.52,37.00,292200,37.00
2009-02-23,41.91,42.29,38.47,40.73,346600,40.73
2009-02-17,42.95,43.19,40.05,41.73,302900,41.73
2009-02-09,45.90,46.81,42.55,43.95,296300,43.95
2009-02-02,42.90,47.10,42.88,46.01,259300,46.01
2009-01-26,43.99,45.96,43.20,43.80,221900,43.80
2009-01-20,45.00,45.46,43.24,44.04,273400,44.04
2009-01-12,46.00,47.50,43.90,45.38,447100,45.38
2009-01-05,36.87,48.99,36.32,45.85,742400,45.85
2009-01-02,37.42,37.64,36.45,36.82,405600,36.82
