Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,21.75,22.06,21.63,21.93,57263545,21.93
2011-09-16,21.65,22.09,21.43,21.97,90738900,21.97
2011-09-15,21.31,21.67,21.22,21.54,53239300,21.54
2011-09-14,20.89,21.40,20.71,21.12,58352700,21.12
2011-09-13,20.32,20.90,20.21,20.76,60222400,20.76
2011-09-12,19.53,20.29,19.52,20.28,53318000,20.28
2011-09-09,19.75,20.22,19.66,19.70,61406600,19.70
2011-09-08,20.05,20.30,19.81,19.90,42985100,19.90
2011-09-07,20.02,20.14,19.86,20.08,46090100,20.08
2011-09-06,19.25,19.58,19.16,19.54,44255600,19.54
2011-09-02,19.80,19.93,19.57,19.64,42807600,19.64
2011-09-01,20.28,20.35,19.99,19.99,40781200,19.99
2011-08-31,20.23,20.41,20.02,20.13,55288500,20.13
2011-08-30,20.19,20.35,19.92,20.24,39098800,20.24
2011-08-29,19.94,20.31,19.83,20.30,40646100,20.30
2011-08-26,19.43,19.97,19.27,19.77,53819400,19.77
2011-08-25,19.83,19.88,19.40,19.42,51597200,19.42
2011-08-24,19.58,19.88,19.37,19.80,53521400,19.80
2011-08-23,19.36,19.71,19.30,19.71,54210800,19.71
2011-08-22,19.55,19.68,19.26,19.38,48904000,19.38
2011-08-19,19.61,19.96,19.16,19.19,79157400,19.19
2011-08-18,20.15,20.18,19.55,19.77,92196400,19.77
2011-08-17,20.58,20.98,20.40,20.67,51304900,20.67
2011-08-16,20.74,21.07,20.50,20.79,44763700,20.79
2011-08-15,20.75,20.93,20.63,20.89,46288900,20.89
2011-08-12,20.78,20.91,20.56,20.65,54183200,20.65
2011-08-11,20.14,21.00,20.07,20.76,75327100,20.76
2011-08-10,20.27,20.51,19.77,19.93,95403800,19.93
2011-08-09,20.28,20.62,19.52,20.60,116628500,20.60
2011-08-08,20.24,20.87,20.08,20.11,137491600,20.11
2011-08-05,21.00,21.20,20.21,20.79,101800300,20.79
2011-08-04,21.47,21.81,20.84,20.85,86743900,20.85
2011-08-03,21.60,21.97,21.35,21.81,65640300,21.81
2011-08-02,22.01,22.19,21.71,21.72,56976600,21.51
2011-08-01,22.57,22.69,21.90,22.24,51674300,22.02
2011-07-29,22.35,22.62,22.22,22.33,51897500,22.11
2011-07-28,22.47,22.88,22.33,22.55,36736700,22.33
2011-07-27,22.65,22.75,22.35,22.53,59198500,22.31
2011-07-26,23.03,23.15,22.83,22.90,45573600,22.68
2011-07-25,22.94,23.28,22.80,23.03,40716100,22.81
2011-07-22,22.94,23.25,22.78,23.13,45085500,22.91
2011-07-21,22.35,22.88,22.17,22.81,80125400,22.59
2011-07-20,23.10,23.22,22.90,22.99,57158800,22.77
2011-07-19,22.44,23.10,22.44,23.06,55706900,22.84
2011-07-18,22.29,22.43,22.08,22.28,45195400,22.06
2011-07-15,22.27,22.56,22.20,22.37,49959400,22.15
2011-07-14,22.56,22.70,22.21,22.27,47571900,22.05
2011-07-13,22.57,22.73,22.32,22.48,43265500,22.26
2011-07-12,22.62,22.72,22.24,22.45,51048100,22.23
2011-07-11,22.84,22.98,22.73,22.85,34663100,22.63
2011-07-08,22.96,23.20,22.81,23.09,35838800,22.87
2011-07-07,22.89,23.39,22.86,23.23,53107000,23.01
2011-07-06,22.45,22.82,22.44,22.75,43269800,22.53
2011-07-05,22.69,22.69,22.36,22.44,33358200,22.22
2011-07-01,22.21,22.58,22.10,22.53,35837100,22.31
2011-06-30,21.48,22.22,21.48,22.16,53930200,21.95
2011-06-29,21.53,21.57,21.31,21.39,31660400,21.18
2011-06-28,21.42,21.54,21.26,21.49,36515100,21.28
2011-06-27,21.17,21.48,21.00,21.34,45183400,21.13
2011-06-24,21.61,21.74,21.18,21.20,124407700,21.00
2011-06-23,21.20,21.72,21.06,21.71,54189000,21.50
2011-06-22,21.54,21.61,21.38,21.40,37679600,21.19
2011-06-21,21.46,21.69,21.22,21.65,55384300,21.44
2011-06-20,21.19,21.42,21.17,21.33,37358400,21.12
2011-06-17,21.68,21.68,21.07,21.19,96504000,20.99
2011-06-16,21.46,21.79,21.27,21.42,53634800,21.21
2011-06-15,21.68,21.83,21.40,21.42,48556700,21.21
2011-06-14,21.60,21.92,21.55,21.82,51995000,21.61
2011-06-13,21.39,21.60,21.28,21.39,43553000,21.18
2011-06-10,21.73,21.80,21.26,21.38,53233300,21.17
2011-06-09,21.87,22.01,21.70,21.76,36986100,21.55
2011-06-08,21.96,22.13,21.73,21.82,49513200,21.61
2011-06-07,22.04,22.44,22.00,22.06,60300000,21.85
2011-06-06,21.74,21.95,21.66,21.83,49667100,21.62
2011-06-03,21.79,22.10,21.67,21.73,53937700,21.52
2011-06-02,22.01,22.33,21.86,22.09,53445700,21.88
2011-06-01,22.45,22.48,21.98,22.00,56011400,21.79
2011-05-31,22.45,22.64,22.32,22.51,59575300,22.29
2011-05-27,22.46,22.52,22.11,22.21,67162300,22.00
2011-05-26,22.62,22.64,22.45,22.50,44432200,22.28
2011-05-25,22.68,22.83,22.41,22.68,49375900,22.46
2011-05-24,22.89,22.91,22.59,22.61,51736300,22.39
