Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,19.53,22.09,19.52,21.97,63174200,21.97
2011-09-06,19.25,20.30,19.16,19.70,48684300,19.70
2011-08-29,19.94,20.41,19.57,19.64,43724400,19.64
2011-08-22,19.55,19.97,19.26,19.77,52410500,19.77
2011-08-15,20.75,21.07,19.16,19.19,62742200,19.19
2011-08-08,20.24,21.00,19.52,20.65,95806800,20.65
2011-08-01,22.57,22.69,20.21,20.79,72567000,20.79
2011-07-25,22.94,23.28,22.22,22.33,46824400,22.11
2011-07-18,22.29,23.25,22.08,23.13,56654400,22.91
2011-07-11,22.84,22.98,22.20,22.37,45301600,22.15
2011-07-05,22.69,23.39,22.36,23.09,41393400,22.87
2011-06-27,21.17,22.58,21.00,22.53,40625200,22.31
2011-06-20,21.19,21.74,21.06,21.20,61803800,21.00
2011-06-13,21.39,21.92,21.07,21.19,58848700,20.99
2011-06-06,21.74,22.44,21.26,21.38,49939900,21.17
2011-05-31,22.45,22.64,21.67,21.73,55742500,21.52
2011-05-23,22.92,23.03,22.11,22.21,55521300,22.00
2011-05-16,23.32,23.96,23.08,23.22,77526100,23.00
2011-05-09,23.13,23.83,22.65,23.41,68962000,23.18
2011-05-02,23.02,23.86,22.67,23.25,102775100,23.03
2011-04-25,21.37,23.19,21.33,23.15,93323700,22.75
2011-04-18,19.53,21.49,19.45,21.46,95025600,21.09
2011-04-11,20.07,20.20,19.41,19.75,46248800,19.41
2011-04-04,19.79,20.20,19.36,20.02,57268500,19.67
2011-03-28,20.44,20.66,19.56,19.72,64273900,19.38
2011-03-21,19.90,20.60,19.88,20.37,45827200,20.02
2011-03-14,20.66,20.88,19.71,19.93,69456100,19.58
2011-03-07,21.69,21.74,20.61,20.87,57972700,20.51
2011-02-28,21.75,22.08,21.35,21.56,58347700,21.19
2011-02-22,21.95,22.19,21.01,21.86,64034000,21.48
2011-02-14,21.63,22.21,21.28,22.14,51246900,21.76
2011-02-07,21.74,21.86,21.35,21.76,47367600,21.38
2011-01-31,21.55,21.71,21.03,21.68,55588500,21.30
2011-01-24,21.03,21.94,20.93,21.46,65032200,20.91
2011-01-18,21.03,21.20,20.62,20.82,54619800,20.29
2011-01-10,20.71,21.42,20.57,21.08,85647600,20.54
2011-01-03,21.01,21.21,20.27,20.66,77343100,20.13
2010-12-27,20.75,21.08,20.65,21.03,19048400,20.49
2010-12-20,21.39,21.43,20.70,20.84,36370400,20.31
