Date,Open,High,Low,Close,Volume
16-Sep-11,20.78,20.88,20.25,20.32,3450000
15-Sep-11,21.90,21.95,20.45,20.70,18159139
14-Sep-11,21.79,22.04,21.10,21.59,12021649
13-Sep-11,21.80,22.08,21.24,21.48,9468824
12-Sep-11,20.86,21.77,20.74,21.74,7905872
9-Sep-11,21.28,21.94,20.86,21.46,12484503
8-Sep-11,21.67,22.20,21.36,21.58,8026411
7-Sep-11,20.50,21.75,20.42,21.54,9327719
6-Sep-11,19.79,20.03,19.37,19.97,6163169
2-Sep-11,20.20,20.20,20.20,20.20,0
1-Sep-11,20.98,21.91,20.98,21.14,10064823
31-Aug-11,22.14,22.14,20.79,20.93,13837523
30-Aug-11,21.65,22.06,21.40,21.83,6435547
29-Aug-11,21.22,21.93,21.04,21.90,4940617
26-Aug-11,20.17,21.01,19.77,20.90,6837427
25-Aug-11,21.08,21.17,20.26,20.36,7330630
24-Aug-11,20.79,21.18,20.30,21.02,7564651
23-Aug-11,20.00,20.90,19.80,20.90,7006630
22-Aug-11,20.13,20.22,19.66,19.72,5441828
19-Aug-11,19.82,20.29,19.63,19.73,8513999
18-Aug-11,20.96,20.96,19.71,19.93,15963236
17-Aug-11,22.18,22.40,21.54,21.69,7606054
16-Aug-11,22.31,22.39,21.78,22.08,6352484
15-Aug-11,21.80,22.48,21.79,22.47,6633078
12-Aug-11,22.27,22.41,21.73,22.18,12034378
11-Aug-11,20.90,22.57,20.87,22.13,21758505
10-Aug-11,20.96,21.57,20.59,20.67,14105588
9-Aug-11,20.77,21.85,20.18,21.52,21808547
8-Aug-11,21.06,21.74,20.04,20.16,19587737
5-Aug-11,22.56,23.01,21.76,22.23,17990363
4-Aug-11,23.08,23.50,22.00,22.15,17526239
3-Aug-11,22.80,23.65,22.40,23.59,16590702
2-Aug-11,22.84,23.39,22.75,22.76,11838032
1-Aug-11,23.43,23.64,22.81,23.02,15949458
29-Jul-11,23.33,23.94,23.14,23.39,17089992
