Date,Open,High,Low,Close,Volume
16-Sep-11,20.86,22.08,20.25,20.32,51005484
9-Sep-11,19.79,22.20,19.37,21.46,36001802
2-Sep-11,21.20,22.10,20.20,20.20,35278510
26-Aug-11,20.13,21.18,19.66,20.90,34181166
19-Aug-11,21.80,22.48,19.63,19.73,45068851
12-Aug-11,21.06,22.57,20.04,22.18,89294755
5-Aug-11,23.43,23.65,21.76,22.23,79894794
29-Jul-11,30.92,32.17,23.14,23.39,131161924
22-Jul-11,30.42,31.70,29.75,31.27,45500566
15-Jul-11,31.54,32.06,30.14,30.63,35759535
8-Jul-11,32.12,33.11,31.22,32.06,32914591
1-Jul-11,29.80,31.97,29.50,31.97,33681889
24-Jun-11,29.26,31.30,29.03,30.02,42860108
17-Jun-11,30.92,30.92,29.19,29.33,63258155
10-Jun-11,32.20,32.95,30.67,30.77,59063971
3-Jun-11,36.96,37.03,32.15,32.33,63451006
27-May-11,38.21,38.37,36.05,37.05,32793027
20-May-11,39.77,40.37,38.08,38.86,24614269
13-May-11,37.16,40.29,36.91,39.63,42027661
6-May-11,38.27,38.34,36.75,37.14,28965820
29-Apr-11,39.47,40.40,38.14,38.33,26469526
21-Apr-11,37.92,40.08,36.48,40.08,36955227
15-Apr-11,38.47,38.91,37.47,38.38,30571418
8-Apr-11,41.32,41.58,37.97,38.32,40151292
1-Apr-11,40.97,42.27,39.67,41.26,26705559
25-Mar-11,39.66,41.36,38.85,40.90,31702507
18-Mar-11,42.50,43.60,39.96,40.26,42234174
11-Mar-11,44.59,45.01,41.03,42.89,41066409
4-Mar-11,43.92,44.98,43.01,44.11,34498797
25-Feb-11,43.21,44.11,40.46,43.90,33188480
18-Feb-11,43.00,44.00,43.00,44.00,28268044
11-Feb-11,39.97,43.70,39.75,43.41,52198306
4-Feb-11,36.20,40.11,36.10,40.06,29311404
28-Jan-11,34.95,37.59,34.34,36.28,51122333
21-Jan-11,38.47,38.70,34.20,34.87,33512179
14-Jan-11,37.43,38.73,36.93,38.73,12745331
7-Jan-11,37.24,38.48,36.80,37.59,19144771
31-Dec-10,36.94,37.34,36.77,36.92,10287376
23-Dec-10,36.52,37.94,36.50,37.01,13267969
17-Dec-10,35.98,36.95,35.49,36.49,20649576
10-Dec-10,34.30,36.00,33.95,35.88,27894176
3-Dec-10,33.74,35.10,33.38,34.32,23077347
26-Nov-10,34.57,34.83,33.45,34.13,12912018
19-Nov-10,35.70,35.84,32.88,34.73,37668233
