Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,28.96,29.8,28.86,29.59,51731259,29.59
2011-09-23,28.96,29.80,28.86,29.59,51720500,29.59
2011-09-22,29.35,29.63,28.53,29.27,86285600,29.27
2011-09-21,32.23,32.45,30.26,30.34,57389200,30.34
2011-09-20,32.77,32.80,32.24,32.25,34085100,32.25
2011-09-19,32.69,32.89,32.13,32.49,33154800,32.49
2011-09-16,34.05,34.27,33.02,33.43,52683800,33.43
2011-09-15,33.37,33.82,33.13,33.81,35847800,33.81
2011-09-14,32.73,33.19,31.86,32.80,44442500,32.80
2011-09-13,32.81,33.41,32.17,32.49,50137600,32.49
2011-09-12,31.35,32.42,31.21,32.42,53377600,32.42
2011-09-09,33.08,33.20,31.93,32.08,67187400,32.08
2011-09-08,34.44,34.91,33.44,33.51,44815300,33.51
2011-09-07,34.10,34.98,33.87,34.82,36145900,34.82
2011-09-06,33.11,33.50,32.78,33.44,57071200,33.44
2011-09-02,35.06,35.25,34.51,34.63,41677300,34.63
2011-09-01,37.62,37.82,36.29,36.30,36862300,36.30
2011-08-31,37.42,38.03,37.22,37.56,30051100,37.56
2011-08-30,37.40,37.72,36.75,37.06,28818700,37.06
2011-08-29,36.82,37.64,36.47,37.64,27943900,37.64
2011-08-26,35.28,36.48,34.82,36.21,35114200,36.21
2011-08-25,37.79,38.57,35.42,35.72,55387600,35.72
2011-08-24,34.82,36.01,34.68,35.83,41959800,35.83
2011-08-23,33.29,34.80,32.31,34.78,55807900,34.78
2011-08-22,35.12,35.18,33.35,33.41,50971400,33.41
2011-08-19,34.76,35.50,34.26,34.35,52960800,34.35
2011-08-18,35.27,35.47,34.50,35.19,57130300,35.19
2011-08-17,36.46,37.26,36.32,36.57,30131400,36.57
2011-08-16,36.27,36.57,35.77,36.03,42266600,36.03
2011-08-15,36.53,37.14,36.39,36.88,34827900,36.88
2011-08-12,37.13,37.85,35.58,35.91,44072800,35.91
2011-08-11,34.63,37.30,34.63,36.69,69583500,36.69
2011-08-10,35.52,35.85,33.99,34.37,83975700,34.37
2011-08-09,35.38,36.59,33.69,36.40,78985700,36.40
2011-08-08,36.23,37.72,33.69,34.06,107650300,34.06
2011-08-05,38.30,38.75,36.72,37.60,85507800,37.60
2011-08-04,39.31,39.59,37.82,37.92,59931100,37.92
2011-08-03,39.76,40.02,39.35,39.90,41110100,39.90
