Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,32.69,32.89,28.53,29.59,52527000,29.59
2011-09-12,31.35,34.27,31.21,33.43,47297800,33.43
2011-09-06,33.11,34.98,31.93,32.08,51304900,32.08
2011-08-29,36.82,38.03,34.51,34.63,33070600,34.63
2011-08-22,35.12,38.57,32.31,36.21,47848100,36.21
2011-08-15,36.53,37.26,34.26,34.35,43463400,34.35
2011-08-08,36.23,37.85,33.69,35.91,76853600,35.91
2011-08-01,41.16,41.37,36.72,37.60,52541400,37.60
2011-07-25,41.52,41.91,39.90,40.45,28079500,40.45
2011-07-18,39.79,42.55,38.93,42.19,35845900,42.19
2011-07-11,40.19,41.24,39.24,39.98,43605800,39.98
2011-07-05,41.51,41.79,40.18,40.74,24225500,40.74
2011-06-27,39.40,41.72,39.24,41.58,35420800,41.58
2011-06-20,40.50,41.53,39.44,39.49,33511400,39.25
2011-06-13,41.67,42.44,39.70,40.80,36704900,40.55
2011-06-06,41.10,41.50,40.10,41.05,38945300,40.80
2011-05-31,43.24,43.38,40.83,41.57,36293000,41.32
2011-05-23,42.40,43.15,41.69,42.79,28908300,42.53
2011-05-16,42.97,44.35,42.65,43.13,29013000,42.87
2011-05-09,44.75,45.50,42.98,43.15,27392700,42.89
2011-05-02,45.94,46.07,44.76,45.04,26228700,44.76
2011-04-25,44.65,46.02,44.38,45.63,21467600,45.35
2011-04-18,44.27,44.97,43.53,44.68,34393600,44.41
2011-04-11,47.00,47.37,44.83,44.89,37189200,44.62
2011-04-04,46.12,47.80,46.05,46.84,24374500,46.55
2011-03-28,46.10,46.88,45.52,46.35,22501900,45.82
2011-03-21,46.28,46.38,44.77,45.86,23577800,45.33
2011-03-14,45.42,46.18,43.40,45.74,45248100,45.22
2011-03-07,45.62,47.10,44.76,45.74,28069600,45.22
2011-02-28,46.81,47.18,45.07,45.52,27805600,45.00
2011-02-22,47.20,47.27,45.21,46.68,34883900,46.14
2011-02-14,46.60,48.36,46.47,48.00,31155300,47.45
2011-02-07,44.75,46.89,44.65,46.57,32486500,46.04
2011-01-31,44.41,46.00,44.30,44.59,27486000,44.08
2011-01-24,45.21,45.88,44.26,44.54,30964600,44.03
2011-01-18,45.02,45.54,43.60,45.29,45743000,44.77
2011-01-10,43.27,45.94,43.00,44.91,46315700,44.40
2011-01-03,43.00,44.95,42.65,43.64,46906600,43.14
2010-12-27,41.82,43.12,41.80,42.42,15265700,41.89
2010-12-20,39.83,42.54,39.69,42.08,29986000,41.55
2010-12-13,41.57,41.99,39.53,39.67,37826600,39.17
2010-12-06,39.48,41.50,39.06,41.43,35167900,40.91
2010-11-29,37.47,39.67,37.11,39.61,33876300,39.11
2010-11-22,39.06,39.10,37.50,37.50,26414300,37.03
2010-11-15,39.82,40.64,38.98,39.41,32870500,38.91
2010-11-08,40.86,41.20,39.38,39.61,32071900,39.11
2010-11-01,37.61,41.34,36.83,40.94,53081700,40.42
2010-10-25,37.97,38.07,36.78,37.63,31655400,37.16
2010-10-18,37.15,38.65,36.21,37.70,46455600,37.22
2010-10-11,39.52,40.72,36.54,37.15,70358400,36.68
2010-10-04,38.98,40.32,38.71,39.31,33585500,38.81
2010-09-27,39.54,39.67,37.96,38.81,38238700,38.27
2010-09-20,40.24,41.50,38.99,39.75,32751700,39.20
2010-09-13,40.64,41.47,39.99,40.06,36188500,39.50
2010-09-07,38.73,40.32,38.22,39.76,29508400,39.21
2010-08-30,36.40,39.17,35.73,39.17,32855900,38.63
2010-08-23,37.21,37.41,35.55,36.60,36874400,36.09
2010-08-16,37.32,38.19,36.81,37.14,31101200,36.62
2010-08-09,40.55,40.56,37.22,37.50,35622000,36.98
2010-08-02,40.98,41.70,39.97,40.44,28669900,39.88
2010-07-26,39.80,41.24,39.50,40.28,30285500,39.72
2010-07-19,39.03,40.25,38.12,39.83,36758800,39.28
2010-07-12,38.86,40.84,38.60,39.00,50253500,38.46
2010-07-06,36.69,38.89,35.86,38.85,38119200,38.31
2010-06-28,39.55,39.64,35.16,35.83,45085700,35.33
2010-06-21,39.55,39.78,37.42,39.44,53106800,38.84
2010-06-14,37.97,39.27,37.23,39.18,40652100,38.58
2010-06-07,37.79,38.37,36.55,38.09,42716400,37.51
2010-06-01,39.32,39.96,37.50,37.62,40321600,37.05
2010-05-24,40.16,40.49,37.35,39.58,50554000,38.98
2010-05-17,39.93,40.62,37.02,40.05,69798900,39.44
2010-05-10,42.32,43.30,39.21,39.89,52217900,39.28
2010-05-03,42.97,43.73,39.29,40.76,54895500,40.14
2010-04-26,44.78,44.81,42.23,42.58,49681100,41.93
2010-04-19,45.23,46.39,44.03,44.94,50685700,44.26
2010-04-12,46.03,48.20,45.14,45.55,58356700,44.86
2010-04-05,45.28,46.22,44.79,45.98,26035100,45.28
2010-03-29,45.25,45.38,44.25,45.18,30965500,44.49
2010-03-22,43.07,46.05,43.04,45.02,35517700,44.29
2010-03-15,42.92,44.11,42.60,43.45,30724300,42.74
2010-03-08,42.85,43.54,42.05,43.15,33604500,42.45
2010-03-01,42.03,42.87,41.34,42.81,31260400,42.11
2010-02-22,40.40,42.31,39.70,41.97,51038800,41.29
2010-02-16,39.33,40.70,38.75,40.03,38292200,39.38
2010-02-08,38.29,39.50,37.32,38.95,42941600,38.31
2010-02-01,39.10,41.10,37.03,38.30,50637100,37.67
2010-01-25,39.76,40.04,38.07,38.94,58911600,38.30
2010-01-19,43.40,43.75,38.82,39.16,81462100,38.52
2010-01-11,45.12,45.19,42.87,43.68,45257400,42.97
2010-01-04,41.79,45.12,41.67,44.68,36474500,43.95
2009-12-28,41.85,42.13,41.23,41.67,16069400,40.94
2009-12-21,41.55,42.24,41.45,41.89,23301700,41.16
2009-12-14,41.01,41.93,40.04,40.95,42309500,40.23
2009-12-07,41.63,41.96,40.60,40.96,40063600,40.24
2009-11-30,41.56,43.09,41.22,41.74,44954100,41.01
2009-11-23,42.95,43.64,40.75,41.33,28511600,40.61
2009-11-16,43.25,43.61,42.15,42.46,28400900,41.72
2009-11-09,43.93,44.99,42.36,42.90,34759000,42.15
2009-11-02,42.18,43.93,41.52,43.48,35313600,42.72
2009-10-26,45.12,45.21,41.73,41.77,44118400,41.04
2009-10-19,46.42,46.59,44.65,45.23,30809700,44.44
2009-10-12,46.37,47.47,44.53,46.06,42769400,45.25
2009-10-05,42.48,46.44,42.35,45.85,34987300,45.05
2009-09-28,43.97,45.20,40.53,41.86,36856900,41.13
2009-09-21,44.54,46.50,43.34,43.65,34586500,42.83
2009-09-14,42.08,45.34,42.01,44.95,38570000,44.11
2009-09-08,42.79,43.39,41.85,42.50,27380700,41.71
2009-08-31,42.44,43.82,40.75,42.34,35304900,41.55
2009-08-24,43.86,44.24,42.51,42.92,32673700,42.12
2009-08-17,41.21,43.81,40.71,43.66,34021600,42.84
2009-08-10,42.03,43.22,40.94,42.45,43255100,41.66
2009-08-03,39.12,43.13,38.99,42.36,53905400,41.57
2009-07-27,37.97,39.47,37.44,38.65,33412600,37.93
2009-07-20,37.02,38.47,36.21,37.92,43811700,37.21
2009-07-13,32.87,37.20,32.43,36.89,68127100,36.20
2009-07-06,32.03,33.75,31.59,32.34,56369300,31.74
2009-06-29,34.55,34.79,32.27,32.27,37300300,31.67
2009-06-22,34.69,35.00,32.81,34.45,56758500,33.76
2009-06-15,34.88,35.12,32.18,35.00,63611900,34.30
2009-06-08,34.55,35.87,34.37,35.13,57700300,34.42
2009-06-01,37.40,37.73,33.65,34.55,90848100,33.85
2009-05-26,34.12,37.07,34.12,36.90,67469000,36.16
2009-05-18,35.71,37.68,33.67,34.41,62592100,33.72
2009-05-11,37.35,38.18,33.68,34.91,80036500,34.21
2009-05-04,33.06,38.94,32.90,38.94,98061200,38.16
2009-04-27,32.53,35.21,32.06,32.49,76236900,31.84
2009-04-20,31.78,34.50,28.87,33.38,111109200,32.71
2009-04-13,32.01,34.15,30.27,33.26,113145000,32.59
2009-04-06,28.27,33.09,26.51,32.75,90072900,32.09
2009-03-30,25.67,29.67,24.78,29.28,101578100,28.69
2009-03-23,25.30,29.60,25.13,27.40,134329000,26.80
2009-03-16,24.31,27.41,22.27,23.15,120167000,22.64
2009-03-09,15.37,24.33,15.02,23.75,141950800,23.23
2009-03-02,21.70,22.43,14.96,15.93,126909600,15.58
2009-02-23,20.90,24.18,18.96,22.85,131740200,22.35
2009-02-17,22.80,23.20,18.75,19.90,94184300,19.46
2009-02-09,26.65,27.97,24.17,24.69,70027500,24.15
2009-02-02,25.00,27.80,22.49,27.63,65938000,27.03
2009-01-26,25.00,27.77,23.74,25.51,69996000,24.95
2009-01-20,21.00,24.58,17.70,24.28,115780400,23.75
2009-01-12,25.92,27.05,20.53,22.82,100058500,22.32
2009-01-05,30.73,30.77,25.81,25.97,45015000,25.40
2009-01-02,31.19,31.64,30.47,31.35,32494900,30.66
