Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,13.87,14.15,13.68,13.8,5077220,13.8
2011-09-16,13.89,14.15,13.68,13.80,5077200,13.80
2011-09-15,13.93,13.95,13.46,13.85,3136700,13.85
2011-09-14,13.45,13.95,13.23,13.72,3628900,13.72
2011-09-13,13.52,13.71,13.26,13.33,3567600,13.33
2011-09-12,13.26,13.57,13.12,13.51,4241200,13.51
2011-09-09,13.66,13.76,13.15,13.48,6745400,13.48
2011-09-08,14.24,14.61,13.82,13.95,4691700,13.95
2011-09-07,14.07,14.40,13.83,14.32,4426700,14.32
2011-09-06,13.35,13.95,13.25,13.80,3748200,13.80
2011-09-02,13.96,14.20,13.75,13.88,3124400,13.88
2011-09-01,14.79,14.98,14.36,14.38,3631700,14.38
2011-08-31,15.09,15.29,14.64,14.70,6120400,14.70
2011-08-30,14.28,14.98,14.12,14.66,6126200,14.66
2011-08-29,13.83,14.36,13.83,14.34,5719800,14.34
2011-08-26,13.24,13.90,12.94,13.58,6646000,13.58
2011-08-25,13.25,13.67,13.12,13.40,6744200,13.40
2011-08-24,12.40,13.17,12.40,13.14,5113800,13.14
2011-08-23,12.81,12.97,12.39,12.71,6499000,12.71
2011-08-22,13.07,13.14,12.64,12.71,5297200,12.71
2011-08-19,13.17,13.47,12.68,12.72,4564000,12.72
2011-08-18,14.03,14.03,13.16,13.30,5692900,13.30
2011-08-17,14.74,14.93,14.24,14.40,3629000,14.40
2011-08-16,14.74,15.03,14.56,14.71,3846200,14.71
2011-08-15,14.17,14.97,14.12,14.92,4809000,14.92
2011-08-12,14.16,14.44,13.87,14.09,3982500,14.09
2011-08-11,13.40,14.25,13.10,14.03,6524500,14.03
2011-08-10,14.32,14.42,13.21,13.32,9984700,13.32
2011-08-09,14.39,14.73,13.65,14.68,7558800,14.68
2011-08-08,14.96,15.21,13.85,14.14,8920800,14.14
2011-08-05,15.77,16.00,15.11,15.43,8352500,15.43
2011-08-04,16.81,16.86,15.65,15.67,7177900,15.67
2011-08-03,17.00,17.30,16.35,17.06,4918400,17.06
2011-08-02,17.34,17.52,16.94,16.96,4380600,16.96
