Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,13.26,14.15,13.12,13.80,3930300,13.80
2011-09-06,13.35,14.61,13.15,13.48,4903000,13.48
2011-08-29,13.83,15.29,13.75,13.88,4944500,13.88
2011-08-22,13.07,13.90,12.39,13.58,6060000,13.58
2011-08-15,14.17,15.03,12.68,12.72,4508200,12.72
2011-08-08,14.96,15.21,13.10,14.09,7394200,14.09
2011-08-01,17.91,18.00,15.11,15.43,5548000,15.43
2011-07-25,18.42,18.53,17.32,17.69,3549200,17.69
2011-07-18,17.70,18.75,17.14,18.60,4020200,18.60
2011-07-11,18.57,18.60,17.67,17.74,2957800,17.74
2011-07-05,18.70,19.10,18.23,18.85,2774400,18.85
2011-06-27,18.00,18.84,17.82,18.76,3971200,18.72
2011-06-20,17.35,18.86,17.17,18.04,4796500,18.00
2011-06-13,16.86,17.59,16.56,17.46,3680600,17.42
2011-06-06,17.90,17.93,16.39,16.69,3897600,16.65
2011-05-31,19.02,19.05,17.87,17.98,3393400,17.94
2011-05-23,17.78,19.04,17.58,18.90,3181200,18.86
2011-05-16,17.46,18.04,17.34,17.96,2888400,17.92
2011-05-09,18.48,18.59,17.48,17.52,3883700,17.48
2011-05-02,19.13,19.13,18.06,18.53,4166600,18.49
2011-04-25,18.76,19.39,18.71,18.99,3930100,18.95
2011-04-18,18.19,19.28,18.10,18.91,4060400,18.83
2011-04-11,18.38,18.51,18.00,18.44,3405200,18.36
2011-04-04,18.31,18.79,17.67,18.37,4714600,18.29
2011-03-28,20.10,20.28,18.06,18.31,7116300,18.23
2011-03-21,19.83,20.21,19.32,20.03,2969000,19.95
2011-03-14,19.53,19.83,18.77,19.67,4745400,19.59
2011-03-07,19.88,20.43,19.31,19.77,3046400,19.69
2011-02-28,20.50,20.60,19.50,19.79,4792800,19.71
2011-02-22,20.76,20.78,18.94,20.32,5601900,20.23
2011-02-14,20.70,21.54,20.23,21.05,3849000,20.96
2011-02-07,19.62,21.27,19.56,20.91,3899800,20.82
2011-01-31,19.72,20.03,19.27,19.52,2841600,19.44
2011-01-24,19.54,20.70,19.40,19.66,4392100,19.58
2011-01-18,20.64,20.65,19.41,19.47,4358500,19.39
2011-01-10,19.31,20.70,18.75,20.63,7089500,20.50
2011-01-03,18.89,19.80,18.43,19.41,4774200,19.29
2010-12-27,18.17,18.81,18.00,18.75,2578500,18.63
2010-12-20,17.53,19.06,17.48,18.17,5479500,18.06
2010-12-13,17.84,17.95,16.94,17.32,4153700,17.21
2010-12-06,17.18,17.90,17.05,17.69,4557000,17.58
2010-11-29,14.99,17.30,14.80,17.26,6560300,17.15
2010-11-22,15.45,15.57,14.81,15.05,2699300,14.96
2010-11-15,16.16,16.18,15.31,15.57,3941200,15.47
2010-11-08,15.83,16.54,15.79,16.05,5062000,15.95
2010-11-01,14.61,16.00,14.41,15.85,9512300,15.75
2010-10-25,15.02,15.19,14.43,14.51,3335300,14.42
2010-10-18,15.35,15.43,14.11,14.82,5506200,14.73
2010-10-11,16.10,16.61,15.25,15.32,6366800,15.22
2010-10-04,15.69,16.18,15.18,16.12,3763300,15.98
2010-09-27,15.25,15.88,15.08,15.67,3570200,15.53
2010-09-20,14.78,15.50,14.50,15.23,6625700,15.10
2010-09-13,14.74,15.00,13.85,13.99,4913600,13.87
2010-09-07,14.37,14.81,14.09,14.53,3199100,14.40
2010-08-30,13.46,14.53,13.00,14.45,3479100,14.32
2010-08-23,12.81,13.54,11.93,13.47,5992800,13.35
2010-08-16,13.20,13.58,12.51,12.77,3879200,12.66
2010-08-09,14.53,14.89,13.25,13.33,4834200,13.21
2010-08-02,15.04,15.26,14.11,14.39,3495900,14.26
2010-07-26,15.05,15.75,14.32,14.77,4268500,14.64
2010-07-19,14.07,15.10,13.46,14.93,5084700,14.80
2010-07-12,14.57,15.36,13.99,14.05,5410900,13.89
2010-07-06,13.98,14.79,13.43,14.57,5444000,14.40
2010-06-28,14.72,14.83,13.30,13.65,6113100,13.49
2010-06-21,15.05,15.22,13.95,14.68,9672400,14.51
2010-06-14,15.75,15.94,14.66,14.74,4929200,14.57
2010-06-07,15.47,15.77,14.23,15.55,6763600,15.37
2010-06-01,17.02,17.16,15.35,15.47,6668900,15.29
2010-05-24,17.48,18.19,16.53,17.30,5820100,17.10
2010-05-17,18.49,19.20,16.87,17.47,9551900,17.27
2010-05-10,18.74,20.10,17.95,18.41,7220600,18.20
2010-05-03,20.11,20.96,16.79,17.49,7075200,17.29
2010-04-26,20.17,21.17,18.84,19.92,9676600,19.65
2010-04-19,17.00,21.79,16.97,20.53,8756700,20.25
2010-04-12,17.58,18.43,16.98,17.15,7396700,16.92
2010-04-05,17.36,17.73,16.78,17.52,5151400,17.28
2010-03-29,18.47,18.56,17.01,17.13,6589700,16.90
2010-03-22,15.89,18.93,15.89,18.30,9813600,18.05
2010-03-15,16.50,17.01,15.86,16.11,5179000,15.89
2010-03-08,17.10,17.47,16.22,16.33,4820400,16.11
2010-03-01,16.48,17.04,16.34,17.01,3875700,16.78
2010-02-22,17.43,17.54,15.26,16.41,8043600,16.19
2010-02-16,17.18,17.88,16.75,17.31,5657700,17.08
2010-02-08,14.75,17.19,14.52,16.96,8308800,16.73
2010-02-01,15.47,16.63,14.22,14.71,6765000,14.51
2010-01-25,15.05,15.96,14.30,15.36,6142600,15.15
2010-01-19,15.76,16.34,14.71,14.78,5312900,14.58
2010-01-11,16.07,16.84,15.85,15.96,5919200,15.70
2010-01-04,12.81,16.07,12.65,15.95,10882500,15.69
2009-12-28,13.46,13.49,12.65,12.77,2181200,12.56
2009-12-21,12.52,13.53,12.27,13.36,4509500,13.15
2009-12-14,12.05,12.74,11.75,12.45,4501700,12.25
2009-12-07,12.46,12.59,11.56,11.85,4261000,11.66
2009-11-30,12.88,13.17,12.09,12.43,4985300,12.23
2009-11-23,14.00,14.27,12.56,12.86,4329000,12.65
2009-11-16,14.74,15.00,13.49,13.67,4288300,13.45
2009-11-09,14.41,15.32,14.13,14.47,4815500,14.24
2009-11-02,12.77,14.35,12.05,14.14,7198200,13.91
2009-10-26,14.13,14.60,12.50,12.60,6972500,12.40
2009-10-19,14.80,15.19,13.40,14.13,5216500,13.90
2009-10-12,14.50,15.48,14.20,14.65,5576200,14.37
2009-10-05,13.28,14.68,12.99,14.33,6953000,14.06
2009-09-28,14.71,15.34,12.60,13.03,6504500,12.78
2009-09-21,16.11,16.41,14.40,14.59,6851500,14.31
2009-09-14,15.49,17.66,15.25,16.54,6342300,16.23
2009-09-08,15.38,16.13,14.92,15.71,5627200,15.41
2009-08-31,15.46,15.63,13.86,15.10,6217300,14.81
2009-08-24,14.69,15.92,14.50,15.73,8336200,15.43
2009-08-17,12.86,14.65,12.39,14.52,6663500,14.25
2009-08-10,13.38,13.98,12.40,13.41,7093500,13.16
2009-08-03,12.03,13.82,11.66,13.43,7756900,13.18
2009-07-27,11.36,12.02,10.67,11.84,8812200,11.62
2009-07-20,9.84,11.74,9.61,11.11,7350400,10.90
2009-07-13,8.35,10.00,7.98,9.74,5318600,9.52
2009-07-06,9.00,9.15,7.98,8.32,6361200,8.13
2009-06-29,9.31,9.97,9.07,9.16,8176200,8.95
2009-06-22,7.70,9.44,7.28,9.18,9950200,8.97
2009-06-15,7.84,8.19,7.38,7.79,5656900,7.61
2009-06-08,8.41,9.14,7.90,7.98,6112200,7.80
2009-06-01,9.67,10.00,8.34,8.45,6435200,8.26
2009-05-26,9.32,10.28,8.56,9.51,7477600,9.29
2009-05-18,9.48,10.59,9.12,9.43,7887200,9.21
2009-05-11,10.08,10.28,8.37,8.81,5119000,8.61
2009-05-04,9.73,10.94,9.45,10.32,6855500,10.08
2009-04-27,9.84,10.91,9.31,9.46,7412700,9.24
2009-04-20,8.99,10.29,7.35,9.97,11516500,9.70
2009-04-13,8.00,9.55,7.67,9.34,7268700,9.09
