Date,Open,High,Low,Close,Volume,Adj Close
2011-09-20,49.78,49.91,42.1,42.57,20628621,42.57
2011-09-19,52.87,53.56,51.37,53.01,2914100,53.01
2011-09-16,53.01,54.35,52.36,53.74,4773300,53.74
2011-09-15,53.44,53.47,50.27,51.28,3707100,51.28
2011-09-14,53.28,54.00,51.51,52.73,3855500,52.73
2011-09-13,52.87,53.54,51.81,52.72,2546900,52.72
2011-09-12,53.20,54.48,51.04,52.70,3541800,52.70
2011-09-09,56.13,57.75,53.50,54.11,3666700,54.11
2011-09-08,55.16,58.74,54.80,56.71,6143700,56.71
2011-09-07,54.66,56.30,54.51,55.63,3087500,55.63
2011-09-06,52.58,53.58,51.21,53.30,3669800,53.30
2011-09-02,53.10,56.41,53.01,54.81,3429100,54.81
2011-09-01,56.34,57.18,54.44,54.49,2378000,54.49
2011-08-31,58.07,58.48,55.51,56.52,4231900,56.52
2011-08-30,53.58,58.00,53.40,57.62,6477000,57.62
2011-08-29,53.78,54.75,52.83,53.83,2581100,53.83
2011-08-26,49.90,53.00,49.37,52.98,2125200,52.98
2011-08-25,52.01,52.74,50.50,50.67,1710800,50.67
2011-08-24,53.46,53.80,51.00,52.09,3043000,52.09
2011-08-23,50.97,53.33,49.78,52.99,3419000,52.99
2011-08-22,50.99,51.25,47.86,50.07,4069700,50.07
2011-08-19,50.92,53.12,48.33,48.65,4533100,48.65
2011-08-18,53.38,53.62,50.68,52.10,3712300,52.10
2011-08-17,57.08,57.45,54.01,55.70,3574300,55.70
2011-08-16,58.13,58.95,56.00,56.65,3273200,56.65
2011-08-15,60.27,60.84,57.69,59.00,3669100,59.00
2011-08-12,59.75,63.60,57.76,58.90,13087100,58.90
2011-08-11,52.98,55.00,51.22,54.14,4909900,54.14
2011-08-10,50.43,54.56,49.51,51.55,6186600,51.55
2011-08-09,49.68,51.00,46.76,51.00,5527700,51.00
2011-08-08,50.47,52.49,45.00,46.33,7874000,46.33
2011-08-05,57.50,58.33,51.33,54.15,5715300,54.15
2011-08-04,58.40,58.50,53.64,55.77,5720200,55.77
2011-08-03,60.88,61.23,56.30,60.00,5333600,60.00
2011-08-02,64.95,66.32,57.75,58.73,8850000,58.73
2011-08-01,65.46,66.62,63.61,64.53,4150300,64.53
2011-07-29,62.80,65.82,62.25,63.63,5167600,63.63
2011-07-28,63.08,66.13,62.08,64.32,9486600,64.32
2011-07-27,63.00,63.75,60.21,60.38,5728900,60.38
2011-07-26,59.50,64.89,58.98,63.74,10862300,63.74
2011-07-25,59.40,60.99,58.27,59.85,4149000,59.85
2011-07-22,58.80,61.49,57.15,60.33,9892300,60.33
2011-07-21,55.30,59.35,53.60,58.80,5207500,58.80
2011-07-20,55.39,55.40,53.72,54.72,2456100,54.72
2011-07-19,52.00,55.59,51.77,55.13,3590900,55.13
2011-07-18,51.58,52.18,50.68,51.18,2133400,51.18
2011-07-15,52.73,52.95,51.64,52.26,2052100,52.26
2011-07-14,53.83,53.94,51.26,51.85,4539300,51.85
2011-07-13,53.74,55.39,53.65,54.33,3314400,54.33
