Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,52.87,53.56,51.37,53.01,2914100,53.01
2011-09-12,53.20,54.48,50.27,53.74,3684900,53.74
2011-09-06,52.58,58.74,51.21,54.11,4141900,54.11
2011-08-29,53.78,58.48,52.83,54.81,3819400,54.81
2011-08-22,50.99,53.80,47.86,52.98,2873500,52.98
2011-08-15,60.27,60.84,48.33,48.65,3752400,48.65
2011-08-08,50.47,63.60,45.00,58.90,7507000,58.90
2011-08-01,65.46,66.62,51.33,54.15,5949000,54.15
2011-07-25,59.40,66.13,58.27,63.63,7078800,63.63
2011-07-18,51.58,61.49,50.68,60.33,4653800,60.33
2011-07-11,55.46,55.56,51.26,52.26,3215100,52.26
2011-07-05,57.83,59.75,54.83,56.55,4897300,56.55
2011-06-27,55.59,61.99,54.30,59.84,4336200,59.84
2011-06-20,51.20,56.35,51.00,55.76,6309000,55.76
2011-06-13,51.35,52.62,46.40,48.93,6801800,48.93
2011-06-06,62.65,62.80,51.00,51.49,9153000,51.49
2011-05-31,64.49,66.43,61.96,62.20,5708400,62.20
2011-05-23,58.00,63.38,56.99,62.68,4966900,62.68
2011-05-16,61.28,62.87,55.82,59.36,5996900,59.36
2011-05-09,69.14,71.91,60.25,62.15,9186000,62.15
2011-05-02,72.92,79.16,68.10,68.93,7792900,68.93
2011-04-25,68.08,76.00,67.97,73.30,4246700,73.30
2011-04-18,73.86,76.22,67.71,68.24,5481400,68.24
2011-04-11,70.70,75.00,67.81,74.22,9227000,74.22
2011-04-04,62.65,70.47,61.80,67.19,10861700,67.19
2011-03-28,54.50,61.50,53.60,59.25,6978600,59.25
2011-03-21,44.44,56.78,43.39,54.47,9481200,54.47
2011-03-14,46.00,47.18,41.28,43.98,4881100,43.98
2011-03-07,50.99,51.50,46.25,46.82,5736700,46.82
2011-02-28,49.17,50.85,47.32,49.26,4839500,49.26
2011-02-22,46.91,48.67,43.90,48.65,4935500,48.65
2011-02-14,48.47,49.95,43.41,44.63,4957100,44.63
2011-02-07,50.85,55.71,47.49,47.77,6804800,47.77
2011-01-31,46.03,53.80,45.48,51.30,2970000,51.30
2011-01-24,41.97,48.99,40.25,45.89,5365300,45.89
2011-01-18,45.97,48.39,42.50,42.99,4910400,42.99
2011-01-10,56.08,56.08,44.93,46.13,5230800,46.13
2011-01-03,52.99,62.80,50.33,54.40,12286200,54.40
2010-12-27,45.75,55.22,45.75,49.90,8663300,49.90
2010-12-20,39.00,46.50,37.00,45.35,4719300,45.35
2010-12-13,31.69,39.34,31.28,38.26,4616700,38.26
2010-12-06,27.97,33.75,27.32,31.28,2740900,31.28
2010-11-29,30.35,31.38,27.42,27.80,1670800,27.80
2010-11-22,30.28,31.87,29.51,30.34,1379400,30.34
2010-11-15,35.40,35.65,26.90,30.32,3476600,30.32
2010-11-08,35.57,37.48,34.00,35.32,1925400,35.32
2010-11-01,35.27,37.79,31.40,35.51,3039700,35.51
2010-10-25,32.66,40.90,30.80,35.40,7209700,35.40
2010-10-18,28.58,35.85,28.50,31.69,5229900,31.69
2010-10-11,27.02,29.10,26.52,28.25,937000,28.25
2010-10-04,29.66,30.50,26.02,26.76,1903200,26.76
2010-09-27,28.36,30.00,23.60,29.58,4474500,29.58
2010-09-20,22.62,28.49,22.41,27.81,1854400,27.81
2010-09-13,23.94,24.07,20.50,22.20,1316100,22.20
2010-09-07,19.81,23.75,19.66,23.23,3043300,23.23
2010-08-30,15.93,19.66,15.70,19.50,835900,19.50
2010-08-23,15.40,15.94,14.30,15.82,503700,15.82
2010-08-16,13.98,15.50,13.85,15.13,896200,15.13
2010-08-09,13.77,14.38,13.07,13.93,787100,13.93
2010-08-02,12.71,13.79,12.60,13.22,948700,13.22
2010-07-29,13.25,14.00,12.10,12.34,6267000,12.34
