Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,145.6,147.36,142.25,147.08,2899808,147.08
2011-09-23,141.94,144.65,141.66,144.35,3321300,144.35
2011-09-22,143.14,145.33,140.52,142.54,9858200,142.54
2011-09-21,153.10,153.82,147.85,147.87,6485200,147.87
2011-09-20,155.75,157.31,153.19,153.29,2627500,153.29
2011-09-19,154.07,156.32,152.73,155.18,2171400,155.18
2011-09-16,157.85,158.69,155.97,157.12,3498600,157.12
2011-09-15,157.32,157.87,155.04,157.58,4441000,157.31
2011-09-14,153.79,157.44,151.11,155.53,3407500,155.26
2011-09-13,151.67,153.45,150.23,152.71,2697600,152.45
2011-09-12,147.56,150.67,147.02,150.64,3777100,150.38
2011-09-09,152.56,153.60,148.64,149.85,4196400,149.59
2011-09-08,154.81,156.86,153.46,154.04,3025600,153.77
2011-09-07,153.21,156.29,152.76,156.07,2198600,155.80
2011-09-06,146.10,150.92,146.10,150.60,3838500,150.34
2011-09-02,152.85,154.39,150.93,151.53,4101200,151.27
2011-09-01,159.45,160.86,156.20,156.61,2500600,156.34
2011-08-31,159.58,161.77,157.78,159.04,3653700,158.77
2011-08-30,156.86,159.60,156.02,158.53,3531200,158.26
2011-08-29,153.93,158.00,153.83,157.84,3918400,157.57
2011-08-26,147.18,152.44,145.11,151.90,3603000,151.64
2011-08-25,152.69,153.25,147.49,148.10,4667800,147.84
2011-08-24,148.61,151.68,147.93,151.26,3559600,151.00
2011-08-23,143.96,149.32,142.75,149.12,4051400,148.86
2011-08-22,147.13,147.23,142.58,143.54,3311700,143.29
2011-08-19,143.84,148.11,143.11,143.35,4411600,143.10
2011-08-18,149.63,149.87,144.68,145.93,3678400,145.68
2011-08-17,156.40,157.15,153.13,154.51,2796700,154.24
2011-08-16,155.12,156.82,153.60,155.20,4260200,154.93
2011-08-15,154.71,157.42,154.60,157.30,3837600,157.03
2011-08-12,153.66,154.65,151.69,153.29,6457600,153.03
2011-08-11,145.54,154.39,145.24,152.49,5909000,152.23
2011-08-10,146.64,150.12,144.60,144.84,6359200,144.59
2011-08-09,144.32,150.00,139.80,149.79,12591800,149.53
2011-08-08,148.06,150.24,140.78,140.98,15290600,140.74
2011-08-05,157.79,158.11,149.96,153.35,9672400,153.09
2011-08-04,163.29,163.44,155.90,155.90,7488000,155.63
2011-08-03,165.23,165.91,161.12,165.89,6568300,165.60
2011-08-02,169.22,170.60,165.00,165.21,3442100,164.92
2011-08-01,173.08,173.61,168.53,170.31,4912000,170.02
2011-07-29,169.34,172.33,168.47,171.31,4164300,171.01
2011-07-28,172.56,174.50,171.60,171.73,2236000,171.43
2011-07-27,176.51,176.55,172.30,172.50,3612100,172.20
2011-07-26,178.24,178.64,177.10,177.36,1240300,177.05
2011-07-25,178.00,179.85,177.59,178.67,1929700,178.36
2011-07-22,179.36,180.32,178.74,179.98,1025100,179.67
2011-07-21,178.59,180.35,178.15,179.60,2254600,179.29
2011-07-20,178.37,178.44,177.04,177.94,1226900,177.63
2011-07-19,176.11,178.35,176.05,178.23,1573100,177.92
2011-07-18,176.64,176.73,173.70,174.78,1375000,174.48
2011-07-15,176.67,177.25,175.69,177.14,2178400,176.83
2011-07-14,178.93,179.86,175.71,176.03,6197100,175.73
2011-07-13,178.74,180.54,178.17,178.40,3378900,178.09
2011-07-12,177.89,179.28,177.61,177.80,3013600,177.49
2011-07-11,180.45,181.00,178.12,178.56,1868000,178.25
2011-07-08,181.52,182.42,180.83,182.29,2386800,181.98
2011-07-07,183.37,183.97,182.95,183.71,2453700,183.39
2011-07-06,180.72,182.00,179.91,181.75,5808300,181.44
2011-07-05,181.00,181.10,179.64,180.69,2859600,180.38
2011-07-01,177.86,180.76,177.53,180.55,1983800,180.24
2011-06-30,176.84,178.34,176.73,177.45,3220900,177.14
2011-06-29,175.83,177.02,174.79,176.51,1844700,176.21
2011-06-28,172.95,175.18,172.77,175.11,1649000,174.81
2011-06-27,171.81,173.03,170.72,172.43,2161800,172.13
2011-06-24,173.29,173.78,171.34,171.71,1963600,171.41
2011-06-23,170.93,173.22,169.44,172.98,2657500,172.68
2011-06-22,173.05,174.68,172.97,173.07,2667800,172.77
2011-06-21,171.65,174.08,171.28,173.81,2557400,173.51
2011-06-20,168.66,171.08,168.66,170.52,1459300,170.23
2011-06-17,170.49,170.50,168.80,169.15,2077500,168.86
2011-06-16,169.41,170.47,167.76,169.28,3018200,168.52
2011-06-15,170.59,171.66,168.88,169.52,4245400,168.76
2011-06-14,170.56,172.63,170.49,172.10,1948800,171.33
2011-06-13,169.01,170.57,168.28,169.01,3106100,168.25
2011-06-10,171.10,171.41,169.05,169.34,2944000,168.58
2011-06-09,171.58,172.71,170.83,172.01,2353000,171.24
2011-06-08,172.37,172.68,171.13,171.31,2209700,170.54
2011-06-07,173.10,174.11,172.58,172.83,3580400,172.05
2011-06-06,174.47,174.76,172.15,172.29,2195900,171.52
2011-06-03,174.68,176.64,174.42,174.72,2751800,173.94
2011-06-02,177.57,178.33,176.27,177.23,2727000,176.43
2011-06-01,181.75,181.94,177.11,177.33,3615600,176.53
2011-05-31,181.81,182.58,180.15,182.58,2726400,181.76
2011-05-27,179.60,180.45,179.35,179.89,1425200,179.08
2011-05-26,176.68,179.09,176.58,178.86,1644200,178.06
2011-05-25,177.25,177.72,175.29,177.25,1652600,176.45
2011-05-24,176.98,177.46,175.42,175.97,2092900,175.18
2011-05-23,176.74,177.36,176.08,176.42,2900000,175.63
2011-05-20,180.26,180.37,178.34,179.28,2182000,178.47
2011-05-19,181.40,181.58,179.37,180.66,1814000,179.85
2011-05-18,177.77,180.56,177.54,180.42,1896500,179.61
2011-05-17,177.74,178.52,176.47,177.70,3941700,176.90
2011-05-16,179.67,181.30,178.72,178.95,3121900,178.15
2011-05-13,182.43,182.74,180.10,180.59,2499000,179.78
2011-05-12,180.41,182.93,179.56,182.35,2836300,181.53
2011-05-11,182.96,183.21,180.37,181.26,2625000,180.45
2011-05-10,181.94,183.58,181.73,183.27,2242800,182.45
2011-05-09,179.39,181.65,179.31,181.38,1847800,180.57
2011-05-06,180.89,181.74,178.76,179.52,2767100,178.71
2011-05-05,178.60,180.86,178.13,179.09,2300000,178.29
2011-05-04,181.61,181.84,178.96,179.80,2617700,178.99
2011-05-03,182.85,183.23,180.32,181.39,2391000,180.58
2011-05-02,184.84,184.97,182.97,182.97,3358800,182.15
2011-04-29,183.97,184.61,183.23,184.27,1572700,183.44
2011-04-28,183.33,184.34,183.08,183.66,2252200,182.84
2011-04-27,182.61,183.57,181.76,183.57,3261700,182.75
2011-04-26,181.10,182.86,181.04,182.25,3300000,181.43
2011-04-25,180.54,180.86,179.59,180.54,1661200,179.73
2011-04-21,180.42,180.67,179.48,180.53,1175700,179.72
2011-04-20,178.89,179.58,178.57,179.53,2568000,178.72
2011-04-19,176.17,176.54,175.15,176.34,1648600,175.55
2011-04-18,176.18,176.53,173.92,175.41,12031400,174.62
2011-04-15,177.05,178.64,176.60,178.47,1652900,177.67
2011-04-14,175.54,177.12,175.14,176.90,1920300,176.11
2011-04-13,177.33,177.71,175.80,176.77,1385800,175.98
2011-04-12,177.13,177.77,175.89,176.28,2177900,175.49
2011-04-11,179.53,179.88,177.45,177.98,1711000,177.18
2011-04-08,181.56,181.82,178.32,179.23,2456200,178.42
2011-04-07,181.74,182.23,180.08,180.61,2203700,179.80
2011-04-06,182.45,182.96,180.87,181.67,5517400,180.85
2011-04-05,180.67,182.46,180.57,181.48,4423700,180.66
2011-04-04,181.21,181.55,180.35,180.90,4286800,180.09
2011-04-01,180.57,181.17,180.03,180.81,3016700,180.00
2011-03-31,178.51,179.66,178.39,179.55,2907400,178.74
2011-03-30,177.74,178.97,177.52,178.54,1930800,177.74
2011-03-29,175.22,177.05,174.38,176.81,2632000,176.02
2011-03-28,176.41,177.01,175.22,175.37,1885300,174.58
2011-03-25,175.24,177.45,174.75,176.02,2699500,175.23
2011-03-24,174.04,175.08,172.33,174.73,3127100,173.95
2011-03-23,172.91,173.59,171.27,172.96,2059900,172.18
2011-03-22,174.40,174.84,173.03,173.28,2115700,172.50
2011-03-21,173.13,174.74,173.12,174.42,2953100,173.64
2011-03-18,172.01,172.07,170.56,170.99,2579200,170.22
2011-03-17,172.13,172.18,170.22,170.53,4831700,169.32
2011-03-16,170.77,172.42,168.68,169.55,6557300,168.35
2011-03-15,168.70,172.45,167.36,171.34,6802000,170.13
2011-03-14,172.07,173.49,171.18,172.48,2863700,171.26
2011-03-11,170.98,173.86,170.91,173.25,2565800,172.02
2011-03-10,173.29,173.56,171.49,172.12,3271600,170.90
2011-03-09,175.47,176.11,174.30,175.24,1939500,174.00
2011-03-08,174.07,176.57,173.03,175.76,4608900,174.51
2011-03-07,176.86,176.98,172.47,173.59,2517000,172.36
2011-03-04,177.40,177.47,174.92,176.06,3175000,174.81
2011-03-03,175.15,177.60,175.15,177.14,3857600,175.89
2011-03-02,172.56,174.60,172.48,173.46,3511900,172.23
2011-03-01,176.22,176.40,172.18,172.65,6822400,171.43
2011-02-28,176.33,176.79,174.84,175.47,1953700,174.23
2011-02-25,172.58,175.37,172.52,175.32,4414800,174.08
2011-02-24,171.94,173.08,170.05,171.76,10641200,170.54
2011-02-23,174.26,174.83,170.25,171.77,5314700,170.55
2011-02-22,176.81,177.53,174.05,174.21,4078600,172.98
2011-02-18,178.68,178.82,177.79,178.43,1689900,177.17
2011-02-17,177.19,178.61,176.98,178.28,1900700,177.02
2011-02-16,176.89,177.92,176.88,177.53,2744700,176.27
2011-02-15,176.43,176.75,175.93,176.26,2201500,175.01
2011-02-14,176.38,177.08,176.09,176.88,2333000,175.63
2011-02-11,173.87,176.26,173.84,176.24,2779300,174.99
2011-02-10,172.78,174.56,172.64,174.42,3298400,173.18
2011-02-09,173.59,174.24,173.00,173.57,3219800,172.34
2011-02-08,173.30,173.98,172.70,173.87,1873300,172.64
2011-02-07,172.24,173.81,172.20,173.02,2722300,171.79
2011-02-04,170.74,171.81,170.35,171.61,2139900,170.39
2011-02-03,170.07,170.99,168.79,170.67,3569000,169.46
2011-02-02,170.13,171.19,170.04,170.12,3233500,168.91
2011-02-01,169.19,170.88,169.05,170.43,3876900,169.22
2011-01-31,167.29,168.98,166.85,167.85,4379800,166.66
2011-01-28,169.96,170.24,166.34,166.55,5010100,165.37
2011-01-27,168.92,170.17,168.80,169.71,2450000,168.51
2011-01-26,168.07,169.74,167.56,169.05,3385900,167.85
2011-01-25,166.53,167.65,166.08,167.62,4659600,166.43
