Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,145.60,147.36,142.25,147.08,2899700,147.08
2011-09-19,154.07,157.31,140.52,144.35,4892700,144.35
2011-09-12,147.56,158.69,147.02,157.12,3564300,157.12
2011-09-06,146.10,156.86,146.10,149.85,3314700,149.59
2011-08-29,153.93,161.77,150.93,151.53,3541000,151.27
2011-08-22,147.13,153.25,142.58,151.90,3838700,151.64
2011-08-15,154.71,157.42,143.11,143.35,3796900,143.10
2011-08-08,148.06,154.65,139.80,153.29,9321600,153.03
2011-08-01,173.08,173.61,149.96,153.35,6416500,153.09
2011-07-25,178.00,179.85,168.47,171.31,2636400,171.01
2011-07-18,176.64,180.35,173.70,179.98,1490900,179.67
2011-07-11,180.45,181.00,175.69,177.14,3327200,176.83
2011-07-05,181.00,183.97,179.64,182.29,3377100,181.98
2011-06-27,171.81,180.76,170.72,180.55,2172000,180.24
2011-06-20,168.66,174.68,168.66,171.71,2261100,171.41
2011-06-13,169.01,172.63,167.76,169.15,2879200,168.86
2011-06-06,174.47,174.76,169.05,169.34,2656600,168.58
2011-05-31,181.81,182.58,174.42,174.72,2955200,173.94
2011-05-23,176.74,180.45,175.29,179.89,1942900,179.08
2011-05-16,179.67,181.58,176.47,179.28,2591200,178.47
2011-05-09,179.39,183.58,179.31,180.59,2410100,179.78
2011-05-02,184.84,184.97,178.13,179.52,2686900,178.71
2011-04-25,180.54,184.61,179.59,184.27,2409500,183.44
2011-04-18,176.18,180.67,173.92,180.53,4355900,179.72
2011-04-11,179.53,179.88,175.14,178.47,1769500,177.67
2011-04-04,181.21,182.96,178.32,179.23,3777500,178.42
2011-03-28,176.41,181.17,174.38,180.81,2474400,180.00
2011-03-21,173.13,177.45,171.27,176.02,2591000,175.23
2011-03-14,172.07,173.49,167.36,170.99,4726700,170.22
2011-03-07,176.86,176.98,170.91,173.25,2980500,172.02
2011-02-28,176.33,177.60,172.18,176.06,3864100,174.81
2011-02-22,176.81,177.53,170.05,175.32,6112300,174.08
