Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,13.28,14.13,13.27,13.69,18818559,13.69
2011-09-08,13.46,13.87,13.30,13.43,9097500,13.43
2011-09-07,13.05,13.55,13.03,13.50,8481600,13.50
2011-09-06,12.32,12.85,12.30,12.83,7914000,12.83
2011-09-02,12.75,12.94,12.56,12.89,8173100,12.89
2011-09-01,13.22,13.33,13.02,13.02,6722300,13.02
2011-08-31,13.28,13.57,13.04,13.15,11133200,13.15
2011-08-30,13.08,13.31,13.02,13.22,9209400,13.22
2011-08-29,13.08,13.18,12.94,13.16,12462500,13.16
2011-08-26,12.54,12.99,12.40,12.89,9099400,12.89
2011-08-25,13.09,13.25,12.56,12.63,13971900,12.63
2011-08-24,12.99,13.09,12.69,13.07,9998600,13.07
2011-08-23,12.66,13.06,12.59,13.05,13322100,13.05
2011-08-22,13.00,13.10,12.45,12.56,13719500,12.56
2011-08-19,12.87,13.49,12.56,12.68,30481100,12.68
2011-08-18,12.46,12.53,11.90,11.97,15696300,11.97
2011-08-17,13.01,13.17,12.63,12.85,12322000,12.85
2011-08-16,12.86,13.22,12.74,12.94,11135300,12.94
2011-08-15,12.67,13.02,12.63,13.00,7294700,13.00
2011-08-12,12.79,12.85,12.39,12.58,7321100,12.58
2011-08-11,12.03,12.79,11.97,12.63,16174400,12.63
2011-08-10,11.75,12.29,11.41,11.94,22142000,11.94
2011-08-09,12.20,12.30,11.23,11.98,26655800,11.98
2011-08-08,12.33,12.83,11.77,11.96,26487500,11.96
2011-08-05,13.61,13.73,12.33,13.02,27488100,13.02
2011-08-04,13.99,14.08,13.45,13.46,14069300,13.46
2011-08-03,14.27,14.34,13.78,14.25,14065800,14.25
2011-08-02,14.74,14.98,14.26,14.27,8812600,14.27
2011-08-01,15.01,15.13,14.64,14.86,7809300,14.86
2011-07-29,14.80,15.02,14.68,14.82,8538300,14.82
2011-07-28,15.04,15.17,14.81,14.98,8530700,14.98
2011-07-27,15.38,15.38,15.01,15.04,8270000,15.04
2011-07-26,15.40,15.93,15.35,15.52,11230800,15.52
2011-07-25,15.19,15.40,15.09,15.29,6083900,15.29
2011-07-22,15.18,15.54,15.18,15.33,8288600,15.33
2011-07-21,15.06,15.27,14.68,15.15,9925700,15.15
2011-07-20,15.21,15.33,14.94,15.08,6013500,15.08
2011-07-19,14.78,15.23,14.71,15.18,8934000,15.18
2011-07-18,14.79,15.07,14.40,14.63,10637300,14.63
2011-07-15,14.76,14.93,14.54,14.87,9404000,14.87
2011-07-14,14.75,15.06,14.54,14.68,12455200,14.68
2011-07-13,14.85,15.03,14.60,14.72,9301200,14.72
2011-07-12,14.81,14.88,14.51,14.81,9036900,14.81
2011-07-11,15.15,15.24,14.80,14.86,8785400,14.86
2011-07-08,15.21,15.45,15.13,15.41,8560500,15.41
2011-07-07,15.21,15.61,15.13,15.39,10344600,15.39
2011-07-06,15.15,15.25,14.98,15.08,6590100,15.08
2011-07-05,15.30,15.34,15.05,15.19,10963200,15.19
2011-07-01,14.79,15.20,14.70,15.11,9706200,15.11
2011-06-30,14.40,14.84,14.37,14.77,9460300,14.77
