Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,12.32,14.13,12.30,13.69,11077800,13.69
2011-08-29,13.08,13.57,12.56,12.89,9540100,12.89
2011-08-22,13.00,13.25,12.40,12.89,12022300,12.89
2011-08-15,12.67,13.49,11.90,12.68,15385800,12.68
2011-08-08,12.33,12.85,11.23,12.58,19756100,12.58
2011-08-01,15.01,15.13,12.33,13.02,14449000,13.02
2011-07-25,15.19,15.93,14.68,14.82,8530700,14.82
2011-07-18,14.79,15.54,14.40,15.33,8759800,15.33
2011-07-11,15.15,15.24,14.51,14.87,9796500,14.87
2011-07-05,15.30,15.61,14.98,15.41,9114600,15.41
2011-06-27,14.02,15.20,13.90,15.11,9463900,15.11
2011-06-20,13.35,14.54,13.28,14.06,15000700,14.06
2011-06-13,14.40,14.68,13.17,13.21,15138200,13.21
2011-06-06,15.13,15.28,14.33,14.40,10448300,14.40
2011-05-31,16.24,16.36,15.13,15.15,15535300,15.15
2011-05-23,14.13,16.36,14.07,16.17,21008700,16.17
2011-05-16,14.51,14.60,14.01,14.34,8922900,14.34
2011-05-09,14.73,15.17,14.49,14.60,10645800,14.60
2011-05-02,15.46,15.49,14.44,14.68,13680500,14.68
2011-04-25,15.71,15.93,15.40,15.43,11511700,15.43
2011-04-18,15.63,16.05,14.92,15.70,12839200,15.70
2011-04-11,16.35,16.41,15.38,15.97,17310700,15.97
2011-04-04,15.94,16.68,15.50,16.39,17652400,16.39
2011-03-28,16.08,16.38,15.53,15.93,15335700,15.93
2011-03-21,15.85,16.50,15.17,16.07,14691200,16.07
2011-03-14,15.51,15.86,14.93,15.62,17173200,15.62
2011-03-07,16.22,16.37,15.39,15.67,20015600,15.67
2011-02-28,18.91,18.91,15.99,16.13,24618700,16.13
2011-02-22,18.41,18.93,17.60,18.92,14082900,18.92
2011-02-14,19.78,20.18,18.63,18.89,15772800,18.89
2011-02-07,19.82,20.42,19.47,19.75,10858700,19.75
2011-01-31,19.19,20.04,18.82,19.75,13354200,19.75
2011-01-24,20.13,20.49,19.09,19.16,11925300,19.16
2011-01-18,21.55,22.01,19.98,20.08,13707900,20.08
2011-01-10,19.96,21.88,19.76,21.87,13617300,21.87
2011-01-03,18.74,20.34,17.78,20.04,19791600,20.04
2010-12-27,18.81,18.87,18.19,18.55,5549300,18.55
2010-12-20,18.75,19.21,18.47,18.93,9270800,18.93
2010-12-13,19.65,19.82,18.52,18.86,12191500,18.86
2010-12-06,20.38,20.65,19.39,19.56,8676100,19.56
2010-11-29,19.54,20.55,19.06,20.44,13573900,20.44
2010-11-22,20.05,20.25,19.58,19.58,8817000,19.58
2010-11-15,19.99,20.43,18.69,20.09,18547700,20.09
2010-11-08,20.65,21.00,18.93,19.83,11435500,19.83
2010-11-01,19.44,20.95,19.14,20.80,13523100,20.80
2010-10-25,17.79,19.42,17.28,19.28,17151500,19.28
2010-10-18,17.04,17.74,16.51,17.70,11568100,17.70
2010-10-11,16.84,17.47,16.44,17.11,13137900,17.11
2010-10-04,17.33,17.44,16.26,16.77,18535300,16.77
2010-09-27,17.73,18.09,17.16,17.50,15243700,17.50
2010-09-20,17.98,18.16,16.85,17.72,14659900,17.72
2010-09-13,17.20,17.99,16.91,17.91,14273400,17.91
2010-09-07,16.95,17.59,16.84,17.02,16445600,17.02
2010-08-30,16.63,17.24,15.74,17.00,13607900,17.00
2010-08-23,16.39,16.71,15.44,16.57,22156900,16.57
2010-08-16,14.44,16.73,14.37,16.16,18035800,16.16
2010-08-09,15.29,15.52,13.87,14.51,14423800,14.51
